# experiment P-100 (R-100)
# hypothesis: M-372 FOUND THE OBSTRUCTION AND NAMED IT AS STRUCTURAL. Marching Tetrahedra improves from {6, 12} to a flat 12 OF 48 AND STOPS, because a six-tetrahedron decomposition of a cell is not octahedrally invariant -- its diagonals cut different edges after a relabelling -- and NO PLACEMENT RULE REACHES THAT. That is a statement about the DECOMPOSITION, not about the extractor, and decompositions that are invariant exist: the barycentric (Kuhn/Freudenthal) subdivision into 24 tetrahedra is invariant under the full octahedral group by construction. P-3 already verified that Kuhn tiles face-to-face only if every cell picks the same main diagonal, and M-51 measured classic MT at about 3x the triangles for about 4% worse geometry, so the cost side is known and the question is whether invariance is worth paying for. (C1) A 24-tetrahedron barycentric decomposition reaches 48 OF 48 on all eight fields at both resolutions, where the six-tet split reaches 12. (C2) It costs at most 2x the six-tet split in triangle count -- and since M-51 already measured a 3x penalty over Marching Cubes, the COMBINED penalty must stay under 6x, which is the number a consumer actually pays. (C3) It STILL TILES across chunk seams with zero open edges, which is the property M-132 measured for the subgrid extractor and the reason Marching Tetrahedra is in this crate at all. SHARE: C2 is a triangle count, compared against M-51's already-measured baseline.
# falsified by: C1 by under 48, which would mean the obstruction is not the decomposition and M-372's diagnosis needs revising. C2 by above 2x, which prices invariance out for a game and leaves it a CAD-only option. C3 by any open edge, which kills it outright regardless of C1. VACUITY CONTROL: the six-tet arm must reproduce p-61.csv's flat 12 of 48 before the 24-tet arm is believed, reported side by side.
# commit bd8b134 on amd-ryzen-9-5900x-12-core at 2026-08-28T01:26:32Z
field,resolution,decomposition,tetrahedra_per_cell,elements_vertex_exact,worst_component_ulp,triangles,triangles_vs_six_tet,triangles_vs_marching_cubes,open_edges,seam_configurations,hausdorff,c1_holds,c2_holds,c3_holds,accuracy_degenerate_triangles,accuracy_forward_samples,accuracy_reverse_samples,accuracy_triangles,boundary_open_edges,c1_population,c1_rows_at_48,c1_worst_row,c2_worst_ratio_marching_cubes,c2_worst_ratio_six_tet,c3_open_edges_total,cell_size,cut_edges,cut_edges_p61,elements_tested,elements_triangle_exact,elements_vertex_exact_p61,exact_are_diagonal_stabiliser,first_failing_element,fixture_can_fail,grid_symmetric,hausdorff_field_to_mesh,hausdorff_mesh_to_field,order_sensitive_edges,p61_columns_match,seam_control_open_edges,seam_coords_exact,seam_mesh_identical,triangles_p61,vacuity_mc_rows_at_48,vacuity_six_tet_rows_at_12,vacuity_stabiliser_rows,vertex_failing_labels,vertices,wall_ms
sphere,33,marching_cubes,0,48,0,2312,0.328783,1.000000,0,12,0.005361366,true,false,true,0,3470,1650,2312,0,16,16,48,10.557864,2.726437,0,0.125000000,1158,1158,48,1,48,false,none,true,true,0.005361366,0.005330125,72,true,229,true,true,2312,16,32,32,,1158,36
sphere,33,six_tet_crate,6,12,9214232862110805686,7032,1.000000,3.041522,0,12,0.005510930,true,false,true,36,10514,1650,6996,30,16,16,48,10.557864,2.726437,0,0.125000000,1158,1158,48,12,12,true,perm=012;sign=-++,true,true,0.005467978,0.005510930,72,true,208,true,true,7032,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,3518,97
sphere,33,six_tet_bench,6,12,9214232862110805686,7032,1.000000,3.041522,0,12,0.005510930,true,false,true,36,10514,1650,6996,30,16,16,48,10.557864,2.726437,0,0.125000000,1158,,48,12,,true,perm=012;sign=-++,true,true,0.005467978,0.005510930,72,true,208,true,true,,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,3518,112
sphere,33,barycentric_24,24,48,0,17040,2.423208,7.370242,0,12,0.004105556,true,false,true,96,25448,1650,16944,42,16,16,48,10.557864,2.726437,0,0.125000000,1158,,48,6,,false,none,true,true,0.003962409,0.004105556,72,true,224,true,true,,16,32,32,,8522,504
sphere,33,barycentric_24_field_sampled,24,48,0,17040,2.423208,7.370242,0,12,0.001855827,true,false,true,96,25448,1650,16944,42,16,16,48,10.557864,2.726437,0,0.125000000,1158,,48,6,,false,none,true,true,0.001688844,0.001855827,72,true,224,true,true,,16,32,32,,8522,557
sphere,25,marching_cubes,0,48,0,1064,0.335859,1.000000,0,12,0.011986517,true,false,true,0,1598,704,1064,0,16,16,48,10.557864,2.726437,0,0.187500000,534,534,48,1,48,false,none,true,true,0.011753059,0.011986517,24,true,148,true,true,1064,16,32,32,,534,15
sphere,25,six_tet_crate,6,12,9214278777801560666,3168,1.000000,2.977444,0,12,0.011585054,true,false,true,0,4754,704,3168,0,16,16,48,10.557864,2.726437,0,0.187500000,534,534,48,12,12,true,perm=012;sign=-++,true,true,0.011585054,0.011409602,24,true,148,true,true,3168,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,1586,41
sphere,25,six_tet_bench,6,12,9214278777801560666,3168,1.000000,2.977444,0,12,0.011585054,true,false,true,0,4754,704,3168,0,16,16,48,10.557864,2.726437,0,0.187500000,534,,48,12,,true,perm=012;sign=-++,true,true,0.011585054,0.011409602,24,true,148,true,true,,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,1586,49
sphere,25,barycentric_24,24,48,0,7536,2.378788,7.082707,0,12,0.008878386,true,false,true,0,11306,704,7536,0,16,16,48,10.557864,2.726437,0,0.187500000,534,,48,6,,false,none,true,true,0.008467525,0.008878386,24,true,148,true,true,,16,32,32,,3770,204
sphere,25,barycentric_24_field_sampled,24,48,0,7536,2.378788,7.082707,0,12,0.004094360,true,false,true,0,11306,704,7536,0,16,16,48,10.557864,2.726437,0,0.187500000,534,,48,6,,false,none,true,true,0.003290281,0.004094360,24,true,148,true,true,,16,32,32,,3770,236
