# experiment P-103 (R-103)
# hypothesis: FASTLANES' SCALAR_T64 RESULT SAYS 64-BIT SCALAR REGISTERS USED AS QUASI-SIMD BEAT NAIVE SCALAR UP TO 8x, AND THE ONE QUANTITY IN THIS CRATE THAT IS ALREADY BOOLEAN IS THE EIGHT CORNER SIGNS OF A CELL. The comparand is exact and it is not a shared classifier: marching_cubes/mod.rs:258-268 builds the index inline with 'case |= 1 << c' guarded by is_inside (cube.rs:171, 'value < 0', so an exact zero is OUTSIDE), and there are SIX INDEPENDENT COPIES of that loop -- marching_cubes/mod.rs:266, manifold_dual_contouring.rs:210, property/extraction.rs:438 and :584, marching_cubes/ambiguity/tests.rs:260, and transvoxel/cell.rs:231 which widens it to u16. There is no shared classifier anywhere in the crate, so this row proposes the first one rather than modifying an existing one, and it is bench-local. Store the sign field as eight bit-planes instead of one array of bytes and a whole u64 of case indices falls out of eight shift-and-OR pairs. (C1) The case-classification stage is at least 10% of Marching Cubes extraction, using P-121's stage decomposition as the denominator and measuring the share BEFORE claiming any speedup. (C2) Eight sign bit-planes plus eight shift-and-OR pairs produce 64 case indices in under HALF the instructions per cell of the byte path. (C3) Zero movement in the 216 golden hashes, because the case index is an integer and an integer path that changes it is wrong rather than faster. SHARE: C1 IS the share gate and it is checked first -- x51's rule applied at the top of the row rather than remembered at the bottom, since a 2x on a stage under 10% has a ceiling of 1/(1 - 0.10/2) = 1.05x and is not worth building.
# falsified by: C1 by a classify share under 10%, which closes the row on arithmetic before C2 is measured. C2 by an instruction ratio worse than 2x, which is where the byte path's single table-free increment already wins. C3 by any golden hash moving, which would mean the bit-sliced index is not the same integer. VACUITY CONTROL: cases_identical must equal cells on every row, and corrupt_control_mismatches -- the same comparison with one sign plane deliberately flipped -- must be NON-ZERO, because a comparator that cannot report a mismatch has not reported a match.
# commit 36e1135 on amd-ryzen-9-5900x-12-core at 2026-08-29T00:07:57Z
field,resolution,scalar,classify_share,instructions_per_cell_byte,instructions_per_cell_bitsliced,instruction_ratio,cases_identical,cells,corrupt_control_mismatches,hashes_moved,c1_holds,c2_holds,c3_holds,active_cases_identical,active_cells,active_fraction,best_instruction_ratio,c1_holds_all_rows,c1_rows_clearing_bar,c1_rows_clearing_bar_instructions,c2_holds_all_rows,classify_share_instructions,count_ones_calls_per_cell_bitsliced,count_ones_calls_per_cell_byte,cycle_ratio,cycle_ratio_rep_best,cycle_ratio_rep_worst,cycles_classify_byte,cycles_extract_shipped,cycles_per_cell_bitsliced,cycles_per_cell_byte,dense_cases_bytes,ghz,golden_case_mismatches,golden_cells_checked,golden_hash_rows,golden_hashes_reproduced,golden_samples_checked,golden_sign_mismatches,inner_reps,inner_reps_extract,inside_bytes,instruction_ratio_active,instruction_ratio_rep_spread,instruction_ratio_swar8,instruction_ratio_vs_byte_compact,instructions_classify_byte,instructions_extract_shipped,instructions_per_cell_bitsliced_active,instructions_per_cell_byte_compact,instructions_per_cell_swar8,ns_per_cell_byte,ns_per_cell_extract,rows,samples_checked,sign_bits_identical,sign_tests_per_cell_bitsliced,sign_tests_per_cell_byte,single_bit_control_mismatches,swar8_identical,target_feature_popcnt,worst_instruction_ratio,worst_instruction_ratio_swar8
sphere,33,f32,0.477233,34.1054,29.6937,0.870646,32768,32768,32768,0,true,false,true,1160,1160,0.035400,0.579154,false,21,23,false,0.563952,0,0,0.973481,0.698104,1.033136,893361.4,1871961.7,10.1580,10.4347,32768,4.1827,0,811008,24,24,903600,0,294,102,8712,0.452891,0.000000,0.579533,0.345046,2819927.1,5000295.7,15.4460,86.0573,19.7652,2.494713,13.723027,32,35937,35937,1.0967,8.0000,1,32768,false,1.083542,0.764293
torus,33,f32,0.392013,34.1054,29.6937,0.870646,32768,32768,32768,0,true,false,true,1128,1128,0.034424,0.579154,false,21,23,false,0.557210,0,0,0.980897,0.925494,1.246225,839149.3,2140618.4,10.2272,10.4264,32768,4.1770,0,811008,24,24,903600,0,293,88,8712,0.451489,0.000002,0.579534,0.345093,2819543.1,5060106.4,15.3982,86.0456,19.7652,2.496124,15.644570,32,35937,35937,1.0967,8.0000,1,32768,false,1.083542,0.764293
box_exact,33,f32,0.363444,34.3204,29.5608,0.861319,32768,32768,32768,0,true,false,true,1352,1352,0.041260,0.579154,false,21,23,false,0.475526,0,0,0.982404,0.732442,1.452739,851371.8,2342513.5,10.0633,10.2436,32768,4.1707,0,811008,24,24,903600,0,188,54,8712,0.458905,0.000000,0.575905,0.343221,2822232.7,5934967.3,15.7498,86.1277,19.7653,2.456097,17.119630,32,35937,35937,1.0967,8.0000,1,32768,false,1.083542,0.764293
csg_difference,33,f32,0.295519,33.8128,29.4280,0.870321,32768,32768,32768,0,true,false,true,1388,1388,0.042358,0.579154,false,21,23,false,0.442363,0,0,0.855654,0.599171,0.977216,726646.4,2458880.7,9.8783,11.5448,32768,4.0698,0,811008,24,24,903600,0,161,48,8712,0.467485,0.000000,0.584552,0.341626,2822665.5,6380876.4,15.8070,86.1409,19.7653,2.836705,17.965355,32,35937,35937,1.0967,8.0000,1,32768,false,1.083542,0.764293
thin_plate,33,f32,0.423714,33.7815,29.8267,0.882932,32768,32768,32768,0,true,false,true,512,512,0.015625,0.579154,false,21,23,false,0.508160,0,0,0.980846,0.639390,1.002962,917198.5,2164663.5,10.6288,10.8364,32768,4.1541,0,811008,24,24,903600,0,178,58,8712,0.426969,0.000000,0.585092,0.347550,2812153.0,5533986.2,14.4236,85.8201,19.7653,2.608588,15.799442,32,35937,35937,1.0967,8.0000,1,32768,false,1.083542,0.764293
gyroid,33,f32,0.090709,34.0002,29.9596,0.881159,32768,32768,32768,0,false,false,true,5240,5240,0.159912,0.579154,false,21,23,false,0.158395,0,0,0.880517,0.767990,1.439315,805522.4,8880317.5,10.5646,11.9982,32768,4.1793,0,811008,24,24,903600,0,293,22,8712,0.644377,0.000000,0.581327,0.342194,2868887.1,18112258.9,21.9089,87.5515,19.7652,2.870864,64.846891,32,35937,35937,1.0967,8.0000,1,32768,false,1.083542,0.764293
fbm_terrain,33,f32,0.016235,33.9368,29.9596,0.882807,32768,32768,32768,0,false,false,true,1958,1958,0.059753,0.579154,false,21,23,false,0.023508,0,0,0.698319,0.697561,0.978742,531823.3,32757042.3,7.2585,10.3942,32768,4.1887,0,811008,24,24,903600,0,164,3,8712,0.492519,0.000000,0.582415,0.346957,2829505.3,120363970.3,16.7145,86.3496,19.7653,2.481512,239.054596,32,35937,35937,1.0967,8.0000,1,32768,false,1.083542,0.764293
noise_cavity,33,f32,0.050339,33.9367,29.9596,0.882807,32768,32768,32768,0,false,false,true,6176,6176,0.188477,0.579154,false,21,23,false,0.068197,0,0,1.011530,0.973186,1.037256,593644.3,11793010.8,7.3412,7.2575,32768,4.1893,0,811008,24,24,903600,0,291,11,8712,0.689462,0.000000,0.582414,0.340859,2880119.1,42232157.2,23.3981,87.8943,19.7652,1.732395,86.088540,32,35937,35937,1.0967,8.0000,1,32768,false,1.083542,0.764293
sphere,33,f64,0.421309,50.8117,29.4278,0.579154,32768,32768,32768,0,true,false,true,1160,1160,0.035400,0.579154,false,21,23,false,0.550488,0,0,0.633392,0.599841,0.707106,923809.8,2192713.7,10.4993,16.5764,32768,4.1765,0,811008,24,24,903600,0,277,88,8712,0.292868,0.000000,0.451656,0.341956,2819927.3,5122594.2,14.8811,86.0574,22.9494,3.969004,16.024492,32,35937,35937,1.0967,8.0000,1,32768,false,1.083542,0.764293
torus,33,f64,0.381299,50.8118,29.4279,0.579155,32768,32768,32768,0,true,false,true,1128,1128,0.034424,0.579154,false,21,23,false,0.569374,0,0,0.617268,0.504490,0.773031,898014.6,2355147.6,10.4206,16.8818,32768,4.1794,0,811008,24,24,903600,0,162,53,8712,0.291927,0.000000,0.451657,0.342003,2819545.5,4952009.6,14.8333,86.0457,22.9495,4.039336,17.211328,32,35937,35937,1.0967,8.0000,1,32768,false,1.083542,0.764293
box_exact,33,f64,0.388428,50.8117,29.4278,0.579154,32768,32768,32768,0,true,false,true,1352,1352,0.041260,0.579154,false,21,23,false,0.489603,0,0,0.640808,0.374657,0.679975,921240.5,2371713.6,10.8061,16.8633,32768,4.1766,0,811008,24,24,903600,0,278,83,8712,0.298845,0.000000,0.451656,0.341677,2822231.3,5764327.8,15.1848,86.1277,22.9494,4.037595,17.334686,32,35937,35937,1.0967,8.0000,1,32768,false,1.083542,0.764293
csg_difference,33,f64,0.343627,50.8117,29.4278,0.579154,32768,32768,32768,0,true,false,true,1388,1388,0.042358,0.579154,false,21,23,false,0.448327,0,0,0.607673,0.566632,0.632104,927824.5,2700090.0,10.4702,17.2300,32768,4.1781,0,811008,24,24,903600,0,277,49,8712,0.299969,0.000000,0.451656,0.341625,2822663.3,6295996.0,15.2419,86.1408,22.9494,4.123890,19.751803,32,35937,35937,1.0967,8.0000,1,32768,false,1.083542,0.764293
thin_plate,33,f64,0.424860,50.8118,29.4279,0.579155,32768,32768,32768,0,true,false,true,512,512,0.015625,0.579154,false,21,23,false,0.524956,0,0,0.596979,0.436214,0.630575,908153.6,2137538.0,10.2218,17.1226,32768,4.1790,0,811008,24,24,903600,0,159,58,8712,0.272746,0.000001,0.451657,0.342902,2812153.6,5356932.2,13.8587,85.8201,22.9495,4.097288,15.611068,32,35937,35937,1.0967,8.0000,1,32768,false,1.083542,0.764293
gyroid,33,f64,0.054612,50.8117,29.4278,0.579154,32768,32768,32768,0,false,false,true,5240,5240,0.159912,0.579154,false,21,23,false,0.094884,0,0,0.475042,0.402945,0.769765,569878.4,10434983.0,7.0148,14.7667,32768,4.1792,0,811008,24,24,903600,0,278,13,8712,0.420061,0.000000,0.451656,0.336120,2868887.2,30235855.1,21.3440,87.5515,22.9494,3.533375,76.294938,32,35937,35937,1.0967,8.0000,1,32768,false,1.083542,0.764293
fbm_terrain,33,f64,0.022979,50.8117,29.4278,0.579154,32768,32768,32768,0,false,false,true,1958,1958,0.059753,0.579154,false,21,23,false,0.023711,0,0,0.633768,0.417327,0.679942,935191.9,40696905.2,10.2274,16.1374,32768,4.1762,0,811008,24,24,903600,0,291,4,8712,0.317830,0.000001,0.451656,0.340799,2829503.1,119331088.2,16.1495,86.3496,22.9494,3.864153,297.649254,32,35937,35937,1.0967,8.0000,1,32768,false,1.083542,0.764293
noise_cavity,33,f64,0.058571,50.8118,29.4279,0.579155,32768,32768,32768,0,false,false,true,6176,6176,0.188477,0.579154,false,21,23,false,0.068738,0,0,0.619121,0.615299,0.626609,1032456.1,17627296.8,10.5910,17.1064,32768,4.1757,0,811008,24,24,903600,0,161,8,8712,0.449368,0.000000,0.451657,0.334810,2880121.5,41899715.6,22.8332,87.8943,22.9495,4.096679,128.937580,32,35937,35937,1.0967,8.0000,1,32768,false,1.083542,0.764293
sphere,65,f32,0.516441,24.7684,26.8376,1.083542,262144,262144,262144,0,true,false,true,4760,4760,0.018158,0.579154,false,21,23,false,0.609157,0,0,1.273581,0.866326,1.739787,7404884.4,14338299.2,9.9759,7.8329,262144,4.1742,0,811008,24,24,903600,0,22,9,67600,0.490419,0.000000,0.764293,0.313801,22419707.7,36804494.2,12.1469,85.5244,18.9303,1.876497,13.111852,32,274625,274625,1.0476,8.0000,1,262144,false,1.083542,0.764293
torus,65,f32,0.467750,24.7684,26.8376,1.083542,262144,262144,262144,0,true,false,true,4208,4208,0.016052,0.579154,false,21,23,false,0.605114,0,0,1.270740,1.232349,1.434543,7363299.2,15741943.7,10.1206,7.9643,262144,4.1775,0,811008,24,24,903600,0,24,9,67600,0.486067,0.000002,0.764293,0.313894,22413081.2,37039465.6,12.0391,85.4991,18.9303,1.906478,14.373234,32,274625,274625,1.0476,8.0000,1,262144,false,1.083542,0.764293
box_exact,65,f32,0.399509,24.8769,26.7571,1.075581,262144,262144,262144,0,true,false,true,5768,5768,0.022003,0.579154,false,21,23,false,0.506263,0,0,1.286506,1.258670,1.722807,7206690.6,18038881.4,10.2445,7.9630,262144,4.1812,0,811008,24,24,903600,0,22,7,67600,0.496294,0.000000,0.760962,0.312690,22431804.3,44308612.0,12.3462,85.5705,18.9303,1.904501,16.487724,32,274625,274625,1.0476,8.0000,1,262144,false,1.083542,0.764293
csg_difference,65,f32,0.287190,25.3749,26.6926,1.051929,262144,262144,262144,0,true,false,true,6014,6014,0.022942,0.579154,false,21,23,false,0.472637,0,0,1.221073,0.839950,1.243294,5542279.4,19298305.7,9.8549,8.0707,262144,3.9770,0,811008,24,24,903600,0,39,10,67600,0.488474,0.000008,0.746025,0.311895,22434755.4,47467189.4,12.3950,85.5818,18.9303,2.029346,17.616920,32,274625,274625,1.0476,8.0000,1,262144,false,1.083542,0.764293
thin_plate,65,f32,0.545819,25.3593,27.1116,1.069101,262144,262144,262144,0,true,false,true,2048,2048,0.007812,0.579154,false,21,23,false,0.526795,0,0,0.965553,0.856778,1.285081,5824841.7,10671754.6,7.6715,7.9452,262144,4.1602,0,811008,24,24,903600,0,22,8,67600,0.457898,0.000004,0.746485,0.317466,22387165.6,42496956.5,11.6120,85.4003,18.9303,1.909815,9.807181,32,274625,274625,1.0476,8.0000,1,262144,false,1.083542,0.764293
gyroid,65,f32,0.139003,25.4687,27.2083,1.068306,262144,262144,262144,0,true,false,true,21432,21432,0.081757,0.579154,false,21,23,false,0.183460,0,0,1.380015,0.880246,1.593336,6104281.9,43914838.0,8.1821,5.9290,262144,4.1702,0,811008,24,24,903600,0,23,3,67600,0.606574,0.000000,0.743279,0.315322,22619770.4,123295472.7,15.4486,86.2876,18.9303,1.421740,40.092220,32,274625,274625,1.0476,8.0000,1,262144,false,1.083542,0.764293
fbm_terrain,65,f32,0.018155,25.4371,27.2083,1.069629,262144,262144,262144,0,false,false,true,8413,8413,0.032093,0.579154,false,21,23,false,0.025099,0,0,0.950493,0.944054,1.317117,4417258.6,243308483.0,6.9225,7.2831,262144,4.1818,0,811008,24,24,903600,0,38,1,67600,0.506053,0.000000,0.744199,0.317514,22463527.4,895002383.0,12.8725,85.6916,18.9303,1.741602,221.708076,32,274625,274625,1.0476,8.0000,1,262144,false,1.083542,0.764293
noise_cavity,65,f32,0.062800,25.4371,27.2083,1.069629,262144,262144,262144,0,false,false,true,28375,28375,0.108242,0.579154,false,21,23,false,0.078401,0,0,1.229828,1.146442,1.257071,4983185.2,79350400.5,6.9261,5.6318,262144,4.1789,0,811008,24,24,903600,0,39,2,67600,0.661526,0.000000,0.744199,0.314164,22703071.0,289575152.0,16.8273,86.6053,18.9303,1.347691,72.463676,32,274625,274625,1.0476,8.0000,1,262144,false,1.083542,0.764293
sphere,65,f64,0.373832,44.6246,26.7248,0.598880,262144,262144,262144,0,true,false,true,4760,4760,0.018158,0.579154,false,21,23,false,0.592836,0,0,0.505886,0.484574,0.732450,4411337.8,11800307.5,6.0462,11.9517,262144,4.1055,0,811008,24,24,903600,0,36,13,67600,0.260643,0.000002,0.492055,0.312481,22419692.9,37817683.1,11.6311,85.5243,21.9578,2.911116,11.181780,32,274625,274625,1.0476,8.0000,1,262144,false,1.083542,0.764293
