# experiment P-104 (R-104)
# hypothesis: THE ACTIVE-CELL BITMAP IS FASTLANES' HORIZONTAL LAYOUT, THE ONE THEY MEASURE AS THE OBSTACLE, AND TWO MEASUREMENTS IN THIS REPOSITORY ALREADY BLAME THE LAYOUT. Correction the research doc gets wrong and this registration carries: dual.rs:359-381 packs ONE BIT PER SAMPLE, 64 to a u64, ALONG X ONLY, with bit_row = size[0].div_ceil(64) -- the cell row is one shorter and is handled separately by cell_words = cells_x.div_ceil(64) at dual.rs:484 and by cell_mask at dual.rs:445. The doc and experiment.rs:3192 both say '64 cells per u64' and that is wrong by one; this row is about a SAMPLE plane relayout with a documented cell/word asymmetry underneath it. Second constraint, also from the source: dual.rs:496 walks set bits in ascending x SPECIFICALLY to keep vertex creation order, so any relayout must restore that order or C3 fails by construction -- and the restore cost is a column, resort_ns_per_vertex, not a footnote. (C1) A transposed packing -- bit k being the k-th cell of a 4x4x4 block rather than the k-th x -- brings M-287's 128 cubed tax BELOW 1.5x on M-287's own fixture. (C2) active_word's fused 'any & !all' fold survives the relayout within plus or minus 20% of its instructions per cell. (C3) The emitted mesh is bit-identical. SHARE: M-287's tax is 3.37x of cycles/sample at 128 cubed, so the quantity C1 moves is the whole traversal stage on the one grid size where it is worst; C2 and C3 are cost and correctness bounds, not speedups.
# falsified by: C1 by no improvement on the M-287 fixture, which would mean the tax is genuinely the stride and x28's conclusion needs revisiting. C2 by the fold costing more than 20% extra, which would mean the relayout buys the access pattern and sells the arithmetic. C3 by the re-sort that restores vertex creation order costing more than the layout saves. VACUITY CONTROL: tax_vs_127 measured on the UNMODIFIED layout must reproduce M-287's 3.37x to within 10%, because a harness that cannot see the tax cannot measure its removal.
# commit d12dddc on amd-ryzen-9-5900x-12-core at 2026-08-29T01:10:18Z
field,resolution,layout,cycles_per_sample,tax_vs_127,instructions_per_cell,mesh_identical,resort_ns_per_vertex,c1_holds,c2_holds,c3_holds,active_cells,active_fraction,bitmap_bytes,bitmap_share_of_m287_scaffold,bitmap_words,c1_bar,c1_ceiling_at_128,c1_field,c1_tax_vs_127_interleaved,c1_vacuity_control_reproduced,c1_vacuity_control_target,c1_vacuity_control_tax,c2_cycle_ratio_fold_this_row,c2_instruction_ratio_fold,c2_instruction_ratio_fold_this_row,c2_tolerance,c3_list_matches_scalar,c3_list_matches_shipped,c3_recording_wrapper_transparent,cells,count_ones_calls_per_counted_window,cycles_per_cell_fold,cycles_per_cell_walk,cycles_per_sample_build,cycles_per_sample_build_and_fold,cycles_per_sample_ordered,ghz,instructions_per_cell_stage,instructions_per_cell_walk,instructions_per_sample,instructions_per_sample_build,l1d_read_misses_per_cell_fold,l1d_read_misses_per_sample,m287_cycles_per_sample_padded,m287_cycles_per_sample_unpadded,m287_l1d_misses_per_sample_padded,m287_l1d_misses_per_sample_unpadded,m287_padded_row_samples,m287_scaffold_control_reproduced,m287_scaffold_control_tax,m287_scaffold_control_tax_padded,m287_tax_vs_127_padded,m287_tax_vs_127_unpadded,ns_per_sample,reps,resort_cycles_per_vertex,resort_instructions_per_vertex,samples,target_feature_popcnt,tax_vs_127_instructions,tax_vs_127_l1d_misses,tax_vs_127_ns,values_plane_bytes,values_row_bytes,values_row_samples
sphere,64,along_x,1.874078,1.0011,1.652465,true,0.002848,vacuous,false,true,4730,0.01891644,32768,0.090795,4096,1.5,1.00010,sphere_surface_free,1.0138,false,3.37,1.0173,2.3499,1.8054,1.9166,0.2,true,true,true,250047,0,0.308142,0.063944,1.519162,1.813085,1.878029,4.1769,10.371403,0.225918,9.892800,8.101097,0.000761,0.069729,15.303751,20.640777,1.466897,1.575350,65,false,5.8267,1.1301,0.9211,1.2349,0.448675,5,0.218967,0.000000,262144,false,1.0261,1.0015,1.0026,16384,256,64
sphere,64,interleaved,3.088934,1.0018,3.167085,true,2.601955,vacuous,false,true,4730,0.01891644,32768,0.149652,4096,1.5,1.00026,sphere_surface_free,1.0138,false,3.37,1.0173,2.3499,1.8054,1.9166,0.2,true,true,true,250047,0,0.724115,0.078705,2.323161,3.013860,3.284464,4.1821,17.899807,0.234264,17.073796,13.829407,0.000711,0.076568,15.303751,20.640777,1.466897,1.575350,65,false,5.8267,1.1301,0.9211,1.2349,0.738604,5,10.836601,47.598097,262144,false,1.0048,0.9577,1.0020,16384,256,64
sphere,127,along_x,1.871979,1.0000,1.706744,true,0.000000,vacuous,false,true,18752,0.00937424,258064,0.111996,32258,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0353,1.8054,1.8337,0.2,true,true,true,2000376,0,0.354150,0.040680,1.486402,1.832252,1.868799,4.1833,9.872790,0.087823,9.641406,7.888898,0.002127,0.069625,16.614679,16.714696,1.500524,1.499778,127,false,5.8267,1.1301,1.0000,1.0000,0.447494,5,0.000000,0.000000,2048383,false,1.0000,1.0000,1.0000,64516,508,127
sphere,127,interleaved,3.083519,1.0000,3.129693,true,2.767880,vacuous,false,true,18752,0.00937424,262144,0.184480,32768,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0353,1.8054,1.8337,0.2,true,true,true,2000376,0,0.720816,0.036547,2.343906,3.047828,3.187067,4.1832,17.400357,0.124523,16.992553,13.814604,0.002118,0.079950,16.614679,16.714696,1.500524,1.499778,127,false,5.8267,1.1301,1.0000,1.0000,0.737124,5,11.311083,51.011625,2048383,false,1.0000,1.0000,1.0000,64516,508,127
sphere,128,along_x,1.871415,0.9997,1.693305,true,0.000000,vacuous,false,true,19010,0.00928049,262144,0.013814,32768,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.0252,1.8054,1.8054,0.2,true,true,true,2048383,0,0.347641,0.042057,1.490779,1.830335,1.866439,4.1641,9.881789,0.086874,9.651989,7.913208,0.001975,0.069553,19.149627,135.475250,1.536052,6.313110,129,false,5.8267,1.1301,1.1526,8.1052,0.449411,5,0.000000,0.000000,2097152,false,1.0011,0.9990,1.0043,65536,512,128
sphere,128,interleaved,3.265978,1.0592,3.057022,true,2.379651,vacuous,false,true,19010,0.00928049,262144,0.024108,32768,1.5,1.00135,sphere_surface_free,1.0138,false,3.37,1.0173,2.0252,1.8054,1.8054,0.2,true,true,true,2048383,0,0.704056,0.037105,2.542053,3.229736,3.366799,4.1722,17.300175,0.122983,16.897862,13.791807,0.002554,0.102009,19.149627,135.475250,1.536052,6.313110,129,false,5.8267,1.1301,1.1526,8.1052,0.782799,5,11.122444,50.983009,2097152,false,0.9944,1.2759,1.0620,65536,512,128
sphere,129,along_x,1.980967,1.0582,1.781632,true,0.000000,vacuous,false,true,19232,0.00917053,399384,0.118169,49923,1.5,1.00654,sphere_surface_free,1.0138,false,3.37,1.0173,1.7470,1.8054,1.6881,0.2,true,true,true,2097152,0,0.399695,0.040649,1.550784,1.941256,1.976342,4.1830,10.352496,0.085703,10.113602,8.289357,0.003035,0.072406,16.858092,16.763914,1.522998,1.522219,129,false,5.8267,1.1301,1.0147,1.0029,0.473579,5,0.000000,0.000000,2146689,false,1.0490,1.0399,1.0583,66564,516,129
sphere,129,interleaved,3.083133,0.9999,3.007600,true,2.946161,vacuous,false,true,19232,0.00917053,287496,0.183915,35937,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,1.7470,1.8054,1.6881,0.2,true,true,true,2097152,0,0.698255,0.028375,2.373271,3.055413,3.190492,4.1847,17.300419,0.120749,16.901195,13.845036,0.001656,0.084068,16.858092,16.763914,1.522998,1.522219,129,false,5.8267,1.1301,1.0147,1.0029,0.736770,5,11.983524,50.978585,2146689,false,0.9946,1.0515,0.9995,66564,516,129
torus,64,along_x,1.862715,1.0000,1.652465,true,0.014183,vacuous,false,true,4352,0.01740473,32768,0.072825,4096,1.5,1.00000,sphere_surface_free,1.0138,false,3.37,1.0173,2.3269,1.8054,1.9166,0.2,true,true,true,250047,0,0.306423,0.051472,1.521336,1.813618,1.863136,4.1843,10.346430,0.200930,9.868980,8.101112,0.000554,0.069667,20.369797,25.577985,1.468567,1.524970,65,false,5.8267,1.1301,0.9406,1.1798,0.445173,5,0.025339,0.000000,262144,false,1.0255,1.0025,0.9995,16384,256,64
torus,64,interleaved,3.096318,1.0010,3.167085,true,2.489108,vacuous,false,true,4352,0.01740473,32768,0.121054,4096,1.5,1.00012,sphere_surface_free,1.0138,false,3.37,1.0173,2.3269,1.8054,1.9166,0.2,true,true,true,250047,0,0.713000,0.080873,2.339079,3.019177,3.272151,4.1795,17.883374,0.217815,17.058121,13.829422,0.000684,0.074785,20.369797,25.577985,1.468567,1.524970,65,false,5.8267,1.1301,0.9406,1.1798,0.740833,5,10.591372,48.276195,262144,false,1.0044,0.9473,1.0015,16384,256,64
