# experiment P-105 (R-105)
# hypothesis: M-349 ESTABLISHED THAT THE BITMAP'S CLAIM WAS ALWAYS A COUNT, SO THE COUNT IS THE QUANTITY THAT MATTERS -- AND NOTHING IN THE SHIPPED CRATE POPCOUNTS THE BITMAP TODAY. dual.rs's five consumers read whole words, fold four rows, or walk set bits (dual.rs:385, :395, :424, :490); there is no counting pass at all. So C1's denominator is a bench-local naive count and this row measures a stage the crate would have to ADD, which is stated here rather than discovered later. Harley-Seal carry-save addition turns n popcounts into about n/8 using only AND, XOR and OR -- safe scalar, no intrinsics -- and it is the reduction half of the AVX2 popcount paper rather than its kernels. (C1) At least 2x on the counting pass over a 64 cubed chunk's bitmap against iter().map(count_ones).sum(). (C2) The count is BIT-EXACT on every fixture: an equality, not a ratio, which is M-349's discipline. (C3) The advantage is monotone non-decreasing in the word count across 16 cubed, 32 cubed, 64 cubed and 128 cubed. SHARE: the counting pass only, and it is a stage that does not exist yet -- so this row prices a mechanism and does not claim a share of extraction. C1's 2x is against a named bench-local baseline, which is why it is legitimate to state as a ratio.
# falsified by: C1 by under 2x at 64 cubed. C2 by one count differing by a single bit, which is the falsifier that matters because a faster wrong count is worthless. C3 by a non-monotone ratio across the four word counts, which would mean the win is a fixture size rather than a mechanism. VACUITY CONTROL: control_counts_differ -- the same comparison against a copy with one bit deliberately flipped -- must be 1 on every row, or C2's equality is being asserted by an instrument that cannot see inequality.
# commit beebe8f on amd-ryzen-9-5900x-12-core at 2026-08-29T00:09:21Z
field,resolution,words,count_naive,count_harley_seal,counts_equal,ns_per_word_naive,ns_per_word_hs,ratio,instructions_per_word_naive,instructions_per_word_hs,control_counts_differ,c1_holds,c2_holds,c3_holds,active_cells,active_fraction,advantage_exists,bit_row,bitmap_bytes,c1_deciding_ratio,c1_deciding_resolution,c1_disagreement,c1_verdict,c2_verdict,c3_noise_span,c3_steps_separated,c3_trend_span,c3_vacuous,c3_verdict,cell_words,cells,control_delta,count_ones_in_dual_rs,cycles_per_word_hs,cycles_per_word_naive,ghz,ghz_hs,ghz_naive,instruction_ratio,ipc_hs,ipc_naive,monotone_step_holds,ns_ratio,ratio_max,ratio_min,ratio_spread,reps,samples_per_axis,scalar,tail_lengths_checked,tail_mismatches,target_feature_popcnt,windows_per_arm
sphere,16,256,272,272,1,0.471340,0.679296,0.697526,8.8711,9.5040,1,0,1,0,272,0.066406,0,1,2048,1.039316,64,0,FALSIFIED,HELD,0.381687,0,0.341790,1,VACUOUS,1,4096,1,0,2.8255,1.9708,4.1684,4.1594,4.1813,0.933416,3.3637,4.5012,1,0.693865,1.058850,0.677163,0.381687,65536,17,f64,65,0,0,5
sphere,32,1024,1160,1160,1,0.442107,0.430421,1.027021,8.7803,9.1729,1,0,1,0,1160,0.035400,1,1,8192,1.039316,64,0,FALSIFIED,HELD,0.381687,0,0.341790,1,VACUOUS,1,32768,1,0,1.8005,1.8492,4.1830,4.1832,4.1827,0.957202,5.0945,4.7482,1,1.027149,1.038688,1.025959,0.012729,16384,33,f64,65,0,0,5
sphere,64,4096,4760,4760,1,0.444698,0.427422,1.039316,8.7576,9.0901,1,0,1,0,4760,0.018158,1,2,32768,1.039316,64,0,FALSIFIED,HELD,0.381687,0,0.341790,1,VACUOUS,1,262144,1,0,1.7883,1.8586,4.1817,4.1840,4.1795,0.963420,5.0831,4.7119,1,1.040420,1.042550,1.037460,0.005090,4096,65,f64,65,0,0,5
sphere,128,32768,19232,19232,1,0.441583,0.427503,1.033277,8.7510,9.0660,1,0,1,0,19232,0.009171,1,3,262144,1.039316,64,0,FALSIFIED,HELD,0.381687,0,0.341790,1,VACUOUS,2,2097152,1,0,1.7876,1.8471,4.1822,4.1815,4.1829,0.965255,5.0715,4.7377,0,1.032935,1.036053,1.029238,0.006815,512,129,f64,65,0,0,5
torus,16,256,328,328,1,0.461746,0.445915,1.033936,8.8711,9.5040,1,0,1,0,328,0.080078,1,1,2048,1.012089,64,0,FALSIFIED,HELD,0.085949,0,0.021846,1,VACUOUS,1,4096,1,0,1.8644,1.9276,4.1778,4.1810,4.1747,0.933416,5.0977,4.6021,1,1.035501,1.038809,1.028631,0.010178,65536,17,f64,65,0,0,5
torus,32,1024,1128,1128,1,0.441831,0.427344,1.033206,8.7803,9.1729,1,0,1,0,1128,0.034424,1,1,8192,1.012089,64,0,FALSIFIED,HELD,0.085949,0,0.021846,1,VACUOUS,1,32768,1,0,1.7879,1.8473,4.1824,4.1838,4.1810,0.957202,5.1305,4.7531,0,1.033899,1.097377,1.011428,0.085949,16384,33,f64,65,0,0,5
torus,64,4096,4208,4208,1,0.435453,0.429650,1.012089,8.7576,9.0901,1,0,1,0,4208,0.016052,1,2,32768,1.012089,64,0,FALSIFIED,HELD,0.085949,0,0.021846,1,VACUOUS,1,262144,1,0,1.7985,1.8203,4.1831,4.1861,4.1802,0.963420,5.0542,4.8111,0,1.013507,1.017941,1.010198,0.007743,4096,65,f64,65,0,0,5
torus,128,32768,17432,17432,1,0.440154,0.429510,1.024441,8.7510,9.0660,1,0,1,0,17432,0.008312,1,3,262144,1.012089,64,0,FALSIFIED,HELD,0.085949,0,0.021846,1,VACUOUS,2,2097152,1,0,1.7982,1.8421,4.1859,4.1866,4.1852,0.965255,5.0417,4.7505,1,1.024781,1.026111,1.023859,0.002252,512,129,f64,65,0,0,5
box_exact,16,256,296,296,1,0.458597,0.453682,1.009483,8.8711,9.5040,1,0,1,0,296,0.072266,1,1,2048,1.022979,64,0,FALSIFIED,HELD,0.008606,1,0.029351,0,FALSIFIED,1,4096,1,0,1.8992,1.9172,4.1833,4.1861,4.1806,0.933416,5.0042,4.6272,1,1.010832,1.012791,1.004185,0.008606,65536,17,f64,65,0,0,5
box_exact,32,1024,1352,1352,1,0.448281,0.431527,1.038835,8.7803,9.1729,1,0,1,0,1352,0.041260,1,1,8192,1.022979,64,0,FALSIFIED,HELD,0.008606,1,0.029351,0,FALSIFIED,1,32768,1,0,1.8064,1.8766,4.1861,4.1861,4.1861,0.957202,5.0780,4.6789,1,1.038823,1.041308,1.038399,0.002909,16384,33,f64,65,0,0,5
box_exact,64,4096,5768,5768,1,0.439120,0.429483,1.022979,8.7576,9.0901,1,0,1,0,5768,0.022003,1,2,32768,1.022979,64,0,FALSIFIED,HELD,0.008606,1,0.029351,0,FALSIFIED,1,262144,1,0,1.7975,1.8388,4.1863,4.1852,4.1874,0.963420,5.0572,4.7627,0,1.022437,1.023793,1.017597,0.006196,4096,65,f64,65,0,0,5
box_exact,128,32768,23816,23816,1,0.437138,0.432140,1.011367,8.7510,9.0660,1,0,1,0,23816,0.011356,1,3,262144,1.022979,64,0,FALSIFIED,HELD,0.008606,1,0.029351,0,FALSIFIED,2,2097152,1,0,1.8089,1.8295,4.1855,4.1859,4.1851,0.965255,5.0119,4.7834,0,1.011567,1.012175,1.010869,0.001307,512,129,f64,65,0,0,5
csg_difference,16,256,296,296,1,0.456081,0.453554,1.005459,8.8711,9.5040,1,0,1,0,296,0.072266,1,1,2048,1.008912,64,0,FALSIFIED,HELD,0.011997,0,0.015546,1,VACUOUS,1,4096,1,0,1.8991,1.9095,4.1870,4.1872,4.1867,0.933416,5.0044,4.6458,1,1.005571,1.007062,1.004393,0.002669,65536,17,f64,65,0,0,5
csg_difference,32,1024,1388,1388,1,0.439794,0.434471,1.011901,8.7803,9.1729,1,0,1,0,1388,0.042358,1,1,8192,1.008912,64,0,FALSIFIED,HELD,0.011997,0,0.015546,1,VACUOUS,1,32768,1,0,1.8190,1.8407,4.1860,4.1867,4.1853,0.957202,5.0428,4.7702,1,1.012254,1.012669,1.011489,0.001180,16384,33,f64,65,0,0,5
csg_difference,64,4096,6014,6014,1,0.433891,0.430037,1.008912,8.7576,9.0901,1,0,1,0,6014,0.022942,1,2,32768,1.008912,64,0,FALSIFIED,HELD,0.011997,0,0.015546,1,VACUOUS,1,262144,1,0,1.8006,1.8166,4.1869,4.1870,4.1868,0.963420,5.0484,4.8208,0,1.008962,1.012879,1.000882,0.011997,4096,65,f64,65,0,0,5
csg_difference,128,32768,24920,24920,1,0.439454,0.430394,1.021004,8.7510,9.0660,1,0,1,0,24920,0.011883,1,3,262144,1.008912,64,0,FALSIFIED,HELD,0.011997,0,0.015546,1,VACUOUS,2,2097152,1,0,1.8010,1.8389,4.1845,4.1846,4.1844,0.965255,5.0338,4.7589,1,1.021052,1.026090,1.020270,0.005820,512,129,f64,65,0,0,5
thin_plate,16,256,128,128,1,0.458568,0.698643,0.659020,8.8711,9.5040,1,0,1,0,128,0.031250,0,1,2048,1.039764,64,0,FALSIFIED,HELD,0.355203,0,0.380744,1,VACUOUS,1,4096,1,0,2.9116,1.9188,4.1741,4.1675,4.1843,0.933416,3.2642,4.6233,1,0.656369,1.010327,0.655124,0.355203,65536,17,f64,65,0,0,5
thin_plate,32,1024,512,512,1,0.688000,0.680721,1.010404,8.7803,9.1729,1,0,1,0,512,0.015625,1,1,8192,1.039764,64,0,FALSIFIED,HELD,0.355203,0,0.380744,1,VACUOUS,1,32768,1,0,2.8419,2.8715,4.1742,4.1748,4.1737,0.957202,3.2277,3.0578,1,1.010692,1.308862,1.000555,0.308307,16384,33,f64,65,0,0,5
thin_plate,64,4096,2048,2048,1,0.446120,0.429028,1.039764,8.7576,9.0901,1,0,1,0,2048,0.007812,1,2,32768,1.039764,64,0,FALSIFIED,HELD,0.355203,0,0.380744,1,VACUOUS,1,262144,1,0,1.7941,1.8654,4.1815,4.1817,4.1814,0.963420,5.0668,4.6948,1,1.039838,1.041557,1.037123,0.004434,4096,65,f64,65,0,0,5
thin_plate,128,32768,8192,8192,1,0.442105,0.425468,1.038676,8.7510,9.0660,1,0,1,0,8192,0.003906,1,3,262144,1.039764,64,0,FALSIFIED,HELD,0.355203,0,0.380744,1,VACUOUS,2,2097152,1,0,1.7791,1.8479,4.1805,4.1814,4.1797,0.965255,5.0960,4.7357,0,1.039103,1.042200,1.004904,0.037295,512,129,f64,65,0,0,5
gyroid,16,256,1214,1214,1,0.459813,0.442400,1.039670,8.8711,9.5040,1,0,1,0,1214,0.296387,1,1,2048,1.035199,64,0,FALSIFIED,HELD,0.043437,0,0.019872,1,VACUOUS,1,4096,1,0,1.8492,1.9225,4.1805,4.1798,4.1811,0.933416,5.1396,4.6144,1,1.039360,1.043848,1.035005,0.008843,65536,17,f64,65,0,0,5
gyroid,32,1024,5240,5240,1,0.441612,0.427022,1.034733,8.7803,9.1729,1,0,1,0,5240,0.159912,1,1,8192,1.035199,64,0,FALSIFIED,HELD,0.043437,0,0.019872,1,VACUOUS,1,32768,1,0,1.7854,1.8474,4.1821,4.1810,4.1833,0.957202,5.1378,4.7529,0,1.034167,1.039492,1.024420,0.015072,16384,33,f64,65,0,0,5
gyroid,64,4096,21432,21432,1,0.444570,0.429665,1.035199,8.7576,9.0901,1,0,1,0,21432,0.081757,1,2,32768,1.035199,64,0,FALSIFIED,HELD,0.043437,0,0.019872,1,VACUOUS,1,262144,1,0,1.7959,1.8591,4.1808,4.1798,4.1818,0.963420,5.0616,4.7106,1,1.034691,1.051070,1.033274,0.017796,4096,65,f64,65,0,0,5
gyroid,128,32768,86580,86580,1,0.439926,0.432082,1.019799,8.7510,9.0660,1,0,1,0,86580,0.041285,1,3,262144,1.035199,64,0,FALSIFIED,HELD,0.043437,0,0.019872,1,VACUOUS,2,2097152,1,0,1.8052,1.8409,4.1812,4.1778,4.1845,0.965255,5.0223,4.7537,0,1.018154,1.056106,1.012669,0.043437,512,129,f64,65,0,0,5
fbm_terrain,16,256,470,470,1,0.457817,0.453817,1.008724,8.8711,9.5040,1,0,1,0,470,0.114746,0,1,2048,1.021639,64,0,FALSIFIED,HELD,0.623962,0,0.025024,1,VACUOUS,1,4096,1,0,1.8992,1.9157,4.1847,4.1849,4.1845,0.933416,5.0043,4.6306,1,1.008814,1.009034,0.951017,0.058016,65536,17,f64,65,0,0,5
fbm_terrain,32,1024,1958,1958,1,0.440498,0.437118,1.012229,8.7803,9.1729,1,0,1,0,1958,0.059753,0,1,8192,1.021639,64,0,FALSIFIED,HELD,0.623962,0,0.025024,1,VACUOUS,1,32768,1,0,1.8192,1.8414,4.1710,4.1617,4.1803,0.957202,5.0424,4.7683,1,1.007733,1.257779,0.979364,0.278415,16384,33,f64,65,0,0,5
fbm_terrain,64,4096,8413,8413,1,0.442971,0.433920,1.021639,8.7576,9.0901,1,0,1,0,8413,0.032093,1,2,32768,1.021639,64,0,FALSIFIED,HELD,0.623962,0,0.025024,1,VACUOUS,1,262144,1,0,1.8155,1.8548,4.1857,4.1841,4.1873,0.963420,5.0068,4.7215,1,1.020859,1.021814,1.019492,0.002322,4096,65,f64,65,0,0,5
fbm_terrain,128,32768,34540,34540,1,0.434182,0.434822,0.996616,8.7510,9.0660,1,0,1,0,34540,0.016470,0,3,262144,1.021639,64,0,FALSIFIED,HELD,0.623962,0,0.025024,1,VACUOUS,2,2097152,1,0,1.8127,1.8066,4.1649,4.1689,4.1609,0.965255,5.0013,4.8440,0,0.998528,1.385067,0.761105,0.623962,512,129,f64,65,0,0,5
noise_cavity,16,256,1123,1123,1,0.513199,0.478453,1.070207,8.8711,9.5040,1,0,1,0,1123,0.274170,0,1,2048,0.865097,64,0,FALSIFIED,HELD,0.382109,0,0.205110,1,VACUOUS,1,4096,1,0,2.0015,2.1420,4.1783,4.1832,4.1738,0.933416,4.7485,4.1416,1,1.072622,1.082311,0.892973,0.189337,65536,17,f64,65,0,0,5
noise_cavity,32,1024,6176,6176,1,0.440304,0.434452,1.011999,8.7803,9.1729,1,0,1,0,6176,0.188477,1,1,8192,0.865097,64,0,FALSIFIED,HELD,0.382109,0,0.205110,1,VACUOUS,1,32768,1,0,1.8189,1.8407,4.1836,4.1867,4.1806,0.957202,5.0431,4.7700,0,1.013469,1.013502,1.011744,0.001758,16384,33,f64,65,0,0,5
noise_cavity,64,4096,28375,28375,1,0.446657,0.515061,0.865097,8.7576,9.0901,1,0,1,0,28375,0.108242,0,2,32768,0.865097,64,0,FALSIFIED,HELD,0.382109,0,0.205110,1,VACUOUS,1,262144,1,0,2.1459,1.8564,4.1616,4.1663,4.1562,0.963420,4.2361,4.7175,0,0.867194,1.247206,0.865097,0.382109,4096,65,f64,65,0,0,5
noise_cavity,128,32768,118885,118885,1,0.431829,0.422280,1.021786,8.7510,9.0660,1,0,1,0,118885,0.056689,1,3,262144,0.865097,64,0,FALSIFIED,HELD,0.382109,0,0.205110,1,VACUOUS,2,2097152,1,0,1.7661,1.8046,4.1806,4.1824,4.1790,0.965255,5.1333,4.8493,1,1.022615,1.032182,1.021059,0.011123,512,129,f64,65,0,0,5
