# experiment P-107 (R-107)
# hypothesis: FLYING EDGES SPENDS A PREFIX-SUM PASS TO TURN PER-ROW COUNTS INTO OUTPUT OFFSETS; A TWO-LEVEL RANK DIRECTORY MAKES THE OFFSET A LOOKUP INSTEAD OF A PASS. The bound available BEFORE the harness, and it is why C1 is checked first: M-135's stage breakdown (docs/measurements/stage_breakdown.csv, columns contour_ms, normals_ms, weld_ms, collider_ms, mean shares 29.0 / 0.4 / 25.5 / 45.0) puts the whole CONTOUR stage at 29%, and the offset work is a fraction of that -- so 5% is reachable but not comfortably. And x54 measured the GPU scan at 4.37% of gpu_total_ms with upload at 87.50%, which is the same quantity on the other path and is BELOW this clause's bar. The GPU figure is not the CPU figure: on the GPU the scan competes with a PCIe upload that dominates the frame, while on the CPU there is no upload at all and the offsets compete only with sampling, interpolation and the emit path -- so the CPU share could legitimately be several times larger, and could equally be smaller because the CPU scan is a sequential add rather than a multi-pass ladder. That is exactly why it is measured rather than inherited. (C1) The offset/compaction stage is at least 5% of CPU extraction, checked first. (C2) A two-level rank directory answers the slot query in O(1) at no more than 3.51% space overhead -- pasta's figure, cross-confirmed in two of the acquired papers -- which is about 1.1 KiB on a 64 cubed chunk's 32 KiB bitmap. (C3) The directory's answers equal the prefix sum's on EVERY cell. SHARE: C1 is the share and it gates the row; if the offset stage is under 5% this is Amdahl-dead the way x51 was, and saying so cheaply is the row's value.
# falsified by: C1 by the offset stage measuring under 5% of extraction, which makes this Amdahl-dead the way x51 was and closes the row before C2 is built. C2 by overhead above 3.51% or by a query that is not O(1) in the bitmap size. C3 by one cell's slot differing from the prefix sum's. VACUITY CONTROL: slots_equal must equal active_cells on every row, and a directory built one level short must give short_directory_mismatches greater than zero, or C3 is an equality between two names for the same computation.
# commit dd8ef7f on amd-ryzen-9-5900x-12-core at 2026-08-29T00:26:48Z
field,resolution,offset_share,directory_bytes,bitmap_bytes,overhead_fraction,slots_equal,active_cells,short_directory_mismatches,ns_per_query_rank,ns_per_query_scan,c1_holds,c2_holds,c3_holds,active_fraction,bitmap_matches_scalar,bitmap_words,c1_holds_dc,c1_holds_instructions,cell_words_per_row,cells,cells_checked,count_ones_per_query_rank,count_ones_per_query_scan,crate_edge_table_bytes,cycles_extract_dc,cycles_extract_mc,cycles_offset,cycles_offset_prepare,cycles_offset_scan,directory_total_equals_popcount,ghz,inner_extract,inner_offset,inner_query,instructions_extract_mc,instructions_offset,instructions_per_query_rank,instructions_per_query_scan,instructions_per_query_sequential,max_words_scanned_rank,max_words_scanned_scan,ns_per_query_sequential,offset_share_dc,offset_share_instructions,offset_share_scan_only,pad_bits_set,query_ratio_instructions,query_ratio_ns,rank_equal_all_bits,sample_bit_row,slot_table_bytes,target_feature_popcnt
sphere,33,0.009714,264,8192,0.032227,1160,1160,47104,5.9043,257.3026,false,true,true,0.035400,true,1024,false,false,1,32768,65536,4.566,507.836,431244,5192860.0,1177605.6,11438.9,4368.7,7070.2,true,4.1834,71,5666,1314,4926659.1,39633.3,127.262,4778.381,0.990,7,1023,0.0515,0.002203,0.008045,0.006004,0,37.548,43.579,65536,1,131072,false
torus,33,0.008298,264,8192,0.032227,1128,1128,53248,5.7899,256.8374,false,true,true,0.034424,true,1024,false,false,1,32768,65536,4.566,507.836,431244,5715357.7,1368075.9,11352.3,4348.8,7003.5,true,4.1814,61,5250,1307,5034110.3,38736.3,127.262,4778.381,0.962,7,1023,0.0511,0.001986,0.007695,0.005119,0,37.548,44.359,65536,1,131072,false
box_exact,33,0.008227,264,8192,0.032227,1352,1352,47104,5.8639,257.6960,false,true,true,0.041260,true,1024,false,false,1,32768,65536,4.566,507.836,431244,3689201.8,1424493.0,11718.9,4310.6,7408.3,true,4.1804,59,6601,1347,5766468.8,42000.3,126.754,4776.389,1.062,7,1023,0.0541,0.003177,0.007284,0.005201,0,37.682,43.946,65536,1,131072,false
csg_difference,33,0.007448,264,8192,0.032227,1388,1388,47104,5.8158,269.5852,false,true,true,0.042358,true,1024,false,false,1,32768,65536,4.566,507.836,431244,4619021.7,1712325.9,12752.8,4366.0,8386.7,true,4.1678,49,5587,1329,6448225.8,42104.3,127.637,4776.389,1.065,7,1023,0.0562,0.002761,0.006530,0.004898,0,37.422,46.354,65536,1,131072,false
thin_plate,33,0.008523,264,8192,0.032227,512,512,47104,9.8998,388.7335,false,true,true,0.015625,true,1024,false,false,1,32768,65536,4.566,507.836,431244,3361861.7,2043836.7,17419.6,5721.2,11698.3,true,4.1727,41,4588,974,5370537.4,32000.4,128.492,5275.869,0.757,7,1023,0.0828,0.005182,0.005959,0.005724,0,41.060,39.267,65536,1,131072,false
gyroid,33,0.003517,264,8192,0.032227,5240,5240,59904,9.6977,398.0603,false,true,true,0.159912,true,1024,false,false,1,32768,65536,4.566,507.836,431244,47285689.7,9758928.1,34326.4,5681.6,28644.8,true,4.1602,9,1550,817,18791938.7,82738.1,128.492,5275.869,2.305,7,1023,0.2712,0.000726,0.004403,0.002935,0,41.060,41.047,65536,1,131072,false
fbm_terrain,33,0.000524,264,8192,0.032227,1958,1958,63488,10.3184,396.9593,false,true,true,0.059753,true,1024,false,false,1,32768,65536,4.566,507.836,431244,68498840.0,47789586.0,25021.5,5662.1,19359.4,true,4.1594,2,2458,854,120155906.0,49100.7,129.868,5275.869,1.247,7,1023,0.1211,0.000365,0.000409,0.000405,0,40.625,38.471,65536,1,131072,false
noise_cavity,33,0.002265,264,8192,0.032227,6176,6176,55808,10.5056,371.3279,false,true,true,0.188477,true,1024,false,false,1,32768,65536,4.566,507.836,431244,69341509.8,17099249.6,38724.7,5762.5,32962.2,true,4.1676,5,1521,823,42042478.4,90868.1,131.868,5275.869,2.553,7,1023,0.2215,0.000558,0.002161,0.001928,0,40.009,35.346,65536,1,131072,false
sphere,65,0.007545,1056,32768,0.032227,4760,4760,124416,10.3085,1430.1690,false,true,true,0.018158,true,4096,false,false,1,262144,262144,4.566,2069.836,3295500,39909183.0,15300783.8,115445.0,57027.7,58417.3,true,4.1726,6,330,863,36246518.7,187974.1,127.262,19226.969,0.498,7,4090,0.0538,0.002893,0.005186,0.003818,0,151.082,138.736,262144,2,1048576,false
torus,65,0.006742,1056,32768,0.032227,4208,4208,172032,10.1711,1406.3625,false,true,true,0.016052,true,4096,false,false,1,262144,262144,4.566,2069.836,3295500,39002325.8,16212506.5,109308.0,55597.8,53710.2,true,4.0853,4,235,938,36802758.2,179760.4,127.262,19226.970,0.467,7,4090,0.0510,0.002803,0.004884,0.003313,0,151.082,138.271,262144,2,1048576,false
