# experiment P-108 (R-108)
# hypothesis: PEXT AND PDEP ARE FORECLOSED FOR THREE INDEPENDENT REASONS, AND VIGNA'S BROADWORD SELECT IS A THIRD OPTION THAT NEEDS NEITHER THEM NOR A TABLE: multiply, shift, mask and count_ones, branchless. Two things belong on the row rather than hidden. First the honest published price of the foreclosure: Pandey, Bender and Johnson measured the PDEP-plus-TZCNT select at 2 to 4 TIMES the broadword one on Haswell, so this crate's constraint is being paid at a known rate. Second the regime: M-337's measured active fractions are 1.89% at 64 cubed, 0.93% at 128 cubed and 0.46% at 256 cubed on sphere, so a '97% zeros' fixture is not an assumption -- it is the measured regime, and the row cites it rather than positing it. The incumbent is dual.rs:489-497, 'trailing_zeros' plus 'active &= active - 1'. (C1) Broadword select beats that walk on a 97%-zero bitmap. (C2) Identical visitation order and identical emitted indices, because dual.rs:496 exists to keep vertex creation order. (C3) The advantage is reported PER SET BIT rather than per word, so words skipped entirely cannot carry the ratio. SHARE: the set-bit walk inside place_vertices only, which M-337 measured as the stage the bitmap made 5.5x faster -- so the quantity is real but small, and C3 exists to stop the ratio being inflated by the 97% of words that neither arm touches.
# falsified by: C1 by not beating the current walk on a 97%-zero bitmap, where the 2026-08-23 dossier already argued the cost is dominated by words skipped entirely -- this is a registered expected null. C2 by any difference in order or indices. C3 by a per-word ratio being quoted where a per-set-bit one was promised. VACUITY CONTROL: words_nonzero must be non-zero and set_bits must EXCEED words_nonzero on every row, or the per-set-bit denominator is one bit per word and the clause measures nothing.
# commit 9918120 on amd-ryzen-9-5900x-12-core at 2026-08-29T00:27:23Z
field,resolution,active_fraction,set_bits,words,words_nonzero,ns_per_set_bit_walk,ns_per_set_bit_select,ratio,order_identical,c1_holds,c2_holds,c3_holds,bitmap_words,branch_misses_per_set_bit_select,branch_misses_per_set_bit_walk,c1_ceiling,c1_holds_cycles,cells,count_ones_per_set_bit_select,count_ones_per_set_bit_select_broadword,count_ones_per_set_bit_select_literal,count_ones_per_set_bit_walk,count_ones_price_readable,count_ones_price_share,cycle_marginal_valid,cycle_ratio,cycles_per_count_ones,cycles_per_set_bit_select,cycles_per_set_bit_select_broadword,cycles_per_set_bit_select_literal,cycles_per_set_bit_walk,cycles_per_word_scan,extra_cycles_per_set_bit_select,extra_instructions_per_set_bit_select,extraction_cycles_per_cell,ghz,inner,instruction_ratio,instructions_per_count_ones,instructions_per_set_bit_select,instructions_per_set_bit_select_broadword,instructions_per_set_bit_select_literal,instructions_per_set_bit_walk,instructions_per_word_scan,ns_per_set_bit_select_broadword,ns_per_set_bit_select_literal,ns_per_set_bit_select_whole_pass,ns_per_set_bit_walk_whole_pass,published_pdep_penalty,scalar,scan_share_of_walk_pass,select_ranks_verified,select_variant,set_bits_per_nonzero_word,target_feature_popcnt,walk_share_of_extraction,whole_pass_ratio
sphere,65,0.018158,4760,4096,856,0.9659,5.3426,0.1808,true,false,true,true,8450,0.03727,0.03681,1.000846,false,262144,0,0,1.1798,0,true,0.0545,true,0.1808,11.2545,22.3828,22.3828,26.7127,4.0468,27.9818,18.3360,50.0303,86.9821,4.1893,888,0.2746,30.5689,68.9674,68.9674,85.6885,18.9372,117.1116,5.3426,6.3778,11.0903,6.7136,2x-4x,f32,0.8561,149083,broadword,5.5607,false,0.000845,0.6054
torus,65,0.016052,4208,4096,408,0.9573,4.9825,0.1921,true,false,true,true,8450,0.02845,0.02726,1.000733,false,262144,0,0,1.0970,0,false,0.0354,true,0.1941,8.0476,20.8859,20.8859,24.6716,4.0541,28.2371,16.8318,52.8384,88.8141,4.1864,922,0.2583,41.2353,71.2403,71.2403,85.2403,18.4019,116.0957,4.9825,5.8869,11.5590,7.5338,2x-4x,f32,0.8715,149083,broadword,10.3137,false,0.000733,0.6518
box_exact,65,0.022003,5768,4096,1024,0.8442,5.8070,0.1454,true,false,true,true,8450,0.01181,0.01179,1.001023,false,262144,0,0,1.1775,0,true,0.0626,true,0.1453,6.5460,24.3064,24.3064,27.4863,3.5305,28.2069,20.7759,52.2426,76.0486,4.1857,907,0.2629,29.0615,70.8783,70.8783,84.8894,18.6357,116.0957,5.8070,6.5680,10.5917,5.6289,2x-4x,f32,0.8502,149083,broadword,5.6328,false,0.001021,0.5314
csg_difference,65,0.022942,6014,4096,1024,1.0189,5.2667,0.1935,true,false,true,true,8450,0.01819,0.01831,1.001057,false,262144,0,0,1.1703,0,true,0.0626,true,0.1933,7.8801,22.0433,22.0433,25.8436,4.2612,27.9316,17.7820,55.0243,92.5688,4.1860,880,0.2433,29.0605,72.7177,72.7177,86.8879,17.6934,116.0962,5.2667,6.1720,9.8103,5.5625,2x-4x,f32,0.8170,149083,broadword,5.8730,false,0.001056,0.5670
thin_plate,65,0.007812,2048,4096,64,2.0671,5.5154,0.3748,true,false,true,true,8450,0.01879,0.02082,1.001464,false,262144,0,0,1.0312,0,false,0.0202,true,0.3722,109.8619,23.0857,23.0857,28.6828,8.5919,27.6245,14.4939,57.0313,45.9271,4.1824,986,0.3162,149.9687,83.4063,83.4063,97.4375,26.3750,116.0962,5.5154,6.8495,18.7124,15.2641,2x-4x,f32,0.8654,149083,broadword,32.0000,false,0.001462,0.8157
gyroid,65,0.081757,21432,4096,2276,1.1108,4.7619,0.2333,true,false,true,true,8450,0.06253,0.05969,1.000747,false,262144,0,0,1.1062,0,true,0.1179,true,0.2331,7.8752,19.9355,19.9355,24.3236,4.6465,27.2314,15.2890,50.4601,509.0583,4.1859,521,0.2158,24.6265,64.3498,64.3498,78.4560,13.8897,116.0964,4.7619,5.8107,6.0045,2.3533,2x-4x,f32,0.5283,149083,broadword,9.4165,false,0.000746,0.3919
fbm_terrain,65,0.032093,8413,4096,583,1.3115,4.7544,0.2758,true,false,true,true,8450,0.05039,0.05070,1.000151,false,262144,0,0,1.0693,0,false,0.0431,true,0.2758,15.3059,19.9006,19.9006,23.7253,5.4889,27.9351,14.4116,50.7211,1165.9324,4.1885,776,0.2376,35.1578,66.5289,66.5289,80.5982,15.8078,116.0962,4.7544,5.6617,8.0005,4.5576,2x-4x,f32,0.7125,149083,broadword,14.4305,false,0.000151,0.5697
noise_cavity,65,0.108242,28375,4096,1884,1.0013,4.4172,0.2267,true,false,true,true,8450,0.05909,0.05894,1.000500,false,262144,0,0,1.0664,0,true,0.1023,true,0.2266,6.9855,18.4904,18.4904,22.3992,4.1898,28.0479,14.3006,48.9128,907.3431,4.1872,496,0.2108,25.3811,61.9779,61.9779,76.0443,13.0650,114.0651,4.4172,5.3478,5.3834,1.9676,2x-4x,f32,0.4914,149083,broadword,15.0610,false,0.000500,0.3655
sphere,129,0.009171,19232,32768,6664,1.0201,6.5392,0.1560,true,false,true,true,49923,0.05753,0.05619,1.000698,false,2097152,0,0,1.3465,0,false,0.0464,true,0.1551,4.4723,27.3297,27.3297,31.7420,4.2398,27.6993,23.0899,56.0079,55.7059,4.1829,125,0.2844,25.9170,78.2665,78.2665,98.3780,22.2586,113.5278,6.5392,7.5969,17.8154,12.2963,2x-4x,f32,0.9176,149083,broadword,2.8860,false,0.000698,0.6902
torus,129,0.008312,17432,32768,3224,1.0384,5.8960,0.1761,true,false,true,true,49923,0.03568,0.03515,1.000582,false,2097152,0,0,1.1849,0,false,0.0272,true,0.1752,9.2033,24.6522,24.6522,28.9798,4.3203,27.3576,20.3319,58.0941,61.7460,4.1863,126,0.2517,31.2035,77.6349,77.6349,91.6349,19.5408,113.0239,5.8960,6.9266,18.1741,13.3164,2x-4x,f32,0.9225,149083,broadword,5.4069,false,0.000582,0.7327
box_exact,129,0.011356,23816,32768,8192,0.7565,6.8031,0.1112,true,false,true,true,49923,0.00842,0.00831,1.000629,false,2097152,0,0,1.3440,0,true,0.0553,true,0.1110,4.5927,28.4007,28.4007,30.0542,3.1529,27.7837,25.2477,58.8280,56.9196,4.1838,127,0.2532,25.0155,78.7717,78.7717,92.7770,19.9437,113.0239,6.8031,7.1923,15.9371,9.8906,2x-4x,f32,0.9238,149083,broadword,2.9072,false,0.000629,0.6206
csg_difference,129,0.011883,24920,32768,7603,1.0882,6.3735,0.1707,true,false,true,true,49923,0.01958,0.01923,1.000805,false,2097152,0,0,1.3051,0,true,0.0520,true,0.1704,7.0425,26.6630,26.6630,30.0619,4.5436,27.3166,22.1193,60.6704,67.1543,4.1866,124,0.2368,25.3264,79.4916,79.4916,93.7967,18.8211,113.0239,6.3735,7.1841,14.9502,9.6649,2x-4x,f32,0.8877,149083,broadword,3.2777,false,0.000804,0.6465
thin_plate,129,0.003906,8192,32768,256,2.2890,6.7555,0.3388,true,false,true,true,49923,0.01572,0.02128,1.000927,false,2097152,0,0,1.0312,0,false,0.0103,true,0.3396,146.7591,28.2162,28.2162,29.7647,9.5829,27.3163,18.6333,61.0313,40.4034,4.1835,134,0.3165,149.4921,89.2969,89.2969,103.3281,28.2656,113.0239,6.7555,7.1272,32.8755,28.4090,2x-4x,f32,0.9194,149083,broadword,32.0000,false,0.000926,0.8641
gyroid,129,0.041285,86580,32768,16979,1.5650,5.5525,0.2818,true,false,true,true,49923,0.13109,0.13101,1.000924,false,2097152,0,0,1.1961,0,true,0.1052,true,0.2820,4.7590,23.2170,23.2170,27.5811,6.5463,27.5875,16.6707,53.7962,292.6866,4.1823,82,0.2124,22.9373,68.3010,68.3010,82.4971,14.5048,113.0240,5.5525,6.5930,8.0493,4.0618,2x-4x,f32,0.6146,149083,broadword,5.0992,false,0.000923,0.5046
fbm_terrain,129,0.016470,34540,32768,3532,1.5200,5.3771,0.2827,true,false,true,true,49923,0.07334,0.07378,1.000103,false,2097152,0,0,1.1023,0,false,0.0289,true,0.2817,13.2300,22.4950,22.4950,26.0547,6.3368,27.3297,16.1583,52.6950,1011.9190,4.1816,112,0.2366,30.3131,69.0270,69.0270,83.1292,16.3320,113.0240,5.3771,6.2344,11.5728,7.7158,2x-4x,f32,0.8036,149083,broadword,9.7792,false,0.000103,0.6667
noise_cavity,129,0.056689,118885,32768,14774,1.4500,5.0628,0.2864,true,false,true,true,49923,0.12608,0.12650,1.000610,false,2097152,0,0,1.1243,0,true,0.0935,true,0.2865,5.0948,21.1763,21.1763,25.1337,6.0670,27.3426,15.1094,51.0657,564.1042,4.1845,76,0.2085,23.2265,64.5193,64.5193,78.6436,13.4536,112.0162,5.0628,6.0123,6.8637,3.2509,2x-4x,f32,0.5540,149083,broadword,8.0469,false,0.000610,0.4736
