# experiment P-109 (R-109)
# hypothesis: VIGNA'S QUASI-SUCCINCT INDICES ENCODE A MONOTONE SEQUENCE IN ABOUT 2 + CEIL(LOG(U/N)) BITS WITH O(1) ACCESS, NO HASHING AND NO GLOBAL BUILD -- AND EDGE INDICES WITHIN A CHUNK ARE MONOTONE ONCE SWEPT IN ORDER. Three corrections this registration must carry, every one against the research doc. FIRST: there is NO edge-to-vertex MAP. A grep for 'edge_to_vertex', 'edge_cache', 'EdgeKey' and 'edge_id' over crates/isomesh/src/ returns nothing. The structure is 'edge_vertices: Vec<u32>', a DENSE FLAT VEC of sample_count * 3 slots keyed by the arithmetic 'lo_sample * 3 + axis' -- marching_cubes/mod.rs:97 declares it, :250-251 clears and resizes it every extract, :604 computes the key, :606-609 probes it, :620-622 writes it, and u32::MAX is the sentinel -- with the same shape at marching_tetrahedra.rs:92 and property/extraction.rs:425. SECOND: the KEY side is already order-independent; what is discarded is the VALUE, a buffer position from a monotonic counter. M-318 already recorded that the encoding is not the obstacle, that index-is-edge-id costs 230x MEMORY (about 6.4 M slots for 27,822 vertices at 129 cubed) and that the workable shape carries state across extractions. THIRD: V-45's stop applies to a structure that PERSISTS ACROSS CALLS; one REBUILT FROM GRID AND FIELD ALONE is inside V-45's own stated reopening condition, which asks for 'a formulation where the persistent map is derivable from the inputs'. This row is the rebuilt kind and it is bench-local. (C1) The encoded map costs at most 4 bits per crossing. (C2) Access costs at most 1.5x the current direct addressing. (C3) The decoded map equals the dense array on every crossing. SHARE: this row prices an ENCODING and moves no extraction time; C2 is a cost bound and C1 a space bound, so neither is a ratio of a total and x51's bar does not apply. What it feeds is R-027a's 45x ceiling, which M-318 measured and which nothing here re-claims.
# falsified by: C1 by more than 4 bits per crossing, which is where the dense u32 array's 32 bits per SLOT stops being the thing to beat. C2 by access above 1.5x. C3 by one crossing differing. VACUITY CONTROL: crossings must be non-zero on every row and values_equal must equal crossings; and a deliberately shifted low-bits width must give mutant_value_mismatches greater than zero, or the decoder is being checked against itself.
# commit ff2ec47 on amd-ryzen-9-5900x-12-core at 2026-08-29T00:31:36Z
field,resolution,crossings,samples,dense_bytes,ef_bytes,bits_per_crossing,ns_per_access_dense,ns_per_access_ef,access_ratio,values_equal,mutant_value_mismatches,c1_holds,c2_holds,c3_holds,absent_probed,absent_sentinel_correct,access_ratio_instructions,access_ratio_instructions_popcnt_credited,access_ratio_instructions_random,access_ratio_random,bits_per_crossing_no_select,bits_per_crossing_with_values,buckets,c1_holds_no_select,c1_holds_with_values,c2_contingent_on_popcnt,c2_holds_ns,centroid_vertices,count_ones_per_access_ef,count_ones_per_access_ef_positional,dense_bits_per_crossing,ef_bytes_no_select,ghz,inner_probe,inner_random,instructions_per_access_dense,instructions_per_access_dense_random,instructions_per_access_ef,instructions_per_access_ef_popcnt_credited,instructions_per_access_ef_positional,instructions_per_access_ef_random,low_bits_width,low_bytes,mirror_on_edge,mirror_vertices,mutant_low_bits_width,ns_per_access_dense_random,ns_per_access_ef_positional,ns_per_access_ef_random,positional_values_equal,probes,select_hint_bytes,shipped_vertices,space_ratio_dense_over_ef,target_feature_popcnt,universe,universe_per_crossing,upper_bits,upper_bytes,value_bytes
sphere,33,1158,35937,431244,1412,9.7547,0.3448,32.2171,93.4249,1158,1158,false,false,true,4046,4046,41.1809,31.8025,65.7790,119.4887,8.8428,41.7547,843,false,false,false,false,0,6.8217,5.1079,2979.2332,1280,4.1833,4096,4096,8.0012,5.0020,329.4962,254.4580,147.2811,329.0267,7,1024,1158,1158,8,0.2761,8.4599,32.9870,1158,6936,132,1158,71.3508,false,107811,93.1010,2001,256,4632
torus,33,1128,35937,431244,1376,9.7589,0.3428,33.4382,97.5353,1128,1128,false,false,true,4049,4049,46.8259,38.1032,74.6647,124.9243,8.8511,41.7589,843,false,false,false,false,0,6.3447,5.0791,3058.4681,1248,4.1829,4096,4096,8.0012,5.0020,374.6638,304.8720,149.1766,373.4732,7,1000,1128,1128,8,0.2790,8.5382,34.8486,1128,6768,128,1128,73.2412,false,107811,95.5771,1971,248,4512
box_exact,33,1350,35937,431244,1616,9.5763,0.4796,34.6706,72.2968,1350,1350,false,false,true,4030,4030,49.5205,39.8383,79.0029,122.6026,8.7230,41.5763,843,false,false,false,false,0,7.0425,4.7151,2555.5200,1472,4.1799,4096,4096,8.0010,5.0020,396.2145,318.7466,141.6165,395.1729,7,1192,1350,1350,8,0.2890,8.0780,35.4376,1350,8088,144,1350,61.4658,false,107811,79.8600,2193,280,5400
csg_difference,33,1386,35937,431244,1648,9.5123,0.3458,34.6767,100.2721,1386,1386,false,false,true,4031,4031,47.7779,37.9335,75.8048,122.6391,8.6811,41.5123,843,false,false,false,false,0,7.1604,4.8826,2489.1429,1504,4.1830,4090,4096,8.0010,5.0020,382.2703,303.5058,143.5738,379.1756,7,1224,1386,1386,8,0.2876,8.4566,35.2731,1386,8304,144,1386,59.9616,false,107811,77.7857,2229,280,5544
thin_plate,33,510,35937,431244,700,10.9804,0.3372,32.6160,96.7170,510,510,false,false,true,4071,4071,62.1115,53.5585,99.7126,150.9422,10.0392,42.9804,422,false,false,false,false,0,6.2224,5.0994,6764.6118,640,4.1885,4096,4096,8.0027,5.0020,497.0592,428.6123,147.6089,498.7625,8,520,510,510,9,0.2555,8.7457,38.5599,510,3048,60,510,157.3883,false,107811,211.3941,932,120,2040
gyroid,33,5292,35937,431244,4952,7.4860,0.3540,34.6743,97.9389,5292,5292,false,false,true,3911,3911,36.8408,27.8239,59.1506,84.8250,6.6636,39.4860,3370,false,false,false,false,0,6.5580,5.2507,651.9184,4408,4.1864,1039,4096,8.0003,5.0020,294.7368,222.5992,148.7896,295.8717,5,3320,5292,5292,6,0.3803,8.7590,32.2575,5292,31896,544,5292,16.5101,false,107811,20.3724,8662,1088,21168
fbm_terrain,33,2069,35937,431244,2272,8.7849,0.4785,32.9981,68.9672,2069,2069,false,false,true,4006,4006,43.5467,35.1104,69.4530,116.3078,7.8569,40.7849,1685,false,false,false,false,0,6.1361,5.2312,1667.4490,2032,4.1870,2887,4096,8.0007,5.0020,348.4045,280.9076,152.2520,347.4041,6,1560,2069,2069,7,0.2832,8.7468,32.9356,2069,11838,240,2069,40.8840,false,107811,52.1078,3754,472,8276
noise_cavity,33,6522,35937,431244,5948,7.2959,0.3447,36.1924,104.9962,6522,6522,false,false,true,3841,3841,41.8819,31.9249,67.4579,98.2575,6.5354,39.2959,3370,false,false,false,false,0,7.2417,5.0532,528.9715,5328,4.1780,876,4096,8.0002,5.0020,335.0650,255.4067,145.2598,337.4244,5,4088,6522,6522,6,0.3665,8.6005,36.0109,6522,39708,620,6522,13.4612,false,107811,16.5304,9892,1240,26088
sphere,65,4758,274625,3295500,6272,10.5456,0.3716,34.7991,93.6508,4758,4758,false,false,true,4076,4076,44.1439,34.2597,70.6100,93.8638,9.6982,42.5456,3219,false,false,false,false,0,7.1888,4.9963,5540.9836,5768,4.1811,1055,4096,8.0003,5.0020,353.1648,274.0883,145.3748,353.1915,8,4768,4758,4758,9,0.3754,8.3848,35.2327,4758,28536,504,4758,130.2363,false,823875,173.1557,7977,1000,19032
torus,65,4208,274625,3295500,5620,10.6844,0.3595,34.7006,96.5315,4208,4208,false,false,true,4072,4072,50.1747,41.1639,79.8816,107.6562,9.7947,42.6844,3219,false,false,false,false,0,6.5536,5.1636,6265.2091,5152,4.1697,1289,4096,8.0003,5.0020,401.4150,329.3251,150.6485,399.5680,8,4216,4208,4208,9,0.3424,8.6031,36.8612,4208,25248,468,4208,146.7798,false,823875,195.7878,7427,936,16832
