# experiment P-11 (R-004)
# hypothesis: With one canonical world_of_sample rather than an offset-and-add, seam cracks fall to 0 for all cell sizes — not only powers of two — and M-73's hairline disappears with no change to the transition-cell construction.
# falsified by: Cracks surviving canonical reconstruction, which localises the defect back in Transvoxel and makes it a different ticket.
# commit c45f60e on amd-ryzen-9-5900x-12-core at 2026-08-16T02:30:23Z
cell_size,lod_pair,crack_count,max_discontinuity,arithmetic,cells_per_axis,crack_count_exact_merge,crack_count_exact_merge_no_transition,crack_count_no_transition,exact_pairs,field,max_discontinuity_exact_merge,max_discontinuity_no_transition,max_pair_gap,patches,power_of_two,seam_pairs,seam_plane_delta,triangles
1.25000000000000000e-1,0-1,0,0.000000e0,canonical,32,0,88,88,60,sphere,0.000000e0,2.016172e0,0.000e0,28,1,60,0.000e0,1560
1.25000000000000000e-1,0-1,0,0.000000e0,canonical,32,0,64,64,40,torus,0.000000e0,1.337937e0,0.000e0,24,1,40,0.000e0,1552
1.25000000000000000e-1,0-1,0,0.000000e0,offset,32,0,88,88,60,sphere,0.000000e0,2.016172e0,0.000e0,28,1,60,0.000e0,1560
1.25000000000000000e-1,0-1,0,0.000000e0,offset,32,0,64,64,40,torus,0.000000e0,1.337937e0,0.000e0,24,1,40,0.000e0,1552
2.50000000000000000e-1,1-2,0,0.000000e0,canonical,32,0,40,40,28,sphere,0.000000e0,2.072880e0,0.000e0,12,1,28,0.000e0,376
2.50000000000000000e-1,1-2,0,0.000000e0,canonical,32,0,32,32,24,torus,0.000000e0,1.230575e0,0.000e0,8,1,24,0.000e0,424
2.50000000000000000e-1,1-2,0,0.000000e0,offset,32,0,40,40,28,sphere,0.000000e0,2.072880e0,0.000e0,12,1,28,0.000e0,376
2.50000000000000000e-1,1-2,0,0.000000e0,offset,32,0,32,32,24,torus,0.000000e0,1.230575e0,0.000e0,8,1,24,0.000e0,424
1.00000000000000006e-1,0-1,0,0.000000e0,canonical,40,0,96,68,76,sphere,0.000000e0,2.511656e0,0.000e0,36,0,76,0.000e0,2320
1.00000000000000006e-1,0-1,0,0.000000e0,canonical,40,0,78,44,54,torus,0.000000e0,2.146435e0,0.000e0,24,0,54,0.000e0,2056
1.00000000000000006e-1,0-1,0,0.000000e0,offset,40,228,100,81,26,sphere,4.626635e-14,2.511656e0,1.291e-15,36,0,76,0.000e0,2320
1.00000000000000006e-1,0-1,0,0.000000e0,offset,40,162,72,48,14,torus,1.213251e-14,2.146435e0,1.050e-15,24,0,48,0.000e0,2056
2.00000000000000011e-1,1-2,0,0.000000e0,canonical,40,0,56,37,36,sphere,0.000000e0,2.044006e0,0.000e0,20,0,36,0.000e0,592
2.00000000000000011e-1,1-2,0,0.000000e0,canonical,40,0,36,36,24,torus,0.000000e0,1.212295e0,0.000e0,12,0,24,0.000e0,588
2.00000000000000011e-1,1-2,0,0.000000e0,offset,40,138,54,41,6,sphere,1.074342e-14,2.044006e0,4.003e-16,20,0,36,0.000e0,592
2.00000000000000011e-1,1-2,0,0.000000e0,offset,40,84,36,36,4,torus,3.447171e-15,1.212295e0,4.518e-16,12,0,24,0.000e0,588
8.33333333333333287e-2,0-1,0,0.000000e0,canonical,48,0,136,136,92,sphere,0.000000e0,2.007045e0,0.000e0,44,0,92,0.000e0,3392
8.33333333333333287e-2,0-1,0,0.000000e0,canonical,48,0,80,80,56,torus,0.000000e0,2.076069e0,0.000e0,24,0,56,0.000e0,3080
8.33333333333333287e-2,0-1,0,0.000000e0,offset,48,348,136,136,24,sphere,9.983358e-14,2.007045e0,5.118e-16,44,0,92,0.000e0,3392
