# experiment P-110 (R-110)
# hypothesis: PIBIRI AND KANDA'S CONTRIBUTION IS RANK/SELECT THAT SUPPORTS FLIP(I) WHILE STAYING FAST, WHICH IS THE SHAPE A STRUCTURE WRITTEN DURING A SWEEP NEEDS RATHER THAN ONE BUILT ONCE. The gate this row is scored AGAINST rather than around: validate/determinism.rs:268-300 runs the extractor three times, the third into a REUSED BUFFER, explicitly to fail when output depends on prior state -- its own doc comment says so. That gate is the reason R-027 was declined and split (V-45), and a mutable rank/select is only admissible here if its final state is a function of the flip SET and not of the flip ORDER. So order-independence is the clause, not the caveat. (C1) flip(i) plus rank stays within 2x of the static directory's rank cost. (C2) The final structure is INDEPENDENT OF THE ORDER THE FLIPS ARRIVE IN, bit-identical over a registered set of seeded permutations of one flip set. (C3) Rank answers equal the static directory's after every permutation. SHARE: no time is claimed of extraction; C1 is a cost bound against a named baseline and C2 is the property the crate's determinism gate demands. A row that passed C1 and failed C2 would be worthless here, which is why C2 is the falsifier that closes it.
# falsified by: C2 by any dependence on insertion order in the final structure, which is V-45's objection arriving again and closes the row immediately. C1 by rank costing more than 2x the static directory's. C3 by any rank answer differing after a permutation. VACUITY CONTROL: distinct_final_states must be 1 for a pass, AND a deliberately order-sensitive variant must report control_distinct_final_states greater than 1 in the same run -- the control is what proves the comparator can see disorder at all.
# commit d05a310 on amd-ryzen-9-5900x-12-core at 2026-08-29T00:31:51Z
field,resolution,flips,permutations,ns_per_flip,ns_per_rank_mutable,ns_per_rank_static,rank_ratio,final_structures_identical,distinct_final_states,control_distinct_final_states,c1_holds,c2_holds,c3_holds,active_cells_after,active_cells_before,active_fraction,bitmap_bytes,bitmap_matches_scalar,bitmap_words,c1_holds_cycles,c1_holds_ns,cell_bits,cell_words_per_row,cells,control_answers_correct,control_structures_identical,count_ones_per_flip,count_ones_per_rank_mutable,count_ones_per_rank_static,cycles_per_flip,cycles_per_rank_mutable,cycles_per_rank_static,flip_plus_rank_ratio,flip_plus_rank_ratio_cycles,flip_plus_rank_ratio_instructions,full_sweep_bits,ghz,inner_flip,inner_rank,inner_rank_control,instructions_per_flip,instructions_per_rank_control,instructions_per_rank_mutable,instructions_per_rank_static,max_words_scanned,mutable_directory_bytes,mutable_equals_prefix_all_bits,mutable_overhead_fraction,ns_per_rank_control,pad_bits_set,rank_answers_checked,rank_answers_equal,rank_ratio_cycles,rank_ratio_instructions,registered_arm,sample_bit_row,static_directory_bytes,static_equals_prefix_all_bits,static_overhead_fraction,target_feature_popcnt,top_level_slots,tree_levels
sphere,33,4096,128,2.1925,10.9999,6.0736,1.8111,true,1,128,false,true,true,4958,1160,0.151306,8192,true,1024,false,false,65536,1,32768,true,false,0.000,4.506,4.506,9.178,46.024,25.401,2.1721,2.1732,2.2506,65536,4.1840,767,362,144,44.020,699.123,257.389,133.926,7,268,65536,0.032715,68.8827,0,131072,131072,1.8119,1.9219,false,1,264,65536,0.032227,false,2,2
torus,33,4096,128,2.1068,10.8301,6.0667,1.7852,true,1,128,false,true,true,4944,1128,0.150879,8192,true,1024,false,false,65536,1,32768,true,false,0.000,4.506,4.506,8.816,45.310,25.406,2.1324,2.1304,2.2506,65536,4.1837,769,360,142,44.018,700.432,257.389,133.926,7,268,65536,0.032715,68.1502,0,131072,131072,1.7834,1.9219,false,1,264,65536,0.032227,false,2,2
box_exact,33,4096,128,2.2429,11.4693,6.0847,1.8849,true,1,128,false,true,true,5100,1352,0.155640,8192,true,1024,false,false,65536,1,32768,true,false,0.000,4.506,4.506,9.391,48.022,25.481,2.2535,2.2532,2.2572,65536,4.1871,774,364,143,44.023,699.484,258.270,133.926,7,268,65536,0.032715,77.2618,0,131072,131072,1.8847,1.9285,false,1,264,65536,0.032227,false,2,2
csg_difference,33,4096,128,2.2555,11.3108,6.0815,1.8599,true,1,128,false,true,true,5132,1388,0.156616,8192,true,1024,false,false,65536,1,32768,true,false,0.000,4.506,4.506,9.444,47.356,25.444,2.2307,2.2324,2.2506,65536,4.1868,754,358,143,44.023,699.484,257.389,133.926,7,268,65536,0.032715,66.3389,0,131072,131072,1.8612,1.9219,false,1,264,65536,0.032227,false,2,2
thin_plate,33,4096,128,2.0682,11.3343,6.0868,1.8621,true,1,128,false,true,true,4486,512,0.136902,8192,true,1024,false,false,65536,1,32768,true,false,0.000,4.506,4.506,8.652,47.460,25.484,2.2019,2.2018,2.2571,65536,4.1873,816,364,144,44.009,698.806,258.270,133.926,7,268,65536,0.032715,75.0782,0,131072,131072,1.8623,1.9285,false,1,264,65536,0.032227,false,2,2
gyroid,33,4096,128,2.3451,10.8587,6.0828,1.7852,true,1,128,false,true,true,8028,5240,0.244995,8192,true,1024,false,false,65536,1,32768,true,false,0.000,4.506,4.506,9.815,45.376,25.462,2.1707,2.1675,2.2576,65536,4.1787,509,364,142,44.081,701.014,258.270,133.926,7,268,65536,0.032715,67.0195,0,131072,131072,1.7821,1.9285,false,1,264,65536,0.032227,false,2,2
fbm_terrain,33,4096,128,2.2709,11.0187,6.0485,1.8217,true,1,128,false,true,true,5606,1958,0.171082,8192,true,1024,false,false,65536,1,32768,true,false,0.000,4.506,4.506,9.512,46.158,25.303,2.1972,2.2002,2.2506,65536,4.1891,750,369,141,44.029,700.033,257.389,133.926,7,268,65536,0.032715,66.9201,0,131072,131072,1.8242,1.9219,false,1,264,65536,0.032227,false,2,2
noise_cavity,33,4096,128,2.2080,10.9816,6.0342,1.8199,true,1,128,false,true,true,8688,6176,0.265137,8192,true,1024,false,false,65536,1,32768,true,false,0.000,4.506,4.506,9.244,45.984,25.263,2.1858,2.1861,2.2577,65536,4.1873,576,370,143,44.098,702.663,258.270,133.926,7,268,65536,0.032715,81.1288,0,131072,131072,1.8202,1.9285,false,1,264,65536,0.032227,false,2,2
sphere,65,4096,128,2.1469,12.0501,6.2595,1.9251,true,1,128,false,true,true,8718,4760,0.033257,32768,true,4096,false,false,262144,1,262144,true,false,0.000,4.475,4.475,8.992,50.369,26.211,2.2681,2.2647,2.3712,262144,4.1800,771,317,152,44.010,694.321,272.891,133.645,7,1060,262144,0.032349,62.3767,0,131072,131072,1.9217,2.0419,true,2,1056,262144,0.032227,false,8,2
torus,65,4096,128,2.1101,11.9188,6.2630,1.9031,true,1,128,false,true,true,8184,4208,0.031219,32768,true,4096,false,false,262144,1,262144,true,false,0.000,4.475,4.475,8.839,49.831,26.200,2.2400,2.2393,2.3712,262144,4.1809,779,319,141,44.009,693.746,272.891,133.645,7,1060,262144,0.032349,65.8648,0,131072,131072,1.9019,2.0419,true,2,1056,262144,0.032227,false,8,2
