# experiment P-112 (R-112)
# hypothesis: BILLETER'S COUNT-SCAN-SCATTER IS THE STANDARD DECOMPOSITION AND ITS MIDDLE PHASE IS A PREFIX SUM, WHICH P-107'S O(1) RANK REPLACES -- SO THIS ROW ACQUIRES THE COMPARISON RATHER THAN THE ALGORITHM. Runs AFTER P-107, whose rank directory it consumes; that is this row's only hard dependency besides the P-121 gate. (C1) Replacing phase 2 with P-107's O(1) rank cuts the three-phase compaction total by at least 1.25x. (C2) The scan phase is at least 20% of the three-phase total, because a phase under 20% cannot yield 1.25x however completely it is removed. (C3) All three arms emit identical output. SHARE: C2 IS the share clause and it is arithmetic rather than hopeful -- removing a phase of share s entirely gives at most 1/(1 - s), so 1.25x demands s of at least 0.20, which is exactly the number C2 asserts. The two clauses are therefore consistent by construction and either can close the row.
# falsified by: The scatter phase measuring above 70% of the total, which would mean the offsets were never the cost and closes C1 and C2 together. C1 by under 1.25x. C3 by any output difference. VACUITY CONTROL: the three phase timings must sum to the measured total with residual_share under 5% -- R-085's discipline, and the reason a stage decomposition is believable at all.
# commit c00634c on amd-ryzen-9-5900x-12-core at 2026-08-29T00:40:38Z
field,resolution,count_ms,scan_ms,scatter_ms,total_ms,residual_share,scan_share,scatter_share,rank_total_ms,speedup,output_identical,c1_holds,c2_holds,c3_holds,active_cells,active_fraction,bitmap_bytes,bitmap_matches_scalar,bitmap_words,c1_holds_instructions,c2_holds_instructions,cell_words_per_row,cells,cells_checked,compacted_len,compaction_share_of_extraction,compaction_share_of_extraction_instructions,count_cycles,count_instructions,count_instructions_per_word,count_ones_calls_count_phase,count_ones_calls_rank_arm,count_ones_calls_scan_phase,count_ones_calls_scatter_phase,count_share,count_share_instructions,cycles_extract_mc,directory_bytes,directory_total_equals_popcount,extraction_ceiling_scan_free,ghz,inner_extract,inner_rank,inner_three,instructions_extract_mc,max_words_folded_per_query,mean_words_folded_per_query,ms_extract_mc,mutant_output_mismatches,output_identical_all_arms,overhead_fraction,pad_bits_possible,pad_bits_set,phase_sum_ms,queries_rank_row,queries_rank_word,rank_equal_all_bits,rank_queries,rank_queries_per_cell,rank_row_instructions,rank_row_ms,rank_total_cycles,rank_total_instructions,rank_word_instructions,rank_word_ms,reps,residual_control_mutant_share,residual_ms,residual_share_cycles,residual_share_instructions,residual_share_isolated,residual_share_ms,residual_share_ms_within_rep,residual_share_ms_worst_rep,residual_signed_share,sample_bit_row,scan_cycles,scan_instructions,scan_ms_isolated,scan_share_cycles,scan_share_instructions,scan_share_instructions_popcnt_floor,scan_share_isolated,scatter_cycles,scatter_falsifier_fires,scatter_instructions,scatter_ms_isolated,scatter_share_cycles,scatter_share_instructions,scatter_share_isolated,sequential_instructions,sequential_ms,short_directory_mismatches,speedup_ceiling_scan_free,speedup_cycles,speedup_instructions,speedup_rank_row_instructions_unregistered,speedup_rank_row_unregistered,speedup_rank_word_instructions_unregistered,speedup_rank_word_unregistered,target_feature_popcnt,three_phase_over_sequential,three_phase_over_sequential_instructions,total_cycles,total_instructions,total_pre_post_spread_share
sphere,65,0.001784,0.001298,0.007532,0.009989,0.000000,0.129933,0.754027,0.044498,0.224482,true,false,false,true,4760,0.018158,32768,true,4096,false,false,1,262144,262144,4760,0.00482468,0.00516821,7472.1,35868.5,8.7569,4096,25516.0,0,0,0.178596,0.188570,8665632.3,1056,true,1.00062728,4.1795,10,453,1802,36804483.7,7,3.5000,2.073383,4760,true,0.032227,false,0,0.010614,4096,856,262144,4760,0.018158,690301.5,0.030735,186283.7,860737.9,397785.5,0.017327,5,0.752102,-0.000625,0.061190,0.000000,0.014391,0.062556,0.063095,0.078985,0.000000,2,5419.0,11285.0,0.001206,0.129613,0.059328,0.073115,0.120768,31476.1,true,143060.0,0.006855,0.752856,0.752102,0.686245,131440.5,0.006764,124416,1.149336,0.224437,0.220989,0.275551,0.325003,0.478181,0.576505,false,1.476764,1.447145,41808.9,190213.5,0.008512
torus,65,0.001786,0.000990,0.007564,0.009612,0.000000,0.102995,0.786920,0.040614,0.236670,true,false,false,true,4208,0.016052,32768,true,4096,false,false,1,262144,262144,4208,0.00409084,0.00491663,7480.6,35868.4,8.7569,4096,23032.0,0,0,0.185842,0.196961,9837531.8,1056,true,1.00042151,4.1825,9,494,1935,37039462.1,7,3.5000,2.352051,4208,true,0.032227,false,0,0.010340,4096,408,262144,4208,0.016052,681989.5,0.030519,170000.9,786857.7,336201.4,0.014999,5,0.741071,-0.000728,0.075031,0.000000,0.001026,0.075756,0.074882,0.078478,-0.000000,2,4153.2,11285.0,0.000983,0.103201,0.061968,0.077167,0.102279,31629.5,true,134956.0,0.006833,0.785947,0.741071,0.710853,122784.4,0.006623,172032,1.114820,0.236727,0.231439,0.267027,0.314959,0.541668,0.640872,false,1.451300,1.483164,40243.8,182109.4,0.002145
box_exact,65,0.001790,0.000990,0.007187,0.010447,0.000000,0.094796,0.687934,0.051581,0.202532,true,false,false,true,5768,0.022003,32768,true,4096,false,false,1,262144,262144,5768,0.00406883,0.00452421,7492.1,35868.4,8.7569,4096,30052.0,0,0,0.171297,0.178929,10725690.9,1056,true,1.00038586,4.1807,8,389,1884,44308592.0,7,3.5000,2.565545,5768,true,0.032227,false,0,0.009966,4096,1024,262144,5768,0.022003,702229.5,0.031257,215684.6,988990.2,428815.5,0.018696,5,0.764775,0.000480,0.043912,0.000000,0.060740,0.045973,0.041622,0.048323,0.000000,2,4150.1,11285.0,0.000984,0.095097,0.056295,0.068563,0.094177,30082.4,false,153308.0,0.007039,0.689315,0.764775,0.673786,142696.5,0.007114,124928,1.104723,0.202337,0.202693,0.285464,0.334223,0.467477,0.558772,false,1.468485,1.404810,43641.0,200461.5,0.085998
csg_difference,65,0.001787,0.000990,0.007609,0.011108,0.000000,0.089159,0.685014,0.052826,0.210266,true,false,false,true,6014,0.022942,32768,true,4096,false,false,1,262144,262144,6014,0.00385061,0.00426980,7483.5,35868.5,8.7569,4096,30752.0,0,0,0.160920,0.176975,12057303.4,1056,true,1.00034343,4.1830,7,381,1814,47467188.4,7,3.4323,2.882452,6014,true,0.032227,false,0,0.010387,4096,1024,262144,6014,0.022942,704935.5,0.031464,220865.4,1013921.3,431275.5,0.018913,5,0.767345,0.000721,0.063480,0.000000,0.000884,0.064907,0.064649,0.074318,0.000000,2,4151.2,11285.0,0.000982,0.089411,0.055680,0.067653,0.088443,31846.1,false,155522.0,0.008328,0.685924,0.767345,0.749753,145157.5,0.007402,124928,1.097886,0.210209,0.199893,0.287509,0.353022,0.469944,0.587310,false,1.500699,1.396246,46428.0,202675.5,0.003150
thin_plate,65,0.001789,0.000992,0.005139,0.008410,0.000000,0.117994,0.611040,0.025480,0.330059,true,false,false,true,2048,0.007812,32768,true,4096,false,false,1,262144,262144,2048,0.00350485,0.00377113,7493.9,35868.4,8.7569,4096,13312.0,0,0,0.212753,0.223812,10043634.8,1056,true,1.00041372,4.1812,9,787,2260,42496940.2,7,3.5000,2.402093,2048,true,0.032227,false,0,0.007920,4096,64,262144,2048,0.007812,656509.4,0.028875,106634.3,488065.1,271135.4,0.011565,5,0.705772,0.000490,0.059054,0.000000,0.060327,0.058213,0.058722,0.061727,0.000000,2,4146.7,11285.0,0.000984,0.117800,0.070416,0.090721,0.117004,21482.0,false,113108.0,0.005129,0.610260,0.705772,0.609916,98776.4,0.005105,122880,1.133779,0.330114,0.328361,0.244111,0.291255,0.591075,0.727223,false,1.647465,1.622467,35201.5,160261.4,0.119796
gyroid,65,0.001781,0.000993,0.016301,0.019261,0.000000,0.051563,0.846329,0.165504,0.116376,true,false,false,true,21432,0.081757,32768,true,4096,false,false,1,262144,262144,21432,0.00220721,0.00284035,7465.9,35869.1,8.7571,4096,100264.0,0,0,0.092443,0.102424,36509741.3,1056,true,1.00011382,4.1790,3,121,793,123295464.7,7,3.4871,8.736411,21432,true,0.032227,false,0,0.019075,4096,2276,262144,21432,0.081757,880794.1,0.040854,693300.7,3083286.1,742313.1,0.033451,5,0.865352,0.000186,0.010011,0.000000,-0.052591,0.009664,0.009294,0.016940,0.000000,2,4153.5,11285.0,0.000985,0.051543,0.032224,0.035901,0.051120,68158.4,true,303048.0,0.017509,0.845800,0.865352,0.909029,308101.1,0.019962,237056,1.054367,0.116233,0.113581,0.397598,0.471447,0.471771,0.575786,false,0.964879,1.136647,80584.6,350202.1,0.006577
fbm_terrain,65,0.001785,0.000990,0.009692,0.012868,0.000000,0.076966,0.753200,0.069581,0.184934,true,false,false,true,8413,0.032093,32768,true,4096,false,false,1,262144,262144,8413,0.00022378,0.00024713,7471.9,35868.6,8.7570,4096,39440.0,0,0,0.138708,0.162169,240422506.0,1056,true,1.00001722,4.1849,1,287,1477,895002366.0,7,3.2011,57.450661,8408,true,0.032227,false,0,0.012467,4096,583,262144,8413,0.032093,729119.6,0.033154,291152.2,1301732.0,400644.6,0.018484,5,0.786809,0.000401,0.030206,0.000000,0.035599,0.031126,0.031804,0.035120,0.000000,2,4150.1,11285.0,0.000982,0.077138,0.051022,0.060898,0.076350,40553.7,true,174026.0,0.009643,0.753775,0.786809,0.749343,166059.6,0.009260,245760,1.083384,0.184786,0.169912,0.303352,0.388123,0.552059,0.696180,false,1.389618,1.331929,53800.8,221179.6,0.066452
noise_cavity,65,0.001784,0.000991,0.023592,0.027080,0.000000,0.036580,0.871204,0.212085,0.127684,true,false,false,true,28375,0.108242,32768,true,4096,false,false,1,262144,262144,28375,0.00145248,0.00141568,7479.4,35869.3,8.7571,4096,129800.0,0,0,0.065883,0.087498,78006844.0,1056,true,1.00005313,4.1803,2,95,670,289575143.5,7,3.4301,18.660753,28375,true,0.032227,false,0,0.026367,4096,1884,262144,28375,0.108242,955207.3,0.045222,887839.5,3977024.0,762600.3,0.036166,5,0.884974,0.000713,0.027006,0.000000,-0.008851,0.026334,0.027198,0.037962,0.000000,2,4138.2,11285.0,0.000985,0.036523,0.027528,0.030168,0.036357,98626.1,true,362791.0,0.024551,0.870459,0.884974,0.906612,374787.3,0.023547,189440,1.037969,0.127617,0.103078,0.429169,0.598825,0.537562,0.748765,false,1.150013,1.093808,113303.6,409945.3,0.005637
sphere,129,0.014236,0.008596,0.040385,0.060313,0.000000,0.142531,0.669587,0.203154,0.296882,true,false,false,true,19232,0.009171,262144,true,32768,false,false,2,2097152,2097152,19232,0.00365882,0.00410301,59619.1,286750.7,8.7509,32768,119312.0,0,0,0.236037,0.248550,68824140.0,8448,true,1.00052177,4.1794,2,99,311,281182704.0,7,3.5000,16.467522,19232,true,0.032227,false,0,0.063217,16384,6664,2097152,19232,0.009171,3068022.8,0.132641,850286.1,4028303.7,2526336.8,0.109303,5,0.673325,-0.002904,0.048505,0.000000,0.024284,0.048154,0.046914,0.062536,0.000000,3,35942.8,90133.0,0.008532,0.142735,0.078125,0.103966,0.141468,168467.3,false,776812.1,0.036080,0.669012,0.673325,0.598211,697746.7,0.033195,880640,1.166223,0.296153,0.286397,0.376039,0.454706,0.456667,0.551795,false,1.816933,1.653459,251815.0,1153695.8,0.012533
torus,129,0.014617,0.008676,0.038549,0.062120,0.000000,0.139667,0.620554,0.189020,0.328642,true,false,false,true,17432,0.008312,262144,true,32768,false,false,2,2097152,2097152,17432,0.00333506,0.00391410,61190.7,286750.6,8.7509,32768,111212.0,0,0,0.235301,0.257541,77890882.5,8448,true,1.00046601,4.1826,2,104,325,284462843.0,7,3.5000,18.622502,17432,true,0.032227,false,0,0.061842,16384,3224,2097152,17432,0.008312,3031007.7,0.131016,790733.4,3771652.2,2077839.7,0.088310,5,0.661507,0.000278,0.003721,0.000000,0.079093,0.004478,0.004957,0.016721,0.000000,3,36253.9,90133.0,0.008308,0.139561,0.080952,0.109032,0.133740,161359.4,false,736532.1,0.034282,0.621161,0.661507,0.551866,655666.6,0.031442,1072640,1.162340,0.328519,0.295206,0.367342,0.474139,0.535853,0.703434,false,1.975704,1.698143,259770.8,1113415.7,0.010704
