# experiment P-113 (R-113)
# hypothesis: ROARING SWITCHES CONTAINER TYPE AT 4096 SET VALUES PER 2^16 CHUNK -- 6.25% DENSITY -- AND SAYS OUTRIGHT THAT 'when applications encounter integer sets with lower density (less than 0.1%) a bitmap is unlikely to be the proper data structure'. The correction this registration carries, and it is the row's most load-bearing content: M-306's 16.8% (gyroid, 688 of 4,096) and 95.1% (thin_plate, 3,896 of 4,096) are REJECTED-BRUSH SHARES, NOT ACTIVE-CELL DENSITIES, and they were measured at 17 cubed with SubgridMarchingTetrahedra at 16 samples per edge IN A DEBUG BUILD. The research doc's inference that 'thin_plate's active density is around 4.9%' is derived from them and MUST NOT BE QUOTED AS A MEASUREMENT; this harness measures density itself. And M-377 has moved the optimum chunk to 4 cubed, where a chunk is ONE WORD. (C1) Measured active-cell density straddles Roaring's 6.25% boundary across the eight reference fields -- at least one field below and one above -- so the representation is a decision rather than a constant. (C2) Below the threshold an array-of-indices beats the bitmap on BOTH bytes and the active-cell walk. (C3) At M-377's 4 cubed optimum a chunk is one word and the bitmap's per-chunk overhead exceeds its payload, measured as bytes per active cell. SHARE: no extraction time is claimed. This row produces a DECISION RULE and its clauses are a density span, a two-sided comparison and a bytes-per-active-cell ratio -- none of them a fraction of a total.
# falsified by: C1 by one representation winning on all eight fields, which makes it a constant rather than a decision and is the outcome that closes the row. C2 by the bitmap winning below the threshold on either bytes or walk time. C3 by the bitmap's overhead staying under its payload at 4 cubed. VACUITY CONTROL: active_cells non-zero on every row, and density must span at least one DECADE across the fixture, or the 6.25% boundary is untested by construction.
# commit 07fd713 on amd-ryzen-9-5900x-12-core at 2026-08-29T00:32:37Z
field,chunk_cells,active_cells,density,bitmap_bytes,array_bytes,bytes_per_active_cell_bitmap,bytes_per_active_cell_array,ns_per_walk_bitmap,ns_per_walk_array,winner,c1_holds,c2_holds,c3_holds,array_overhead_bytes,array_payload_bytes,array_walk_saturated,bitmap_overhead_bytes,bitmap_overhead_bytes_per_active_cell,bitmap_payload_bytes,bitmap_payload_bytes_per_active_cell,bitmap_walk_saturated,byte_crossover_density,c1_straddles_here,c1_winner_varies_here,c2_failures,cells_per_chunk,chunks_above_boundary,chunks_array_smaller,chunks_below_boundary,chunks_bitmap_smaller,chunks_occupied,chunks_total,cycles_per_active_cell_array,cycles_per_active_cell_bitmap,density_span_over_fixture,distinct_winners,fields_above_boundary,fields_below_boundary,fold_mismatches,ghz,granularities_straddling,granularities_winner_varies,index_bytes,instructions_per_active_cell_array,instructions_per_active_cell_bitmap,roaring_boundary,rows_below_boundary,walk_checksum,walk_cycle_difference,walk_cycle_ratio,walk_floor_cycles_per_active_cell,walk_floor_ns_per_active_cell,words_per_chunk,words_scanned,world_cells,world_density
sphere,4,19232,0.25905172,37120,47072,1.930116,2.447587,0.721285,0.478061,split,false,false,true,27840,19232,true,27840,1.447587,9280,0.482529,false,0.125000,false,false,2,64,944,384,216,776,1160,32768,2.001881,3.016985,73.193782,1,8,0,0,4.1864,0,1,1,4.998033,9.267167,0.062500,8,3674727638306910924,1.015103,1.507075,1.998500,0.477235,1,1160,128,0.00917053
sphere,8,19232,0.13809743,23936,44992,1.244592,2.339434,0.724139,0.477687,split,false,false,true,6528,38464,true,6528,0.339434,17408,0.905158,false,0.062500,false,false,2,512,200,72,72,200,272,4096,1.999645,3.036758,73.193782,1,8,0,0,4.1825,0,1,2,3.822076,9.270079,0.062500,8,10619685934045598293,1.037113,1.518649,1.999237,0.477672,8,2176,128,0.00917053
sphere,16,19232,0.08384487,30016,39808,1.560732,2.069884,0.733048,0.477592,split,false,false,true,1344,38464,true,1344,0.069884,28672,1.490849,false,0.062500,false,false,2,4096,48,8,8,48,56,512,1.999635,3.094864,73.193782,1,7,0,0,4.1865,0,1,2,3.478898,9.750112,0.062500,8,12415933502468884161,1.095229,1.547714,1.999008,0.477459,64,3584,128,0.00917053
sphere,64,19232,0.00917053,262336,77120,13.640599,4.009983,1.073360,0.477579,array,false,false,true,192,76928,true,192,0.009983,262144,13.630616,false,0.031250,false,true,2,262144,0,8,8,0,8,8,2.000472,4.507835,73.193782,2,0,8,0,4.1882,0,1,4,3.390296,21.317500,0.062500,8,7465435081447400312,2.507363,2.253385,1.999041,0.477145,4096,32768,128,0.00917053
torus,4,17432,0.24146720,36096,44504,2.070675,2.553006,0.718633,0.477838,split,false,false,true,27072,17432,true,27072,1.553006,9024,0.517669,false,0.125000,false,false,2,64,912,272,216,808,1128,32768,2.002757,3.016150,73.193782,1,8,0,0,4.1891,0,1,1,4.944112,9.359440,0.062500,8,4802374237290459396,1.013393,1.505999,1.998375,0.476778,1,1128,128,0.00831223
torus,8,17432,0.10380145,28864,42736,1.655805,2.451583,0.728253,0.477279,split,false,false,true,7872,34864,true,7872,0.451583,20992,1.204222,false,0.062500,false,false,2,512,216,112,112,216,328,4096,1.999812,3.057973,73.193782,1,8,0,0,4.1875,0,1,2,4.016623,9.668297,0.062500,8,3504443406940139939,1.058161,1.529130,1.998735,0.477217,8,2624,128,0.00831223
torus,16,17432,0.06649780,34304,36400,1.967875,2.088114,0.748762,0.477259,split,false,false,true,1536,34864,true,1536,0.088114,32768,1.879761,false,0.062500,false,false,2,4096,40,24,24,40,64,512,1.999823,3.160723,73.193782,1,7,0,0,4.1896,0,1,2,3.493906,10.096934,0.062500,8,11241454144965859765,1.160900,1.580501,1.998730,0.477442,64,4096,128,0.00831223
torus,64,17432,0.00831223,262336,69920,15.049105,4.011014,1.256821,0.477562,array,false,false,true,192,69728,true,192,0.011014,262144,15.038091,false,0.031250,false,true,2,262144,0,8,8,0,8,8,2.000915,5.314135,73.193782,2,0,8,0,4.1879,0,1,4,3.390648,21.903268,0.062500,8,6248063562099288043,3.313220,2.655853,1.998640,0.476943,4096,32768,128,0.00831223
box_exact,4,23816,0.27524038,43264,56264,1.816594,2.362445,0.716585,0.477613,split,false,false,true,32448,23816,true,32448,1.362445,10816,0.454148,false,0.125000,false,false,2,64,1352,0,0,1352,1352,32768,2.000284,3.002265,73.193782,1,8,0,0,4.1852,0,1,1,4.369632,9.192608,0.062500,8,13830763335460183816,1.001982,1.500920,1.998984,0.479377,1,1352,128,0.01135635
box_exact,8,23816,0.15714738,26048,54736,1.093719,2.298287,0.717382,0.477693,split,false,false,true,7104,47632,true,7104,0.298287,18944,0.795432,false,0.062500,false,false,2,512,296,0,0,296,296,4096,1.999882,3.005261,73.193782,1,8,0,0,4.1858,0,1,2,3.626603,9.133824,0.062500,8,8722926552945605623,1.005379,1.502719,1.999304,0.477421,8,2368,128,0.01135635
