# experiment P-114 (R-114)
# hypothesis: ONE BIT PER 64 CELLS GIVES A SECOND LEVEL AT ONE SIXTY-FOURTH THE SIZE, AND TWO LEVELS SKIP 4,096 CELLS PER TEST. What this registration must state: VDB's node bitmask plus popcount child offset is the same object one level up, it is already in the corpus (10.1145/2487228.2487235), and dual.rs:417 already cites VDB as the source of the flat bitmap's mechanism -- so this row is a RE-MEASUREMENT OF A PUBLISHED STRUCTURE at this crate's granularity rather than a new structure. (C1) At least 1.5x on the active-cell traversal of the SPARSEST FIELD AS MEASURED, with that field named in the CSV rather than assumed. (C2) Two levels skip 4,096 cells per test, reported as cells skipped per word tested. (C3) Identical mesh. SHARE: the active-cell traversal stage, which M-337 measured at 5.5x for the flat bitmap on a surface-free field -- so the stage is known to be large enough to matter and the question is only whether a second level finds anything the first did not. The sparsest field is derived from the run's own active_fraction column, never assumed: the research doc names thin_plate and this harness does not inherit that.
# falsified by: C1 by under 1.5x on the sparsest field as measured, where it must win if it wins anywhere. C2 by cells_skipped_per_test falling short of 4,096 at two levels. C3 by any mesh difference. VACUITY CONTROL: words_tested_hier must be STRICTLY LESS than words_tested_flat on at least one row, and cells_skipped_per_test must be non-zero -- a hierarchy that skips nothing is not being tested.
# commit a5eefa5 on amd-ryzen-9-5900x-12-core at 2026-08-29T00:41:06Z
field,resolution,active_fraction,levels,words_tested_flat,words_tested_hier,cells_skipped_per_test,ns_per_cell_flat,ns_per_cell_hier,ratio,mesh_identical,sparsest_field,c1_holds,c2_holds,c3_holds,active_cells,breakeven_traversals,c1_holds_cycles,c1_holds_instructions,cells,cells_per_top_level_zero_bit,cells_skipped_total,clock_ratio_hier_over_flat,cycles_per_cell_build_summary,cycles_per_cell_flat,cycles_per_cell_hier,cycles_per_cell_shipped_extraction,extraction_speedup_ceiling,ghz,ghz_hier,inner_reps,instructions_per_cell_build_summary,instructions_per_cell_flat,instructions_per_cell_hier,level_0_bytes,level_0_words,level_0_words_nonzero,level_1_size_ratio,level_1_words,level_1_words_nonzero,level_2_size_ratio,level_2_words,ns_per_cell_build_level_0,ns_per_cell_build_summary,ratio_cycles,ratio_instructions,reps,sparsest_field_active_fraction,sparsest_field_ratio,sparsest_field_ratio_instructions,summary_bytes,summary_overhead_fraction,summary_words_tested,top_level_fanout_verified,traversal_share_of_extraction,word_ratio,zero_top_level_bits
sphere,65,0.01815796,1,4096,920,3240.000,0.017701,0.014949,1.1841,true,thin_plate,true,false,true,4760,2.510,true,true,262144,64.0,207360,0.9994,0.028926,0.074020,0.062473,92.4584,1.00012,4.1816,4.1791,2798,0.104267,0.319047,0.251916,32768,4096,856,64.0000,64,32,64.0000,1,0.106239,0.006907,1.1848,1.2665,5,0.00781250,1.7808,2.1141,520,0.015869,64,true,0.000801,4.4522,3240
sphere,65,0.01815796,2,4096,889,6283.636,0.017701,0.014698,1.2043,true,thin_plate,true,true,true,4760,2.300,true,true,262144,4096.0,207360,1.0007,0.028926,0.074020,0.061505,92.4584,1.00014,4.1816,4.1846,2798,0.104267,0.319047,0.254308,32768,4096,856,64.0000,64,32,64.0000,1,0.106239,0.006907,1.2035,1.2546,5,0.00781250,1.6123,2.1285,520,0.015869,33,true,0.000801,4.6074,32
sphere,129,0.00917053,1,32768,7176,3263.000,0.011593,0.009512,1.2188,true,thin_plate,true,false,true,19232,2.793,true,true,2097152,64.0,1670656,1.0013,0.024334,0.048459,0.039812,62.6317,1.00014,4.1801,4.1854,561,0.102392,0.219802,0.151428,262144,32768,6664,64.0000,512,128,64.0000,8,0.095273,0.005813,1.2172,1.4515,5,0.00390625,2.2976,3.2027,4160,0.015869,512,true,0.000774,4.5663,26104
sphere,129,0.00917053,2,32768,6800,12284.235,0.011593,0.009635,1.2032,true,thin_plate,true,true,true,19232,2.969,true,true,2097152,4096.0,1670656,0.9992,0.024334,0.048459,0.040242,62.6317,1.00013,4.1801,4.1767,561,0.102392,0.219802,0.152823,262144,32768,6664,64.0000,512,128,64.0000,8,0.095273,0.005813,1.2042,1.4383,5,0.00390625,2.5678,3.3182,4160,0.015869,136,true,0.000774,4.8188,384
torus,65,0.01605225,1,4096,472,3688.000,0.014929,0.012906,1.1568,true,thin_plate,true,false,true,4208,3.122,true,true,262144,64.0,236032,1.0026,0.026442,0.062373,0.054058,98.4830,1.00009,4.1779,4.1887,3285,0.092610,0.290757,0.203233,32768,4096,408,64.0000,64,42,64.0000,1,0.107079,0.006318,1.1538,1.4307,5,0.00781250,1.7808,2.1141,520,0.015869,64,true,0.000633,8.6780,3688
torus,65,0.01605225,2,4096,451,5489.116,0.014929,0.011771,1.2683,true,thin_plate,true,true,true,4208,2.000,true,true,262144,4096.0,236032,1.0004,0.026442,0.062373,0.049196,98.4830,1.00013,4.1779,4.1794,3285,0.092610,0.290757,0.204450,32768,4096,408,64.0000,64,42,64.0000,1,0.107079,0.006318,1.2679,1.4221,5,0.00781250,1.6123,2.1285,520,0.015869,43,true,0.000633,9.0820,22
torus,129,0.00831223,1,32768,3736,3693.000,0.010488,0.007304,1.4360,true,thin_plate,true,false,true,17432,1.819,true,true,2097152,64.0,1890816,0.9996,0.024240,0.043919,0.030572,71.2495,1.00019,4.1875,4.1859,620,0.091153,0.205439,0.117439,262144,32768,3224,64.0000,512,168,64.0000,8,0.095802,0.005793,1.4366,1.7493,5,0.00390625,2.2976,3.2027,4160,0.015869,512,true,0.000616,8.7709,29544
torus,129,0.00831223,2,32768,3400,10743.273,0.010488,0.007207,1.4553,true,thin_plate,true,true,true,17432,1.766,true,true,2097152,4096.0,1890816,0.9993,0.024240,0.043919,0.030158,71.2495,1.00019,4.1875,4.1846,620,0.091153,0.205439,0.117465,262144,32768,3224,64.0000,512,168,64.0000,8,0.095802,0.005793,1.4563,1.7489,5,0.00390625,2.5678,3.3182,4160,0.015869,176,true,0.000616,9.6376,344
box_exact,65,0.02200317,1,4096,1088,3072.000,0.018422,0.016513,1.1157,true,thin_plate,true,false,true,5768,4.284,true,true,262144,64.0,196608,1.0002,0.034259,0.077132,0.069151,77.6013,1.00010,4.1869,4.1878,3503,0.108754,0.363267,0.303826,32768,4096,1024,64.0000,64,32,64.0000,1,0.107044,0.008182,1.1154,1.1956,5,0.00781250,1.7808,2.1141,520,0.015869,64,true,0.000994,3.7647,3072
box_exact,65,0.02200317,2,4096,1057,5957.818,0.018422,0.016797,1.0967,true,thin_plate,true,true,true,5768,5.035,true,true,262144,4096.0,196608,0.9989,0.034259,0.077132,0.070253,77.6013,1.00009,4.1869,4.1824,3503,0.108754,0.363267,0.306859,32768,4096,1024,64.0000,64,32,64.0000,1,0.107044,0.008182,1.0979,1.1838,5,0.00781250,1.6123,2.1285,520,0.015869,33,true,0.000994,3.8751,32
