# experiment P-115 (R-115)
# hypothesis: TREE-ENCODED BITMAPS ARE THE ONLY RLE-FAMILY SCHEME THAT PRESERVES RANDOM ACCESS, WHICH IS THE PROPERTY RANK NEEDS AND THE PROPERTY WAH AND EWAH DESTROY. That is why this is a TEB row rather than a WAH row, and WAH and EWAH are foreclosed by this sweep for exactly that reason -- stated at registration so a later reader does not re-propose them. (C1) Random access costs at most 2x the flat bitmap's per access. (C2) Space saving of at least 1.5x against the flat bitmap. (C3) Identical answers on every cell. SHARE: no extraction time is claimed; C1 is a cost bound, C2 a space bound and C3 an equality, so none is a fraction of a total. What the row decides is whether a subblock-empty summary can be compressed without giving up the O(1) access P-107's directory is built on.
# falsified by: C1 by random access above 2x the flat bitmap's, which is the whole reason to prefer TEB over WAH and therefore the falsifier that closes the family rather than just the row. C2 by under 1.5x space saving. C3 by any cell answering differently. VACUITY CONTROL: answers_equal must equal cells, and a truncated tree must give truncated_tree_mismatches greater than zero.
# commit 8d5ab93 on amd-ryzen-9-5900x-12-core at 2026-08-29T00:41:27Z
field,resolution,flat_bytes,teb_bytes,space_ratio,ns_per_access_flat,ns_per_access_teb,access_ratio,answers_equal,cells,truncated_tree_mismatches,c1_holds,c2_holds,c3_holds,access_ratio_teb64,access_seed,accesses,active_cells,c1_bar,c1_carrier,c1_holds_instructions,c2_bar,clustering_factor,cycles_per_access_flat,cycles_per_access_floor,cycles_per_access_teb,cycles_per_access_teb64,density,ghz,inner_reps_flat,inner_reps_floor,inner_reps_teb,inner_reps_teb64,instruction_access_ratio,instruction_access_ratio_teb64,instructions_per_access_flat,instructions_per_access_floor,instructions_per_access_teb,instructions_per_access_teb64,label_bytes,max_node_visits,mean_node_visits,metadata_bytes,ns_access_ratio,ns_per_access_floor,ns_per_access_teb64,one_runs,perfect_levels,perfect_tree_nodes,popcounts_per_access_flat,popcounts_per_access_teb,popcounts_per_access_teb64,prune_depth,prune_fraction,rank_bytes,reps,scalar,space_ratio_teb64,target_feature_popcnt,teb64_bytes,teb64_rank_bytes,teb_fully_pruned_bytes,teb_unoptimised_bytes,tree_bytes,tree_height,tree_nodes,truncated_cut_depth
sphere,65,32768,3821,8.5758,0.4315,42.9617,99.3787,262144,262144,1528,false,true,true,75.6259,0x000001155eed1115,16384,4760,2.0,cycles,false,1.5,2.9975,1.8054,1.2253,179.5236,136.6412,0.01815796,4.1787,1732,3036,20,28,43.6813,24.4344,11.5005,7.0005,502.3555,281.0070,1343,17,5.5438,32,99.4033,0.2928,32.6452,1588,2,524287,0,12.9834,5.5321,0,0.959040,144,15,f32,6.7857,false,4829,1152,3821,4228,2302,18,21475,17
torus,65,32768,2633,12.4451,0.4308,34.8814,80.9454,262144,262144,1168,false,true,true,57.4090,0x000001155eed1115,16384,4208,2.0,cycles,false,1.5,3.6528,1.8035,1.2255,145.9729,103.5388,0.01605225,4.1848,1882,3099,24,36,36.7163,18.6375,11.5005,7.0005,422.2547,214.3396,933,14,4.1237,32,80.9667,0.2928,24.7454,1152,5,524287,0,11.8009,4.1146,5,0.971529,100,15,f32,9.8788,false,3317,784,2634,2950,1568,18,14927,17
box_exact,65,32768,3995,8.2023,0.4309,44.4229,103.0987,262144,262144,1800,false,true,true,77.1767,0x000001155eed1115,16384,5768,2.0,cycles,false,1.5,2.9979,1.8037,1.2257,185.9450,139.1648,0.02200317,4.1858,1898,3118,19,27,45.2987,25.0879,11.5005,7.0005,520.9552,288.5227,1421,17,5.7060,32,103.0773,0.2928,33.2441,1924,2,524287,0,13.6139,5.6923,0,0.956659,152,15,f32,6.5029,false,5039,1196,3995,4474,2390,18,22723,17
csg_difference,65,32768,3997,8.1981,0.4309,44.2494,102.7196,262144,262144,1852,false,true,true,77.5062,0x000001155eed1115,16384,6014,2.0,cycles,false,1.5,3.0206,1.8031,1.2254,185.2250,139.8053,0.02294159,4.1859,1891,3105,19,27,45.1425,25.0308,11.5005,7.0005,519.1597,287.8658,1426,17,5.6878,32,102.7559,0.2928,33.4649,1991,2,524287,0,13.5293,5.6736,0,0.956510,152,15,f32,6.5003,false,5041,1196,3997,4489,2387,18,22801,17
thin_plate,65,32768,225,145.6356,0.4307,32.1668,74.5939,262144,262144,2048,false,true,true,60.7394,0x000001155eed1115,16384,2048,2.0,cycles,false,1.5,32.0000,1.8030,1.2254,134.5207,109.5104,0.00781250,4.1820,1896,3105,26,33,32.2999,20.0697,11.5005,7.0005,371.4632,230.8107,73,13,4.5000,32,74.6073,0.2929,26.1458,64,2,524287,0,8.3516,4.4844,0,0.997797,8,15,f32,120.0293,false,273,56,225,262,112,18,1155,13
gyroid,65,32768,13846,2.3666,0.4309,47.1166,109.3530,262144,262144,7000,false,true,true,59.4435,0x000001155eed1115,16384,21432,2.0,cycles,false,1.5,3.0837,1.8040,1.2255,197.2482,107.2351,0.08175659,4.1864,1856,3144,18,35,45.9509,18.3943,11.5005,7.0005,528.4567,211.5425,5059,9,4.1165,32,109.3405,0.2928,25.6223,6950,10,524287,0,18.1264,4.0630,10,0.845640,516,15,f32,1.8778,false,17450,4120,13886,15750,8239,18,80929,17
fbm_terrain,65,32768,3819,8.5803,0.4306,25.9662,60.2429,262144,262144,2001,false,true,true,36.3826,0x000001155eed1115,16384,8413,2.0,cycles,false,1.5,4.0721,1.8028,1.2255,108.6049,65.5883,0.03209305,4.1825,1882,3099,31,54,27.8098,12.1377,11.5005,7.0005,319.8256,139.5885,1392,11,2.5937,32,60.2988,0.2927,15.6636,2066,8,524287,0,10.1455,2.5784,0,0.957529,144,15,f32,6.8224,false,4803,1128,3819,4384,2251,18,22267,17
noise_cavity,65,32768,13361,2.4525,0.4309,46.1159,106.9680,262144,262144,8049,false,true,true,59.7379,0x000001155eed1115,16384,28375,2.0,cycles,false,1.5,3.4676,1.8035,1.2256,192.9532,107.7380,0.10824203,4.1841,1842,3098,18,34,46.9641,18.7541,11.5005,7.0005,540.1089,215.6805,4971,10,4.1889,32,106.9216,0.2928,25.7541,8183,9,524287,0,18.4630,4.1274,9,0.848306,492,15,f32,1.9499,false,16805,3936,13371,15508,7866,18,79531,17
sphere,129,262144,17835,14.6983,0.5906,50.7734,86.0062,2097152,2097152,6336,false,true,true,63.6434,0x000001155eed1115,16384,19232,2.0,cycles,false,1.5,2.9994,2.4710,1.2261,212.4597,156.7083,0.00917053,4.1845,816,3086,17,24,52.3550,27.6408,11.5005,7.0005,602.1079,317.8827,6235,20,6.2363,32,86.0074,0.2930,37.5015,6412,2,4194303,0,16.3275,6.2302,0,0.976218,684,15,f32,11.6019,false,22595,5444,17835,19516,10884,21,99747,20
torus,129,262144,12517,20.9430,0.5888,41.9831,71.3214,2097152,2097152,4808,false,true,true,49.6123,0x000001155eed1115,16384,17432,2.0,cycles,false,1.5,3.5839,2.4636,1.2255,175.7030,122.2023,0.00831223,4.1851,968,3092,20,30,44.6179,21.7883,11.5005,7.0005,513.1276,250.5764,4405,17,4.8787,32,71.3086,0.2928,29.2305,4864,5,4194303,0,14.9601,4.8741,5,0.983196,476,15,f32,16.5443,false,15845,3804,12518,13798,7604,21,70479,20
