# experiment P-119 (R-119)
# hypothesis: PARALLEL SURFACENETS USES DOUBLE-BUFFERED SMOOTHING EXPLICITLY TO GUARANTEE DETERMINISM, AND THIS CRATE'S DETERMINISM TODAY RESTS ON THE LOOPS BEING SEQUENTIAL WITH NOTHING ENFORCING IT. P-9 already found that a chunked consumer appending chunks in a different order gets a different vertex count on noise_cavity. What this registration must state: the implicated path is Welder's first fit over NON-TRANSITIVE epsilon-closeness -- weld.rs:232 Welder, :296 weld, :338 weld_split_by, :220 epsilon_for -- which is why C1's falsifier points at the weld rather than at the traversal. And Parallel SurfaceNets' one-to-two-orders-of-magnitude figure is a PARALLEL result while this crate's loops are sequential, so it is not a comparand. (C1) Double-buffering removes P-9's vertex-count spread on noise_cavity -- 4 under dual_contouring and 2 under manifold_dual_contouring, FINDINGS.md:1641-1642 -- to exactly 0. (C2) The cost is under 1.25x the single-buffer path. (C3) The mesh is identical under every permutation of chunk append order. SHARE: C2 is a cost bound on the whole append path and C1 and C3 are determinism equalities, so no clause is a fraction of a total. The quantity at stake is a correctness property the crate currently gets by accident.
# falsified by: C1 by double-buffering not removing P-9's spread, which would mean the order-dependence is in the weld rather than the traversal and would redirect the work to weld.rs. C2 by cost above 1.25x. C3 by any permutation producing a different mesh. VACUITY CONTROL: the SINGLE-BUFFER arm must REPRODUCE THE SPREAD OF 4 AND 2 -- column baseline_spread must read 4 on the noise_cavity dual_contouring row and 2 on the noise_cavity manifold_dual_contouring row -- because a harness that cannot see P-9's defect cannot measure its removal.
# commit 6c72319 on amd-ryzen-9-5900x-12-core at 2026-08-29T00:45:28Z
field,extractor,permutations,baseline_spread,double_buffered_spread,mesh_identical_across_permutations,ns_per_cell_single,ns_per_cell_double,cost_ratio,peak_bytes_single,peak_bytes_double,c1_holds,c2_holds,c3_holds,baseline_spread_extended,baseline_spread_within_bucket,buckets_of_three_or_more,buckets_of_three_or_more_spanning_chunks,buckets_of_two_or_more,buckets_spanning_chunks,c2_holds_ns,cells,chunk_orders_distinct,control_fires,cost_ratio_undiluted,cost_ratio_with_restore,count_ones_calls_per_vertex,cycle_cost_ratio,cycles_per_cell_double,cycles_per_cell_single,distinct_canonical_meshes_double,distinct_canonical_meshes_single,distinct_outputs_within_bucket,double_buffered_spread_extended,double_buffered_spread_within_bucket,ghz,instruction_cost_ratio,instruction_cost_ratio_with_restore,instructions_per_cell_double,instructions_per_cell_restore,instructions_per_cell_single,label_propagation_iterations,largest_bucket,max_move_over_epsilon,mesh_identical_across_permutations_indexed,mesh_identical_across_permutations_single,mesh_identical_across_permutations_within_bucket,mirror_matches_shipped,ns_per_cell_restore,ns_per_vertex_double,ns_per_vertex_single,p9_published_buckets_of_three_or_more,p9_published_distinct_outputs,p9_published_spread,p9_reproduced,peak_bytes_ratio,permutations_extended,spread_double_indexed,target_feature_popcnt,vertex_delta,vertices_before_weld,vertices_double,vertices_in_large_components,vertices_single
sphere,dual_contouring,8,0,0,true,21.070321,23.160822,1.0992,53576,184192,vacuous,true,true,0,0,0,0,0,0,true,46656,8,false,1.0992,1.0991,0,1.0998,96.9015,88.1105,1,1,1,0,0,4.1817,1.0997,1.0996,249.8542,0.2038,227.2020,1,0,0.000000,true,true,true,true,0.034156,746.2647,678.9067,0,1,0,true,3.4380,32,0,false,0,1448,1448,0,1448
sphere,manifold_dual_contouring,8,0,0,true,21.034362,23.189675,1.1025,53576,184192,vacuous,true,true,0,0,0,0,0,0,true,46656,8,false,1.1025,1.1023,0,1.1030,96.9893,87.9285,1,1,1,0,0,4.1802,1.0997,1.0996,249.8575,0.2038,227.2020,1,0,0.000000,true,true,true,true,0.032821,747.1944,677.7481,0,1,0,true,3.4380,32,0,false,0,1448,1448,0,1448
torus,dual_contouring,8,0,0,true,19.152636,21.034240,1.0982,47656,176544,vacuous,true,true,0,0,0,0,4,4,true,46656,8,false,1.0982,1.0981,0,1.0980,88.0300,80.1711,1,6,5,0,0,4.1859,1.0888,1.0887,221.6321,0.1798,203.5645,2,2,1.000000,false,false,true,true,0.029547,761.9359,693.7775,0,5,0,true,3.7045,32,0,false,0,1288,1284,0,1284
torus,manifold_dual_contouring,8,0,0,true,19.116710,21.018058,1.0995,47656,176544,vacuous,true,true,0,0,0,0,4,4,true,46656,8,false,1.0995,1.0993,0,1.0987,87.9494,80.0488,1,6,5,0,0,4.1874,1.0888,1.0887,221.6325,0.1798,203.5645,2,2,1.000000,false,false,true,true,0.029093,761.3498,692.4761,0,5,0,true,3.7045,32,0,false,0,1288,1284,0,1284
box_exact,dual_contouring,8,0,0,true,18.745723,21.756539,1.1606,64232,198016,vacuous,true,true,0,0,0,0,0,0,true,46656,8,false,1.1606,1.1603,0,1.1602,90.9664,78.4034,1,1,1,0,0,4.1825,1.1059,1.1058,307.6766,0.2453,278.2111,1,0,0.000000,true,true,true,true,0.040669,584.7195,503.8021,0,1,0,true,3.0828,32,0,false,0,1736,1736,0,1736
box_exact,manifold_dual_contouring,8,0,0,true,18.628115,21.768769,1.1686,64232,198016,vacuous,true,true,0,0,0,0,0,0,true,46656,8,false,1.1686,1.1682,0,1.1665,90.9572,77.9774,1,1,1,0,0,4.1860,1.1059,1.1058,307.6767,0.2454,278.2111,1,0,0.000000,true,true,true,true,0.039490,585.0482,500.6413,0,1,0,true,3.0828,32,0,false,0,1736,1736,0,1736
csg_difference,dual_contouring,8,0,0,true,21.265541,24.270913,1.1413,66674,201184,vacuous,true,true,0,0,0,0,0,0,true,46656,8,false,1.1413,1.1410,0,1.1398,101.4430,88.9968,1,1,1,0,0,4.1850,1.1042,1.1041,316.0974,0.2541,286.2583,1,0,0.000000,true,true,true,true,0.042577,628.4038,550.5910,0,1,0,true,3.0174,32,0,false,0,1802,1802,0,1802
csg_difference,manifold_dual_contouring,8,0,0,true,21.178360,24.227195,1.1440,66674,201184,vacuous,true,true,0,0,0,0,0,0,true,46656,8,false,1.1440,1.1437,0,1.1445,101.3714,88.5721,1,1,1,0,0,4.1822,1.1042,1.1041,316.0976,0.2541,286.2583,1,0,0.000000,true,true,true,true,0.042349,627.2719,548.3338,0,1,0,true,3.0174,32,0,false,0,1802,1802,0,1802
thin_plate,dual_contouring,8,0,0,true,5.679181,6.537591,1.1512,23976,88448,vacuous,true,true,0,0,0,0,0,0,true,46656,8,false,1.1512,1.1508,0,1.1493,27.3338,23.7827,1,1,1,0,0,4.1877,1.1043,1.1042,107.0542,0.0906,96.9447,1,0,0.000000,true,true,true,true,0.014637,470.7065,408.9010,0,1,0,true,3.6890,32,0,false,0,648,648,0,648
thin_plate,manifold_dual_contouring,8,0,0,true,5.665529,6.514843,1.1499,23976,88448,vacuous,true,true,0,0,0,0,0,0,true,46656,8,false,1.1499,1.1495,0,1.1512,27.2690,23.6872,1,1,1,0,0,4.1809,1.1043,1.1042,107.0542,0.0907,96.9447,1,0,0.000000,true,true,true,true,0.014639,469.0687,407.9181,0,1,0,true,3.6890,32,0,false,0,648,648,0,648
