# experiment P-12 (R-005)
# hypothesis: The dual's superlinear cost is the four-cells-around-a-crossed-edge gather at stride n²: cache-miss count per sample rises with n for Surface Nets and stays flat for Marching Cubes.
# falsified by: Flat miss rates, pointing at branch misprediction or allocation instead.
# commit 7e46d77 on amd-ryzen-9-5900x-12-core at 2026-08-16T04:35:56Z
samples,extractor,cache_misses_per_sample,ns_per_sample,branch_misses_per_sample,counter_time_ratio,cycles_per_sample,dtlb_read_misses_per_sample,field,ghz,instructions_per_sample,ipc,l1d_read_misses_per_sample,page_faults_per_sample,samples_per_axis,shape,triangles
110592,marching_cubes,0.104149,8.0442,0.034297,1.0000,33.672,0.000018,sphere,4.186,138.751,4.121,0.402516,0.00000000,48,48x48x48,5180
110592,surface_nets,1.635209,34.4456,0.043647,1.0000,144.018,0.000253,sphere,4.181,210.481,1.461,2.028230,0.00000000,48,48x48x48,5184
110592,dual_contouring,1.706398,53.7379,0.879720,1.0000,224.641,0.000208,sphere,4.180,419.950,1.869,2.058702,0.00000000,48,48x48x48,5184
110592,marching_cubes,0.049325,6.7132,0.021656,1.0000,28.024,0.003979,empty,4.174,123.877,4.420,0.340196,0.00000000,48,48x48x48,0
110592,surface_nets,1.592303,33.0809,0.022759,1.0000,138.532,0.000470,empty,4.188,191.114,1.380,1.840287,0.00000000,48,48x48x48,0
110592,dual_contouring,1.617278,33.1048,0.022651,1.0000,138.438,0.000027,empty,4.182,192.457,1.390,1.838831,0.00000000,48,48x48x48,0
262144,marching_cubes,0.041142,7.8503,0.045628,1.0000,32.799,0.002270,sphere,4.178,136.744,4.169,0.402683,0.00000000,64,64x64x64,9452
262144,surface_nets,2.836422,37.4526,0.093872,1.0000,156.416,0.000359,sphere,4.176,209.614,1.340,4.093880,0.00000000,64,64x64x64,9456
262144,dual_contouring,2.877991,51.5327,0.661781,1.0000,215.560,0.000576,sphere,4.183,370.654,1.719,4.121315,0.00000000,64,64x64x64,9456
262144,marching_cubes,0.019047,6.7513,0.031384,1.0000,28.231,0.000023,empty,4.182,125.295,4.438,0.351948,0.00000000,64,64x64x64,0
262144,surface_nets,2.613396,36.2390,0.076920,1.0000,151.665,0.000130,empty,4.185,194.713,1.284,3.877384,0.00000000,64,64x64x64,0
262144,dual_contouring,2.701385,36.2302,0.076923,1.0000,151.594,0.000229,empty,4.184,195.972,1.293,3.907841,0.00000000,64,64x64x64,0
884736,marching_cubes,0.024521,7.5260,0.031414,1.0000,31.491,0.000058,sphere,4.184,134.396,4.268,0.406583,0.00000000,96,96x96x96,21356
884736,surface_nets,2.604662,38.1818,0.070068,1.0000,159.696,0.004489,sphere,4.183,208.345,1.305,3.997249,0.00000000,96,96x96x96,21360
884736,dual_contouring,2.462097,47.0007,0.376383,1.0000,196.501,0.003802,sphere,4.181,316.476,1.611,3.981635,0.00000000,96,96x96x96,21360
884736,marching_cubes,0.009546,6.8465,0.020877,1.0000,28.646,0.000584,empty,4.184,126.731,4.424,0.378625,0.00000000,96,96x96x96,0
884736,surface_nets,2.453658,37.5426,0.051615,1.0000,157.021,0.002438,empty,4.182,198.373,1.263,3.923263,0.00000000,96,96x96x96,0
884736,dual_contouring,2.472203,37.2433,0.051613,1.0000,155.737,0.002187,empty,4.182,199.548,1.281,3.915211,0.00000000,96,96x96x96,0
1404928,marching_cubes,0.024119,7.4770,0.026468,1.0000,31.287,0.000188,sphere,4.184,133.740,4.275,0.401657,0.00000000,112,112x112x112,29180
1404928,surface_nets,1.663904,36.0681,0.059767,1.0000,150.710,0.007889,sphere,4.178,208.010,1.380,2.092721,0.00000000,112,112x112x112,29184
