# experiment P-121 (R-121)
# hypothesis: BEFORE ANY OF GROUP A IS BUILT, DECOMPOSE EXTRACTION INTO FLOAT WORK AND INTEGER WORK. x51's rule requires it and x51 is itself the example of what happens without it: P-69's C1 asked for 2x on the marginal extraction cost from restructuring the SAMPLE loop, and the loop is 11.6% of that marginal -- not the 11.5% the research doc says -- so its ceiling was 1/(1 - 0.116/2) = 1.061x and the clause was unreachable however well the loop vectorised. STAGES, fixed at registration: sample (field evaluation), classify (the eight-sign case index), interpolate (crossing positions and normals), solve (dual only), emit (table lookup, triangle and quad push, edge-cache indexing), residual. Float = sample + interpolate + solve. Integer = classify + emit. INSTRUMENT: stage counters via common::counters::Probe (benches/common/counters.rs:86, Linux-gated at benches/common/mod.rs:26), reporting CYCLES AND INSTRUCTIONS; the verdict reads the counter form and not the clock, per x24 and M-281. experiment_p15 is the precedent for stage attribution in this crate and experiment_p12 is the precedent for refusing to run without counters. (C1) The stage decomposition ACCOUNTS FOR THE TOTAL: residual_share under 5% of measured cycles on EVERY row. (C2) Integer work -- classification plus the emit path's indexing -- is at least 15% of extraction on at least one reference field at 65 cubed. (C3) The split is real: on a SURFACE-FREE field the classification stage still runs and the emit stage does not, and the measured stage cycles move in exactly those directions. The surface-free control already exists and is reused rather than reinvented: sphere_surface_free, the same sphere sampled a long way from itself so every cell is inactive, at crates/isomesh/benches/experiment_p40.rs:84-93 and listed in its FIELDS. M-337 and x28 both scored on it, so it is the fixture with a published baseline. SHARE: this row IS the share instrument. It moves nothing and claims nothing; it produces the denominator that P-103, P-104 and P-106 are denominated in.
# falsified by: C1 by a residual_share above 5%, or any stage reading zero on a fixture where it must run -- either means the instrument cannot see what it claims to. A C2 total under 15% on every field CLOSES P-103, P-104 and P-106 ON THE SPOT, which is a cheap and valuable outcome and is NOT a failure of this row. C3 by emit cycles staying non-trivial on the surface-free arm or classify cycles falling to zero there. VACUITY CONTROL: every stage's cycle count non-zero on a field where it must run; residual_share reported PER ROW rather than pooled; and the surface-free arm's emit cycles at or near zero WITH classify non-zero, which is what proves the two are separable at all.
# commit 3cb450a on amd-ryzen-9-5900x-12-core at 2026-08-29T00:49:28Z
field,resolution,scalar,extractor,cycles_total,cycles_sample,cycles_classify,cycles_interpolate,cycles_solve,cycles_emit,cycles_residual,residual_share,float_share,integer_share,instructions_total,instructions_classify,instructions_emit,cells,active_cells,c1_holds,c2_holds,c3_holds,active_fraction,agreement_ratio,c3_classify_hold,c3_emit_walk_collapse,c3_emit_walk_collapse_instructions,cycles_emit_prepare,cycles_emit_walk,cycles_per_cell_mirror,cycles_per_cell_shipped,ghz,inner_reps,instructions_emit_prepare,instructions_emit_walk,instructions_interpolate,instructions_per_cell_total,instructions_sample,instructions_solve,ipc_total,max_reference_integer_share_at_65,mesh_identical_to_shipped,ns_per_cell,residual_share_rep_worst,residual_share_row_worst,residual_share_worst,residual_signed_share,triangles,vertices
sphere,33,f32,marching_cubes,915715.3,184970.3,535768.9,90074.7,0.0,103477.3,1424.1,0.001555,0.300361,0.698084,4063627.4,2756709.1,359249.0,32768,1160,true,true,true,0.035400,0.7806,0.9758,0.000894,0.000080,17767.7,85709.6,27.9454,35.7976,4.1781,137,23638.0,335611.0,214262.0,124.0121,733407.3,0.0,4.4377,0.724533,true,6.6886,0.166282,0.005195,0.003246,0.001555,2312,1158
torus,33,f32,marching_cubes,1107408.2,363752.2,530871.3,113083.4,0.0,100267.8,-566.5,0.000512,0.430587,0.569925,4176383.7,2756261.1,351009.0,32768,1128,true,true,true,0.034424,0.8110,0.9758,0.000894,0.000080,19049.2,81218.6,33.7954,41.6722,4.1775,113,23638.0,327371.0,227893.0,127.4531,841220.6,0.0,3.7713,0.724533,true,8.0898,0.166282,0.005195,0.029460,-0.000512,2256,1128
box_exact,33,f32,marching_cubes,1163833.1,402528.4,528309.7,125257.0,0.0,107605.5,132.5,0.000114,0.453489,0.546397,4902474.1,2759397.1,414762.0,32768,1352,true,true,true,0.041260,0.8190,0.9758,0.000894,0.000080,19113.8,88491.8,35.5174,43.3683,4.1819,109,23640.0,391122.0,306488.0,149.6116,1421826.9,0.0,4.2124,0.724533,true,8.4931,0.166282,0.005195,0.001239,0.000114,2696,1350
csg_difference,33,f32,marching_cubes,1429361.1,638817.6,530611.3,145055.3,0.0,115333.5,-456.6,0.000319,0.548408,0.451912,5593015.0,2759901.1,425257.0,32768,1388,true,true,true,0.042358,0.8400,0.9758,0.000894,0.000080,19748.2,95585.3,43.6206,51.9299,4.1818,88,23637.0,401620.0,371690.0,170.6853,2036166.8,0.0,3.9129,0.724533,true,10.4311,0.166282,0.005195,0.006279,-0.000319,2768,1386
thin_plate,33,f32,marching_cubes,1045257.6,402376.0,525754.9,62324.6,0.0,54326.1,476.0,0.000455,0.444580,0.554965,4464519.4,2747637.1,171148.0,32768,512,true,true,true,0.015625,0.8243,0.9758,0.000894,0.000080,19639.0,34687.0,31.8987,38.6984,4.1805,119,23640.0,147508.0,123908.0,136.2463,1421826.3,0.0,4.2712,0.724533,true,7.6303,0.166282,0.005195,0.008778,0.000455,1016,510
gyroid,33,f32,marching_cubes,5458614.4,2731334.6,636561.7,1485988.3,0.0,580082.3,24647.5,0.004515,0.772600,0.222885,17481882.3,2813829.2,1564415.1,32768,5240,true,true,true,0.159912,0.8869,0.9758,0.000894,0.000080,1840.9,578241.4,166.5837,187.8319,4.1887,23,23638.0,1540777.1,3310637.3,533.5047,9793000.7,0.0,3.2026,0.724533,true,39.7701,0.166282,0.005195,0.011407,0.004515,10632,5292
fbm_terrain,33,f32,marching_cubes,33045809.6,30348846.8,567201.8,1902145.5,0.0,217057.8,10557.9,0.000319,0.975948,0.023732,119306496.9,2767881.0,598502.0,32768,1958,true,true,true,0.059753,0.9877,0.9758,0.000894,0.000080,9743.0,207314.8,1008.4781,1021.0251,4.1805,4,23637.0,574865.0,6683276.5,3640.9453,109256837.2,0.0,3.6103,0.724533,true,241.2331,0.166282,0.005195,0.003166,0.000319,3946,2069
noise_cavity,33,f32,marching_cubes,11294393.8,7184321.5,582191.7,2749547.5,0.0,736011.2,42321.9,0.003747,0.879540,0.116713,41411455.6,2826933.1,1934055.2,32768,6176,true,true,true,0.188477,0.9640,0.9758,0.000894,0.000080,797.0,735214.2,344.6775,357.5315,4.1806,12,23639.0,1910416.2,9151380.7,1263.7773,27499086.7,0.0,3.6665,0.724533,true,82.4464,0.166282,0.005195,0.009738,0.003747,13236,6522
sphere_surface_free,33,f32,marching_cubes,725002.5,184746.8,522798.0,-277.7,0.0,17014.6,720.8,0.000994,0.254439,0.744566,3497557.0,2740469.1,23665.0,32768,0,true,true,true,0.000000,0.7928,0.9758,0.000894,0.000080,16938.0,76.7,22.1253,27.9080,4.1842,175,23638.0,27.0,17.0,106.7370,733405.9,0.0,4.8242,0.724533,true,5.2878,0.166282,0.005195,0.015775,0.000994,0,0
sphere,33,f64,marching_cubes,1060830.8,324088.1,526365.2,103421.3,0.0,104803.2,2153.0,0.002030,0.402995,0.594976,3991719.3,2756709.1,359249.0,32768,1160,true,true,true,0.035400,0.7925,0.9785,0.028102,0.000080,21348.8,83454.4,32.3740,40.8500,4.1862,119,23638.0,335611.0,213104.0,121.8176,662657.2,0.0,3.7628,0.724533,true,7.7335,0.166282,0.005195,0.008159,0.002030,2312,1158
torus,33,f64,marching_cubes,1459909.8,647726.6,538888.8,169465.4,0.0,105008.1,-1179.1,0.000808,0.559755,0.441053,4099992.2,2756261.1,351009.0,32768,1128,true,true,true,0.034424,0.8637,0.9785,0.028102,0.000080,20669.7,84338.4,44.5529,51.5819,4.1727,86,23638.0,327371.0,222250.0,125.1218,770472.0,0.0,2.8084,0.724533,true,10.6773,0.166282,0.005195,0.006557,-0.000808,2256,1128
box_exact,33,f64,marching_cubes,1158647.9,380183.7,521985.5,136400.0,0.0,115252.1,4826.6,0.004166,0.445850,0.549984,4832844.2,2759397.1,414762.0,32768,1352,true,true,true,0.041260,0.8037,0.9785,0.028102,0.000080,22640.8,92611.3,35.3591,43.9972,4.2000,108,23640.0,391122.0,306487.0,147.4867,1352198.0,0.0,4.1711,0.724533,true,8.4188,0.166282,0.005195,0.018134,0.004166,2696,1350
csg_difference,33,f64,marching_cubes,1483450.2,676015.1,522943.8,154602.2,0.0,133986.3,-4097.2,0.002762,0.559923,0.442839,5585339.4,2759901.1,425257.0,32768,1388,true,true,true,0.042358,0.8285,0.9785,0.028102,0.000080,30074.7,103911.6,45.2713,54.6440,4.2065,85,23637.0,401620.0,361769.0,170.4510,2038412.2,0.0,3.7651,0.724533,true,10.7623,0.166282,0.005195,0.005684,-0.002762,2768,1386
thin_plate,33,f64,marching_cubes,1012286.1,379998.3,517578.5,49344.4,0.0,60105.8,5259.2,0.005195,0.424132,0.570673,4386789.0,2747637.1,171148.0,32768,512,true,true,true,0.015625,0.7914,0.9785,0.028102,0.000080,21572.0,38533.7,30.8925,39.0358,4.2035,126,23640.0,147508.0,115807.0,133.8742,1352196.8,0.0,4.3335,0.724533,true,7.3493,0.166282,0.005195,0.015759,0.005195,1016,510
gyroid,33,f64,marching_cubes,8700037.0,5356706.2,678789.8,2057834.4,0.0,564646.7,42059.9,0.004834,0.852242,0.142923,28851971.8,2813829.2,1564415.1,32768,5240,true,true,true,0.159912,0.9282,0.9785,0.028102,0.000080,25726.3,538920.3,265.5041,286.0298,4.1896,15,23638.0,1540777.1,5487302.5,880.4923,18986425.0,0.0,3.3163,0.724533,true,63.3720,0.166282,0.005195,0.006748,0.004834,10632,5292
fbm_terrain,33,f64,marching_cubes,30089532.8,27550608.6,537279.4,1793945.2,0.0,206838.2,861.4,0.000029,0.975241,0.024730,118237113.4,2767881.2,598502.2,32768,1958,true,true,true,0.059753,0.9878,0.9785,0.028102,0.000080,20671.4,186166.8,918.2597,929.6441,4.1818,5,23637.8,574864.4,6581989.2,3608.3103,108288740.8,0.0,3.9295,0.724533,true,219.5859,0.166282,0.005195,0.007472,0.000029,3946,2069
