# experiment P-122 (R-122)
# hypothesis: STREAM VBYTE KEEPS A DENSE CONTROL STREAM AND A VARIABLE-LENGTH DATA STREAM SEPARATE SO THE DECODER NEVER BRANCHES ON PAYLOAD, AND ONLY THE LAYOUT TRANSFERS HERE. What this registration must state: Stream VByte's 4 billion integers per second on a 3.4 GHz Haswell is the SIMD path, so that figure is NOT A COMPARAND for a scalar arm and must not be scored against. (C1) Splitting the per-cell case index into a dense control stream and the variable-length vertex payload into a second stream REDUCES BRANCH MISPREDICTIONS PER CELL. (C2) Total instructions per cell rise by no more than 10%. (C3) Identical mesh. INSTRUMENT: common::counters::Probe's BRANCH_MISSES; refuse and exit(1) off Linux, because it is the only instrument that can see the quantity C1 is about. SHARE: C1 is a per-cell counter ratio rather than a fraction of extraction time, and C2 is a cost bound -- so no time claim is made and x51's bar does not apply. Whether a misprediction reduction is worth anything in wall time is a question this row deliberately does not answer.
# falsified by: C1 by no branch-misprediction reduction, measured with counters on Linux. C2 by instructions per cell rising more than 10%, which would mean the split pays for itself in the other currency. C3 by any mesh difference. VACUITY CONTROL: branch_misses_per_cell_single must be NON-ZERO on the single-stream arm, or there is no misprediction to remove and the ratio is division by a floor.
# commit 8098ba4 on amd-ryzen-9-5900x-12-core at 2026-08-29T00:50:29Z
field,resolution,arm,branch_misses_per_cell_single,branch_misses_per_cell_split,branch_miss_ratio,instructions_per_cell_single,instructions_per_cell_split,instruction_ratio,mesh_identical,c1_holds,c2_holds,c3_holds,active_fraction,best_branch_miss_ratio,branch_miss_ratio_rep_best,branch_miss_ratio_rep_worst,branch_miss_ratio_single_first,branch_miss_ratio_split_first,branch_misses_per_cell,c1_holds_all_rows,c2_holds_all_rows,c3_holds_all_rows,cache_misses_per_cell,cells,control_stream_bytes,count_ones_calls_per_cell_single,count_ones_calls_per_cell_split,cycles_per_cell,emitting_cells,extra_branch_misses_per_pass,extra_branch_misses_per_x_row,extractor,gather_calls_ratio,gather_calls_single,gather_calls_split,ghz,inner_reps,instruction_ratio_rep_spread,instructions_per_cell,ipc,l1d_read_misses_per_cell,mesh_identical_to_shipped,ns_per_cell,payload_length_table_bytes,reps,rows_reducing_branch_misses,rows_total,scalar,target_feature_popcnt,triangles,vertices,worst_branch_miss_ratio,worst_instruction_ratio,x_rows
sphere,65,single_stream,0.024674,0.037078,1.502735,125.5091,109.4621,0.872145,true,false,true,true,0.018158,1.001214,1.002769,1.655544,1.446452,1.644490,0.024674,false,true,true,0.037026,262144,262144,0,0,29.0943,4760,3251.7,0.7939,marching_cubes,1.018158,262144,266904,4.1795,55,0.000000,125.5091,4.3139,0.367655,true,6.961270,256,16,0,16,f32,false,9512,4758,1.983313,0.970606,4096
sphere,65,split_stream,0.024674,0.037078,1.502735,125.5091,109.4621,0.872145,true,false,true,true,0.018158,1.001214,1.002769,1.655544,1.446452,1.644490,0.037078,false,true,true,0.037720,262144,262144,0,0,23.2190,4760,3251.7,0.7939,marching_cubes,1.018158,262144,266904,4.1835,55,0.000000,109.4621,4.7143,0.416113,true,5.550124,256,16,0,16,f32,false,9512,4758,1.983313,0.970606,4096
torus,65,single_stream,0.024422,0.038001,1.555982,125.0575,108.8253,0.870201,true,false,true,true,0.016052,1.001214,1.038292,1.701514,1.584261,1.533720,0.024422,false,true,true,0.029824,262144,262144,0,0,29.3147,4208,3559.5,0.8690,marching_cubes,1.016052,262144,266352,4.1825,55,0.000000,125.0575,4.2660,0.366007,true,7.008879,256,16,0,16,f32,false,8416,4208,1.983313,0.970606,4096
torus,65,split_stream,0.024422,0.038001,1.555982,125.0575,108.8253,0.870201,true,false,true,true,0.016052,1.001214,1.038292,1.701514,1.584261,1.533720,0.038001,false,true,true,0.034007,262144,262144,0,0,23.3567,4208,3559.5,0.8690,marching_cubes,1.016052,262144,266352,4.1831,55,0.000000,108.8253,4.6593,0.399291,true,5.583539,256,16,0,16,f32,false,8416,4208,1.983313,0.970606,4096
box_exact,65,single_stream,0.012793,0.020567,1.607726,128.3586,112.6500,0.877619,true,false,true,true,0.022003,1.001214,1.019680,2.249289,1.167167,2.172868,0.012793,false,true,true,0.040849,262144,262144,0,0,29.7175,5768,2038.1,0.4976,marching_cubes,1.022003,262144,267912,4.1796,54,0.000000,128.3586,4.3193,0.378835,true,7.110141,256,16,0,16,f32,false,11528,5766,1.983313,0.970606,4096
box_exact,65,split_stream,0.012793,0.020567,1.607726,128.3586,112.6500,0.877619,true,false,true,true,0.022003,1.001214,1.019680,2.249289,1.167167,2.172868,0.020567,false,true,true,0.037524,262144,262144,0,0,23.8472,5768,2038.1,0.4976,marching_cubes,1.022003,262144,267912,4.1775,54,0.000000,112.6500,4.7238,0.435650,true,5.708514,256,16,0,16,f32,false,11528,5766,1.983313,0.970606,4096
csg_difference,65,single_stream,0.016412,0.018460,1.124802,130.4124,114.7864,0.880180,true,false,true,true,0.022942,1.001214,0.745632,1.977162,1.021102,1.945659,0.016412,false,true,true,0.036021,262144,262144,0,0,30.3116,6014,536.9,0.1311,marching_cubes,1.022942,262144,268158,4.1821,53,0.000000,130.4124,4.3024,0.382197,true,7.247911,256,16,0,16,f32,false,12020,6012,1.983313,0.970606,4096
csg_difference,65,split_stream,0.016412,0.018460,1.124802,130.4124,114.7864,0.880180,true,false,true,true,0.022942,1.001214,0.745632,1.977162,1.021102,1.945659,0.018460,false,true,true,0.038470,262144,262144,0,0,24.4079,6014,536.9,0.1311,marching_cubes,1.022942,262144,268158,4.1821,53,0.000000,114.7864,4.7028,0.438007,true,5.836275,256,16,0,16,f32,false,12020,6012,1.983313,0.970606,4096
thin_plate,65,single_stream,0.016040,0.024516,1.528453,121.6606,104.7032,0.860617,true,false,true,true,0.007812,1.001214,1.016304,1.997036,1.134341,1.821986,0.016040,false,true,true,0.016685,262144,262144,0,0,27.4342,2048,2222.0,0.5425,marching_cubes,1.007812,262144,264192,4.1802,58,0.000000,121.6606,4.4346,0.344710,true,6.562935,256,16,0,16,f32,false,4088,2046,1.983313,0.970606,4096
thin_plate,65,split_stream,0.016040,0.024516,1.528453,121.6606,104.7032,0.860617,true,false,true,true,0.007812,1.001214,1.016304,1.997036,1.134341,1.821986,0.024516,false,true,true,0.016801,262144,262144,0,0,21.3175,2048,2222.0,0.5425,marching_cubes,1.007812,262144,264192,4.1836,58,0.000000,104.7032,4.9116,0.369302,true,5.095504,256,16,0,16,f32,false,4088,2046,1.983313,0.970606,4096
