# experiment P-13 (R-006)
# hypothesis: M-66's non-convergent angle is bounded below by the dihedral angle of the feature, so it is a property of sharp edges rather than of resolution and is predictable from the field.
# falsified by: The angle failing to track the dihedral prediction, which makes it a defect with a location rather than a property.
# commit ddee724 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-16T06:27:38Z
dihedral_deg,samples,measured_angle_deg,predicted_angle_deg,apex,cell_size,extractor,inverted_offsurface_cells,inverted_vertices,mean_angle_deg,median_angle_deg,p99_angle_deg,rotation_deg,triangles,vertices_counted
30.0,17,75.0000,75.0000,aligned,2.50000000000000000e-1,marching_cubes,0.0000,0,13.8889,0.0000,75.0000,0,960,405
30.0,17,75.0178,75.0000,aligned,2.50000000000000000e-1,dual_contouring,0.0000,0,12.0644,0.0220,75.0178,0,870,364
30.0,33,75.0000,75.0000,aligned,1.25000000000000000e-1,marching_cubes,0.0000,0,6.3559,0.0000,75.0000,0,3840,1829
30.0,33,75.0178,75.0000,aligned,1.25000000000000000e-1,dual_contouring,0.0000,0,5.4082,0.0000,75.0178,0,3658,1740
30.0,65,75.0000,75.0000,aligned,6.25000000000000000e-2,marching_cubes,0.0000,0,4.4118,0.0000,75.0000,0,15360,7497
30.0,65,89.0362,75.0000,aligned,6.25000000000000000e-2,dual_contouring,0.0000,0,6.9494,0.0000,89.0362,0,14994,7316
30.0,129,75.0000,75.0000,aligned,3.12500000000000000e-2,marching_cubes,0.0000,0,5.6639,0.0000,75.0000,0,61952,30607
30.0,129,90.9638,75.0000,aligned,3.12500000000000000e-2,dual_contouring,0.0000,504,6.9620,0.0000,90.9638,0,61214,30240
30.0,17,75.0000,75.0000,offset,2.50000000000000000e-1,marching_cubes,0.0000,0,6.8916,0.0000,75.0000,0,800,360
30.0,17,75.0152,75.0000,offset,2.50000000000000000e-1,dual_contouring,0.0000,0,11.2110,0.0000,75.0152,0,720,322
30.0,33,75.0000,75.0000,offset,1.25000000000000000e-1,marching_cubes,0.0000,0,5.2519,0.0000,75.0000,0,3520,1674
30.0,33,90.9638,75.0000,offset,1.25000000000000000e-1,dual_contouring,0.0000,60,4.7882,0.0000,90.9638,0,3348,1590
30.0,65,75.0000,75.0000,offset,6.25000000000000000e-2,marching_cubes,0.0000,0,4.2922,0.0000,75.0000,0,14976,7245
30.0,65,90.9638,75.0000,offset,6.25000000000000000e-2,dual_contouring,0.0000,310,4.9008,0.0000,90.9638,0,14616,7068
30.0,129,75.0000,75.0000,offset,3.12500000000000000e-2,marching_cubes,0.0000,0,2.0280,0.0000,75.0000,0,61184,29972
30.0,129,90.9638,75.0000,offset,3.12500000000000000e-2,dual_contouring,0.0000,378,4.4049,0.0000,90.9638,0,60452,29610
30.0,17,90.9638,75.0000,aligned,2.50000000000000000e-1,marching_cubes,0.0000,15,15.4440,0.0000,90.9638,17,896,390
30.0,17,60.9952,75.0000,aligned,2.50000000000000000e-1,dual_contouring,0.0000,0,9.2939,0.2709,60.9952,17,810,350
30.0,33,90.9638,75.0000,aligned,1.25000000000000000e-1,marching_cubes,0.0000,62,14.2736,0.0000,90.9638,17,3776,1798
30.0,33,60.9952,75.0000,aligned,1.25000000000000000e-1,dual_contouring,0.0000,0,5.9143,0.1271,60.9952,17,3596,1710
30.0,65,90.9638,75.0000,aligned,6.25000000000000000e-2,marching_cubes,0.0000,189,12.1043,0.0000,90.9638,17,15744,7686
30.0,65,88.7515,75.0000,aligned,6.25000000000000000e-2,dual_contouring,0.0000,0,7.4880,0.1702,75.0000,17,15372,7502
30.0,129,90.9638,75.0000,aligned,3.12500000000000000e-2,marching_cubes,0.0000,508,9.7710,0.0000,90.9638,17,64256,31750
30.0,129,89.0362,75.0000,aligned,3.12500000000000000e-2,dual_contouring,0.0000,0,5.8522,0.1533,78.4349,17,63500,31374
30.0,17,75.0000,75.0000,offset,2.50000000000000000e-1,marching_cubes,0.0000,0,7.4815,0.0000,75.0000,17,896,390
30.0,17,75.0000,75.0000,offset,2.50000000000000000e-1,dual_contouring,0.0000,0,7.6002,0.0516,75.0000,17,810,350
30.0,33,89.0362,75.0000,offset,1.25000000000000000e-1,marching_cubes,0.0000,0,6.5857,0.0000,89.0362,17,3904,1829
30.0,33,74.7766,75.0000,offset,1.25000000000000000e-1,dual_contouring,0.0000,0,4.1273,0.0242,74.7766,17,3720,1740
30.0,65,89.0362,75.0000,offset,6.25000000000000000e-2,marching_cubes,0.0000,0,7.0468,0.0000,78.4349,17,16000,7749
