# experiment P-130 (R-130)
# hypothesis: de Silva & Lim sec 6: rank is 2 on {Delta > 0} and 3 on {Delta < 0}. A cell's real tensor rank is therefore computable from a sign the crate already computes. (C1) Across eight fields at three resolutions, the (Delta > 0, Delta < 0, Delta = 0) partition is stable and Delta = 0 is rare -- under 0.1% of surface cells at f64. (C2) Real tensor rank carries information about ambiguity that the 8-bit case index does not: mutual information between rank and 'this cell is ambiguous' exceeds that between rank and the case index by a stated margin. (C3) On sphere, where no cell is ambiguous, rank is 2 on essentially every surface cell -- the control that says the statistic is not measuring noise. SHARE: C1 and C2 are counts, not timings, and move nothing; they decide whether Group A continues past P-131.
# falsified by: C1 by an unstable partition or Delta = 0 above 0.1%, the latter meaning the degenerate stratum is common enough that P-131 becomes urgent rather than optional. C2 by rank being a function of the case index, which would make it a renaming with no new signal -- the most likely outcome and worth knowing cheaply. C3 by sphere showing rank-3 cells, which would say the statistic is dominated by arithmetic rather than geometry. VACUITY CONTROL: gyroid and csg_difference must contribute a non-zero ambiguous-cell count, or C2's mutual information is computed against a constant.
# commit 08ce8bd on amd-ryzen-9-5900x-12-core at 2026-08-30T14:08:32Z
field,resolution,cells,delta_positive,delta_negative,delta_zero,rank_two_cells,rank_three_cells,ambiguous_cells,rank_vs_case_index_agreement,mutual_information,c1_holds,c2_holds,c3_holds,ambiguous_share,c1_stability_bar,c1_stability_holds,c1_zero_bar,c1_zero_bar_holds,c2_margin_required_bits,c2_unreachable,c3_rank_two_bar,c3_scope,case_index_lift,cayley_sign_disagreements,cayley_zero_only_cells,crate_zero_only_cells,degenerate_pairing_disagreements,delta_negative_share,delta_positive_share,delta_zero_share,entropy_ambiguous_bits,entropy_case_index_bits,entropy_rank_bits,grid_cells,max_abs_delta,mi_against_a_constant,mi_ambiguous_share_of_case,mi_gap_bits,mi_rank_case_index_bits,mi_units,min_abs_nonzero_delta,non_finite_samples,partition_share_range,rank_classes_present,rank_is_a_function_of_case_index,rank_majority_share,rank_one_cells,rank_three_share,rank_two_share,rank_zero_cells,surface_share,vacuity_control_as_registered_holds,vacuity_csg_difference_ambiguous_cells,vacuity_gyroid_ambiguous_cells,vacuity_rows_with_ambiguity
sphere,17,272,272,0,0,272,0,0,1.000000,0.000000,false,false,true,0.000000,0.050000,true,0.001000,true,0.010000,true,0.990000,sphere,0.000000,0,0,0,0,0.000000,1.000000,0.000000,0.000000,5.839642,0.000000,4096,7.651622e-5,true,0.000000,0.000000,0.000000,bits_log2,8.131902e-7,0,0.000000,1,true,1.000000,0,0.000000,1.000000,0,0.066406,false,0,211,9
sphere,33,1160,1160,0,0,1160,0,0,1.000000,0.000000,false,false,true,0.000000,0.050000,true,0.001000,true,0.010000,true,0.990000,sphere,0.000000,0,0,0,0,0.000000,1.000000,0.000000,0.000000,6.151895,0.000000,32768,1.277334e-6,true,0.000000,0.000000,0.000000,bits_log2,6.710040e-10,0,0.000000,1,true,1.000000,0,0.000000,1.000000,0,0.035400,false,0,211,9
sphere,65,4760,4760,0,0,4760,0,0,1.000000,0.000000,false,false,true,0.000000,0.050000,true,0.001000,true,0.010000,true,0.990000,sphere,0.000000,0,0,0,0,0.000000,1.000000,0.000000,0.000000,6.300073,0.000000,262144,1.984531e-8,true,0.000000,0.000000,0.000000,bits_log2,5.836825e-13,0,0.000000,1,true,1.000000,0,0.000000,1.000000,0,0.018158,false,0,211,9
torus,17,328,328,0,0,328,0,0,1.000000,0.000000,false,false,true,0.000000,0.050000,true,0.001000,true,0.010000,true,0.990000,other,0.000000,0,0,0,0,0.000000,1.000000,0.000000,0.000000,5.859681,0.000000,4096,6.140228e-4,true,0.000000,0.000000,0.000000,bits_log2,6.067034e-6,0,0.000000,1,true,1.000000,0,0.000000,1.000000,0,0.080078,false,0,211,9
torus,33,1128,1128,0,0,1128,0,0,1.000000,0.000000,false,false,true,0.000000,0.050000,true,0.001000,true,0.010000,true,0.990000,other,0.000000,0,0,0,0,0.000000,1.000000,0.000000,0.000000,6.057376,0.000000,32768,1.440741e-5,true,0.000000,0.000000,0.000000,bits_log2,2.456169e-8,0,0.000000,1,true,1.000000,0,0.000000,1.000000,0,0.034424,false,0,211,9
torus,65,4208,4208,0,0,4208,0,0,1.000000,0.000000,false,false,true,0.000000,0.050000,true,0.001000,true,0.010000,true,0.990000,other,0.000000,0,0,0,0,0.000000,1.000000,0.000000,0.000000,5.938157,0.000000,262144,2.587654e-7,true,0.000000,0.000000,0.000000,bits_log2,3.905590e-11,0,0.000000,1,true,1.000000,0,0.000000,1.000000,0,0.016052,false,0,211,9
box_exact,17,296,0,0,296,0,0,0,1.000000,0.000000,false,false,true,0.000000,0.050000,true,0.001000,false,0.010000,true,0.990000,other,0.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,3.808031,0.000000,4096,0.000000e0,true,0.000000,0.000000,0.000000,bits_log2,inf,0,0.000000,1,true,1.000000,296,0.000000,0.000000,0,0.072266,false,0,211,9
box_exact,33,1352,0,0,1352,0,0,0,1.000000,0.000000,false,false,true,0.000000,0.050000,true,0.001000,false,0.010000,true,0.990000,other,0.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,3.304330,0.000000,32768,0.000000e0,true,0.000000,0.000000,0.000000,bits_log2,inf,0,0.000000,1,true,1.000000,1352,0.000000,0.000000,0,0.041260,false,0,211,9
box_exact,65,5768,0,0,5768,0,0,0,1.000000,0.000000,false,false,true,0.000000,0.050000,true,0.001000,false,0.010000,true,0.990000,other,0.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,2.999941,0.000000,262144,0.000000e0,true,0.000000,0.000000,0.000000,bits_log2,inf,0,0.000000,1,true,1.000000,5768,0.000000,0.000000,0,0.022003,false,0,211,9
csg_difference,17,296,43,7,246,70,9,0,0.868243,0.000000,false,false,true,0.000000,0.050000,true,0.001000,false,0.010000,true,0.990000,other,0.135135,1,1,0,0,0.023649,0.145270,0.831081,0.000000,4.317739,0.973522,4096,1.609798e-4,true,0.000000,0.646019,0.646019,bits_log2,1.694066e-21,0,0.013838,3,false,0.733108,217,0.030405,0.236486,0,0.072266,false,0,211,9
csg_difference,33,1388,201,27,1160,256,27,0,0.915706,0.000000,false,false,true,0.000000,0.050000,true,0.001000,false,0.010000,true,0.990000,other,0.119597,2,2,0,0,0.019452,0.144813,0.835735,0.000000,3.994476,0.822261,32768,3.246230e-5,true,0.000000,0.503897,0.503897,bits_log2,1.355253e-20,0,0.013838,3,false,0.796110,1105,0.019452,0.184438,0,0.042358,false,0,211,9
csg_difference,65,6014,933,59,5022,1076,59,0,0.929830,0.000000,false,false,true,0.000000,0.050000,true,0.001000,false,0.010000,true,0.990000,other,0.118557,10,10,0,0,0.009810,0.155138,0.835052,0.000000,3.852653,0.754428,262144,4.428584e-6,true,0.000000,0.473583,0.473583,bits_log2,1.654361e-24,0,0.013838,3,false,0.811274,4879,0.009810,0.178916,0,0.022942,false,0,211,9
thin_plate,17,128,8,0,120,56,0,0,1.000000,0.000000,false,false,true,0.000000,0.050000,false,0.001000,false,0.010000,true,0.990000,other,0.437500,96,0,96,0,0.000000,0.062500,0.937500,0.000000,3.122556,0.988699,4096,8.813477e-6,true,0.000000,0.988699,0.988699,bits_log2,8.813477e-6,0,0.058594,2,true,0.562500,72,0.000000,0.437500,0,0.031250,false,0,211,9
thin_plate,33,512,8,0,504,120,0,0,1.000000,0.000000,false,false,true,0.000000,0.050000,false,0.001000,false,0.010000,true,0.990000,other,0.234375,252,0,252,0,0.000000,0.015625,0.984375,0.000000,2.337129,0.785560,32768,1.977539e-6,true,0.000000,0.785560,0.785560,bits_log2,1.977539e-6,0,0.058594,2,true,0.765625,392,0.000000,0.234375,0,0.015625,false,0,211,9
