# experiment P-133 (R-133)
# hypothesis: Delta is a degree-4 polynomial in 8 inputs -- squarely in the range where Shewchuk's adaptive-precision expansions (10.1007/pl00009321, already mined at 5 files) give an exactly-correct sign, and where a floating-point filter takes the exact path on a small minority of cells. (C1) At f32, the sign of Delta disagrees with the exact sign on a non-zero fraction of surface cells on at least two reference fields. (C2) A filtered exact predicate costs under 1.5x the naive float evaluation in aggregate, because the filter succeeds on the overwhelming majority of cells. (C3) Correcting the sign changes the mesh -- a non-zero triangle delta, or a non-zero change in T-001's non-manifold-edge count -- on at least one field. SHARE: C2 moves the body-saddle stage only, whose share of extraction must be reported alongside.
# falsified by: C1 by zero disagreements at f32, which would say the predicate is not near-degenerate on real fields and retire C2 and C3 with it. C2 by above 1.5x. C3 by no mesh change, which would mean the sign errors fall on cells whose classification does not reach the output -- interesting, and a reason to look at where they do fall. VACUITY CONTROL: at least one field must produce cells with |Delta| below the f32 error bound, reported as a count, or C1 is measuring a problem the fixture excludes.
# commit 88a16c2 on amd-ryzen-9-5900x-12-core at 2026-08-30T14:08:53Z
field,resolution,scalar,cells,sign_disagreements_f32,sign_disagreements_f64,disagreement_rate,exact_ms,float_ms,overhead_ratio,filtered_fallback_rate,triangles_changed,nonmanifold_delta,c1_holds,c2_holds,c3_holds,ambiguous_cell_rate,ambiguous_cells,below_bound_this_scalar,below_f32_error_bound,below_f64_error_bound,c1_row,c2_aggregate_f32,c2_aggregate_f64,c2_aggregate_ratio,c2_row,c3_row,case_index_disagreements,disc_sign_cells_changed,exact_max_ms,exact_min_ms,exact_negative,exact_positive,exact_terms,exact_zero,extract_max_ms,extract_min_ms,extract_ms,extract_repeats,f64_is_the_corrected_arm,fields_disagreeing_f32,fields_disagreeing_names,filter_certified_wrong,filter_depth_u,filter_fallbacks,filter_relative_bound,float_max_ms,float_min_ms,grid_cells,hexagon_cells_changed,inside_mask_cells_changed,joined_mask_cells_changed,max_abs_corner,min_abs_nonzero_corner,nonfinite_deltas,nonmanifold_edges_f32,nonmanifold_edges_f64,overhead_ratio_scatter,repeats,saddle_share,saddle_stage_ms,saddle_stage_scatter,samples_per_axis,sign_disagreements_f32_ambiguous,surface_cell_rate,triangles_f32,triangles_f64
sphere,33x33x33,f32,1160,0,0,0.000000000,0.055720,0.002660,20.947368,0.056896552,0,0,true,false,true,0.000000000,0,66,66,0,false,73.915085,31.808681,54.278948,false,false,0,0,0.065700,0.055241,0,1160,12,0,1.153909,0.925978,0.938167,3,true,2,csg_difference|fbm_terrain,0,26.0,66,1.549721e-6,0.002960,0.002640,32768,0,0,0,2.464102e0,7.782219e-3,0,0,0,0.308007,9,0.000618,0.000580,0.068966,33,0,0.035400391,2312,2312
sphere,33x33x33,f64,1160,0,0,0.000000000,0.008900,0.002290,3.886463,0.000000000,0,0,true,false,true,0.000000000,0,0,66,0,false,73.915085,31.808681,54.278948,false,false,0,0,0.009010,0.008880,0,1160,12,0,1.101709,0.905327,0.919487,3,true,2,csg_difference|fbm_terrain,0,26.0,0,2.886580e-15,0.002410,0.002270,32768,0,0,0,2.464102e0,7.782219e-3,0,0,0,0.075742,9,0.000326,0.000300,0.533333,33,0,0.035400391,2312,2312
sphere,65x65x65,f32,4760,0,0,0.000000000,0.998218,0.011190,89.206256,0.248319328,0,0,true,false,true,0.000000000,0,1182,1182,0,false,73.915085,31.808681,54.278948,false,false,0,0,1.010918,0.996178,0,4760,12,0,7.437679,6.508381,6.513551,3,true,2,csg_difference|fbm_terrain,0,26.0,1182,1.549721e-6,0.011270,0.010850,262144,0,0,0,2.464102e0,1.951221e-3,0,0,0,0.052300,9,0.000353,0.002300,0.017391,65,0,0.018157959,9512,9512
sphere,65x65x65,f64,4760,0,0,0.000000000,0.036550,0.009590,3.811262,0.000000000,0,0,true,false,true,0.000000000,0,0,1182,0,false,73.915085,31.808681,54.278948,false,false,0,0,0.039850,0.036481,0,4760,12,0,7.221517,6.296690,6.331040,3,true,2,csg_difference|fbm_terrain,0,26.0,0,2.886580e-15,0.010030,0.009370,262144,0,0,0,2.464102e0,1.951221e-3,0,0,0,0.160997,9,0.000281,0.001780,0.651685,65,0,0.018157959,9512,9512
sphere,129x129x129,f32,19232,0,0,0.000000000,6.788574,0.044160,153.726766,0.416493344,0,0,true,false,true,0.000000000,0,8010,8010,0,false,73.915085,31.808681,54.278948,false,false,0,0,6.837344,6.778133,0,19232,12,0,53.116649,49.512671,49.632322,3,true,2,csg_difference|fbm_terrain,0,26.0,8010,1.549721e-6,0.044651,0.043890,2097152,0,0,0,2.464102e0,4.881621e-4,0,0,0,0.025955,9,0.000185,0.009190,0.088139,129,0,0.009170532,38456,38456
sphere,129x129x129,f64,19232,0,0,0.000000000,0.148341,0.038481,3.854915,0.000000000,0,0,true,false,true,0.000000000,0,0,8010,0,false,73.915085,31.808681,54.278948,false,false,0,0,0.148881,0.147961,0,19232,12,0,51.559918,47.902198,48.417582,3,true,2,csg_difference|fbm_terrain,0,26.0,0,2.886580e-15,0.039361,0.037780,2097152,0,0,0,2.464102e0,4.881621e-4,0,0,0,0.047287,9,0.000095,0.004610,1.000000,129,0,0.009170532,38456,38456
torus,33x33x33,f32,1128,0,0,0.000000000,0.011630,0.002580,4.507752,0.003546099,0,0,true,false,true,0.000000000,0,4,4,0,false,73.915085,31.808681,54.278948,false,false,0,0,0.012440,0.011570,0,1128,12,0,1.145439,0.926418,0.927607,3,true,2,csg_difference|fbm_terrain,0,26.0,4,1.549721e-6,0.002610,0.002550,32768,0,0,0,2.409824e0,1.441754e-3,0,0,0,0.098062,9,0.000604,0.000560,0.089286,33,0,0.034423828,2256,2256
torus,33x33x33,f64,1128,0,0,0.000000000,0.008640,0.002240,3.857143,0.000000000,0,0,true,false,true,0.000000000,0,0,4,0,false,73.915085,31.808681,54.278948,false,false,0,0,0.008820,0.008640,0,1128,12,0,0.912218,0.897327,0.900057,3,true,2,csg_difference|fbm_terrain,0,26.0,0,2.886580e-15,0.002300,0.002210,32768,0,0,0,2.409824e0,1.441754e-3,0,0,0,0.061012,9,0.000322,0.000290,0.586207,33,0,0.034423828,2256,2256
torus,65x65x65,f32,4208,0,0,0.000000000,0.146111,0.009950,14.684523,0.035171103,0,0,true,false,true,0.000000000,0,148,148,0,false,73.915085,31.808681,54.278948,false,false,0,0,0.153201,0.145652,0,4208,12,0,7.189057,6.424440,6.467542,3,true,2,csg_difference|fbm_terrain,0,26.0,148,1.549721e-6,0.010030,0.009530,262144,0,0,0,2.409824e0,1.741028e-4,0,0,0,0.101917,9,0.000314,0.002030,0.019704,65,0,0.016052246,8416,8416
torus,65x65x65,f64,4208,0,0,0.000000000,0.032270,0.008520,3.787559,0.000000000,0,0,true,false,true,0.000000000,0,0,148,0,false,73.915085,31.808681,54.278948,false,false,0,0,0.032290,0.032200,0,4208,12,0,6.401880,6.200919,6.205519,3,true,2,csg_difference|fbm_terrain,0,26.0,0,2.886580e-15,0.008710,0.008130,262144,0,0,0,2.409824e0,1.741028e-4,0,0,0,0.070864,9,0.000166,0.001030,0.514563,65,0,0.016052246,8416,8416
