# experiment P-139 (R-139)
# hypothesis: Viro's combinatorial patchworking builds a real algebraic hypersurface from signs at the lattice points of a Newton polytope, glued over a triangulation, and states when the piecewise-linear result is isotopic to the true hypersurface. Signs at the eight corners of a cube, glued over the Kuhn/Freudenthal triangulation, is marching tetrahedra. The theorem's hypothesis is that the triangulation be regular (induced by a convex lifting). (C1) The Kuhn triangulation of the unit cube is regular, demonstrated by exhibiting an explicit convex lifting function, or shown not to be -- this single fact decides the whole transfer. (C2) If regular, the patchworked surface is isotopic to a real algebraic hypersurface, and that isotopy claim agrees with T-015's Plantinga-Vegter checker on every cell of every reference field. (C3) The connection to the existing Lovasz-extension framing is made explicit: the Lovasz extension is PL interpolation over exactly this triangulation, so 2026-08-23's 'marching tetrahedra contours the Lovasz extension' and Viro's construction are the same statement from two fields. SHARE: none -- this is a theorem acquisition.
# falsified by: C1 by non-regularity, which kills the transfer in an afternoon and is the outcome to hope for if the alternative is a long shot. C2 by disagreement with T-015, which would mean one of the two instruments is wrong and finding out which is worth more than the transfer. C3 by the two framings differing, which would be genuinely surprising. VACUITY CONTROL: T-015 must report at least one isotopy failure somewhere in the corpus of test cells, or C2's agreement is agreement on a constant.
# commit 695933f on amd-ryzen-9-5900x-12-core at 2026-08-30T09:28:22Z
triangulation,lifting_function,is_regular,secondary_polytope_vertex,patchworking_applies,isotopy_agreement,pv_disagreements,cells_checked,c1_holds,c2_holds,c3_holds,active_cells,agreement_hypotheses_only,certified_cells,certified_multi_component,coeff_signs_match,coeff_zero_cells,control_first_violation,diamonds_are_regularity_rows,distinct_inequalities,exact_zero_corner_cells,farkas_certificates,farkas_total_weight,field,fixtures_fired,fm_feasible,fm_max_coefficient,fm_max_stage_rows,fm_stage_rows,hull_facets,kuhn_cell_local_edges,kuhn_edge_census,kuhn_max_components,kuhn_max_cut_edges,kuhn_max_triangles,kuhn_normalised_volume,kuhn_unimodular,lifting_closed_form,lifting_heights,liftings_accepted,liftings_rejected,liftings_tested,lovasz_mismatches,lovasz_probes,pw_no_pv_yes,pw_yes_pv_no,regularity_inequalities,rejected_liftings,report_matches_walk,resolution,solver_refuses_infeasible,strict_submodular_iff_kuhn,submodular_diamonds,t_components_differ,uncertified_cells,uncertified_multi_component,wall_ms,weak_submodular_iff_convex,witness_matches_exhibited,witness_verified
kuhn_freudenthal_six_tet,neg_pairs_of_set_bits,true,6|2|2|2|2|2|2|6,false,0.979310,24,32768,true,false,true,1160,1.000000,1160,0,54,3,t0/v2,true,9,24,9,12,sphere,4,true,1,9,9|3|2|1|1|0|0|0|0,6,19,12|6|1,3,13,12,6,true,w(S)=-|S|*(|S|-1)/2,0|0|0|-1|0|-1|-1|-3,3,4,7,0,15379,24,0,24,abs_squared|staircase_order|pos_pairs_of_set_bits|one_diamond_flipped,true,33,true,7of7,6,267,0,0,0.555,7of7,true,true
kuhn_freudenthal_six_tet,neg_pairs_of_set_bits,true,6|2|2|2|2|2|2|6,false,0.994958,24,262144,true,false,true,4760,1.000000,4760,0,228,3,t0/v2,true,9,24,9,12,sphere,4,true,1,9,9|3|2|1|1|0|0|0|0,6,19,12|6|1,3,13,12,6,true,w(S)=-|S|*(|S|-1)/2,0|0|0|-1|0|-1|-1|-3,3,4,7,0,15379,24,0,24,abs_squared|staircase_order|pos_pairs_of_set_bits|one_diamond_flipped,true,65,true,7of7,6,1143,0,0,3.561,7of7,true,true
kuhn_freudenthal_six_tet,neg_pairs_of_set_bits,true,6|2|2|2|2|2|2|6,true,1.000000,0,32768,true,true,true,1128,1.000000,1128,0,11,0,t0/v2,true,9,0,9,12,torus,4,true,1,9,9|3|2|1|1|0|0|0|0,6,19,12|6|1,3,13,12,6,true,w(S)=-|S|*(|S|-1)/2,0|0|0|-1|0|-1|-1|-3,3,4,7,0,15379,0,0,24,abs_squared|staircase_order|pos_pairs_of_set_bits|one_diamond_flipped,true,33,true,7of7,6,249,0,0,0.640,7of7,true,true
kuhn_freudenthal_six_tet,neg_pairs_of_set_bits,true,6|2|2|2|2|2|2|6,true,1.000000,0,262144,true,true,true,4208,1.000000,4208,0,42,0,t0/v2,true,9,0,9,12,torus,4,true,1,9,9|3|2|1|1|0|0|0|0,6,19,12|6|1,3,13,12,6,true,w(S)=-|S|*(|S|-1)/2,0|0|0|-1|0|-1|-1|-3,3,4,7,0,15379,0,0,24,abs_squared|staircase_order|pos_pairs_of_set_bits|one_diamond_flipped,true,65,true,7of7,6,989,0,0,4.530,7of7,true,true
kuhn_freudenthal_six_tet,neg_pairs_of_set_bits,true,6|2|2|2|2|2|2|6,false,0.130178,1176,32768,true,false,true,1352,0.869822,1176,0,1,1351,t0/v2,true,9,1352,9,12,box_exact,4,true,1,9,9|3|2|1|1|0|0|0|0,6,19,12|6|1,3,13,12,6,true,w(S)=-|S|*(|S|-1)/2,0|0|0|-1|0|-1|-1|-3,3,4,7,0,15379,1176,0,24,abs_squared|staircase_order|pos_pairs_of_set_bits|one_diamond_flipped,true,33,true,7of7,6,0,176,0,0.479,7of7,true,true
kuhn_freudenthal_six_tet,neg_pairs_of_set_bits,true,6|2|2|2|2|2|2|6,false,0.063800,5400,262144,true,false,true,5768,0.936200,5400,0,1,5767,t0/v2,true,9,5768,9,12,box_exact,4,true,1,9,9|3|2|1|1|0|0|0|0,6,19,12|6|1,3,13,12,6,true,w(S)=-|S|*(|S|-1)/2,0|0|0|-1|0|-1|-1|-3,3,4,7,0,15379,5400,0,24,abs_squared|staircase_order|pos_pairs_of_set_bits|one_diamond_flipped,true,65,true,7of7,6,0,368,0,3.673,7of7,true,true
kuhn_freudenthal_six_tet,neg_pairs_of_set_bits,true,6|2|2|2|2|2|2|6,false,0.284582,993,32768,true,false,true,1388,0.856628,1189,0,7,1141,t0/v2,true,9,1192,9,12,csg_difference,4,true,1,9,9|3|2|1|1|0|0|0|0,6,19,12|6|1,3,13,12,6,true,w(S)=-|S|*(|S|-1)/2,0|0|0|-1|0|-1|-1|-3,3,4,7,0,15379,993,0,24,abs_squared|staircase_order|pos_pairs_of_set_bits|one_diamond_flipped,true,33,true,7of7,6,42,199,0,0.547,7of7,true,true
kuhn_freudenthal_six_tet,neg_pairs_of_set_bits,true,6|2|2|2|2|2|2|6,false,0.224310,4665,262144,true,false,true,6014,0.927502,5578,0,46,4957,t0/v2,true,9,5089,9,12,csg_difference,4,true,1,9,9|3|2|1|1|0|0|0|0,6,19,12|6|1,3,13,12,6,true,w(S)=-|S|*(|S|-1)/2,0|0|0|-1|0|-1|-1|-3,3,4,7,0,15379,4659,6,24,abs_squared|staircase_order|pos_pairs_of_set_bits|one_diamond_flipped,true,65,true,7of7,6,111,436,0,4.123,7of7,true,true
kuhn_freudenthal_six_tet,neg_pairs_of_set_bits,true,6|2|2|2|2|2|2|6,false,0.765625,120,32768,true,false,true,512,1.000000,512,0,0,511,t0/v2,true,9,120,9,12,thin_plate,4,true,1,9,9|3|2|1|1|0|0|0|0,6,19,12|6|1,3,13,12,6,true,w(S)=-|S|*(|S|-1)/2,0|0|0|-1|0|-1|-1|-3,3,4,7,0,15379,120,0,24,abs_squared|staircase_order|pos_pairs_of_set_bits|one_diamond_flipped,true,33,true,7of7,6,0,0,0,0.486,7of7,true,true
kuhn_freudenthal_six_tet,neg_pairs_of_set_bits,true,6|2|2|2|2|2|2|6,false,0.878906,248,262144,true,false,true,2048,1.000000,2048,0,0,2047,t0/v2,true,9,248,9,12,thin_plate,4,true,1,9,9|3|2|1|1|0|0|0|0,6,19,12|6|1,3,13,12,6,true,w(S)=-|S|*(|S|-1)/2,0|0|0|-1|0|-1|-1|-3,3,4,7,0,15379,248,0,24,abs_squared|staircase_order|pos_pairs_of_set_bits|one_diamond_flipped,true,65,true,7of7,6,0,0,0,3.754,7of7,true,true
kuhn_freudenthal_six_tet,neg_pairs_of_set_bits,true,6|2|2|2|2|2|2|6,false,0.928053,377,32768,true,false,true,5240,0.929389,4870,3,143,798,t0/v2,true,9,7,9,12,gyroid,4,true,1,9,9|3|2|1|1|0|0|0|0,6,19,12|6|1,3,13,12,6,true,w(S)=-|S|*(|S|-1)/2,0|0|0|-1|0|-1|-1|-3,3,4,7,0,15379,7,370,24,abs_squared|staircase_order|pos_pairs_of_set_bits|one_diamond_flipped,true,33,true,7of7,6,1419,370,9,1.972,7of7,true,true
kuhn_freudenthal_six_tet,neg_pairs_of_set_bits,true,6|2|2|2|2|2|2|6,false,0.963279,787,262144,true,false,true,21432,0.963606,20652,9,549,5442,t0/v2,true,9,7,9,12,gyroid,4,true,1,9,9|3|2|1|1|0|0|0|0,6,19,12|6|1,3,13,12,6,true,w(S)=-|S|*(|S|-1)/2,0|0|0|-1|0|-1|-1|-3,3,4,7,0,15379,7,780,24,abs_squared|staircase_order|pos_pairs_of_set_bits|one_diamond_flipped,true,65,true,7of7,6,5384,780,63,13.245,7of7,true,true
kuhn_freudenthal_six_tet,neg_pairs_of_set_bits,true,6|2|2|2|2|2|2|6,true,1.000000,0,32768,true,true,true,1958,1.000000,1958,15,3,1840,t0/v2,true,9,0,9,12,fbm_terrain,4,true,1,9,9|3|2|1|1|0|0|0|0,6,19,12|6|1,3,13,12,6,true,w(S)=-|S|*(|S|-1)/2,0|0|0|-1|0|-1|-1|-3,3,4,7,0,15379,0,0,24,abs_squared|staircase_order|pos_pairs_of_set_bits|one_diamond_flipped,true,33,true,7of7,6,224,0,0,6.603,7of7,true,true
kuhn_freudenthal_six_tet,neg_pairs_of_set_bits,true,6|2|2|2|2|2|2|6,true,1.000000,0,262144,true,true,true,8413,1.000000,8413,29,6,8120,t0/v2,true,9,0,9,12,fbm_terrain,4,true,1,9,9|3|2|1|1|0|0|0|0,6,19,12|6|1,3,13,12,6,true,w(S)=-|S|*(|S|-1)/2,0|0|0|-1|0|-1|-1|-3,3,4,7,0,15379,0,0,24,abs_squared|staircase_order|pos_pairs_of_set_bits|one_diamond_flipped,true,65,true,7of7,6,802,0,0,50.098,7of7,true,true
kuhn_freudenthal_six_tet,neg_pairs_of_set_bits,true,6|2|2|2|2|2|2|6,false,0.476198,3235,32768,true,false,true,6176,0.485913,3001,5,178,32,t0/v2,true,9,168,9,12,noise_cavity,4,true,1,9,9|3|2|1|1|0|0|0|0,6,19,12|6|1,3,13,12,6,true,w(S)=-|S|*(|S|-1)/2,0|0|0|-1|0|-1|-1|-3,3,4,7,0,15379,114,3121,24,abs_squared|staircase_order|pos_pairs_of_set_bits|one_diamond_flipped,true,33,true,7of7,6,1851,3175,293,2.377,7of7,true,true
kuhn_freudenthal_six_tet,neg_pairs_of_set_bits,true,6|2|2|2|2|2|2|6,false,0.795877,5792,262144,true,false,true,28375,0.800176,22705,38,895,59,t0/v2,true,9,170,9,12,noise_cavity,4,true,1,9,9|3|2|1|1|0|0|0|0,6,19,12|6|1,3,13,12,6,true,w(S)=-|S|*(|S|-1)/2,0|0|0|-1|0|-1|-1|-3,3,4,7,0,15379,146,5646,24,abs_squared|staircase_order|pos_pairs_of_set_bits|one_diamond_flipped,true,65,true,7of7,6,7956,5670,258,16.669,7of7,true,true
