# experiment P-143 (R-143)
# hypothesis: The crate has exactly two fields with analytically known topology -- sphere and torus -- and both are genus <= 1. Schwarz P (chi = -4 per cubic cell) and Schwarz D (chi = -16) add two high-genus fields whose predictions differ from the gyroid's and from each other, so a single arithmetic error cannot pass all three. (C1) Both are added as reference fields and both reproduce chi = N^3.chi_cell under periodic wrap. (C2) THE MECHANISM IS ASSERTED RATHER THAN ASSUMED: the gyroid's nodal function is invariant under the body-centring shift (pi,pi,pi) while P's and D's are negated by it, which is exactly why the gyroid's cubic cell holds two primitive cells and theirs do not -- checked as a symbolic identity, not inferred from the chi values it explains. SHARE: none.
# falsified by: C1 by either field disagreeing. C2 by the invariance failing, which would mean the explanation for the factor of two is wrong even if the numbers are right -- and an unexplained correct number is exactly what M-206 was before P-127. VACUITY CONTROL: the three fields must produce three different chi values at N = 1, or the suite cannot distinguish a correct oracle from a constant.
# commit 520b57b on amd-ryzen-9-5900x-12-core at 2026-08-30T14:10:40Z
field,space_group,primitive_lattice,chi_per_cubic_cell,chi_predicted,chi_measured,periods,resolution,body_centering_invariance,c1_holds,c2_holds,added_as_reference_field,all_three_agree_in_scope,arm,body_centering_numeric_ok,body_centering_residual,boundary_edges,c1_holds_pinch_corrected,c1_scope,cell_size,cells,chi_agreement,chi_at_n1_triple,chi_gap,chi_per_cubic_cell_symbolic,chi_pinch_corrected,components,edges,extractor,faces,genus_measured,in_c1_verdict,is_closed,is_control,is_manifold,mesh_triangles,mesh_vertices,nodal_expression,nodal_terms,non_manifold_edges,pinch_accounts_for_gap,primitive_cells_per_cubic_cell,primitive_cells_symbolic,seam_pairs_identified,shift_classes,shifts_invariant,shifts_negated,shifts_neither,transcription_residual,validate_chi,validate_non_manifold_edges,vertices,voxels_per_period,weld_tolerance,wrap_mode
gyroid,Ia-3d,bcc,-8,-8,-3,1,34,invariant,false,true,false,false,period_sweep,true,1.887e-15,594,true,control_open_arm,0.190399555,35937,false,-8|-4|-16,5,-8,-3,1,16173,marching_cubes,10584,2,false,false,true,true,10587,5589,f2*f5 + f1*f4 + f0*f3,3,0,false,2,2,0,neither|neither|neither|neither|neither|neither|invariant,1,0,6,2.220e-16,-3,0,5586,33,1.904e-5,open
gyroid,Ia-3d,bcc,-8,-8,-8,1,34,invariant,false,true,false,false,period_sweep,true,1.887e-15,0,true,in_scope_third_leg,0.190399555,35937,true,-8|-4|-16,0,-8,-8,1,15876,marching_cubes,10584,5,false,true,false,true,10584,5284,f2*f5 + f1*f4 + f0*f3,3,0,true,2,2,305,neither|neither|neither|neither|neither|neither|invariant,1,0,6,2.220e-16,-8,0,5284,33,1.904e-5,periodic
gyroid,Ia-3d,bcc,-8,-64,-53,2,67,invariant,false,true,false,false,period_sweep,true,1.887e-15,2376,true,control_open_arm,0.190399555,287496,false,-8|-4|-16,11,-8,-53,1,128196,marching_cubes,84672,24,false,false,true,true,84703,43497,f2*f5 + f1*f4 + f0*f3,3,0,false,2,2,0,neither|neither|neither|neither|neither|neither|invariant,1,0,6,2.220e-16,-53,0,43471,33,1.904e-5,open
gyroid,Ia-3d,bcc,-8,-64,-64,2,67,invariant,false,true,false,false,period_sweep,true,1.887e-15,0,true,in_scope_third_leg,0.190399555,287496,true,-8|-4|-16,0,-8,-64,1,127008,marching_cubes,84672,33,false,true,false,true,84672,42272,f2*f5 + f1*f4 + f0*f3,3,0,true,2,2,1225,neither|neither|neither|neither|neither|neither|invariant,1,0,6,2.220e-16,-64,0,42272,33,1.904e-5,periodic
gyroid,Ia-3d,bcc,-8,-216,-199,3,100,invariant,false,true,false,false,period_sweep,true,1.887e-15,5346,true,control_open_arm,0.190399555,970299,false,-8|-4|-16,17,-8,-199,1,431325,marching_cubes,285768,94,false,false,true,true,285875,145437,f2*f5 + f1*f4 + f0*f3,3,0,false,2,2,0,neither|neither|neither|neither|neither|neither|invariant,1,0,6,2.220e-16,-199,0,145358,33,1.904e-5,open
gyroid,Ia-3d,bcc,-8,-216,-216,3,100,invariant,false,true,false,false,period_sweep,true,1.887e-15,0,true,in_scope_third_leg,0.190399555,970299,true,-8|-4|-16,0,-8,-216,1,428652,marching_cubes,285768,109,false,true,false,true,285768,142668,f2*f5 + f1*f4 + f0*f3,3,0,true,2,2,2769,neither|neither|neither|neither|neither|neither|invariant,1,0,6,2.220e-16,-216,0,142668,33,1.904e-5,periodic
gyroid,Ia-3d,bcc,-8,-8,-3,1,66,invariant,false,true,false,false,resolution_sweep,true,1.887e-15,1170,true,control_open_arm,0.096664389,274625,false,-8|-4|-16,5,-8,-3,1,62037,marching_cubes,40968,2,false,false,true,true,40971,21069,f2*f5 + f1*f4 + f0*f3,3,0,false,2,2,0,neither|neither|neither|neither|neither|neither|invariant,1,0,6,2.220e-16,-3,0,21066,65,9.666e-6,open
gyroid,Ia-3d,bcc,-8,-8,-8,1,66,invariant,false,true,false,false,resolution_sweep,true,1.887e-15,0,true,in_scope_third_leg,0.096664389,274625,true,-8|-4|-16,0,-8,-8,1,61452,marching_cubes,40968,5,false,true,false,true,40968,20476,f2*f5 + f1*f4 + f0*f3,3,0,true,2,2,593,neither|neither|neither|neither|neither|neither|invariant,1,0,6,2.220e-16,-8,0,20476,65,9.666e-6,periodic
gyroid,Ia-3d,bcc,-8,-8,-3,1,98,invariant,false,true,false,false,resolution_sweep,true,1.887e-15,1746,true,control_open_arm,0.064775106,912673,false,-8|-4|-16,5,-8,-3,1,137565,marching_cubes,91128,2,false,false,true,true,91179,46461,f2*f5 + f1*f4 + f0*f3,3,0,false,2,2,0,neither|neither|neither|neither|neither|neither|invariant,1,0,6,2.220e-16,-3,0,46434,97,6.478e-6,open
gyroid,Ia-3d,bcc,-8,-8,-8,1,98,invariant,false,true,false,false,resolution_sweep,true,1.887e-15,0,true,in_scope_third_leg,0.064775106,912673,true,-8|-4|-16,0,-8,-8,1,136692,marching_cubes,91128,5,false,true,false,true,91128,45556,f2*f5 + f1*f4 + f0*f3,3,0,true,2,2,905,neither|neither|neither|neither|neither|neither|invariant,1,0,6,2.220e-16,-8,0,45556,97,6.478e-6,periodic
gyroid,Ia-3d,bcc,-8,-8,-3,1,33,invariant,false,true,false,false,degenerate_grid_control,true,1.887e-15,528,true,control_open_arm,0.196349541,32768,false,-8|-4|-16,5,-8,-3,1,15096,marching_cubes,9888,2,false,false,true,true,10041,5301,f2*f5 + f1*f4 + f0*f3,3,0,false,2,2,0,neither|neither|neither|neither|neither|neither|invariant,1,0,6,2.220e-16,-3,0,5205,32,1.963e-5,open
gyroid,Ia-3d,bcc,-8,-8,-8,1,33,invariant,false,true,false,false,degenerate_grid_control,true,1.887e-15,0,true,control_degenerate_grid,0.196349541,32768,true,-8|-4|-16,0,-8,-8,1,14832,marching_cubes,9888,5,false,true,true,true,9888,4936,f2*f5 + f1*f4 + f0*f3,3,0,true,2,2,365,neither|neither|neither|neither|neither|neither|invariant,1,0,6,2.220e-16,-8,0,4936,32,1.963e-5,periodic
schwarz_p,Im-3m,simple_cubic,-4,-4,-4,1,34,negated,false,true,false,false,period_sweep,true,1.388e-15,360,true,control_open_arm,0.190399555,35937,true,-8|-4|-16,0,-4,-4,1,11172,marching_cubes,7328,0,false,false,true,true,8300,4338,f5 + f3 + f1,3,0,true,1,1,0,neither|neither|neither|neither|neither|neither|negated,0,1,6,4.441e-16,-4,0,3840,33,1.904e-5,open
schwarz_p,Im-3m,simple_cubic,-4,-4,-4,1,34,negated,false,true,false,false,period_sweep,true,1.388e-15,0,true,in_scope,0.190399555,35937,true,-8|-4|-16,0,-4,-4,1,10992,marching_cubes,7328,3,true,true,false,true,7328,3660,f5 + f3 + f1,3,0,true,1,1,678,neither|neither|neither|neither|neither|neither|negated,0,1,6,4.441e-16,-4,0,3660,33,1.904e-5,periodic
schwarz_p,Im-3m,simple_cubic,-4,-32,-32,2,67,negated,false,true,false,false,period_sweep,true,1.388e-15,1440,true,control_open_arm,0.190399555,287496,true,-8|-4|-16,0,-4,-32,1,88656,marching_cubes,58624,5,false,false,true,true,66352,33912,f5 + f3 + f1,3,0,true,1,1,0,neither|neither|neither|neither|neither|neither|negated,0,1,6,4.441e-16,-32,0,30000,33,1.904e-5,open
schwarz_p,Im-3m,simple_cubic,-4,-32,-32,2,67,negated,false,true,false,false,period_sweep,true,1.388e-15,0,true,in_scope,0.190399555,287496,true,-8|-4|-16,0,-4,-32,1,87936,marching_cubes,58624,17,true,true,false,true,58624,29280,f5 + f3 + f1,3,0,true,1,1,4632,neither|neither|neither|neither|neither|neither|negated,0,1,6,4.441e-16,-32,0,29280,33,1.904e-5,periodic
schwarz_p,Im-3m,simple_cubic,-4,-108,-102,3,100,negated,false,true,false,false,period_sweep,true,1.388e-15,3240,true,control_open_arm,0.190399555,970299,false,-8|-4|-16,6,-4,-108,1,298464,marching_cubes,197900,28,false,false,true,true,223756,113498,f5 + f3 + f1,3,6,true,1,1,0,neither|neither|neither|neither|neither|neither|negated,0,1,6,4.441e-16,-108,0,100462,33,1.904e-5,open
schwarz_p,Im-3m,simple_cubic,-4,-108,-102,3,100,negated,false,true,false,false,period_sweep,true,1.388e-15,0,true,in_scope,0.190399555,970299,false,-8|-4|-16,6,-4,-108,1,296844,marching_cubes,197900,none,true,false,false,false,197900,98842,f5 + f3 + f1,3,6,true,1,1,14656,neither|neither|neither|neither|neither|neither|negated,0,1,6,4.441e-16,-102,6,98842,33,1.904e-5,periodic
schwarz_p,Im-3m,simple_cubic,-4,-4,-4,1,66,negated,false,true,false,false,resolution_sweep,true,1.388e-15,768,true,control_open_arm,0.096664389,274625,true,-8|-4|-16,0,-4,-4,1,48276,marching_cubes,31928,0,false,false,true,true,31928,16344,f5 + f3 + f1,3,0,true,1,1,0,neither|neither|neither|neither|neither|neither|negated,0,1,6,4.441e-16,-4,0,16344,65,9.666e-6,open
schwarz_p,Im-3m,simple_cubic,-4,-4,-4,1,66,negated,false,true,false,false,resolution_sweep,true,1.388e-15,0,true,in_scope,0.096664389,274625,true,-8|-4|-16,0,-4,-4,1,47892,marching_cubes,31928,3,true,true,false,true,31928,15960,f5 + f3 + f1,3,0,true,1,1,384,neither|neither|neither|neither|neither|neither|negated,0,1,6,4.441e-16,-4,0,15960,65,9.666e-6,periodic
schwarz_p,Im-3m,simple_cubic,-4,-4,-4,1,98,negated,false,true,false,false,resolution_sweep,true,1.388e-15,1152,true,control_open_arm,0.064775106,912673,true,-8|-4|-16,0,-4,-4,1,107292,marching_cubes,71144,0,false,false,true,true,71144,36144,f5 + f3 + f1,3,0,true,1,1,0,neither|neither|neither|neither|neither|neither|negated,0,1,6,4.441e-16,-4,0,36144,97,6.478e-6,open
schwarz_p,Im-3m,simple_cubic,-4,-4,-4,1,98,negated,false,true,false,false,resolution_sweep,true,1.388e-15,0,true,in_scope,0.064775106,912673,true,-8|-4|-16,0,-4,-4,1,106716,marching_cubes,71144,3,true,true,false,true,71144,35568,f5 + f3 + f1,3,0,true,1,1,576,neither|neither|neither|neither|neither|neither|negated,0,1,6,4.441e-16,-4,0,35568,97,6.478e-6,periodic
schwarz_p,Im-3m,simple_cubic,-4,-4,-4,1,33,negated,false,true,false,false,degenerate_grid_control,true,1.388e-15,360,true,control_open_arm,0.196349541,32768,true,-8|-4|-16,0,-4,-4,1,9756,marching_cubes,6384,0,false,false,true,true,7808,4092,f5 + f3 + f1,3,0,true,1,1,0,neither|neither|neither|neither|neither|neither|negated,0,1,6,4.441e-16,-4,0,3368,32,1.963e-5,open
schwarz_p,Im-3m,simple_cubic,-4,-4,-4,1,33,negated,false,true,false,false,degenerate_grid_control,true,1.388e-15,0,true,control_degenerate_grid,0.196349541,32768,true,-8|-4|-16,0,-4,-4,1,9576,marching_cubes,6384,3,false,true,true,true,6384,3188,f5 + f3 + f1,3,0,true,1,1,904,neither|neither|neither|neither|neither|neither|negated,0,1,6,4.441e-16,-4,0,3188,32,1.963e-5,periodic
schwarz_d,Pn-3m,fcc,-16,-16,-11,1,34,negated,false,true,false,false,period_sweep,true,1.707e-15,594,true,control_open_arm,0.190399555,35937,false,-8|-4|-16,5,-16,-11,1,19365,marching_cubes,12712,4,false,false,true,true,13083,6925,f1*f3*f4 + f1*f2*f5 + f0*f3*f5 + f0*f2*f4,4,0,false,4,4,0,negated|negated|invariant|negated|invariant|invariant|negated,3,4,0,4.441e-16,-11,0,6642,33,1.904e-5,open
schwarz_d,Pn-3m,fcc,-16,-16,-16,1,34,negated,false,true,false,false,period_sweep,true,1.707e-15,0,true,in_scope,0.190399555,35937,true,-8|-4|-16,0,-16,-16,1,19068,marching_cubes,12712,9,true,true,false,true,12712,6340,f1*f3*f4 + f1*f2*f5 + f0*f3*f5 + f0*f2*f4,4,0,true,4,4,585,negated|negated|invariant|negated|invariant|invariant|negated,3,4,0,4.441e-16,-16,0,6340,33,1.904e-5,periodic
schwarz_d,Pn-3m,fcc,-16,-128,-117,2,67,negated,false,true,false,false,period_sweep,true,1.707e-15,2376,true,control_open_arm,0.190399555,287496,false,-8|-4|-16,11,-16,-117,1,153732,marching_cubes,101696,54,false,false,true,true,104751,53841,f1*f3*f4 + f1*f2*f5 + f0*f3*f5 + f0*f2*f4,4,0,false,4,4,0,negated|negated|invariant|negated|invariant|invariant|negated,3,4,0,4.441e-16,-117,0,51919,33,1.904e-5,open
schwarz_d,Pn-3m,fcc,-16,-128,-128,2,67,negated,false,true,false,false,period_sweep,true,1.707e-15,0,true,in_scope,0.190399555,287496,true,-8|-4|-16,0,-16,-128,1,152544,marching_cubes,101696,65,true,true,false,true,101696,50720,f1*f3*f4 + f1*f2*f5 + f0*f3*f5 + f0*f2*f4,4,0,true,4,4,3121,negated|negated|invariant|negated|invariant|invariant|negated,3,4,0,4.441e-16,-128,0,50720,33,1.904e-5,periodic
schwarz_d,Pn-3m,fcc,-16,-432,-415,3,100,negated,false,true,false,false,period_sweep,true,1.707e-15,5346,true,control_open_arm,0.190399555,970299,false,-8|-4|-16,17,-16,-415,1,517509,marching_cubes,343224,200,false,false,true,true,353555,179925,f1*f3*f4 + f1*f2*f5 + f0*f3*f5 + f0*f2*f4,4,0,false,4,4,0,negated|negated|invariant|negated|invariant|invariant|negated,3,4,0,4.441e-16,-415,0,173870,33,1.904e-5,open
schwarz_d,Pn-3m,fcc,-16,-432,-432,3,100,negated,false,true,false,false,period_sweep,true,1.707e-15,0,true,in_scope,0.190399555,970299,true,-8|-4|-16,0,-16,-432,1,514836,marching_cubes,343224,217,true,true,false,true,343224,171180,f1*f3*f4 + f1*f2*f5 + f0*f3*f5 + f0*f2*f4,4,0,true,4,4,8745,negated|negated|invariant|negated|invariant|invariant|negated,3,4,0,4.441e-16,-432,0,171180,33,1.904e-5,periodic
