# experiment P-146 (R-146)
# hypothesis: THE LARGEST PAID-FOR GAP THIS SWEEP FOUND. The corpus holds five papers on metric-based anisotropic adaptation at 0.70-0.71 -- Yano & Darmofal, Cao, Bawin et al., ParMmg, Mirebeau -- and the repository cites none of them; Loseille, Alauzet, metric tensor and log-Euclidean are zero across every file. The optimal L^p metric is M_Lp = D_Lp . det(|H_u|)^(-1/(2p+d)) . |H_u| with complexity C(M) = integral sqrt(det M) standing in for vertex count (NASA NTRS 20200003084, restating Loseille & Alauzet verbatim; the SIAM originals are paywalled). The Hessian is available: the crate already samples the trilinear and already computes central differences at cell size (M-65). (C1) At matched symmetric Hausdorff error, a metric-driven mesh uses at least 25% fewer triangles than uniform refinement on at least three of eight reference fields. (C2) The fields where it wins are the ones with a flat direction -- ridges, creases, the CSG box edges -- and the fields where it does not win are the isotropically curved ones, predicted per field before the run. (C3) Computing the metric costs under 15% of extraction. SHARE: C1 moves the triangle budget, whose share of frame cost M-135 puts at 29% for the contour and 45% for the collider check.
# falsified by: C1 by under 25% everywhere, which would mean our fields have no exploitable anisotropy and closes Group D's largest row. C2 by the win landing on the wrong fields, which would mean the mechanism is not the one claimed even if the number is real. C3 by above 15%. VACUITY CONTROL: the reported maximum aspect ratio must exceed 3 on at least one field, or the 'anisotropic' arm is isotropic and C1 is measuring noise.
# commit 77e71cb on amd-ryzen-9-5900x-12-core at 2026-08-30T09:27:05Z
field,resolution,metric,p_norm,complexity_target,triangles_isotropic,triangles_anisotropic,hausdorff_isotropic,hausdorff_anisotropic,triangles_at_matched_hausdorff,ratio,aspect_ratio_max,aspect_ratio_mean,metric_ms,metric_share,c1_holds,c2_holds,c3_holds,aspect_ratio_max_off_floor,aspect_ratio_mean_off_floor,at_floor_cells,at_floor_fraction,axes_pinned,axis_ratio,band_points,budget_ratio,c1_field_win,c1_population,c1_skip_reason,c1_winners,c2_global_holds,c2_mechanism_holds,c2_predicted_axis,c2_predicted_win,c3_row_decisive,c3_row_holds,extract_ms,extract_ms_max,extract_ms_min,field_bound,fit_r2_anisotropic,fit_r2_isotropic,flat_axis,flat_axis_aligned_fraction,grid_anisotropic,grid_isotropic,hausdorff_matched,matched_interpolated,mesh_residual_max_aniso,mesh_residual_max_iso,metric_ms_max,metric_ms_min,metric_share_hi,metric_share_lo,off_floor_cells,share_times_resolution,triangles_iso_at_matched
sphere,17,M_Lp_hessian,2.0,2.255462e0,536,536,0.021759525,0.021759525,9547.300,1.000000,1.298221e9,4.372359e7,0.139041,2.815165,false,true,false,1.538686e2,4.633497e1,18,0.042654,0,1.000000,422,1.000000,false,4,,0,true,false,none,false,true,false,0.049390,0.050650,0.049201,Exact,0.999693,0.999693,mixed,0.042654,17x17x17,17x17x17,0.001329268,true,2.341512e-2,2.341512e-2,0.142881,0.137891,2.904026,2.722428,404,47.857805,9547.300
sphere,25,M_Lp_hessian,2.0,1.132538e0,1304,1304,0.009595173,0.009595173,9547.300,1.000000,1.188234e9,1.354502e7,0.330573,2.198807,false,true,false,7.465025e2,1.259662e2,12,0.013453,0,1.000000,892,1.000000,false,4,,0,true,false,none,false,true,false,0.150342,0.156721,0.149121,Exact,0.999693,0.999693,mixed,0.013453,25x25x25,25x25x25,0.001329268,true,1.752029e-2,1.752029e-2,0.335062,0.328752,2.246914,2.097690,880,54.970168,9547.300
sphere,33,M_Lp_hessian,2.0,7.762484e-1,2312,2312,0.005361366,0.005361366,9547.300,1.000000,1.137085e9,1.061937e7,0.659374,1.952995,false,true,false,2.342663e3,2.475237e2,18,0.010551,0,1.000000,1706,1.000000,false,4,,0,true,false,none,false,true,false,0.337622,0.390873,0.331073,Exact,0.999693,0.999693,mixed,0.010551,33x33x33,33x33x33,0.001329268,true,1.360903e-2,1.360903e-2,0.664445,0.655535,2.006944,1.677105,1688,64.448827,9547.300
sphere,49,M_Lp_hessian,2.0,3.855297e-1,5240,5240,0.002365113,0.002365113,9547.300,1.000000,1.088664e9,3.332369e6,1.428410,1.345718,false,true,false,1.183877e4,6.756339e2,12,0.003326,0,1.000000,3608,1.000000,false,4,,0,true,false,none,false,true,false,1.061448,1.064707,1.054067,Exact,0.999693,0.999693,mixed,0.003326,49x49x49,49x49x49,0.001329268,true,9.551420e-3,9.551420e-3,1.447531,1.427010,1.373282,1.340284,3596,65.940197,9547.300
sphere,65,M_Lp_hessian,2.0,2.487997e-1,9512,9512,0.001329268,0.001329268,9547.300,1.000000,1.065484e9,2.782753e6,2.594019,1.078434,false,true,false,3.742070e4,1.325161e3,18,0.002777,0,1.000000,6482,1.000000,false,4,,0,true,false,none,false,true,false,2.405357,2.416627,2.391128,Exact,0.999693,0.999693,mixed,0.002777,65x65x65,65x65x65,0.001329268,true,7.326021e-3,7.326021e-3,2.603779,2.590509,1.088933,1.071952,6464,70.098216,9547.300
torus,17,M_Lp_hessian,2.0,3.892482e0,656,656,0.051184351,0.040603651,9315.545,1.153211,3.313708e9,2.237529e8,0.153641,2.401016,false,true,false,2.080190e3,1.463698e2,32,0.086022,0,1.117647,372,1.117647,false,4,,0,true,false,none,false,true,false,0.063990,0.068481,0.063440,Exact,0.991829,0.981613,mixed,0.086022,17x19x17,17x17x17,0.003976398,false,7.301750e-2,8.953294e-2,0.160901,0.153311,2.536270,2.238738,340,40.817268,8077.917
torus,25,M_Lp_hessian,2.0,2.734580e0,1088,992,0.021794381,0.034333174,9315.545,1.153211,4.970563e9,1.479316e8,0.382643,2.175579,false,true,false,8.707302e3,3.099763e2,32,0.037915,0,1.173913,844,0.914112,false,4,,0,true,false,none,false,true,false,0.175881,0.179481,0.174031,Exact,0.991829,0.981613,mixed,0.037915,23x27x23,25x25x25,0.003976398,false,5.242234e-2,5.922909e-2,0.385603,0.380782,2.215714,2.121573,812,54.389474,8077.917
torus,33,M_Lp_hessian,2.0,1.674065e0,2256,2016,0.013788262,0.015716513,9315.545,1.153211,3.777088e9,6.691431e7,0.704075,1.755654,false,true,false,2.960273e4,6.188593e2,32,0.020997,0,1.129032,1524,0.935943,false,4,,0,true,false,none,false,true,false,0.401033,0.406093,0.398973,Exact,0.991829,0.981613,mixed,0.020997,31x35x31,33x33x33,0.003976398,false,3.724569e-2,5.035039e-2,0.707876,0.700965,1.774245,1.726119,1492,57.936566,8077.917
torus,49,M_Lp_hessian,2.0,9.291978e-1,4848,4576,0.006745551,0.007032756,9315.545,1.153211,3.894664e9,3.208204e7,1.631702,1.293914,false,true,false,1.467328e5,1.493564e3,32,0.009368,0,1.127660,3416,0.995138,false,4,,0,true,false,none,false,true,false,1.261059,1.357330,1.252599,Exact,0.991829,0.981613,mixed,0.009368,47x53x47,49x49x49,0.003976398,false,2.277521e-2,3.393431e-2,1.634322,1.628151,1.304745,1.199525,3384,63.401790,8077.917
torus,65,M_Lp_hessian,2.0,6.000504e-1,8416,9088,0.003976398,0.004303701,9315.545,1.153211,3.939380e9,1.885702e7,2.939231,1.033122,false,true,false,4.605682e5,2.913232e3,32,0.005305,0,1.095238,6032,0.997218,false,4,,0,true,false,none,false,true,false,2.845000,2.859381,2.838810,Exact,0.991829,0.981613,mixed,0.005305,63x69x63,65x65x65,0.003976398,false,2.561920e-2,2.330543e-2,3.107802,2.939021,1.094755,1.027852,6000,67.152905,8077.917
box_exact,17,M_Lp_hessian,2.0,1.273099e0,584,584,0.288675135,0.288675135,11726.397,1.000000,6.000000e9,1.300534e9,0.266042,5.305877,false,true,false,3.824847e0,3.119172e0,1050,0.963303,0,1.000000,1090,1.000000,false,4,,0,true,true,mixed,false,true,false,0.050141,0.050781,0.049990,Exact,0.999754,0.999754,mixed,0.462385,17x17x17,17x17x17,0.072168784,true,0.000000e0,0.000000e0,0.271332,0.265682,5.427726,5.231917,40,90.199916,11726.397
box_exact,25,M_Lp_hessian,2.0,4.193361e-1,1448,1448,0.192450090,0.192450090,11726.397,1.000000,9.000000e9,1.612973e9,0.394572,2.594656,false,true,false,3.824847e0,2.828471e0,1677,0.984155,0,1.000000,1704,1.000000,false,4,,0,true,true,mixed,false,true,false,0.152071,0.155241,0.151461,Exact,0.999754,0.999754,mixed,0.378521,25x25x25,25x25x25,0.072168784,true,0.000000e0,0.000000e0,0.398313,0.392123,2.629806,2.525898,27,64.866411,11726.397
box_exact,33,M_Lp_hessian,2.0,2.944506e-1,2696,2696,0.144337567,0.144337567,11726.397,1.000000,1.200000e10,1.478309e9,1.001397,2.888934,false,true,false,3.824847e0,3.119172e0,4410,0.991011,0,1.000000,4450,1.000000,false,4,,0,true,true,mixed,false,true,false,0.346632,0.348863,0.344632,Exact,0.999754,0.999754,mixed,0.285843,33x33x33,33x33x33,0.072168784,true,0.000000e0,0.000000e0,1.002197,0.998268,2.908021,2.861490,40,95.334825,11726.397
box_exact,49,M_Lp_hessian,2.0,9.751297e-2,6344,6344,0.096225045,0.096225045,11726.397,1.000000,1.800000e10,1.750550e9,1.471431,1.345126,false,true,false,3.824847e0,2.828471e0,6825,0.996060,0,1.000000,6852,1.000000,false,4,,0,true,true,mixed,false,true,false,1.093898,1.111778,1.089558,Exact,0.999754,0.999754,mixed,0.214974,49x49x49,49x49x49,0.072168784,true,0.000000e0,0.000000e0,1.473800,1.470801,1.352659,1.322927,27,65.911190,11726.397
box_exact,65,M_Lp_hessian,2.0,6.888921e-2,11528,11528,0.072168784,0.072168784,11726.397,1.000000,2.400000e10,1.555702e9,3.930068,1.564556,false,true,false,3.824847e0,3.119172e0,18042,0.997788,0,1.000000,18082,1.000000,false,4,,0,true,true,mixed,false,true,false,2.511938,2.539199,2.498648,Exact,0.999754,0.999754,mixed,0.155293,65x65x65,65x65x65,0.072168784,true,0.000000e0,0.000000e0,3.949608,3.928989,1.580698,1.547334,40,101.696149,11726.397
csg_difference,17,M_Lp_hessian,2.0,4.262528e0,584,584,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,6.000000e9,1.158714e9,0.530633,8.747515,false,unmeasurable,false,2.558879e3,6.580903e1,864,0.788321,0,1.000000,1096,1.000000,unmeasurable:bound=Underestimate,4,unmeasurable:bound=Underestimate,0,true,true,mixed,false,true,false,0.060661,0.067381,0.060400,Underestimate,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,mixed,0.377737,17x17x17,17x17x17,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,3.529850e-2,3.529850e-2,0.539374,0.526944,8.930033,7.820365,232,148.707753,unmeasurable:bound=Underestimate
csg_difference,25,M_Lp_hessian,2.0,2.199372e0,1472,1472,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,9.000000e9,1.471569e9,0.844226,4.542977,false,unmeasurable,false,6.232670e2,8.337762e1,1446,0.800221,0,1.000000,1807,1.000000,unmeasurable:bound=Underestimate,4,unmeasurable:bound=Underestimate,0,true,true,mixed,false,true,false,0.185831,0.190811,0.185381,Underestimate,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,mixed,0.327061,25x25x25,25x25x25,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,2.166670e-2,2.166670e-2,0.849226,0.843266,4.580976,4.419378,361,113.574431,unmeasurable:bound=Underestimate
csg_difference,33,M_Lp_hessian,2.0,1.690367e0,2768,2768,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,1.200000e10,1.384484e9,1.952835,4.595306,false,unmeasurable,false,1.430658e4,2.692881e2,3759,0.859790,0,1.000000,4372,1.000000,unmeasurable:bound=Underestimate,4,unmeasurable:bound=Underestimate,0,true,true,mixed,false,true,false,0.424963,0.456773,0.418943,Underestimate,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,mixed,0.266926,33x33x33,33x33x33,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,1.938072e-2,1.938072e-2,1.957924,1.941444,4.673485,4.250348,613,151.645096,unmeasurable:bound=Underestimate
csg_difference,49,M_Lp_hessian,2.0,8.803154e-1,6572,6572,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,1.800000e10,1.612804e9,3.049782,2.287239,false,unmeasurable,false,4.933174e4,5.447707e2,5925,0.848975,0,1.000000,6979,1.000000,unmeasurable:bound=Underestimate,4,unmeasurable:bound=Underestimate,0,true,true,mixed,false,true,false,1.333390,1.338009,1.331099,Underestimate,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,mixed,0.200745,49x49x49,49x49x49,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,1.333257e-2,1.333257e-2,3.057473,3.048862,2.296954,2.278656,1054,112.074725,unmeasurable:bound=Underestimate
csg_difference,65,M_Lp_hessian,2.0,6.588777e-1,12020,12020,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,2.400000e10,1.468888e9,7.381733,2.419382,false,unmeasurable,false,4.421206e4,8.370082e2,15585,0.893635,0,1.000000,17440,1.000000,unmeasurable:bound=Underestimate,4,unmeasurable:bound=Underestimate,0,true,true,mixed,false,true,false,3.051082,3.061292,3.043842,Underestimate,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,mixed,0.150000,65x65x65,65x65x65,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,1.007510e-2,1.007510e-2,7.401854,7.369893,2.431747,2.407445,1855,157.259833,unmeasurable:bound=Underestimate
thin_plate,17,M_Lp_hessian,2.0,6.221497e-1,248,56,0.177218086,0.353774292,9319.120,2.298935,8.000000e9,2.563808e9,0.071320,1.689647,false,true,false,1.155400e4,2.899439e3,247,0.885305,0,7.666667,279,1.137594,false,4,,0,true,true,mixed,false,true,false,0.042210,0.042291,0.042150,Exact,0.986247,0.999965,mixed,0.677419,9x69x9,17x17x17,0.045927933,false,4.510281e-16,4.163336e-17,0.071970,0.071241,1.707473,1.684543,32,28.723999,4053.669
thin_plate,25,M_Lp_hessian,2.0,2.354182e-1,568,136,0.118512189,0.266498221,9319.120,2.298935,1.200000e10,4.107538e9,0.127451,0.968612,false,true,false,4.869555e3,1.400270e3,505,0.947467,0,10.818182,533,0.921536,false,4,,0,true,true,mixed,false,true,false,0.131581,0.132541,0.131471,Exact,0.986247,0.999965,mixed,0.628518,11x119x11,25x25x25,0.045927933,false,7.500000e-2,6.245005e-17,0.127541,0.127421,0.970107,0.961370,28,24.215312,4053.669
thin_plate,33,M_Lp_hessian,2.0,1.446120e-1,1016,188,0.089267855,0.236033484,9319.120,2.298935,1.600000e10,5.523626e9,0.213452,0.695277,false,true,false,2.593998e3,6.571838e2,903,0.965775,0,14.692308,935,0.898211,false,4,,0,true,false,mixed,false,true,false,0.307003,0.316062,0.306572,Exact,0.986247,0.999965,z,0.595722,13x191x13,33x33x33,0.045927933,false,1.776357e-15,2.775558e-17,0.217432,0.213251,0.709236,0.674713,32,22.944128,4053.669
thin_plate,49,M_Lp_hessian,2.0,5.246152e-2,2296,360,0.060236801,0.176787713,9319.120,2.298935,2.400000e10,8.321464e9,0.426783,0.430048,false,true,false,1.029552e3,3.177849e2,1897,0.985455,0,22.411765,1925,0.935911,false,4,,0,true,false,mixed,false,true,false,0.992407,0.997988,0.992077,Exact,0.986247,0.999965,z,0.523117,17x381x17,49x49x49,0.045927933,false,1.915135e-15,4.163336e-17,0.456734,0.425973,0.460382,0.426832,28,21.072370,4053.669
thin_plate,65,M_Lp_hessian,2.0,3.506136e-2,4088,536,0.045927933,0.141556797,9319.120,2.298935,3.200000e10,1.098527e10,0.769806,0.332862,false,true,false,5.139922e2,1.368306e2,3367,0.990585,0,30.238095,3399,1.019700,false,4,,0,true,false,mixed,false,true,false,2.312686,2.330047,2.303927,Exact,0.986247,0.999965,z,0.493380,21x635x21,65x65x65,0.045927933,false,1.119105e-13,5.551115e-17,0.771376,0.766306,0.334809,0.328880,32,21.636050,4053.669
gyroid,17,M_Lp_hessian,2.0,4.438602e2,2536,2536,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,5.110482e3,4.257182e1,1.981554,4.329345,false,unmeasurable,false,5.110482e3,4.260124e1,1,0.000707,0,1.000000,1414,1.000000,unmeasurable:bound=Lipschitz,4,unmeasurable:bound=Lipschitz,0,true,true,none,false,true,false,0.457703,0.562504,0.394393,Lipschitz,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,none,0.000000,17x17x17,17x17x17,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,2.946274e-1,2.946274e-1,1.999034,1.978125,5.068635,3.516642,1413,73.598858,unmeasurable:bound=Lipschitz
gyroid,25,M_Lp_hessian,2.0,3.140829e2,5884,5884,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,4.164175e3,7.993804e1,4.318631,4.126592,false,unmeasurable,false,4.164175e3,7.996349e1,1,0.000322,0,1.000000,3103,1.000000,unmeasurable:bound=Lipschitz,4,unmeasurable:bound=Lipschitz,0,true,true,none,false,true,false,1.046537,1.088438,1.039278,Lipschitz,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,none,0.000000,25x25x25,25x25x25,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,4.619995e-1,4.619995e-1,4.326572,4.315321,4.163056,3.964692,3102,103.164795,unmeasurable:bound=Lipschitz
gyroid,33,M_Lp_hessian,2.0,2.323031e2,10632,10632,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,1.686593e4,1.791270e2,7.273902,3.393888,false,unmeasurable,false,1.686593e4,1.791597e2,1,0.000184,0,1.000000,5449,1.000000,unmeasurable:bound=Lipschitz,4,unmeasurable:bound=Lipschitz,0,true,true,none,false,true,false,2.143236,2.158855,2.137275,Lipschitz,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,none,0.000000,33x33x33,33x33x33,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,3.350469e-1,3.350469e-1,7.283523,7.270923,3.407855,3.367953,5448,111.998290,unmeasurable:bound=Lipschitz
gyroid,49,M_Lp_hessian,2.0,1.481438e2,24108,24108,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,1.430131e5,5.914678e2,15.517242,2.538582,false,unmeasurable,false,1.430131e5,5.915160e2,1,0.000082,0,1.000000,12259,1.000000,unmeasurable:bound=Lipschitz,4,unmeasurable:bound=Lipschitz,0,true,true,none,false,true,false,6.112564,6.187124,6.081364,Lipschitz,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,none,0.000000,49x49x49,49x49x49,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,4.929649e-1,4.929649e-1,15.540212,15.509212,2.555383,2.506692,12258,124.390494,unmeasurable:bound=Lipschitz
gyroid,65,M_Lp_hessian,2.0,1.037636e2,43116,43116,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,9.005019e8,2.496601e5,26.667053,2.023210,false,unmeasurable,false,3.511176e5,1.287986e3,7,0.000323,0,1.000000,21655,1.000000,unmeasurable:bound=Lipschitz,4,unmeasurable:bound=Lipschitz,0,true,false,none,false,true,false,13.180565,13.276946,13.006874,Lipschitz,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,mixed,0.000277,65x65x65,65x65x65,unmeasurable:bound=Lipschitz,unmeasurable:bound=Lipschitz,5.198460e-1,5.198460e-1,26.773694,26.655302,2.058426,2.007638,21648,131.508660,unmeasurable:bound=Lipschitz
