# experiment P-148 (R-148)
# hypothesis: A metric field must be interpolated, and component-wise interpolation of symmetric positive-definite matrices is not intrinsic -- it can swell determinants, which in mesh terms means spuriously coarsening. The log-Euclidean scheme exp((1-t)log M1 + t log M2) is determinant-monotone. This lands directly on M-32: seams are bit-exact only when the cell size is a power of two, and a matrix logarithm is not obviously going to preserve that. (C1) Component-wise interpolation produces measurable determinant swell -- above 5% on at least one field -- and log-Euclidean does not. (C2) Log-Euclidean interpolation preserves M-32's power-of-two bit-exactness, or it does not, and which is stated as the result rather than assumed. (C3) The seam remains closed under both schemes: zero additional open edges against the existing seam counter. SHARE: C1 moves the metric-construction stage, whose share P-146 C3 reports.
# falsified by: C1 by no swell, which would mean the intrinsic scheme is unnecessary here and saves the transcendental cost. C2 by loss of bit-exactness, which would make log-Euclidean incompatible with the crate's determinism goal and is the outcome that decides the row. C3 by new open edges under either scheme. VACUITY CONTROL: the fixture must contain a seam where the two chunks' metrics genuinely differ, reported as a metric-distance column, or both schemes are interpolating between equal endpoints.
# commit 923df1e on amd-ryzen-9-5900x-12-core at 2026-08-30T14:19:10Z
interpolation_scheme,seam_axis,determinant_swell_max,determinant_swell_mean,seam_vertices_moved,seam_open_edges,hashes_moved,bit_exact_seam,cell_size_power_of_two,c1_holds,c2_holds,c3_holds,at_floor_fraction,at_floor_pairs,bit_exact_first_failure_t,bit_exact_pairs,bit_exact_seam_nondyadic,boundary_edges_total,boundary_edges_total_baseline,c1_componentwise_swell_max,c1_log_euclidean_swell_max,c1_row_swell_above_bar,c2_global_holds,c3_global_holds,c3_row_decisive,cell_size,cells_per_axis,cells_per_chunk,control_seam_open_edges,control_seam_opens,determinant_swell_max_off_floor,dyadic_ladder_steps,field,gap_over_weld_epsilon,golden_control_hash_moved,golden_fixture_matches_shipped,golden_interpolations,golden_rows,interp_ms,interp_ns_per_pair,interp_ns_per_pair_max,interp_ns_per_pair_min,log_determinant_swell_max,metric_distance_max,metric_distance_mean,metric_distance_min,metric_ms,min_metric_eigenvalue,nondyadic_ladder_steps,off_floor_pairs,p_norm,pairs_with_distinct_metrics,seam_cells,seam_ghost_ulps,seam_open_edges_baseline,seam_own_ulps,seam_pairs,seam_plane_ulps,seam_position_delta,seam_position_delta_cells,seam_vertices_a,seam_vertices_b,seam_vertices_displaced,seam_vertices_unmatched,seam_worst_displacement_gap,seam_worst_displacement_gap_cells,swell_self_max,timing_repeats,transcendental_cost_ratio,weight_reversal_exact,weld_epsilon,welded_away
componentwise,x,6.753159e1,3.270009e0,0,0,0,true,true,true,true,true,0.000000,0,none,1024,false,0,0,6.841331e9,1.771547e-7,true,true,false,true,1.250000000000e-1,32,16,120,true,6.753159e1,8,sphere,0.000000e0,true,true,207872,24,5.444641,3.027,3.359,3.008,4.227295e0,1.902682e0,8.429442e-1,3.596978e-1,3.138294,1.390271e-3,10,7168,2.0,1024,1024,0,0,0,60,0,0.000000e0,0.000000e0,60,60,60,0,0.000000e0,0.000000e0,0.000000e0,5,249.382581,false,1.250000e-5,60
log_euclidean,x,1.207923e-13,-1.956830e-15,0,0,0,true,true,true,true,true,0.000000,0,none,1024,false,0,0,6.841331e9,1.771547e-7,false,true,false,true,1.250000000000e-1,32,16,120,true,1.207923e-13,8,sphere,0.000000e0,true,true,207872,24,49.989035,754.967,761.061,754.889,1.207923e-13,1.902682e0,8.429442e-1,3.596978e-1,3.138294,5.137807e-5,10,7168,2.0,1024,1024,0,0,0,60,0,0.000000e0,0.000000e0,60,60,60,0,0.000000e0,0.000000e0,1.501022e-13,5,249.382581,false,1.250000e-5,60
componentwise,x,7.667198e1,3.483746e0,56,0,0,false,false,true,true,true,0.000000,0,0.000000,725,false,0,0,6.841331e9,1.771547e-7,true,true,false,true,1.176470588235e-1,34,17,136,true,7.667198e1,8,sphere,1.994690e-11,true,true,207872,24,6.209058,3.027,3.359,3.008,4.352495e0,1.902682e0,8.139832e-1,3.596978e-1,3.540527,1.251002e-3,10,8092,2.0,1156,1156,30,0,2,68,0,2.081668e-16,1.769418e-15,68,68,68,0,2.346694e-16,1.994690e-15,0.000000e0,5,249.382581,false,1.176471e-5,68
log_euclidean,x,2.078338e-13,5.693803e-18,56,0,0,false,false,true,true,true,0.000000,0,0.000000,725,false,0,0,6.841331e9,1.771547e-7,false,true,false,true,1.176470588235e-1,34,17,136,true,2.078338e-13,8,sphere,1.607974e-11,true,true,207872,24,56.673446,754.967,761.061,754.889,2.078338e-13,1.902682e0,8.139832e-1,3.596978e-1,3.540527,4.136117e-5,10,8092,2.0,1156,1156,30,0,2,68,0,2.081668e-16,1.769418e-15,68,68,68,0,1.891734e-16,1.607974e-15,1.776357e-13,5,249.382581,false,1.176471e-5,68
componentwise,y,6.753159e1,3.270009e0,0,0,0,true,true,true,true,true,0.000000,0,none,1024,false,0,0,6.841331e9,1.771547e-7,true,true,false,true,1.250000000000e-1,32,16,120,true,6.753159e1,8,sphere,0.000000e0,true,true,207872,24,4.246963,3.027,3.359,3.008,4.227295e0,1.902682e0,8.429442e-1,3.596978e-1,2.560929,1.390271e-3,10,7168,2.0,1024,1024,0,0,0,60,0,0.000000e0,0.000000e0,60,60,60,0,0.000000e0,0.000000e0,0.000000e0,5,249.382581,false,1.250000e-5,60
log_euclidean,y,1.536549e-13,1.731006e-16,0,0,0,true,true,true,true,true,0.000000,0,none,1024,false,0,0,6.841331e9,1.771547e-7,false,true,false,true,1.250000000000e-1,32,16,120,true,1.536549e-13,8,sphere,0.000000e0,true,true,207872,24,39.271551,754.967,761.061,754.889,1.536549e-13,1.902682e0,8.429442e-1,3.596978e-1,2.560929,5.137807e-5,10,7168,2.0,1024,1024,0,0,0,60,0,0.000000e0,0.000000e0,60,60,60,0,0.000000e0,0.000000e0,1.900702e-13,5,249.382581,false,1.250000e-5,60
componentwise,y,7.667198e1,3.483746e0,56,0,0,false,false,true,true,true,0.000000,0,0.000000,725,false,0,0,6.841331e9,1.771547e-7,true,true,false,true,1.176470588235e-1,34,17,136,true,7.667198e1,8,sphere,1.995369e-11,true,true,207872,24,4.809037,3.027,3.359,3.008,4.352495e0,1.902682e0,8.139832e-1,3.596978e-1,2.878272,1.251002e-3,10,8092,2.0,1156,1156,30,0,2,68,0,2.081668e-16,1.769418e-15,68,68,68,0,2.347493e-16,1.995369e-15,0.000000e0,5,249.382581,false,1.176471e-5,68
log_euclidean,y,2.104983e-13,5.019876e-16,56,0,0,false,false,true,true,true,0.000000,0,0.000000,725,false,0,0,6.841331e9,1.771547e-7,false,true,false,true,1.176470588235e-1,34,17,136,true,2.104983e-13,8,sphere,1.610506e-11,true,true,207872,24,44.241610,754.967,761.061,754.889,2.104983e-13,1.902682e0,8.139832e-1,3.596978e-1,2.878272,4.136117e-5,10,8092,2.0,1156,1156,30,0,2,68,0,2.081668e-16,1.769418e-15,68,68,68,0,1.894713e-16,1.610506e-15,1.652012e-13,5,249.382581,false,1.176471e-5,68
componentwise,z,6.753159e1,3.270009e0,0,0,0,true,true,true,true,true,0.000000,0,none,1024,false,0,0,6.841331e9,1.771547e-7,true,true,false,true,1.250000000000e-1,32,16,120,true,6.753159e1,8,sphere,0.000000e0,true,true,207872,24,4.563455,3.027,3.359,3.008,4.227295e0,1.902682e0,8.429442e-1,3.596978e-1,2.804762,1.390271e-3,10,7168,2.0,1024,1024,0,0,0,60,0,0.000000e0,0.000000e0,60,60,60,0,0.000000e0,0.000000e0,0.000000e0,5,249.382581,false,1.250000e-5,60
log_euclidean,z,1.643130e-13,-1.730696e-16,0,0,0,true,true,true,true,true,0.000000,0,none,1024,false,0,0,6.841331e9,1.771547e-7,false,true,false,true,1.250000000000e-1,32,16,120,true,1.643130e-13,8,sphere,0.000000e0,true,true,207872,24,42.442727,754.967,761.061,754.889,1.643130e-13,1.902682e0,8.429442e-1,3.596978e-1,2.804762,5.137807e-5,10,7168,2.0,1024,1024,0,0,0,60,0,0.000000e0,0.000000e0,60,60,60,0,0.000000e0,0.000000e0,1.616485e-13,5,249.382581,false,1.250000e-5,60
