# experiment P-149 (R-149)
# hypothesis: P-146 measures the aggregate; this measures the mechanism. The AM-GM gap collapses toward zero exactly where one principal curvature vanishes, so the saving should be a function of the curvature ratio and nothing else. (C1) Binning surface cells by principal-curvature ratio, the anisotropic triangle saving is monotone in the ratio, with correlation above 0.7. (C2) Cells with ratio near 1 -- spherical caps -- show no saving, which is the control that says the effect is anisotropy rather than a general refinement improvement. SHARE: C1 decomposes P-146's C1 saving by feature class; the bin populations are reported so each saving has a denominator.
# falsified by: C1 by a non-monotone relationship, which would mean the saving comes from somewhere other than anisotropy. C2 by a saving on isotropic cells, same conclusion and more damning. VACUITY CONTROL: every curvature-ratio bin must be non-empty on at least one field, reported as counts, or the monotonicity is fitted through gaps.
# commit f3431c0 on amd-ryzen-9-5900x-12-core at 2026-08-30T14:19:25Z
feature_class,principal_curvature_ratio,cells,triangles_isotropic,triangles_anisotropic,saving,hausdorff_delta,saving_vs_curvature_ratio_correlation,c1_holds,c2_holds,am_gm_gap_measured,am_gm_gap_predicted,arms_identical,axes_pinned,axis_ratio,band_points,budget_ratio,c1_global_holds,c1_groups_holding,c1_groups_measurable,c2_global_holds,c2_umbilic_saving,cells_all_fields,correlation_bins,curvature_ratio_mean,curvature_ratio_reciprocal,elliptic_fraction,field,field_bound,grid_anisotropic,grid_isotropic,hausdorff_anisotropic_local,hausdorff_isotropic_local,in_correlation,pooled_correlation,probe_residual_max,probes,ratio_bin_hi,ratio_bin_lo,resolution,saving_vs_reciprocal_correlation,vertices_anisotropic,vertices_isotropic
planar,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=1<3,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,1706,1.000000,false,2,4,false,0.000000,14303,1,undefined,undefined,undefined,sphere,Exact,33x33x33,33x33x33,0.000000000,0.000000000,false,0.187131,0.000000e0,0,undefined,undefined,33,unmeasurable:bins=1<3,1158,1158
umbilic,1.002755,1160,2312,2312,0.000000,0.000000000,unmeasurable:bins=1<3,unmeasurable:arms_identical,unmeasurable:arms_identical,0.999999,0.999999,true,0,1.000000,1706,1.000000,false,2,4,false,0.000000,30964,1,1.002723,0.997252260,1.000000,sphere,Exact,33x33x33,33x33x33,0.094206890,0.094206890,true,0.187131,2.908043e-6,116,1.250000,1.000000,33,unmeasurable:bins=1<3,1158,1158
near_umbilic,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=1<3,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,1706,1.000000,false,2,4,false,0.000000,13647,1,undefined,undefined,undefined,sphere,Exact,33x33x33,33x33x33,0.000000000,0.000000000,false,0.187131,0.000000e0,0,2.000000,1.250000,33,unmeasurable:bins=1<3,1158,1158
mild_anisotropy,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=1<3,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,1706,1.000000,false,2,4,false,0.000000,19746,1,undefined,undefined,undefined,sphere,Exact,33x33x33,33x33x33,0.000000000,0.000000000,false,0.187131,0.000000e0,0,5.000000,2.000000,33,unmeasurable:bins=1<3,1158,1158
strong_anisotropy,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=1<3,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,1706,1.000000,false,2,4,false,0.000000,17805,1,undefined,undefined,undefined,sphere,Exact,33x33x33,33x33x33,0.000000000,0.000000000,false,0.187131,0.000000e0,0,50.000000,5.000000,33,unmeasurable:bins=1<3,1158,1158
flat_direction,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=1<3,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,1706,1.000000,false,2,4,false,0.000000,3467,1,undefined,undefined,undefined,sphere,Exact,33x33x33,33x33x33,0.000000000,0.000000000,false,0.187131,0.000000e0,0,inf,50.000000,33,unmeasurable:bins=1<3,1158,1158
unclassified,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=1<3,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,1706,1.000000,false,2,4,false,0.000000,5763,1,undefined,undefined,undefined,sphere,Exact,33x33x33,33x33x33,0.000000000,0.000000000,false,0.187131,0.000000e0,0,undefined,undefined,33,unmeasurable:bins=1<3,1158,1158
planar,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=1<3,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,6482,1.000000,false,2,4,false,0.000000,14303,1,undefined,undefined,undefined,sphere,Exact,65x65x65,65x65x65,0.000000000,0.000000000,false,-0.060731,0.000000e0,0,undefined,undefined,65,unmeasurable:bins=1<3,4758,4758
umbilic,1.000715,4760,9512,9512,0.000000,0.000000000,unmeasurable:bins=1<3,unmeasurable:arms_identical,unmeasurable:arms_identical,1.000000,1.000000,true,0,1.000000,6482,1.000000,false,2,4,false,0.000000,30964,1,1.000690,0.999285717,1.000000,sphere,Exact,65x65x65,65x65x65,0.046028775,0.046028775,true,-0.060731,6.043073e-8,126,1.250000,1.000000,65,unmeasurable:bins=1<3,4758,4758
near_umbilic,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=1<3,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,6482,1.000000,false,2,4,false,0.000000,13647,1,undefined,undefined,undefined,sphere,Exact,65x65x65,65x65x65,0.000000000,0.000000000,false,-0.060731,0.000000e0,0,2.000000,1.250000,65,unmeasurable:bins=1<3,4758,4758
