# experiment P-15 (R-007)
# hypothesis: More than half of the dual mesher's cycles per sample are spent in emit_quads, which is three unconditional O(n³) sweeps over the sample grid rather than work proportional to the surface.
# falsified by: emit_quads accounting for half or less, which puts the cost in sample or place_vertices — work Marching Cubes does too, at four times the IPC — and means the dual's IPC is lost to something other than its extra traversal.
# commit 12a5614 on amd-ryzen-9-5900x-12-core at 2026-08-16T05:36:18Z
stage,cycles_per_sample,instructions_per_sample,ipc,samples,cells,emit_quad_iterations,emit_share_of_cycles,emit_share_of_instructions,field,held_out,ns_per_cell,triangles
129x129x129,149.4788,200.2769,1.3398,2146689,2097152,6193536,0.8226,0.4505,empty,0,36.6689,0
161x161x161,151.1002,201.3791,1.3328,4173281,4096000,12134880,0.8231,0.4515,empty,0,36.8453,0
193x193x193,153.6297,202.1187,1.3156,7189057,7077888,21013056,0.8234,0.4521,empty,0,37.3287,0
257x257x33,146.8646,196.3111,1.3367,2179617,2097152,6128160,0.8208,0.4474,empty,0,36.4923,0
513x513x9,135.6537,176.4566,1.3008,2368521,2097152,5751816,0.8100,0.4286,empty,0,36.6241,0
725x725x5,106.8344,153.8453,1.4400,2628125,2096704,5231628,0.7932,0.4014,empty,0,32.0082,0
1025x1025x3,83.8773,119.6875,1.4269,3151875,2097152,4188162,0.7502,0.3414,empty,0,30.1739,0
1449x1449x2,33.2674,72.8592,2.1901,4199202,2096704,2093809,0.5900,0.1954,empty,0,15.9545,0
2x1449x1449,37.3541,94.3313,2.5253,4199202,2096704,2093809,0.5900,0.1954,empty,0,17.8958,0
1449x2x1449,36.3008,72.8713,2.0074,4199202,2096704,2093809,0.5900,0.1954,empty,0,17.3796,0
500001x2x2,7.8308,36.4694,4.6572,2000004,500000,0,0.0000,0.0000,empty,0,7.4791,0
2x2x500001,11.9912,59.2193,4.9386,2000004,500000,0,0.0000,0.0000,empty,0,11.5056,0
1000001x2x2,8.1806,36.4691,4.4580,4000004,1000000,0,0.0000,0.0000,empty,0,7.8192,0
385x385x17,141.2526,189.5895,1.3422,2519825,2359296,6759184,0.8175,0.4415,empty,1,36.0647,0
129x129x129,152.7801,207.7348,1.3597,2146689,2097152,6193536,0.8226,0.4505,sphere,0,37.4847,38460
193x193x193,157.8393,207.1277,1.3123,7189057,7077888,21013056,0.8234,0.4521,sphere,0,38.3680,86508
