# experiment P-152 (R-152)
# hypothesis: Dual Contouring minimises squared distance to tangent planes, which silently assumes the cell's surface patch is near-planar. Jones' beta_inf(Q) -- the width of the thinnest slab containing the patch, over diam Q -- is the formal name for that assumption and comes with theorems; Azzam & Schul's higher-dimensional Traveling Salesman Theorem (arXiv:1609.02892, acquired and indexed this session, 79 pp.) is the surface case. beta is absent from the corpus and from every file in the repo. (C1) beta_inf(Q).diam(Q) is computable per cell at under 10% of extraction cost. (C2) It rank-correlates with the QEF residual above 0.7 on at least six of eight fields. (C3) IT CARRIES SIGNAL THE RESIDUAL DOES NOT: there exist cells with low residual and high beta, and the count is reported -- those are the cells where the plane fit is confidently wrong. SHARE: C1 moves the vertex-placement stage, whose cost M-25 puts at 3% over Surface Nets.
# falsified by: C1 by above 10%. C2 by correlation below 0.7 on three or more fields, which would mean beta and the residual measure different things and C3 becomes the whole row. C3 by an empty set, which would mean beta is a reparametrisation of the residual and buys a theorem but no new signal -- the most likely outcome and the reason C3 exists. VACUITY CONTROL: the residual column must have non-zero variance on every field, or the correlation is against a constant.
# commit 98c5309 on amd-ryzen-9-5900x-12-core at 2026-08-30T09:27:15Z
field,resolution,beta_infinity,beta_times_diam,qef_residual,rank_correlation,cells,beta_ms,beta_share,singular_cells,c1_holds,c2_holds,c3_holds,beta_floor,beta_floor_gap_decades,beta_infinity_max,beta_infinity_median,beta_max_below_floor,beta_min_above_floor,beta_ms_max,beta_ms_min,beta_ns_per_surface_cell,beta_share_max,beta_share_min,beta_times_diam_max,beta_times_diam_median,c1_bar,c2_bar,c2_fields_above_bar,c2_resolution,confidently_wrong_cells,diam,extract_ms,extract_ms_max,extract_ms_min,four_crossing_below_floor,four_crossing_cells,high_beta_threshold,lambda,low_residual_threshold,nonplanar_cells,planar_fraction,population_mismatch,qef_residual_max,qef_residual_median,qef_residual_variance,qef_residual_zeros,rank_correlation_unfloored,repeats,singular_bar,singular_cells_tight,slab_evaluations,slab_evaluations_per_patch,slab_fits,spearman_ceiling,spearman_ceiling_admits_bar,surface_cells,three_crossing_above_floor,three_crossing_cells,triangles,vertices
sphere,33,0.000334131,0.000072341,9.639543478e-7,0.382061,32768,1.6525,1.267094,552,false,false,false,1e-12,10.487,0.001527205,0.000039345,8.012345e-17,2.457113e-6,1.9216,1.6442,1424.6,1.475860,1.239758,0.000330650,0.000008518,0.10,0.70,4,65,0,0.216506351,1.3042,1.3263,1.3020,48,624,0.000140937,0.0100,6.607562033e-8,792,0.317241,0,6.646003267e-6,3.743652402e-7,2.270949488e-12,0,0.382623,5,0.0100,0,84680,73,1160,0.983861,true,1160,0,312,2316,1160
torus,33,0.006519180,0.001411444,3.111056765e-5,0.803008,32768,1.7121,1.176656,928,false,false,false,1e-12,11.557,0.032934986,0.001441856,9.214196e-17,3.322571e-5,1.8542,1.7085,1517.8,1.301043,1.139689,0.007130634,0.000312171,0.10,0.70,4,65,0,0.216506351,1.4550,1.4991,1.4252,8,592,0.001900916,0.0100,4.911290783e-7,824,0.269504,0,2.403792494e-4,2.769820265e-6,2.771920216e-9,0,0.799310,5,0.0100,0,82344,73,1128,0.990155,true,1128,0,296,2256,1128
box_exact,33,0.000000000,0.000000000,6.014194287e-8,0.000000,32768,1.5322,1.642937,1344,false,false,false,1e-12,0.000,0.000000000,0.000000000,0.000000e0,0.000000e0,1.6435,1.5254,1133.3,1.770732,1.626107,0.000000000,0.000000000,0.10,0.70,4,65,0,0.216506351,0.9326,0.9381,0.9281,1344,1344,0.000000000,0.0100,0.000000000e0,0,1.000000,0,2.042283436e-6,0.000000000e0,3.964906250e-14,1176,0.000000,5,0.0100,1344,98696,73,1352,0.000000,false,1352,0,8,2700,1352
csg_difference,33,0.001519206,0.000328918,3.642915460e-7,0.674180,32768,1.6972,1.455210,1221,false,false,false,1e-12,10.835,0.130513638,0.000000000,7.211110e-17,4.927795e-6,1.8260,1.6943,1222.8,1.574157,1.429124,0.028257032,0.000000000,0.10,0.70,4,65,0,0.216506351,1.1663,1.1855,1.1600,1149,1299,0.000000000,0.0100,0.000000000e0,186,0.865994,0,1.160870563e-5,0.000000000e0,1.662276749e-12,993,0.763851,5,0.0100,1137,101324,73,1388,0.744336,true,1388,0,52,2772,1388
thin_plate,33,0.000000000,0.000000000,6.410370658e-8,0.000000,32768,0.8159,1.693981,504,false,false,false,1e-12,0.000,0.000000000,0.000000000,1.342068e-16,0.000000e0,0.9199,0.8113,1593.5,1.921522,1.677951,0.000000000,0.000000000,0.10,0.70,4,65,0,0.216506351,0.4816,0.4835,0.4787,504,504,0.000000000,0.0100,0.000000000e0,0,1.000000,0,1.368329902e-6,0.000000000e0,3.349005701e-14,392,0.695952,5,0.0100,504,37376,73,512,0.000000,false,512,0,8,1020,512
gyroid,33,0.015221393,0.011534349,1.687743823e-3,0.780217,32768,7.8572,0.879987,3005,false,false,false,1e-12,9.369,0.323147326,0.000455622,2.014532e-16,4.706976e-7,8.0112,7.8471,1499.5,0.897309,0.877273,0.244872069,0.000345258,0.10,0.70,4,65,0,0.757772228,8.9288,8.9449,8.9281,27,1734,0.018077978,0.0100,1.058917308e-5,3316,0.367176,0,4.635900036e-1,4.721587616e-5,1.408482576e-4,1,0.778883,5,0.0100,7,382520,73,5240,0.974935,true,5240,0,1895,10584,5240
fbm_terrain,33,0.020717670,0.017942028,8.739309285e-3,0.707688,32768,9.2509,0.862979,511,false,false,true,1e-12,10.958,0.157604070,0.008262788,1.983055e-16,1.798843e-5,9.4017,9.2343,4724.7,0.878396,0.849369,0.136489129,0.007155784,0.10,0.70,4,65,16,0.866025404,10.7198,10.8720,10.7033,2,776,0.027393662,0.0100,1.415206740e-4,1342,0.314607,0,1.497860591e-1,1.605293838e-3,2.552673646e-4,0,0.703371,5,0.0100,0,142934,73,1958,0.984307,true,1958,0,614,3758,1958
noise_cavity,33,0.038431400,0.008320642,1.187791076e-3,0.724974,32768,9.5906,0.824659,2811,false,false,true,1e-12,9.180,0.332057774,0.004269341,1.842839e-16,2.787666e-7,9.7161,9.5819,1552.9,0.835712,0.822868,0.071892617,0.000924339,0.10,0.70,4,65,11,0.216506351,11.6298,11.6445,11.6262,43,2126,0.010721022,0.0100,1.797224018e-6,4158,0.326749,0,4.680583391e-2,5.780808820e-5,9.569281464e-6,10,0.715361,5,0.0100,11,450848,73,6176,0.982403,true,6176,0,1975,13044,6176
sphere,65,0.000158705,0.000017180,1.190424302e-7,0.380151,262144,8.0394,1.384397,4760,false,false,true,1e-12,9.457,0.001269605,0.000004867,1.281975e-16,3.675716e-7,9.3396,8.0296,1689.0,1.614872,1.354897,0.000137439,0.000000527,0.10,0.70,4,65,176,0.108253175,5.8072,5.9263,5.7835,120,2328,0.000020132,0.0100,7.901111851e-9,3288,0.309244,0,7.049700593e-7,3.950847590e-8,3.009026383e-14,0,0.380388,5,0.0100,0,347480,73,4760,0.985099,true,4760,0,1352,9516,4760
torus,65,0.003740729,0.000404946,2.683348917e-6,0.816543,262144,7.9841,1.292057,4160,false,false,false,1e-12,10.418,0.019381766,0.000951118,1.382129e-16,3.617817e-6,8.5797,7.9800,1897.4,1.390494,1.290183,0.002098138,0.000102962,0.10,0.70,4,65,0,0.108253175,6.1793,6.1852,6.1702,16,2424,0.000664285,0.0100,6.165492418e-8,3192,0.241445,0,3.329546811e-5,3.300541142e-7,2.129536368e-11,0,0.812036,5,0.0100,0,307184,73,4208,0.992936,true,4208,0,1000,8416,4208
