# experiment P-153 (R-153)
# hypothesis: Three candidate refinement criteria now exist -- beta, estimated curvature, and camera distance -- and only the third has ever been used. (C1) At matched triangle count, beta-driven refinement beats camera-distance refinement on symmetric Hausdorff error on at least five of eight fields. (C2) beta beats curvature specifically on fields with sub-cell structure, where curvature estimated at the cell size is aliased and beta is not, because beta is defined by a slab fit rather than by a derivative -- thin_plate and noise_cavity are the named predictions. SHARE: C1 moves the adaptivity stage, and the triangle counts are reported so the comparison is at a fixed budget.
# falsified by: C1 by under five fields. C2 by curvature matching beta on thin_plate, which would mean the aliasing argument is wrong and M-72's mechanism does not reach the criterion. VACUITY CONTROL: the worst-decile Hausdorff column must differ across criteria, or all three are refining the same cells.
# commit b0289d0 on amd-ryzen-9-5900x-12-core at 2026-08-30T12:56:38Z
criterion,field,triangles,hausdorff,hausdorff_at_matched_triangles,criterion_ms,rank_correlation_with_error,worst_decile_hausdorff,c1_holds,c2_holds,assembly_triangle_gap,base_cells,base_samples,base_sign_change_cells,beta_beats_camera,beta_beats_curvature,beta_unscored_meshable,beta_vs_camera_ratio,beta_vs_curvature_ratio,budget_growth,budget_growth_low,c1_bar,c1_fields_won,c1_fields_won_low,c1_holds_at_low_budget,c2_named_fields,c2_noise_cavity_won,c2_prediction_held,c2_thin_plate_won,camera_distance_from_centre,camera_position,cell_error_population,chamber_degenerate_triangles,chamber_skipped_triangles,crate_hausdorff_status,crate_hausdorff_uniform_coarse,crate_hausdorff_uniform_fine,criterion_ms_max,criterion_ms_min,criterion_repeats,fine_samples_per_cell,hausdorff_budget_low,hausdorff_mesh_to_surface,hausdorff_surface_to_mesh,hausdorff_uniform_coarse,hausdorff_uniform_fine,ladder_span,matched_dropped_cells,mesh_projection_unconverged,meshable_cells,p152_beta_share,p152_planar_fraction,p152_rank_correlation_with_qef,planar_floor,population_unscored,predicted_beta_beats_curvature,projection_step_cells_max,projection_unconverged,rank_population,reference_samples,refined_cells,refined_overlap_with_beta,score_absent_cells,score_all_tied,score_distinct_values,score_max,score_min,slab_evaluations_per_patch,sub_cell_only_cells,surface_cells,surface_point_stride,surface_points,surface_points_unassigned,transition_faces,triangles_at_matched,triangles_budget_low,triangles_matched_ceiling,triangles_target,triangles_target_low,triangles_uniform_coarse,triangles_uniform_fine,unscoped_none,whole_grid_hausdorff_gap_coarse,whole_grid_hausdorff_gap_fine,whole_grid_triangles_coarse,whole_grid_triangles_fine,worst_decile_spread
beta,sphere,1424,0.021066438,0.021066438,0.3481,0.795737,0.017008559,false,false,0.000000,4096,17,272,false,false,0,1.000000,1.065154,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,true,false,4.000000000,2.3094|2.3094|2.3094,248,0,0,measured,0.021759525,0.005361366,0.3525,0.3468,5,3,0.021066438,0.021066438,0.020957122,0.021066438,0.005630290,3.741626,1,0,272,1.267094,0.317241,0.382061,1e-12,0,false,1.831505361e-3,0,248,65,81,1.000000,3824,false,31,2.438197814e-3,0.000000000e0,73,0,272,1,4758,3,222,1412,974,1422,1424,980,536,2312,3824,0.000000000e0,0.000000000e0,536,2312,0.000972008
curvature,sphere,1422,0.019777825,0.019777825,0.6698,0.680929,0.016610293,false,false,0.000000,4096,17,272,false,false,0,1.000000,1.065154,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,true,false,4.000000000,2.3094|2.3094|2.3094,248,0,0,measured,0.021759525,0.005361366,0.6724,0.6669,5,3,0.021066438,0.018993584,0.019777825,0.021066438,0.005630290,3.741626,0,0,272,1.267094,0.317241,0.382061,1e-12,0,false,1.831505361e-3,0,248,65,127,0.244048,0,false,15,1.229508847e0,8.831651927e-1,73,0,272,1,4758,3,224,1422,980,1422,1424,980,536,2312,3824,0.000000000e0,0.000000000e0,536,2312,0.000972008
camera_distance,sphere,1424,0.021066438,0.021066438,0.0129,0.041619,0.017582301,false,false,0.000000,4096,17,272,false,false,0,1.000000,1.065154,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,true,false,4.000000000,2.3094|2.3094|2.3094,248,0,0,measured,0.021759525,0.005361366,0.0157,0.0129,5,3,0.021066438,0.021066438,0.020957122,0.021066438,0.005630290,3.741626,4,0,272,1.267094,0.317241,0.382061,1e-12,0,false,1.831505361e-3,0,248,65,135,0.241573,0,false,67,-2.917468245e0,-5.094813936e0,73,0,272,1,4758,3,47,1422,980,1422,1424,980,536,2312,3824,0.000000000e0,0.000000000e0,536,2312,0.000972008
beta,torus,1452,0.045042027,0.045042027,0.4367,0.490914,0.034112428,false,false,0.000000,4096,17,328,true,false,0,0.800923,1.024600,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,true,false,4.000000000,2.3094|2.3094|2.3094,312,0,0,measured,0.051184351,0.013788262,0.4401,0.4356,5,3,0.056237683,0.041528539,0.045042027,0.056237683,0.014202579,3.959681,1,0,328,1.176656,0.269504,0.803008,1e-12,0,false,5.826357642e-3,0,312,65,112,1.000000,3768,false,138,3.780866702e-2,0.000000000e0,73,0,328,1,4208,0,400,1440,1046,1448,1456,1056,656,2256,3768,0.000000000e0,0.000000000e0,656,2256,0.017038862
curvature,torus,1448,0.043960594,0.043960594,0.8348,0.325847,0.026258175,false,false,0.000000,4096,17,328,true,false,0,0.800923,1.024600,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,true,false,4.000000000,2.3094|2.3094|2.3094,312,0,0,measured,0.051184351,0.013788262,0.8430,0.8301,5,3,0.048749742,0.040818246,0.043960594,0.056237683,0.014202579,3.959681,0,0,328,1.176656,0.269504,0.803008,1e-12,0,false,5.826357642e-3,0,312,65,126,0.439759,0,false,35,8.948919959e0,2.062964041e0,73,0,328,1,4208,0,242,1448,1052,1448,1456,1056,656,2256,3768,0.000000000e0,0.000000000e0,656,2256,0.017038862
camera_distance,torus,1452,0.056237683,0.056237683,0.0129,-0.012459,0.043297037,false,false,0.000000,4096,17,328,true,false,0,0.800923,1.024600,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,true,false,4.000000000,2.3094|2.3094|2.3094,312,0,0,measured,0.051184351,0.013788262,0.0130,0.0129,5,3,0.056237683,0.049744223,0.056237683,0.056237683,0.014202579,3.959681,1,0,328,1.176656,0.269504,0.803008,1e-12,0,false,5.826357642e-3,0,312,65,161,0.255708,0,false,156,-2.803019876e0,-5.278430598e0,73,0,328,1,4208,0,48,1440,1052,1448,1456,1056,656,2256,3768,0.000000000e0,0.000000000e0,656,2256,0.017038862
beta,box_exact,1640,0.216506351,0.216506351,0.3028,0.000000,0.121349843,false,false,0.000000,4096,17,296,false,false,0,1.000000,2.598076,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,true,false,4.000000000,2.3094|2.3094|2.3094,169,0,0,measured,0.288675135,0.144337567,0.3166,0.3010,5,3,0.216506351,0.166666667,0.216506351,0.216506351,0.083333333,2.598076,0,0,296,1.642937,1.000000,0.000000,1e-12,0,false,0.000000000e0,0,169,65,148,1.000000,3800,true,1,0.000000000e0,0.000000000e0,73,0,296,1,5766,2883,28,1640,1110,1640,1640,1112,584,2696,3800,0.000000000e0,0.000000000e0,584,2696,0.075992080
curvature,box_exact,1640,0.083333333,0.083333333,0.7670,0.959420,0.045357762,false,false,0.000000,4096,17,296,false,false,0,1.000000,2.598076,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,true,false,4.000000000,2.3094|2.3094|2.3094,169,0,0,measured,0.288675135,0.144337567,0.7684,0.7637,5,3,0.216506351,0.083333333,0.072168784,0.216506351,0.083333333,2.598076,0,0,296,1.642937,1.000000,0.000000,1e-12,0,false,0.000000000e0,0,169,65,120,0.425532,0,false,3,8.192388155e0,0.000000000e0,73,0,296,1,5766,2883,120,1640,1104,1640,1640,1112,584,2696,3800,0.000000000e0,0.000000000e0,584,2696,0.075992080
camera_distance,box_exact,1640,0.216506351,0.216506351,0.0129,0.145386,0.120890285,false,false,0.000000,4096,17,296,false,false,0,1.000000,2.598076,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,true,false,4.000000000,2.3094|2.3094|2.3094,169,0,0,measured,0.288675135,0.144337567,0.0129,0.0129,5,3,0.216506351,0.166666667,0.216506351,0.216506351,0.083333333,2.598076,0,0,296,1.642937,1.000000,0.000000,1e-12,0,false,0.000000000e0,0,169,65,148,0.169960,0,false,82,-2.484455543e0,-5.515544457e0,73,0,296,1,5766,2883,42,1640,1112,1640,1640,1112,584,2696,3800,0.000000000e0,0.000000000e0,584,2696,0.075992080
beta,csg_difference,1672,0.221487178,0.221487178,0.3289,0.324342,0.122588893,false,false,0.000000,4096,17,296,false,false,0,1.023005,1.831611,0.500000,0.250000,5,2,0,false,thin_plate|noise_cavity,false,true,false,4.000000000,2.3094|2.3094|2.3094,224,0,0,unmeasurable:bound=underestimate,NaN,NaN,0.3313,0.3284,5,3,0.221487178,0.166666667,0.221487178,0.279719735,0.120924796,2.313171,0,0,296,1.455210,0.865994,0.674180,1e-12,0,false,2.518774932e-3,0,224,65,137,1.000000,3800,false,33,1.300923373e-1,0.000000000e0,73,0,296,1,6012,2151,105,1672,1130,1672,1676,1130,584,2768,3800,0.000000000e0,0.000000000e0,584,2768,0.072950416
