# experiment P-156 (R-156)
# hypothesis: x42/M-359 measured shifted linear interpolation and found the recursive prefilter's non-locality bounded -- truncation at k >= 10 moves the root under 7.15e-7 cells on all eight fields -- so the chunk-locality objection is already retired empirically. Quasi-interpolation achieves full approximation order with a compactly supported prefilter, making locality exact rather than bounded (Blu & Unser, 10.1006/acha.1998.0249; the corpus holds only the landing page, so the construction must be taken from a freely available restatement and that source named in the finding). (C1) A compactly supported quasi-interpolant matches the truncated recursive prefilter's accuracy to within 5%. (C2) It is exactly chunk-local -- zero dependence outside the chunk, asserted structurally rather than measured. (C3) Chunk seams remain bit-exact where M-32 says they should be, and the golden hashes that move are counted, since any reconstruction change is a re-baseline. SHARE: C1 moves the vertex-interpolation stage, the crate's single most-executed operation.
# falsified by: C1 by above 5%, which would mean compactness costs accuracy and the truncated recursive filter is the better engineering answer. C2 by any external dependence, which would mean the quasi-interpolant was mis-constructed. C3 by loss of seam bit-exactness. VACUITY CONTROL: the truncated-recursive arm must reproduce x42's 7.15e-7 figure as a control, or the comparison has no baseline.
# commit 2181f83 on amd-ryzen-9-5900x-12-core at 2026-08-30T14:24:01Z
prefilter,support,field,root_position_error,hausdorff,prefilter_ms,chunk_local,seam_bit_exact,hashes_moved,vs_truncated_recursive,c1_holds,c2_holds,c3_holds,c1_decided_at_resolution,c1_excluded_exact_baseline,c1_fields_within_5pct,c1_population,cell_size,crossings_lost,edges_dropped_left_context,edges_measured,footprint_probe_outside,footprint_probe_skipped,footprint_probe_span,golden_hash_algorithms,golden_hash_fields,golden_hash_resolutions,golden_hash_rows,hausdorff_skip,hausdorff_vs_truncated,impulse_response,in_c1_population,is_control,m32_control_cell_size,m32_control_seam_bit_exact,m32_control_worst_delta_cells,mesh_min_bracket,moment_0,moment_1,moment_2,prefilter_ms_max,prefilter_ms_min,prefilter_repeats,ramp_root_error,read_depth_samples,residual_vs_whole_line_cells,resolution,root_position_error_max,sabotage_ramp_root_error,seam_local_bit_exact,seam_pairs,seam_sign_disagreements,seam_worst_delta_cells,standard_mesh_bit_identical,tau,within_5pct,x42_gyroid_k10_delta,x42_gyroid_relative_error,x42_torus_k10_delta,x42_torus_relative_error
standard_trilinear,1,sphere,2.072987e-2,5.361366e-3,1.223210e-1,true,false,0,2.458320e0,false,true,false,65,box_exact,5,6,1.250000e-1,0,45,341,0,0,2,9,8,3,216,none,1.721678e0,fir,true,false,1.176471e-1,false,5.662137e-15,9,1.000000e0,0.000000e0,0.000000e0,1.278110e-1,1.216310e-1,5,0.000000e0,2,2.171845e-2,33,6.276948e-2,4.615385e-2,false,193,0,1.776357e-15,true,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_whole_line,whole_line,sphere,8.432238e-3,3.113990e-3,2.338720e-1,false,false,0,9.999651e-1,false,true,false,65,box_exact,5,6,1.250000e-1,0,45,341,0,0,15,9,8,3,216,none,9.999856e-1,iir,true,false,1.176471e-1,false,8.614643e-6,9,1.000000e0,-2.000000e-1,-1.200000e-1,2.476120e-1,2.302010e-1,5,0.000000e0,33,0.000000e0,33,3.355773e-2,4.615385e-2,false,193,0,6.518459e-8,true,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_truncated_k10,11,sphere,8.432533e-3,3.114035e-3,5.616540e-1,true,false,0,1.000000e0,false,true,false,65,box_exact,5,6,1.250000e-1,0,45,341,0,0,11,9,8,3,216,none,1.000000e0,fir,true,true,1.176471e-1,false,5.662137e-15,9,1.000000e0,-2.000000e-1,-1.200000e-1,5.814240e-1,5.571340e-1,5,6.008154e-7,11,8.272421e-7,33,3.356139e-2,4.615385e-2,false,193,0,1.776357e-15,true,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir2,2,sphere,1.143935e-2,4.029948e-3,2.582420e-1,true,false,0,1.356574e0,false,true,false,65,box_exact,5,6,1.250000e-1,0,45,341,0,0,3,9,8,3,216,none,1.294124e0,fir,true,false,1.176471e-1,false,9.436896e-15,9,1.000000e0,-2.000000e-1,-2.000000e-1,2.798430e-1,2.527420e-1,5,0.000000e0,4,7.938890e-3,33,5.953113e-2,4.615385e-2,false,193,0,1.776357e-15,true,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir3,3,sphere,8.483910e-3,3.097194e-3,3.234630e-1,true,false,0,1.006093e0,false,true,false,65,box_exact,5,6,1.250000e-1,0,45,341,0,0,4,9,8,3,216,none,9.945921e-1,fir,true,false,1.176471e-1,false,7.549517e-15,9,1.000000e0,-2.000000e-1,-1.200000e-1,3.262820e-1,3.223120e-1,5,0.000000e0,5,2.246156e-4,33,3.421987e-2,4.615385e-2,false,193,0,1.776357e-15,true,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
standard_trilinear,1,sphere,1.081413e-2,1.329268e-3,1.190909e0,true,false,0,2.940768e0,false,true,false,65,box_exact,5,6,6.250000e-2,0,0,1585,0,0,2,9,8,3,216,none,1.683039e0,fir,true,false,1.176471e-1,false,5.662137e-15,17,1.000000e0,0.000000e0,0.000000e0,1.197929e0,1.189509e0,5,0.000000e0,2,1.002028e-2,65,4.831899e-2,4.615385e-2,false,304,0,3.552714e-15,true,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_whole_line,whole_line,sphere,3.677353e-3,7.897863e-4,1.994605e0,false,false,0,1.000010e0,false,true,false,65,box_exact,5,6,6.250000e-2,0,0,1585,0,0,29,9,8,3,216,none,9.999797e-1,iir,true,false,1.176471e-1,false,8.614643e-6,17,1.000000e0,-2.000000e-1,-1.200000e-1,2.002795e0,1.992536e0,5,0.000000e0,65,0.000000e0,65,1.468230e-2,4.615385e-2,false,304,0,2.681927e-8,true,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
recursive_truncated_k10,11,sphere,3.677316e-3,7.898023e-4,4.654786e0,true,false,0,1.000000e0,false,true,false,65,box_exact,5,6,6.250000e-2,0,0,1585,0,0,11,9,8,3,216,none,1.000000e0,fir,true,true,1.176471e-1,false,5.662137e-15,17,1.000000e0,-2.000000e-1,-1.200000e-1,4.658455e0,4.648975e0,5,6.008154e-7,11,5.448985e-7,65,1.468053e-2,4.615385e-2,false,304,0,7.105427e-15,true,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir2,2,sphere,4.595555e-3,9.787432e-4,2.190476e0,true,false,0,1.249704e0,false,true,false,65,box_exact,5,6,6.250000e-2,1,0,1585,0,0,4,9,8,3,216,none,1.239226e0,fir,true,false,1.176471e-1,false,9.436896e-15,17,1.000000e0,-2.000000e-1,-2.000000e-1,2.194297e0,2.182557e0,5,0.000000e0,4,4.126994e-3,65,2.547667e-2,4.615385e-2,false,304,0,7.105427e-15,true,2.000000e-1,false,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
quasi_fir3,3,sphere,3.674697e-3,7.879561e-4,2.528689e0,true,false,0,9.992880e-1,false,true,false,65,box_exact,5,6,6.250000e-2,1,0,1585,0,0,4,9,8,3,216,none,9.976624e-1,fir,true,false,1.176471e-1,false,7.549517e-15,17,1.000000e0,-2.000000e-1,-1.200000e-1,2.553050e0,2.496239e0,5,0.000000e0,5,5.320922e-5,65,1.477646e-2,4.615385e-2,false,304,0,7.105427e-15,true,2.000000e-1,true,1.927142e-7,2.220179e-7,7.152528e-7,5.353398e-8
