# experiment P-157 (R-157)
# hypothesis: x42 tested a knot shift at fixed order and found the gain maps to root position only as a lottery over the crossing position. The untested lever is the order itself: a filter with approximation order 4 changes the exponent, not the constant, and that is a different mechanism with a different failure mode. (C1) A higher-order reconstruction gives a fitted error exponent above 3 on at least four smooth fields, against the trilinear's 2. (C2) The cost is stated honestly in the currency that matters: field evaluations per cell, and the resulting share of extraction time, because a wider stencil is more samples and samples are this crate's dominant cost on procedural fields. (C3) THE COLLATERAL IS PRICED AT REGISTRATION: the entire A-002 apparatus -- the asymptotic decider, the interior test, the body-saddle algebra, and P-127's identity -- is derived from the trilinear and would need re-deriving; the count of invalidated cases is a reported column, not a discovery. SHARE: C2 moves the field-evaluation stage, which M-152 puts at 2.65 ms of an 8.40 ms upload at 129^3.
# falsified by: C1 by an exponent at or below 3, which would mean the order does not materialise on our fields at our resolutions. C2 by a share that makes it unaffordable regardless of accuracy. C3 by a smaller invalidation than predicted, which would be good news and should be recorded as such. VACUITY CONTROL: the trilinear arm must reproduce exponent 2 in the same harness, or the comparison is between two different measurement setups.
# commit 7d96604 on amd-ryzen-9-5900x-12-core at 2026-08-30T14:24:54Z
filter,approximation_order,field,resolution_series,fitted_exponent,hausdorff,samples_per_cell,eval_ms,eval_share,cases_invalidated,hashes_moved,c1_holds,c2_holds,c3_holds,bisections,bound,c1_hits,c1_population,cases_centroid_bearing,cases_decider_dependent,cases_empty,cases_total,cases_tunnel_capable,cases_with_geometry,cells_at_timing,crossings_dropped,crossings_finest,empty_case_centre_value,empty_case_index,empty_case_interior_component,empty_case_triangles,eval_ms_max,eval_ms_min,fixture_rows,gradient_calls,halo_layers,hashes_checked,hausdorff_coverage,hausdorff_series,hausdorff_valid,is_control,m150_path_ms,m152_eval_ms,m152_upload_ms,p127_identity_degree,p127_identity_holds,p127_identity_multi_affine,p127_identity_terms,p127_identity_variables,p127_pencil_matches,p138_case_space_tricubic,p138_case_space_trilinear,p138_case_space_triquadratic,p138_mv_tricubic,p138_mv_trilinear,p138_mv_triquadratic,p138_net_sign_bits_tricubic,p138_signs_are_case_index_tricubic,p138_tractable_tricubic,p138_tractable_triquadratic,p155_fitted_exponent_sphere,p155_fitted_exponent_torus,p155_measured_order,p155_strang_fix_order,recon_error_series,recon_fitted_exponent,recon_mean_finest,recon_zero_error,samples_per_cell_ratio,share_delta_ms_at_129,share_delta_pct_at_129,share_growth_at_129,smooth,stencil_clamped,stencil_samples,timing_repeats,timing_resolution,timing_scatter,topology_identical,total_ms,total_ms_max,total_ms_min,total_ratio,triangles_finest,vertices_finest
trilinear,2,sphere,17|25|35|49,2.023133,2.365113e-3,1.090856,0.092511,0.223525,256,0,false,true,true,30,exact,0,4,0,120,2,256,152,254,39304,0,2622,-2.814453,0,true,0,0.095551,0.092361,216,1350,2,24,true,2.175952e-2|9.595173e-3|4.696027e-3|2.365113e-3,true,true,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,5.853780e-3|2.920048e-3|1.430156e-3|7.959516e-4,1.837459,3.066853e-4,7.959516e-4,1.000000,0.254234,1.693767,1.095938,true,0,8,7,35,1.017821,false,0.413873,0.418653,0.411323,1.000000,5240,2622
tricubic_lagrange_4x4x4,4,sphere,17|25|35|49,1.906661,2.110729e-3,1.509236,0.128001,0.026665,256,0,false,true,true,30,exact,0,4,0,120,2,256,152,254,39304,0,2622,-2.814453,0,true,0,0.131931,0.127801,216,0,2,24,true,1.697186e-2|8.360283e-3|4.138433e-3|2.110729e-3,true,false,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,1.949365e-4|4.214370e-5|1.297415e-5|2.700651e-6,3.842076,1.179552e-6,2.700651e-6,1.383534,0.254234,1.693767,1.095938,true,0,64,7,35,1.018981,false,4.800427,4.869108,4.778407,11.598792,5240,2622
exact_oracle,inf,sphere,17|25|35|49,1.912218,2.111404e-3,2.121285,0.179942,0.253913,256,0,false,true,true,30,exact,0,4,0,120,2,256,152,254,39304,0,2622,-2.814453,0,true,0,0.184441,0.179652,216,1350,2,24,true,1.708441e-2|8.373243e-3|4.140853e-3|2.111404e-3,true,true,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,1.164153e-10|7.761058e-11|5.478362e-11|3.880529e-11,0.999998,1.109859e-11,3.880529e-11,1.944606,0.254234,1.693767,1.095938,true,0,8,7,35,1.027914,false,0.708675,0.717366,0.697885,1.712301,5240,2622
trilinear,2,sphere_r060,17|25|35|49,2.028781,3.919875e-3,1.090856,0.092470,0.250357,256,0,false,true,true,30,exact,0,4,0,120,2,256,152,254,39304,0,966,-2.814453,0,true,0,0.096991,0.092311,216,534,2,24,true,3.695686e-2|1.529528e-2|7.943412e-3|3.919875e-3,true,true,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,8.920611e-3|4.229356e-3|2.139775e-3|1.309499e-3,1.769023,5.148523e-4,1.309499e-3,1.000000,0.254234,1.693767,1.095938,true,0,8,7,35,1.175556,true,0.369353,0.428763,0.364732,1.000000,1928,966
tricubic_lagrange_4x4x4,4,sphere_r060,17|25|35|49,1.980732,3.540463e-3,1.509236,0.128001,0.039644,256,0,false,true,true,30,exact,0,4,0,120,2,256,152,254,39304,0,966,-2.814453,0,true,0,0.134311,0.127541,216,0,2,24,true,3.126306e-2|1.470592e-2|7.363261e-3|3.540463e-3,true,false,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,3.597677e-4|1.282266e-4|4.380126e-5|1.188362e-5,3.091828,5.404400e-6,1.188362e-5,1.383534,0.254234,1.693767,1.095938,true,0,64,7,35,1.048482,true,3.228775,3.373976,3.217964,8.741705,1928,966
exact_oracle,inf,sphere_r060,17|25|35|49,1.985443,3.543291e-3,1.498448,0.127111,0.290557,256,0,false,true,true,30,exact,0,4,0,120,2,256,152,254,39304,0,966,-2.814453,0,true,0,0.131061,0.126911,216,534,2,24,true,3.144394e-2|1.474991e-2|7.369947e-3|3.543291e-3,true,true,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,7.677103e-11|5.816569e-11|3.642364e-11|3.485401e-11,0.780120,1.375597e-11,3.485401e-11,1.373644,0.254234,1.693767,1.095938,true,0,8,7,35,1.062063,true,0.437473,0.460864,0.433933,1.184431,1928,966
trilinear,2,torus,17|25|35|49,1.854380,6.745551e-3,1.090856,0.185331,0.387038,256,0,false,true,true,30,exact,0,4,0,120,2,256,152,254,39304,0,2424,-2.814453,0,true,0,0.190281,0.184971,216,1232,2,24,true,5.118435e-2|2.179438e-2|1.126727e-2|6.745551e-3,true,true,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,2.238324e-2|9.871515e-3|4.953282e-3|2.827859e-3,1.895204,5.108003e-4,2.827859e-3,1.000000,0.254234,1.693767,1.095938,true,0,8,7,35,1.015340,true,0.478844,0.483254,0.475953,1.000000,4848,2424
tricubic_lagrange_4x4x4,4,torus,17|25|35|49,1.766603,6.028239e-3,1.509236,0.256222,0.054829,256,0,false,true,true,30,exact,0,4,0,120,2,256,152,254,39304,0,2424,-2.814453,0,true,0,0.278052,0.256092,216,0,2,24,true,4.012830e-2|2.063381e-2|9.736953e-3|6.028239e-3,true,false,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,5.636696e-3|1.780332e-3|3.459002e-4|1.020013e-4,3.741280,2.318947e-5,1.020013e-4,1.383534,0.254234,1.693767,1.095938,true,0,64,7,35,1.002370,true,4.673095,4.678666,4.667605,9.759118,4848,2424
exact_oracle,inf,torus,17|25|35|49,1.754517,6.023533e-3,2.031218,0.344933,0.501083,256,0,false,true,true,30,exact,0,4,0,120,2,256,152,254,39304,0,2424,-2.814453,0,true,0,0.350523,0.344602,216,1232,2,24,true,3.925861e-2|2.118201e-2|9.750157e-3|6.023533e-3,true,true,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,1.139810e-10|6.535111e-11|5.272233e-11|3.690609e-11,0.992178,1.409865e-11,3.690609e-11,1.862041,0.254234,1.693767,1.095938,true,0,8,7,35,1.082037,true,0.688375,0.725836,0.670805,1.437577,4848,2424
trilinear,2,torus_fat,17|25|35|49,1.998152,4.229513e-3,1.090856,0.185141,0.319515,256,0,false,true,true,30,exact,0,4,0,120,2,256,152,254,39304,0,4720,-2.814453,0,true,0,0.188472,0.184962,216,2584,2,24,true,3.755091e-2|1.551638e-2|7.576351e-3|4.229513e-3,true,true,15.010000,2.650000,8.400000,4,true,false,12,8,3,2^64,2^8,2^27,116,2,29,64,false,false,true,1.985214,1.712362,2,2,1.392409e-2|5.216937e-3|3.348715e-3|1.623653e-3,1.896907,3.540748e-4,1.623653e-3,1.000000,0.254234,1.693767,1.095938,true,0,8,7,35,1.014857,true,0.579444,0.582684,0.574154,1.000000,9440,4720
