# experiment P-16 (R-008)
# hypothesis: Every vertex whose area-weighted normal is more than 90° from the field gradient lies on a grid edge at least one of whose incident cells straddles the crease — its eight corners do not all have the same nearer plane — so the phenomenon is two faces meeting inside one cell rather than a winding or ordering defect.
# falsified by: More than 5% of past-90° vertices whose incident cells all lie on one side of the crease, which would make it a defect with a location and a fix rather than a property of one vertex per crossed edge.
# commit 7e2a27d (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-16T06:44:40Z
dihedral_deg,samples,past90_vertices,past90_in_straddling_cell,offending_faces_per_past90_vertex,control_on_crease_share,control_straddling_share,control_vertices,past90_median_crease_distance_cells,past90_median_wall_distance_cells,past90_on_crease_share,past90_straddling_share,rotation_deg,triangles
30.0,33,0,0,0.0000,0.000000,0.037037,1674,0.0000,0.0000,0.000000,0.000000,0,3520
30.0,65,0,0,0.0000,0.000000,0.017391,7245,0.0000,0.0000,0.000000,0.000000,0,14976
30.0,129,0,0,0.0000,0.000000,0.008475,29972,0.0000,0.0000,0.000000,0.000000,0,61184
30.0,33,0,0,0.0000,0.050847,0.084746,1829,0.0000,0.0000,0.000000,0.000000,17,3904
30.0,65,0,0,0.0000,0.024390,0.040650,7749,0.0000,0.0000,0.000000,0.000000,17,16000
30.0,129,0,0,0.0000,0.012000,0.020000,31750,0.0000,0.0000,0.000000,0.000000,17,64512
30.0,33,31,31,0.0000,0.087719,0.175439,1767,0.6942,8.0000,1.000000,1.000000,37,3840
30.0,65,63,63,0.0000,0.041667,0.083333,7560,0.6942,16.0000,1.000000,1.000000,37,15744
30.0,129,127,127,0.0000,0.020492,0.040984,30988,0.6942,32.0000,1.000000,1.000000,37,63488
45.0,33,0,0,0.0000,0.064516,0.032258,1922,0.0000,0.0000,0.000000,0.000000,0,4160
45.0,65,0,0,0.0000,0.030769,0.015385,8190,0.0000,0.0000,0.000000,0.000000,0,17024
45.0,129,0,0,0.0000,0.015038,0.007519,33782,0.0000,0.0000,0.000000,0.000000,0,68864
45.0,33,0,0,0.0000,0.053571,0.089286,1736,0.0000,0.0000,0.000000,0.000000,17,3712
45.0,65,0,0,0.0000,0.025424,0.042373,7434,0.0000,0.0000,0.000000,0.000000,17,15360
45.0,129,0,0,0.0000,0.012448,0.020747,30607,0.0000,0.0000,0.000000,0.000000,17,62208
45.0,33,0,0,0.0000,0.094340,0.132075,1643,0.0000,0.0000,0.000000,0.000000,37,3456
45.0,65,0,0,0.0000,0.046296,0.064815,6804,0.0000,0.0000,0.000000,0.000000,37,14080
45.0,129,0,0,0.0000,0.022831,0.031963,27813,0.0000,0.0000,0.000000,0.000000,37,56576
60.0,33,0,0,0.0000,0.057143,0.028571,2170,0.0000,0.0000,0.000000,0.000000,0,4672
60.0,65,0,0,0.0000,0.027397,0.013699,9198,0.0000,0.0000,0.000000,0.000000,0,18944
60.0,129,0,0,0.0000,0.013423,0.006711,37846,0.0000,0.0000,0.000000,0.000000,0,76544
60.0,33,31,31,0.0000,0.071429,0.053571,1736,0.7270,8.0000,1.000000,1.000000,17,3712
60.0,65,63,63,0.0000,0.034483,0.025862,7308,0.7270,16.0000,1.000000,1.000000,17,15232
60.0,129,127,127,0.0000,0.016878,0.012658,30099,0.7270,32.0000,1.000000,1.000000,17,61440
60.0,33,0,0,0.0000,0.106383,0.106383,1457,0.0000,0.0000,0.000000,0.000000,37,3136
60.0,65,0,0,0.0000,0.051546,0.051546,6111,0.0000,0.0000,0.000000,0.000000,37,12544
60.0,129,0,0,0.0000,0.025510,0.025510,24892,0.0000,0.0000,0.000000,0.000000,37,50688
90.0,33,0,0,0.0000,0.098361,0.049180,1891,0.0000,0.0000,0.000000,0.000000,0,4096
90.0,65,0,0,0.0000,0.048000,0.016000,7875,0.0000,0.0000,0.000000,0.000000,0,16384
90.0,129,0,0,0.0000,0.023715,0.007905,32131,0.0000,0.0000,0.000000,0.000000,0,65536
90.0,33,0,0,0.0000,0.103448,0.051724,1798,0.0000,0.0000,0.000000,0.000000,17,3840
90.0,65,0,0,0.0000,0.050420,0.025210,7497,0.0000,0.0000,0.000000,0.000000,17,15488
90.0,129,0,0,0.0000,0.024896,0.012448,30607,0.0000,0.0000,0.000000,0.000000,17,62464
90.0,33,0,0,0.0000,0.093023,0.069767,1333,0.0000,0.0000,0.000000,0.000000,37,2816
90.0,65,0,0,0.0000,0.044944,0.033708,5607,0.0000,0.0000,0.000000,0.000000,37,11520
90.0,129,0,0,0.0000,0.022222,0.016667,22860,0.0000,0.0000,0.000000,0.000000,37,46336
120.0,33,0,0,0.0000,0.125000,0.041667,1488,0.0000,0.0000,0.000000,0.000000,0,3200
120.0,65,0,0,0.0000,0.060606,0.020202,6237,0.0000,0.0000,0.000000,0.000000,0,12928
120.0,129,0,0,0.0000,0.030000,0.010000,25400,0.0000,0.0000,0.000000,0.000000,0,51712
120.0,33,0,0,0.0000,0.098039,0.039216,1581,0.0000,0.0000,0.000000,0.000000,17,3456
120.0,65,0,0,0.0000,0.048077,0.019231,6552,0.0000,0.0000,0.000000,0.000000,17,13568
120.0,129,0,0,0.0000,0.023923,0.009569,26543,0.0000,0.0000,0.000000,0.000000,17,54272
120.0,33,0,0,0.0000,0.100000,0.060000,1550,0.0000,0.0000,0.000000,0.000000,37,3264
120.0,65,0,0,0.0000,0.049020,0.029412,6426,0.0000,0.0000,0.000000,0.000000,37,13184
120.0,129,0,0,0.0000,0.024272,0.014563,26162,0.0000,0.0000,0.000000,0.000000,37,53248
150.0,33,0,0,0.0000,0.102564,0.051282,1209,0.0000,0.0000,0.000000,0.000000,0,2560
150.0,65,0,0,0.0000,0.050633,0.025316,4977,0.0000,0.0000,0.000000,0.000000,0,10368
150.0,129,0,0,0.0000,0.024845,0.012422,20447,0.0000,0.0000,0.000000,0.000000,0,41472
150.0,33,0,0,0.0000,0.119048,0.047619,1302,0.0000,0.0000,0.000000,0.000000,17,2752
150.0,65,0,0,0.0000,0.059524,0.023810,5292,0.0000,0.0000,0.000000,0.000000,17,10880
150.0,129,0,0,0.0000,0.029586,0.011834,21463,0.0000,0.0000,0.000000,0.000000,17,43520
150.0,33,0,0,0.0000,0.105263,0.052632,1767,0.0000,0.0000,0.000000,0.000000,37,3776
150.0,65,0,0,0.0000,0.052174,0.026087,7245,0.0000,0.0000,0.000000,0.000000,37,15104
150.0,129,0,0,0.0000,0.025751,0.012876,29591,0.0000,0.0000,0.000000,0.000000,37,60416
170.0,33,0,0,0.0000,0.121212,0.060606,1023,0.0000,0.0000,0.000000,0.000000,0,2176
170.0,65,0,0,0.0000,0.057971,0.028986,4347,0.0000,0.0000,0.000000,0.000000,0,8960
170.0,129,0,0,0.0000,0.029197,0.014599,17399,0.0000,0.0000,0.000000,0.000000,0,35840
170.0,33,0,0,0.0000,0.125000,0.050000,1240,0.0000,0.0000,0.000000,0.000000,17,2688
170.0,65,0,0,0.0000,0.060241,0.024096,5229,0.0000,0.0000,0.000000,0.000000,17,10752
170.0,129,0,0,0.0000,0.030120,0.012048,21082,0.0000,0.0000,0.000000,0.000000,17,43008
170.0,33,0,0,0.0000,0.120000,0.040000,1550,0.0000,0.0000,0.000000,0.000000,37,3392
170.0,65,0,0,0.0000,0.059406,0.019802,6363,0.0000,0.0000,0.000000,0.000000,37,13312
170.0,129,0,0,0.0000,0.029557,0.009852,25781,0.0000,0.0000,0.000000,0.000000,37,52992
