# experiment P-160 (R-160)
# hypothesis: IT IS TEMPTING TO CITE A BOUND HERE AND IT WOULD BE WRONG. Gal & Micchelli and Novak (10.1006/jcom.1996.0015) prove adaption improves worst-case error by at most a factor of two -- under four hypotheses: the class is convex, the class is symmetric, the error is worst-case, and the solution operator is a continuous linear mapping. Level-set extraction is not a continuous linear operator on a convex symmetric class, and the same literature records gains up to order n for nonlinear problems with restricted information. So the cap does not bind and the question is empirical. (C1) At matched sample budget, octree-adaptive sampling beats uniform on symmetric Hausdorff error, and the gain is reported per field. (C2) The gain exceeds 2 on at least one field, which is the concrete demonstration that the factor-2 result does not apply here. (C3) The four hypotheses are each checked against our setting and recorded as a row of booleans, so no future reader re-imports the bound. SHARE: C1 moves the field-evaluation stage at fixed budget.
# falsified by: C1 by adaptive losing, which would be a strong argument against the whole octree line. C2 by every gain falling under 2, which would be consistent with the theorem applying after all and would send C3 back for a harder look. C3 by any hypothesis being arguably satisfied. VACUITY CONTROL: the adaptive arm must actually vary its sample density, reported as a density ratio, or both arms are uniform.
# commit 7744cb0 on amd-ryzen-9-5900x-12-core at 2026-08-30T09:30:07Z
field,sample_budget,hausdorff_uniform,hausdorff_adaptive,gain,gain_exceeds_two,class_convex,class_symmetric,operator_linear,c1_holds,c2_holds,c3_holds,active_by_sign_only,adaptive_boundary_edges,adaptive_components,adaptive_triangles,adaptive_triangles_collapsed,adaptive_vertices,adaptive_vertices_removed,bound,budget_ratio,c1_row,c3_strict_holds,cache_lookups,cell_adaptive,cell_ratio,cell_uniform,cells_tested,coarsest_leaf_level,continuity_components_grown,continuity_components_shrunk,continuity_epsilon,convex_endpoint_triangles_min,convex_midpoint_min_value,convex_midpoint_triangles,corner_range_over_diagonal_max,density_ratio,error_worst_case,evaluations_uncached,gain_defined,hypotheses_satisfied,leaves,leaves_finest,linear_max_abs_position,linear_scaled_positions_equal,mae_adaptive,mae_uniform,max_level,measured,reference_cells,reverse_samples_adaptive,reverse_samples_uniform,symmetry_hash_differs,symmetry_signed_volume,symmetry_signed_volume_negated,uniform_boundary_edges,uniform_components,uniform_samples,uniform_samples_per_axis,uniform_triangles,uniform_triangles_collapsed,uniform_vertices,uniform_vertices_removed
sphere,2141,0.038278861,0.005690181,6.727178,true,false,false,false,true,true,true,0,0,1,2312,0,1158,3474,exact,1.026156,true,false,8721,0.125000000,2.666667,0.333333333,969,2,1,2,0.080000000,6160,0.200000000,0,0.500000000,512.000000,true,22016,true,1,3256,2752,1.000000000,true,0.002577483,0.020141413,5,true,64,6482,6482,true,4.179064172,-4.179064155,0,1,2197,13,200,96,102,48
sphere,7941,0.013997040,0.001329268,10.529887,true,false,false,false,true,true,true,0,0,1,9512,0,4758,14274,exact,1.166226,true,false,33489,0.062500000,3.200000,0.200000000,3721,2,1,2,0.080000000,6160,0.200000000,0,0.500000000,4096.000000,true,83456,true,1,12384,10432,1.000000000,true,0.000634232,0.006797123,6,true,64,6482,6482,true,4.179064172,-4.179064155,0,1,9261,21,776,96,390,48
sphere,29917,0.005690181,0.000335359,16.967407,true,false,false,false,true,true,true,0,0,1,38456,0,19230,57690,exact,1.201223,true,false,127377,0.031250000,4.000000,0.125000000,14153,2,1,2,0.080000000,6160,0.200000000,0,0.500000000,32768.000000,true,343040,true,1,49904,42880,1.000000000,true,0.000156266,0.002577483,7,true,64,6482,6482,true,4.179064172,-4.179064155,0,1,35937,33,2312,0,1158,0
torus,1697,0.129532726,0.014521216,8.920239,true,false,false,false,true,true,true,0,0,1,2256,0,1128,3384,exact,1.294638,true,false,6993,0.125000000,2.666667,0.333333333,777,2,1,2,0.080000000,6160,0.200000000,0,0.499024116,512.000000,true,20992,true,1,2976,2624,1.000000000,true,0.004354597,0.044001088,5,true,64,6032,6032,true,4.179064172,-4.179064155,0,1,2197,13,224,0,112,0
torus,7005,0.036906607,0.003976398,9.281417,true,false,false,false,true,true,true,0,0,1,8416,0,4208,12624,exact,1.322056,true,false,30609,0.062500000,3.200000,0.200000000,3401,2,1,2,0.080000000,6160,0.200000000,0,0.499024116,4096.000000,true,83456,true,1,12104,10432,1.000000000,true,0.001128311,0.010970301,6,true,64,6032,6032,true,4.179064172,-4.179064155,0,1,9261,21,880,0,440,0
torus,28401,0.016931614,0.001036188,16.340285,true,false,false,false,true,true,true,0,0,1,34848,0,17432,52296,exact,1.048942,true,false,124497,0.031250000,4.266667,0.133333333,13833,2,1,2,0.080000000,6160,0.200000000,0,0.499648709,32768.000000,true,332288,true,1,48448,41536,1.000000000,true,0.000275917,0.004925240,7,true,64,6032,6032,true,4.179064172,-4.179064155,0,1,29791,31,2016,0,1008,0
box_exact,4525,0.288675135,0.144337567,2.000000,false,false,false,false,true,true,true,0,0,1,2696,0,1350,4050,exact,1.085746,true,false,20241,0.125000000,2.000000,0.250000000,2249,3,1,2,0.080000000,6160,0.200000000,0,0.500000000,64.000000,true,50176,true,1,7456,6272,1.000000000,true,0.003624979,0.015186029,5,true,64,18082,18082,true,4.179064172,-4.179064155,0,1,4913,17,584,0,294,0
box_exact,16737,0.088823118,0.072168784,1.230769,false,false,false,false,true,true,true,0,0,1,11528,0,5766,17298,exact,1.176017,true,false,76689,0.062500000,2.461538,0.153846154,8521,3,1,2,0.080000000,6160,0.200000000,0,0.500000000,512.000000,true,197632,true,1,29072,24704,1.000000000,true,0.000886627,0.002565791,6,true,64,18082,18082,true,4.179064172,-4.179064155,0,1,19683,27,2024,0,1014,0
box_exact,64661,0.115470054,0.036084392,3.200000,true,false,false,false,true,true,true,0,0,1,47624,0,23814,71442,exact,1.065882,true,false,299025,0.031250000,3.200000,0.100000000,33225,3,1,2,0.080000000,6160,0.200000000,0,0.500000000,4096.000000,true,787456,true,1,115200,98432,1.000000000,true,0.000219304,0.002299559,7,true,64,18082,18082,true,4.179064172,-4.179064155,0,1,68921,41,4328,0,2166,0
csg_difference,0,0.000000000,0.000000000,0.000000,false,false,false,false,true,true,true,0,0,0,0,0,0,0,underestimate,0.000000,false,false,0,0.000000000,0.000000,0.000000000,0,0,1,2,0.080000000,6160,0.200000000,0,0.000000000,0.000000,true,0,false,1,0,0,1.000000000,true,0.000000000,0.000000000,0,false,0,0,0,true,4.179064172,-4.179064155,0,0,0,0,0,0,0,0
thin_plate,1945,0.236033484,0.089267855,2.644104,true,false,false,false,true,true,true,0,0,1,1016,0,510,1530,exact,1.129563,true,false,8145,0.125000000,2.666667,0.333333333,905,2,1,2,0.080000000,6160,0.200000000,0,0.499982421,512.000000,true,12800,true,1,2192,1600,1.000000000,true,0.000961118,0.002265372,5,true,64,3399,3399,true,4.179064172,-4.179064155,0,1,2197,13,136,0,70,0
thin_plate,5187,0.141796839,0.045927933,3.087377,true,false,false,false,true,true,true,0,0,1,4088,0,2046,6138,exact,1.322344,true,false,22545,0.062500000,3.555556,0.222222222,2505,2,1,2,0.080000000,6160,0.200000000,0,0.499982421,4096.000000,true,41472,true,1,6728,5184,1.000000000,true,0.000499946,0.002231638,6,true,64,3399,3399,true,4.179064172,-4.179064155,0,1,6859,19,392,0,198,0
thin_plate,15485,0.118512189,0.025387620,4.668109,true,false,false,false,true,true,true,0,0,1,16376,0,8190,24570,exact,1.009041,true,false,69201,0.031250000,5.333333,0.166666667,7689,2,1,2,0.080000000,6160,0.200000000,0,0.499982421,32768.000000,true,147968,true,1,22912,18496,1.000000000,true,0.000255095,0.001249024,7,true,64,3399,3399,true,4.179064172,-4.179064155,0,1,15625,25,568,0,286,0
