# experiment P-162 (R-162)
# hypothesis: G(Z^3) = 1/12 = 0.0833333 and G(A3*) = 19/(192*cbrt(2)) = 0.078543281, both verified by direct Voronoi-cell integration this session, giving a 5.748% MSE reduction, 0.2571 dB at matched point density. Barnes & Sloane (10.1137/0604005) prove A3* optimal among 3D lattices -- not among all quantizers, where the bracketing bounds remain unproven. (C1) At matched sample count, BCC sampling improves symmetric Hausdorff error over the cubic grid on at least five of eight fields. (C2) The improvement is in the neighbourhood of the predicted 0.257 dB -- within a factor of 2 -- or the deviation is explained, because G predicts quantization error and Hausdorff error is not that, and the gap between them is the interesting part. (C3) The cost is stated: a BCC extractor needs a different case table, and its size is reported alongside the cubic 256. SHARE: C1 moves the whole sampling stage; C3 is a complexity cost, not a runtime one.
# falsified by: C1 by under five fields. C2 by an unexplained deviation beyond 2x, which would mean G is the wrong figure of merit for surface extraction and would be worth writing down. C3 by a case table large enough to be impractical. VACUITY CONTROL: both arms must be at genuinely matched point density, reported as counts, or the comparison is a resolution change wearing a lattice's name.
# commit 0db1c9e on amd-ryzen-9-5900x-12-core at 2026-08-30T09:27:54Z
lattice,G,samples,field,hausdorff,hausdorff_ratio,predicted_gain_db,measured_gain_db,prediction_holds,extraction_ms,case_table_size,c1_holds,c2_holds,c3_holds,cells_per_site,corner_reads_per_site,corners_per_cell,density_mismatch,distinct_up_to_symmetry,eval_samples,extraction_ms_max,extraction_ms_min,extraction_repeats,fields_improved,fields_in_neighbourhood,fields_rms_in_neighbourhood,inset,is_control,lattice_scale,max_triangles_per_case,mean_linear_error,points,probes,reconstruction_stencil,refine_steps,rms_error,rms_gain_db,rms_prediction_holds,total_triangles,worst_linear_error
Z3,0.083333333,117649,sphere,0.058482783,1.000000,0.257097,0.000000,false,295.3903,256,false,false,true,1,8,8,0.029393,22,49,296.6730,295.1394,5,3,1,0,0.204082,true,0.081632653,5,0.001125998,3366,5000,8,14,0.001173622,0.000000,false,820,0.001658651
A3*,0.078543281,114191,sphere,0.058029606,1.007809,0.257097,0.067568,false,178.7981,16,false,false,true,6,24,4,0.029393,5,49,179.0025,178.5059,5,3,1,0,0.204082,false,0.081405182,2,0.000873029,3366,5000,4,14,0.000898406,2.321109,false,20,0.001372463
Z3,0.083333333,117649,torus,0.054633042,1.000000,0.257097,0.000000,false,285.7901,256,false,false,true,1,8,8,0.029393,22,49,288.7964,285.5286,5,3,1,0,0.204082,true,0.081632653,5,0.001493764,2888,5000,8,14,0.001689555,0.000000,false,820,0.003204481
A3*,0.078543281,114191,torus,0.054799054,0.996971,0.257097,-0.026354,false,172.1209,16,false,false,true,6,24,4,0.029393,5,49,172.5916,171.8260,5,3,1,0,0.204082,false,0.081405182,2,0.001582809,2824,5000,4,14,0.001756537,-0.337701,false,20,0.004141173
Z3,0.083333333,117649,box_exact,0.052354857,1.000000,0.257097,0.000000,false,316.8321,256,false,false,true,1,8,8,0.029393,22,49,319.6592,314.1304,5,3,1,0,0.204082,true,0.081632653,5,0.000001453,4374,5000,8,14,0.000001453,0.000000,false,820,0.000001453
A3*,0.078543281,114191,box_exact,0.052354857,1.000000,0.257097,0.000000,false,189.9363,16,false,false,true,6,24,4,0.029393,5,49,190.6108,189.5977,5,3,1,0,0.204082,false,0.081405182,2,0.000245942,4374,5000,4,14,0.000709717,-53.775083,false,20,0.002257678
Z3,0.083333333,117649,csg_difference,0.065699639,1.000000,0.257097,0.000000,true,318.3108,256,false,false,true,1,8,8,0.029393,22,49,321.6723,317.3261,5,3,1,0,0.204082,true,0.081632653,5,0.000363924,4548,5000,8,14,0.001229320,0.000000,false,820,0.011878960
A3*,0.078543281,114191,csg_difference,0.062619113,1.049195,0.257097,0.417121,true,194.4221,16,false,false,true,6,24,4,0.029393,5,49,194.6444,192.4031,5,3,1,0,0.204082,false,0.081405182,2,0.000713431,4524,5000,4,14,0.002717564,-6.890294,false,20,0.027210884
Z3,0.083333333,117649,thin_plate,0.052445265,1.000000,0.257097,0.000000,false,259.7859,256,false,false,true,1,8,8,0.029393,22,49,260.4697,258.6902,5,3,1,0,0.204082,true,0.081632653,5,0.000454631,1566,5000,8,14,0.001725149,0.000000,false,820,0.006569168
A3*,0.078543281,114191,thin_plate,0.140911234,0.372187,0.257097,-8.584787,false,152.0699,16,false,false,true,6,24,4,0.029393,5,49,152.2937,151.8953,5,3,1,0,0.204082,false,0.081405182,2,0.005865101,1134,5000,4,14,0.008561686,-13.914655,false,20,0.012500000
Z3,0.083333333,117649,gyroid,0.412209432,1.000000,0.257097,0.000000,false,526.9464,256,false,false,true,1,8,8,0.029393,22,49,528.8440,526.3342,5,3,1,0,0.714286,true,0.285714286,5,0.004797064,14670,5000,8,14,0.013336250,0.000000,false,820,0.126287387
A3*,0.078543281,114191,gyroid,0.379129261,1.087253,0.257097,0.726612,false,322.0540,16,false,false,true,6,24,4,0.029393,5,49,322.6215,321.2855,5,3,1,0,0.714286,false,0.284918138,2,0.004329721,14796,5000,4,14,0.011307917,1.433022,false,20,0.116268733
Z3,0.083333333,117649,fbm_terrain,1.023108760,1.000000,0.257097,0.000000,false,338.8121,256,false,false,true,1,8,8,0.029393,22,49,343.2019,337.6412,5,3,1,0,0.816327,true,0.326530612,5,0.022921667,4473,5000,8,14,0.029962443,0.000000,false,820,0.126986806
A3*,0.078543281,114191,fbm_terrain,1.052521843,0.972055,0.257097,-0.246186,false,212.8702,16,false,false,true,6,24,4,0.029393,5,49,212.9535,212.5796,5,3,1,0,0.816327,false,0.325620729,2,0.019675257,4527,5000,4,14,0.026184012,1.170820,false,20,0.123361469
Z3,0.083333333,117649,noise_cavity,0.277435157,1.000000,0.257097,0.000000,false,585.0305,256,false,false,true,1,8,8,0.029393,22,49,592.7523,583.5274,5,3,1,0,0.204082,true,0.081632653,5,0.008444392,17444,5000,8,14,0.014596974,0.000000,false,820,0.198267064
A3*,0.078543281,114191,noise_cavity,0.647500519,0.428471,0.257097,-7.361573,false,360.7360,16,false,false,true,6,24,4,0.029393,5,49,361.0986,359.9568,5,3,1,0,0.204082,false,0.081405182,2,0.007691890,17926,5000,4,14,0.014443536,0.091786,false,20,0.229802426
