# experiment P-163 (R-163)
# hypothesis: G(D3) = 2^(-11/3) = 0.078745066 against G(A3*) = 0.078543281 -- a gap of 0.011 dB, about 4% of the size of the cubic-vs-BCC gap. This registration exists so that a null is on the record before somebody spends a week distinguishing them. (C1) The measured FCC-BCC Hausdorff difference is below the measurement scatter of the harness itself, reported as a scatter column from repeated runs. SHARE: none.
# falsified by: C1 by a resolvable difference, which would mean either the harness is more precise than expected -- useful -- or that Hausdorff error responds to something G does not capture, which is P-162 C2's question answered from the other side. VACUITY CONTROL: the harness scatter must be estimated from at least five repeated runs of the same lattice, or 'below scatter' has no denominator.
# commit 0ddc50b on amd-ryzen-9-5900x-12-core at 2026-08-30T14:20:38Z
lattice,G,predicted_gap_db,measured_gap_db,measurement_scatter_db,gap_below_scatter,c1_holds,arm_scatter_db,bond_length_gap_db,bond_mismatch,bonds,bonds_per_site,coord_residual,density_mismatch,field,fields_below_scatter,fields_measured,gap_db_by_repeat,gap_db_max,gap_db_min,gap_over_scatter,gap_range_db,hausdorff,hausdorff_by_probes,hausdorff_max,hausdorff_min,hausdorff_ratio,is_control,lattice_scale,lattice_unit,mean_bond_length,mean_linear_error,points,probe_counts,probes_max,probes_min,repeats,rms_error,rms_gap_db,samples,scatter_is_zero,target_points,worst_linear_error
A3*,0.078543281,0.011143,-0.102675,0.292921,true,false,0.000000,0.174897,0.000850,772654,6.766330,7.105e-15,0.006130,sphere,1,8,-0.102675153|-0.102675153|-0.102675153|-0.102675153|0.190245440,0.190245,-0.102675,0.350522,0.292921,0.045519245,0.045519245|0.045519245|0.045519245|0.045519245|0.045519245,0.045519245,0.045519245,0.988249,true,0.081405182,0.051282051,0.094712112,0.000413731,7646,2600|2800|3000|3200|3400,3400,2600,5,0.000510387,1.140817,114191,false,117649,0.001227357
D3,0.078745066,0.011143,-0.102675,0.292921,true,false,0.292921,0.174897,0.000850,768570,6.772079,3.553e-15,0.006130,sphere,1,8,-0.102675153|-0.102675153|-0.102675153|-0.102675153|0.190245440,0.190245,-0.102675,0.350522,0.292921,0.044984334,0.044984334|0.044984334|0.044984334|0.044984334|0.046527244,0.046527244,0.044984334,0.988249,false,0.081285229,0.064516129,0.096638538,0.000452575,7918,2600|2800|3000|3200|3400,3400,2600,5,0.000582023,1.140817,113491,false,117649,0.001858852
A3*,0.078543281,0.011143,0.853780,0.120066,false,false,0.120066,0.174897,0.000850,772654,6.766330,7.105e-15,0.006130,torus,1,8,0.853780176|0.853780176|0.853780176|0.733714176|0.733714176,0.853780,0.733714,7.110924,0.120066,0.045563171,0.045563171|0.045563171|0.045563171|0.046197369|0.046197369,0.046197369,0.045563171,1.103288,true,0.081405182,0.051282051,0.094712112,0.000753778,7016,2600|2800|3000|3200|3400,3400,2600,5,0.001086794,-0.122351,114191,false,117649,0.003590786
D3,0.078745066,0.011143,0.853780,0.120066,false,false,0.000000,0.174897,0.000850,768570,6.772079,3.553e-15,0.006130,torus,1,8,0.853780176|0.853780176|0.853780176|0.733714176|0.733714176,0.853780,0.733714,7.110924,0.120066,0.050269313,0.050269313|0.050269313|0.050269313|0.050269313|0.050269313,0.050269313,0.050269313,1.103288,false,0.081285229,0.064516129,0.096638538,0.000718533,7084,2600|2800|3000|3200|3400,3400,2600,5,0.001071593,-0.122351,113491,false,117649,0.005078999
A3*,0.078543281,0.011143,0.531513,0.000000,false,false,0.000000,0.174897,0.000850,772654,6.766330,7.105e-15,0.006130,box_exact,1,8,0.531512791|0.531512791|0.531512791|0.531512791|0.531512791,0.531513,0.531513,inf,0.000000,0.035708722,0.035708722|0.035708722|0.035708722|0.035708722|0.035708722,0.035708722,0.035708722,1.063104,true,0.081405182,0.051282051,0.094712112,0.000150507,13694,2600|2800|3000|3200|3400,3400,2600,5,0.000819784,11.652151,114191,true,117649,0.006870492
D3,0.078745066,0.011143,0.531513,0.000000,false,false,0.000000,0.174897,0.000850,768570,6.772079,3.553e-15,0.006130,box_exact,1,8,0.531512791|0.531512791|0.531512791|0.531512791|0.531512791,0.531513,0.531513,inf,0.000000,0.037962075,0.037962075|0.037962075|0.037962075|0.037962075|0.037962075,0.037962075,0.037962075,1.063104,false,0.081285229,0.064516129,0.096638538,0.000367003,13262,2600|2800|3000|3200|3400,3400,2600,5,0.003135502,11.652151,113491,true,117649,0.032258065
A3*,0.078543281,0.011143,2.325768,0.000000,false,false,0.000000,0.174897,0.000850,772654,6.766330,7.105e-15,0.006130,csg_difference,1,8,2.325768036|2.325768036|2.325768036|2.325768036|2.325768036,2.325768,2.325768,inf,0.000000,0.062674370,0.062674370|0.062674370|0.062674370|0.062674370|0.062674370,0.062674370,0.062674370,1.307039,true,0.081405182,0.051282051,0.094712112,0.000346716,13694,2600|2800|3000|3200|3400,3400,2600,5,0.001655585,6.030157,114191,true,117649,0.027939154
D3,0.078745066,0.011143,2.325768,0.000000,false,false,0.000000,0.174897,0.000850,768570,6.772079,3.553e-15,0.006130,csg_difference,1,8,2.325768036|2.325768036|2.325768036|2.325768036|2.325768036,2.325768,2.325768,inf,0.000000,0.081917819,0.081917819|0.081917819|0.081917819|0.081917819|0.081917819,0.081917819,0.081917819,1.307039,false,0.081285229,0.064516129,0.096638538,0.000550778,13328,2600|2800|3000|3200|3400,3400,2600,5,0.003314816,6.030157,113491,true,117649,0.038150786
A3*,0.078543281,0.011143,-0.591560,0.000000,false,false,0.000000,0.174897,0.000850,772654,6.766330,7.105e-15,0.006130,thin_plate,1,8,-0.591559529|-0.591559529|-0.591559529|-0.591559529|-0.591559529,-0.591560,-0.591560,inf,0.000000,0.054679175,0.054679175|0.054679175|0.054679175|0.054679175|0.054679175,0.054679175,0.054679175,0.934162,true,0.081405182,0.051282051,0.094712112,0.000257732,3686,2600|2800|3000|3200|3400,3400,2600,5,0.001794895,3.541409,114191,true,117649,0.012500000
D3,0.078745066,0.011143,-0.591560,0.000000,false,false,0.000000,0.174897,0.000850,768570,6.772079,3.553e-15,0.006130,thin_plate,1,8,-0.591559529|-0.591559529|-0.591559529|-0.591559529|-0.591559529,-0.591560,-0.591560,inf,0.000000,0.051079187,0.051079187|0.051079187|0.051079187|0.051079187|0.051079187,0.051079187,0.051079187,0.934162,false,0.081285229,0.064516129,0.096638538,0.000625807,4034,2600|2800|3000|3200|3400,3400,2600,5,0.002698420,3.541409,113491,true,117649,0.012500000
