# experiment P-164 (R-164)
# hypothesis: Entezari, Van De Ville & Moller, Practical box splines on the BCC lattice (10.1109/tvcg.2007.70429), is in the corpus and the 2026-08-23 sweep recorded it as 'YES (today) | 0 files' -- acquired and never cited, now for a second time. It is the reconstruction half of P-162's sampling half, and the two are only meaningful together: a better lattice sampled with the wrong filter is not obviously better at anything. (C1) A BCC box spline achieves at least the trilinear's approximation order on the BCC lattice, derived and then measured. (C2) The combination -- BCC lattice plus box spline -- beats cubic-plus-trilinear at matched sample count by more than the lattice change alone does in P-162, which is the test of whether the two compose. SHARE: C2 moves the sampling and reconstruction stages jointly, and P-162's C1 is the baseline it is measured against.
# falsified by: C1 by a lower order, which would mean the lattice gain is paid back at reconstruction. C2 by no improvement over P-162 alone, which would mean they do not compose and the filter is doing nothing. VACUITY CONTROL: P-162 must have completed and its per-field numbers must be the reported baseline, or C2 has nothing to exceed.
# commit 3af8648 on amd-ryzen-9-5900x-12-core at 2026-08-30T14:27:36Z
filter,lattice,approximation_order,support_size,evaluations_per_cell,hausdorff,eval_ms,vs_trilinear_on_cubic,c1_holds,c2_holds,affine_residual,c1_fields_held,c2_bar_db,c2_blocker,c2_fields_held,c2_margin_db,c2_margin_required_db,c2_reachable,constant_ratio_db,density_mismatch,eval_calls,eval_cells,eval_mean_value,eval_ms_max,eval_ms_min,eval_ns_per_call,eval_repeats,eval_samples,eval_scatter,field,filter_evals,inset,is_control,lattice_scale,order_density_mismatch_max,order_derived,order_derived_agrees,order_drop,order_gap,order_gap_nonnegative,order_h,order_inset,order_ladder,order_lever,order_linf,order_probes,order_r2,order_rms_errors,order_samples,order_se,p162_c1_holds,p162_c2_holds,p162_commit,p162_fields_improved,p162_gain_db,p162_hausdorff,p162_replication_rel_delta,p162_rows,p162_samples,points,probes,quadratic_residual,recon_gain_db,recon_linf,recon_rms,refine_steps,samples,support_volume_cells,taps_per_cell,unity_residual
trilinear,Z3,1.989459,8,1.489918,0.058482783,46.7048,0.000000,true,false,8.882e-16,8,0.067568,p162_arm_was_already_bcc_plus_box_spline,0,0.000000209,0.001000,false,1.741309,0.029393,20000,110592,0.587257128,46.8759,46.5481,2335.24,5,49,0.007019,sphere,164773,0.204082,true,0.081632653,0.064537,2,true,4.988024,0.011926,true,0.137931|0.114286|0.097561|0.081633|0.061538,0.345087,29|35|41|49|65,2.241379,2.228334,4096,0.999719,2.6301e-3|1.8128e-3|1.3520e-3|9.3616e-4|5.2728e-4,24389|42875|68921|117649|274625,0.019249,false,false,0db1c9e,3,0.067568,0.058482783,5.701e-9,16,117649,3366,5000,0.048618,2.029276,0.009895790,0.000936163,14,117649,8,11.919343,1.110e-16
bcc_box_spline,A3*,2.001385,4,1.489918,0.058029606,28.5910,0.067568,true,false,4.441e-16,8,0.067568,p162_arm_was_already_bcc_plus_box_spline,0,0.000000209,0.001000,false,1.741309,0.029393,20000,110592,0.587091047,28.7548,28.4462,1429.55,5,49,0.010793,sphere,164773,0.204082,false,0.081405182,0.064537,2,true,5.115780,0.011926,true,0.138035|0.113386|0.096206|0.081405|0.061054,0.345087,29|35|41|49|65,2.260870,2.031369,4096,0.999936,2.1090e-3|1.4356e-3|1.0295e-3|7.4112e-4|4.1225e-4,22815|41635|68705|114191|273259,0.009266,false,false,0db1c9e,3,0.067568,0.058029606,5.701e-9,16,114191,3366,5000,0.126660,2.029276,0.005570681,0.000741119,14,114191,4,5.959672,0.000e0
trilinear,Z3,1.938142,8,1.429407,0.054633042,46.5186,0.000000,true,false,8.882e-16,8,-0.026354,p162_arm_was_already_bcc_plus_box_spline,0,0.000000393,0.001000,false,1.700542,0.029393,20000,110592,0.711840254,46.7828,46.3800,2325.93,5,49,0.008659,torus,158081,0.204082,true,0.081632653,0.064537,2,true,4.689548,0.005891,true,0.137931|0.114286|0.097561|0.081633|0.061538,0.345087,29|35|41|49|65,2.241379,1.281207,4096,0.998677,3.6145e-3|2.6669e-3|1.9005e-3|1.3405e-3|7.7075e-4,24389|42875|68921|117649|274625,0.040733,false,false,0db1c9e,3,-0.026354,0.054633042,6.094e-9,16,117649,2888,5000,0.048618,1.825902,0.016558204,0.001340540,14,117649,8,11.435258,1.110e-16
bcc_box_spline,A3*,1.944033,4,1.421305,0.054799054,28.5184,-0.026354,true,false,4.441e-16,8,-0.026354,p162_arm_was_already_bcc_plus_box_spline,0,0.000000393,0.001000,false,1.700542,0.029393,20000,110592,0.711666444,28.7140,28.4607,1425.92,5,49,0.008882,torus,157185,0.204082,false,0.081405182,0.064537,2,true,4.912465,0.005891,true,0.138035|0.113386|0.096206|0.081405|0.061054,0.345087,29|35|41|49|65,2.260870,2.074911,4096,0.997642,3.0968e-3|2.0645e-3|1.4245e-3|1.0864e-3|6.3040e-4,22815|41635|68705|114191|273259,0.054572,false,false,0db1c9e,3,-0.026354,0.054799054,6.094e-9,16,114191,2824,5000,0.126660,1.825902,0.019697015,0.001086387,14,114191,4,5.685221,0.000e0
trilinear,Z3,1.672027,8,1.617522,0.052354857,46.4108,0.000000,true,false,8.882e-16,8,0.000000,p162_arm_was_already_bcc_plus_box_spline,0,0.000000000,0.001000,false,3.527125,0.029393,20000,110592,0.267131600,46.6183,46.3753,2320.54,5,49,0.005236,box_exact,178885,0.204082,true,0.081632653,0.064537,2,false,3.922381,0.128478,true,0.137931|0.114286|0.097561|0.081633|0.061538,0.345087,29|35|41|49|65,2.241379,1.273433,4096,0.993783,4.7248e-3|3.1822e-3|2.7165e-3|1.8792e-3|1.2046e-3,24389|42875|68921|117649|274625,0.076353,false,false,0db1c9e,3,0.000000,0.052354857,2.000e-9,16,117649,4374,5000,0.048618,6.101096,0.018114847,0.001879177,14,117649,8,12.940177,1.110e-16
bcc_box_spline,A3*,1.800505,4,1.617522,0.052354857,28.5370,0.000000,true,false,4.441e-16,8,0.000000,p162_arm_was_already_bcc_plus_box_spline,0,0.000000000,0.001000,false,3.527125,0.029393,20000,110592,0.266833077,28.6494,28.4712,1426.85,5,49,0.006245,box_exact,178885,0.204082,false,0.081405182,0.064537,2,false,4.407020,0.128478,true,0.138035|0.113386|0.096206|0.081405|0.061054,0.345087,29|35|41|49|65,2.260870,1.170279,4096,0.999268,2.4299e-3|1.6411e-3|1.2342e-3|9.3092e-4|5.5138e-4,22815|41635|68705|114191|273259,0.028127,false,false,0db1c9e,3,0.000000,0.052354857,2.000e-9,16,114191,4374,5000,0.126660,6.101096,0.008312591,0.000930921,14,114191,4,6.470088,0.000e0
trilinear,Z3,1.475140,8,1.639549,0.065699639,46.6235,0.000000,true,false,8.882e-16,8,0.417121,p162_arm_was_already_bcc_plus_box_spline,0,0.000000387,0.001000,false,2.107581,0.029393,20000,110592,0.288429001,46.7383,46.4389,2331.17,5,49,0.006423,csg_difference,181321,0.204082,true,0.081632653,0.064537,2,false,3.299392,0.026295,true,0.137931|0.114286|0.097561|0.081633|0.061538,0.345087,29|35|41|49|65,2.241379,0.967954,4096,0.998016,6.2403e-3|4.6039e-3|3.8437e-3|2.8245e-3|1.8913e-3,24389|42875|68921|117649|274625,0.037977,false,false,0db1c9e,3,0.417121,0.065699639,6.214e-9,16,117649,4548,5000,0.048618,2.528220,0.034016336,0.002824515,14,117649,8,13.116392,1.110e-16
bcc_box_spline,A3*,1.501436,4,1.636511,0.062619113,28.6384,0.417121,true,false,4.441e-16,8,0.417121,p162_arm_was_already_bcc_plus_box_spline,0,0.000000387,0.001000,false,2.107581,0.029393,20000,110592,0.288134501,28.7204,28.5850,1431.92,5,49,0.004729,csg_difference,180985,0.204082,false,0.081405182,0.064537,2,false,3.548880,0.026295,true,0.138035|0.113386|0.096206|0.081405|0.061054,0.345087,29|35|41|49|65,2.260870,0.997756,4096,0.985985,4.9781e-3|3.2228e-3|2.5818e-3|2.1112e-3|1.4027e-3,22815|41635|68705|114191|273259,0.103348,false,false,0db1c9e,3,0.417121,0.062619113,6.214e-9,16,114191,4524,5000,0.126660,2.528220,0.036162324,0.002111217,14,114191,4,6.546043,0.000e0
trilinear,Z3,1.888830,8,1.262053,0.052445265,46.5161,0.000000,true,false,8.882e-16,8,-8.584787,p162_arm_was_already_bcc_plus_box_spline,0,0.000000362,0.001000,false,1.332996,0.029393,20000,110592,0.899164166,46.5887,46.4711,2325.81,5,49,0.002529,thin_plate,139573,0.204082,true,0.081632653,0.064537,2,true,4.659355,-0.072307,false,0.137931|0.114286|0.097561|0.081633|0.061538,0.345087,29|35|41|49|65,2.241379,1.100991,4096,0.998868,3.3964e-3|2.2822e-3|1.7834e-3|1.2501e-3|7.2893e-4,24389|42875|68921|117649|274625,0.036712,false,false,0db1c9e,3,-8.584787,0.052445265,2.798e-9,16,117649,1566,5000,0.048618,0.002923,0.017951792,0.001250121,14,117649,8,10.096427,1.110e-16
bcc_box_spline,A3*,1.816523,4,1.207366,0.140911234,28.5900,-8.584787,true,false,4.441e-16,8,-8.584787,p162_arm_was_already_bcc_plus_box_spline,0,0.000000362,0.001000,false,1.332996,0.029393,20000,110592,0.899051194,28.7110,28.4768,1429.50,5,49,0.008193,thin_plate,133525,0.204082,false,0.081405182,0.064537,2,false,4.476425,-0.072307,false,0.138035|0.113386|0.096206|0.081405|0.061054,0.345087,29|35|41|49|65,2.260870,1.571807,4096,0.996292,3.4733e-3|2.2291e-3|1.7221e-3|1.2497e-3|7.7590e-4,22815|41635|68705|114191|273259,0.063978,false,false,0db1c9e,3,-8.584787,0.140911234,2.798e-9,16,114191,1134,5000,0.126660,0.002923,0.030451278,0.001249701,14,114191,4,4.829463,0.000e0
