# experiment P-165 (R-165)
# hypothesis: M-56 measured greedy meshing's saving over face culling at 1.70x to 256x and called it field-dependent -- but never measured it against the optimum, which for a rectilinear region is a classical polynomial-time problem. Eppstein (arXiv:0908.3916, acquired and converted this session) gives it exactly: the minimum number of rectangles is n/2 + h - g - 1, where g is the maximum number of disjoint good diagonals -- axis-parallel interior segments joining two concave vertices -- found as a maximum independent set in a bipartite intersection graph of horizontal against vertical chords, hence by Konig's theorem via maximum matching, in O(n^{3/2} log n) with range searching. Independently discovered by Lipski et al. (1979), Ohtsuki (1982), and Ferrari, Sankar & Sklansky (1984). (C1) The optimum is computed on all seven fields at three resolutions. (C2) Greedy's ratio to the optimum is reported per field, turning M-56's unbounded range into a distance. (C3) The optimum's cost is under 10x greedy's, or it is a measurement instrument rather than a shippable algorithm and is labelled one. SHARE: C2 moves the greedy-meshing stage, whose saving M-56 bounds.
# falsified by: C1 by the reduction not applying -- for instance if the merged regions have holes the formula's h does not model. C2 by greedy already achieving the optimum on every field, which would close M-56's question with the best possible answer. C3 by above 10x. VACUITY CONTROL: at least one field must have g > 0 and at least one h > 0, reported as columns, or the formula is being checked in its degenerate case.
# commit 2b2a765 on amd-ryzen-9-5900x-12-core at 2026-08-30T09:30:27Z
field,resolution,vertices_n,holes_h,good_diagonals_g,optimum_rectangles,greedy_rectangles,ratio,matching_ms,optimum_ms,c1_holds,c2_holds,c3_holds,brute_checked,brute_disagreements,brute_nonrectangular,chords_horizontal,chords_vertical,components,cost_ratio,cost_ratio_worst,culled_faces,golden_check,greedy_max_ms,greedy_min_ms,greedy_ms,greedy_triangles,greedy_vertices,identity_failures,mask_quads_agree,masks,matching_max_ms,matching_min_ms,matching_pairs,merge_saving,nonempty_masks,optimum_le_greedy,optimum_max_ms,optimum_min_ms,pinch_vertices,ratio_defined,reflex_r,repeats,total_cost_ratio
sphere,17,600,6,36,162,162,1.000000,0.000960,0.266752,true,true,true,102,0,6,36,36,108,1.428376,1.448268,312,match,0.189792,0.186431,0.186752,324,648,0,true,96,0.001120,0.000950,36,1.925926,24,true,0.270002,0.266642,0,true,96,5,2.428376
sphere,33,2472,12,156,642,642,1.000000,0.003770,2.022274,true,true,true,432,0,0,132,132,450,1.370735,1.386844,1248,match,1.483851,1.472830,1.475321,1284,2568,0,true,192,0.005730,0.003620,108,1.943925,48,true,2.042585,2.021255,72,true,360,5,2.370735
sphere,65,8232,18,408,2118,2124,1.002833,0.008030,15.864065,true,true,true,1560,0,24,300,300,1608,1.343397,1.345687,4872,absent,11.817015,11.803776,11.808916,4248,8496,0,true,384,0.009450,0.007850,192,2.293785,96,true,15.884184,15.858435,648,true,936,5,2.343397
torus,17,240,2,12,68,68,1.000000,0.000890,0.267652,true,true,true,40,0,0,12,12,42,1.301860,1.325387,240,match,0.209011,0.204191,0.205592,136,272,0,true,96,0.000930,0.000830,12,3.529412,26,true,0.270632,0.266712,0,true,40,5,2.301860
torus,33,1440,2,68,364,366,1.005495,0.003230,2.089925,true,true,true,280,0,8,60,60,290,1.283966,1.292698,984,match,1.630362,1.621482,1.627711,732,1464,0,true,192,0.003910,0.003030,52,2.688525,56,true,2.096086,2.087555,144,true,144,5,2.283966
torus,65,6960,10,360,1784,1808,1.013453,0.008680,17.662598,true,true,true,1320,0,48,296,296,1346,1.351957,1.354512,4488,absent,13.065235,13.058785,13.064465,3616,7232,0,true,384,0.010260,0.008410,232,2.482301,138,true,17.688278,17.651998,528,true,808,5,2.351957
box_exact,17,24,0,0,6,6,1.000000,0.000140,0.204352,true,true,true,0,0,0,0,0,6,0.963370,0.985996,384,match,0.214532,0.210661,0.212122,12,24,0,true,96,0.000140,0.000120,0,64.000000,6,true,0.207711,0.204251,0,true,0,5,1.963370
box_exact,33,24,0,0,6,6,1.000000,0.000140,1.536951,true,true,true,0,0,0,0,0,6,0.921477,0.924514,1536,match,1.671432,1.664292,1.667922,12,24,0,true,192,0.000160,0.000130,0,256.000000,6,true,1.538661,1.533211,0,true,0,5,1.921477
box_exact,65,24,0,0,6,6,1.000000,0.000130,11.727855,true,true,true,0,0,0,0,0,6,0.872309,0.874499,6144,absent,13.488677,13.430667,13.444608,12,24,0,true,384,0.000150,0.000130,0,1024.000000,6,true,11.745105,11.718815,0,true,0,5,1.872309
csg_difference,17,132,3,0,42,42,1.000000,0.000470,0.254272,true,true,true,18,0,0,0,0,27,1.168954,1.198428,396,match,0.221231,0.216552,0.217521,84,168,0,true,96,0.000500,0.000460,0,9.428571,21,true,0.259522,0.254022,0,true,18,5,2.168954
