# experiment P-167 (R-167)
# hypothesis: Marching Cubes is a lookup on a Boolean function of 8 variables, and the analysis of Boolean functions has exact machinery for such objects -- Walsh-Hadamard expansion, degree, spectral concentration, algebraic normal form (O'Donnell, arXiv:2105.10386, acquired and indexed this session). Absent from the corpus at 0.584 and from every file in the repo. (C1) The Walsh-Hadamard spectrum of the table, treated as a vector-valued Boolean function, is computed and its weight distribution by degree reported. (C2) The spectrum is not concentrated on low degrees -- the honest prediction, since a case table encoding topology should need high-degree terms -- and the ANF term count is reported so the negative is quantitative. (C3) If C2 is falsified and the spectrum is sparse, a branchless spectral evaluation is benchmarked against the table lookup. SHARE: C3 moves the classification stage, which the work-graphs result put at a 2.8-3.4x loss when moved to irregular GPU dispatch.
# falsified by: C1 by the transform not being well-defined for the vector-valued output, which would mean the framing needs per-bit treatment and should say so. C2 by concentration on low degrees, which is the good outcome and triggers C3. C3 by the spectral evaluation losing to a lookup, which is likely -- a 256-entry table is already in L1. VACUITY CONTROL: a known low-degree function (parity, majority) must be run through the same transform and reproduce its known spectrum, or the instrument is unvalidated.
# commit 186246e on amd-ryzen-9-5900x-12-core at 2026-08-30T09:28:04Z
output_bit,fourier_weight_by_degree,spectral_concentration,anf_terms,max_degree,sparse,branchless_feasible,eval_ms_table,eval_ms_spectral,c1_holds,c2_holds,c3_holds,anf_degree,bit_index,bit_reconstruction_exact,c3_reachable,calibration_majority_total_influence,calibration_majority_weight_degree1,calibration_parity_weight_degree8,concentrated,concentration_degree,concentration_up_to_1,concentration_up_to_3,concentration_up_to_4,control_dense_rows,control_sparse_rows,corner_symmetry_classes,corrupt_control_weight_shift,degree_for_90pct_weight,eval_ms_ratio,eval_ms_spectral_max,eval_ms_spectral_min,eval_ms_table_max,eval_ms_table_min,eval_scatter_spectral,eval_scatter_table,influence_by_corner,influences_all_equal,is_control,is_degenerate,reading,reading_reconstruction_exact,role,sparse_term_limit,spectral_terms,timed_repeats,total_influence,truth_table_ones,weight_sum,weight_target,workload_evaluations,workload_seed
triangle_counts.bit0,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|1.000000000,0.000000000,8,8,true,false,0.236132,1.087708,true,true,false,1,bit0,true,false,2.187500000000,0.598144531250,1.000000000000,false,2,0.000000000,0.000000000,0.000000000,3,17,1,0.023193359,8,4.606356,1.124168,1.051398,0.246111,0.235172,1.069213,1.046515,1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000,true,false,false,triangle_counts,true,parity,16,1,7,8.000000000,128,1.000000000000,0.90,1048576,0x2545f4914f6cdd1d
triangle_counts.bit1,0.000244141|0.095703125|0.147460938|0.169921875|0.228027344|0.076171875|0.225585938|0.001953125|0.054931641,0.243408203,34,8,false,false,0.235622,224.711294,true,true,false,4,bit1,true,false,2.187500000000,0.598144531250,1.000000000000,false,2,0.095947266,0.413330078,0.641357422,3,17,1,0.023193359,6,953.694027,225.218128,224.690624,0.240262,0.234932,1.002348,1.022687,0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000,true,false,false,triangle_counts,true,informative,16,256,7,4.000000000,130,1.000000000000,0.90,1048576,0x2545f4914f6cdd1d
triangle_counts.bit2,0.024414062|0.095703125|0.308593750|0.169921875|0.146484375|0.076171875|0.058593750|0.001953125|0.118164062,0.428710938,100,8,false,false,0.238111,224.814605,true,true,false,7,bit2,true,false,2.187500000000,0.598144531250,1.000000000000,false,2,0.120117188,0.598632812,0.745117188,3,17,1,0.023193359,8,944.158838,224.999716,224.669364,0.238952,0.235612,1.001470,1.014176,0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000,true,false,false,triangle_counts,true,informative,16,256,7,3.500000000,108,1.000000000000,0.90,1048576,0x2545f4914f6cdd1d
triangle_counts.bit3,1.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,1.000000000,0,0,true,false,0.235942,1.090238,true,false,false,0,bit3,true,true,2.187500000000,0.598144531250,1.000000000000,true,2,1.000000000,1.000000000,1.000000000,3,17,1,0.023193359,0,4.620788,1.114858,1.072068,0.236761,0.235101,1.039914,1.007061,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,true,false,true,triangle_counts,true,constant,16,1,7,0.000000000,0,1.000000000000,0.90,1048576,0x2545f4914f6cdd1d
edge_masks.bit0,0.000000000|0.000000000|1.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,1.000000000,2,2,true,false,0.235692,1.116328,true,false,false,1,bit0,true,true,2.187500000000,0.598144531250,1.000000000000,true,2,0.000000000,1.000000000,1.000000000,3,17,1,0.023193359,2,4.736385,1.124958,1.074947,0.239572,0.235182,1.046524,1.018666,1.000000000|1.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,false,false,false,edge_masks,true,single_coefficient,16,1,7,2.000000000,128,1.000000000000,0.90,1048576,0x2545f4914f6cdd1d
edge_masks.bit1,0.000000000|0.000000000|1.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,1.000000000,2,2,true,false,0.235932,1.100338,true,false,false,1,bit1,true,true,2.187500000000,0.598144531250,1.000000000000,true,2,0.000000000,1.000000000,1.000000000,3,17,1,0.023193359,2,4.663793,1.127419,1.090858,0.238841,0.235131,1.033516,1.015778,0.000000000|0.000000000|1.000000000|1.000000000|0.000000000|0.000000000|0.000000000|0.000000000,false,false,false,edge_masks,true,single_coefficient,16,1,7,2.000000000,128,1.000000000000,0.90,1048576,0x2545f4914f6cdd1d
edge_masks.bit2,0.000000000|0.000000000|1.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,1.000000000,2,2,true,false,0.235932,1.091178,true,false,false,1,bit2,true,true,2.187500000000,0.598144531250,1.000000000000,true,2,0.000000000,1.000000000,1.000000000,3,17,1,0.023193359,2,4.624968,1.108098,1.075658,0.239542,0.235621,1.030158,1.016641,0.000000000|0.000000000|0.000000000|0.000000000|1.000000000|1.000000000|0.000000000|0.000000000,false,false,false,edge_masks,true,single_coefficient,16,1,7,2.000000000,128,1.000000000000,0.90,1048576,0x2545f4914f6cdd1d
edge_masks.bit3,0.000000000|0.000000000|1.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,1.000000000,2,2,true,false,0.235861,1.095408,true,false,false,1,bit3,true,true,2.187500000000,0.598144531250,1.000000000000,true,2,0.000000000,1.000000000,1.000000000,3,17,1,0.023193359,2,4.644295,1.115528,1.086178,0.239832,0.235182,1.027021,1.019772,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|1.000000000|1.000000000,false,false,false,edge_masks,true,single_coefficient,16,1,7,2.000000000,128,1.000000000000,0.90,1048576,0x2545f4914f6cdd1d
edge_masks.bit4,0.000000000|0.000000000|1.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,1.000000000,2,2,true,false,0.235581,1.112318,true,false,false,1,bit4,true,true,2.187500000000,0.598144531250,1.000000000000,true,2,0.000000000,1.000000000,1.000000000,3,17,1,0.023193359,2,4.721595,1.119138,1.079827,0.236341,0.235262,1.036405,1.004586,1.000000000|0.000000000|1.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,false,false,false,edge_masks,true,single_coefficient,16,1,7,2.000000000,128,1.000000000000,0.90,1048576,0x2545f4914f6cdd1d
edge_masks.bit5,0.000000000|0.000000000|1.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,1.000000000,2,2,true,false,0.235952,1.108718,true,false,false,1,bit5,true,true,2.187500000000,0.598144531250,1.000000000000,true,2,0.000000000,1.000000000,1.000000000,3,17,1,0.023193359,2,4.698913,1.122848,1.083208,0.237441,0.235512,1.036595,1.008191,0.000000000|1.000000000|0.000000000|1.000000000|0.000000000|0.000000000|0.000000000|0.000000000,false,false,false,edge_masks,true,single_coefficient,16,1,7,2.000000000,128,1.000000000000,0.90,1048576,0x2545f4914f6cdd1d
edge_masks.bit6,0.000000000|0.000000000|1.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,1.000000000,2,2,true,false,0.236231,1.098638,true,false,false,1,bit6,true,true,2.187500000000,0.598144531250,1.000000000000,true,2,0.000000000,1.000000000,1.000000000,3,17,1,0.023193359,2,4.650694,1.111088,1.088218,0.241211,0.235642,1.021016,1.023633,0.000000000|0.000000000|0.000000000|0.000000000|1.000000000|0.000000000|1.000000000|0.000000000,false,false,false,edge_masks,true,single_coefficient,16,1,7,2.000000000,128,1.000000000000,0.90,1048576,0x2545f4914f6cdd1d
edge_masks.bit7,0.000000000|0.000000000|1.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,1.000000000,2,2,true,false,0.235911,1.111898,true,false,false,1,bit7,true,true,2.187500000000,0.598144531250,1.000000000000,true,2,0.000000000,1.000000000,1.000000000,3,17,1,0.023193359,2,4.713210,1.128458,1.103488,0.242071,0.235282,1.022628,1.028855,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|1.000000000|0.000000000|1.000000000,false,false,false,edge_masks,true,single_coefficient,16,1,7,2.000000000,128,1.000000000000,0.90,1048576,0x2545f4914f6cdd1d
edge_masks.bit8,0.000000000|0.000000000|1.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,1.000000000,2,2,true,false,0.236212,1.100858,true,false,false,1,bit8,true,true,2.187500000000,0.598144531250,1.000000000000,true,2,0.000000000,1.000000000,1.000000000,3,17,1,0.023193359,2,4.660466,1.130178,1.084048,0.240142,0.235202,1.042553,1.021003,1.000000000|0.000000000|0.000000000|0.000000000|1.000000000|0.000000000|0.000000000|0.000000000,false,false,false,edge_masks,true,single_coefficient,16,1,7,2.000000000,128,1.000000000000,0.90,1048576,0x2545f4914f6cdd1d
