# experiment P-169 (R-169)
# hypothesis: The influence of a variable is the probability that flipping it changes the output -- a per-corner number the crate could use to decide which sample to refine first, and a sanity check on the table's symmetry. (C1) All eight corner influences are computed and are equal within each octahedral symmetry class, which they must be if the table is octahedrally correct -- making this a cheap independent check on validate_table(). (C2) Total influence is reported and compared against the average sensitivity a refinement heuristic would need. SHARE: none.
# falsified by: C1 by unequal influences within a symmetry class, which would be a table defect and worth the whole ticket by itself. C2 by total influence being uninformative, which is the expected outcome for a symmetric table. VACUITY CONTROL: a deliberately corrupted table must produce unequal within-class influences, or C1 cannot detect the defect it is designed for.
# commit b12f121 on amd-ryzen-9-5900x-12-core at 2026-08-30T14:21:06Z
corner_index,influence,total_influence,symmetry_class,influence_equal_within_class,refinement_priority_correlation,c1_holds,c2_holds,bit_index,control_case,control_correlation_negated,control_correlation_self,control_delta,control_detected,edge_mask_equivariant_violations,edge_mask_labelled_violations,empirical_agrees_with_uniform,empirical_influence,empirical_total_influence,influence_agrees_combinatorial,influence_by_corner,influence_combinatorial,influence_shift_abs,influence_spread,informative_correlation,is_control,is_degenerate,octahedral_violations,output_bit,perturbation,reading,refinement_priority,refinement_priority_by_corner,refinement_priority_correlation_per_scan,refinement_priority_distinct,refinement_priority_scans,refinement_priority_spread,role,scan_resolutions,scanned_cells,scanned_cut_cells,symmetry_class_count,symmetry_class_index,total_influence_from_corners,uniform_minus_empirical
0,1.000000000,8.000000000,class0,true,0.000000,true,false,bit0,none,-1.000000000,1.000000000,none,none,0,10944,true,1.000000000,8.000000000,true,1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000,1.000000000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit0,1e-3,triangle_counts,0.124649179,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,parity,33|65,2359296,99932,1,0,8.000000000,0.000000000
1,1.000000000,8.000000000,class0,true,0.000000,true,false,bit0,none,-1.000000000,1.000000000,none,none,0,10944,true,1.000000000,8.000000000,true,1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000,1.000000000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit0,1e-3,triangle_counts,0.124924427,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,parity,33|65,2359296,99932,1,0,8.000000000,0.000000000
2,1.000000000,8.000000000,class0,true,0.000000,true,false,bit0,none,-1.000000000,1.000000000,none,none,0,10944,true,1.000000000,8.000000000,true,1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000,1.000000000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit0,1e-3,triangle_counts,0.124795224,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,parity,33|65,2359296,99932,1,0,8.000000000,0.000000000
3,1.000000000,8.000000000,class0,true,0.000000,true,false,bit0,none,-1.000000000,1.000000000,none,none,0,10944,true,1.000000000,8.000000000,true,1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000,1.000000000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit0,1e-3,triangle_counts,0.125090705,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,parity,33|65,2359296,99932,1,0,8.000000000,0.000000000
4,1.000000000,8.000000000,class0,true,0.000000,true,false,bit0,none,-1.000000000,1.000000000,none,none,0,10944,true,1.000000000,8.000000000,true,1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000,1.000000000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit0,1e-3,triangle_counts,0.124905227,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,parity,33|65,2359296,99932,1,0,8.000000000,0.000000000
5,1.000000000,8.000000000,class0,true,0.000000,true,false,bit0,none,-1.000000000,1.000000000,none,none,0,10944,true,1.000000000,8.000000000,true,1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000,1.000000000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit0,1e-3,triangle_counts,0.125207747,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,parity,33|65,2359296,99932,1,0,8.000000000,0.000000000
6,1.000000000,8.000000000,class0,true,0.000000,true,false,bit0,none,-1.000000000,1.000000000,none,none,0,10944,true,1.000000000,8.000000000,true,1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000,1.000000000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit0,1e-3,triangle_counts,0.125055513,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,parity,33|65,2359296,99932,1,0,8.000000000,0.000000000
7,1.000000000,8.000000000,class0,true,0.000000,true,false,bit0,none,-1.000000000,1.000000000,none,none,0,10944,true,1.000000000,8.000000000,true,1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000|1.000000000,1.000000000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit0,1e-3,triangle_counts,0.125371976,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,parity,33|65,2359296,99932,1,0,8.000000000,0.000000000
0,0.500000000,4.000000000,class0,true,0.000000,true,false,bit1,none,-1.000000000,1.000000000,none,none,0,10944,false,0.017648909,0.141688453,true,0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000,0.500000000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit1,1e-3,triangle_counts,0.124649179,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,orbit_equal,33|65,2359296,99932,1,0,4.000000000,3.858311547
1,0.500000000,4.000000000,class0,true,0.000000,true,false,bit1,none,-1.000000000,1.000000000,none,none,0,10944,false,0.017807855,0.141688453,true,0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000,0.500000000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit1,1e-3,triangle_counts,0.124924427,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,orbit_equal,33|65,2359296,99932,1,0,4.000000000,3.858311547
