# experiment P-173 (R-173)
# hypothesis: Hodge, Helmholtz, integrability and irrotational are zero across every file in this repository, and the corpus holds the machinery only as flow visualisation. A HermiteCell's <=12 edge normals are samples of gradf, and a true gradient field is curl-free -- so the curl residual over those edges is a direct, per-cell measure of 'these normals cannot come from one smooth sheet', computable in a few dozen flops on a struct the crate already builds. It has a reason to fire where the crate already hurts: CSG min/max makes the gradient discontinuous. (C1) The curl residual costs under 2% of extraction. (C2) It separates the cells M-60 says need a second vertex from those that do not -- AUC above 0.8 -- on gyroid and fbm_terrain, the only two fields where M-60's rate is non-zero, with the other five as a zero control. (C3) A per-cell lambda derived from the residual beats the global lambda = 0.01 on at least one of sharpness or self-intersection count, without losing on the other. SHARE: C1 moves the vertex-placement stage; C3 moves the same stage's quality, not its cost.
# falsified by: C1 by above 2%. C2 by AUC below 0.8, which would mean inconsistency and multi-sheet-ness are different phenomena and the residual predicts nothing M-60 cares about. C3 by the per-cell lambda losing on either axis, which would vindicate the global constant and is a perfectly good result. VACUITY CONTROL: the five fields with zero second-vertex cells must be included and must report near-zero residual, or C2's separation is measured on a population with no negatives.
# commit a8d381e on amd-ryzen-9-5900x-12-core at 2026-08-30T09:31:01Z
field,resolution,curl_residual,curl_residual_normalised,cells,second_vertex_cells,separation_auc,lambda_global,lambda_per_cell,qef_residual_delta,sharpness_delta,self_intersections_delta,curl_ms,curl_share,c1_holds,c2_holds,c3_holds,auc_bar,c1_holds_global,c1_holds_sampled,c1_rows_held,c2_holds_global,c2_rows_held,c3_holds_global,c3_rows_held,complete_faces_mean,control_ceiling,cost_ceiling,curl_ms_max,curl_ms_min,curl_ms_sampled,curl_share_sampled,dc_vertices,extra_vertices_measured,extra_vertices_predicted,extract_ms,extract_ms_max,extract_ms_min,lambda_cell_max,lambda_cell_min,lambda_max,lambda_min,lambda_score_mean,lambda_unit_circulation,mdc_vertices,mean_residual_second_vertex,mean_residual_single_vertex,mirror_mismatches,mirror_vertices,over_shipped_lambda_share,qef_residual_global,qef_residual_per_cell,repeats,residual_max,residual_median,reversal_floor,reversal_floor_cells,second_vertex_share,self_intersections_global,self_intersections_per_cell,separation_auc_reachable,sharpness_delta_top_decile,sharpness_global,sharpness_per_cell,sharpness_worst_global,sharpness_worst_per_cell,triangles
sphere,17,0.002722241,0.000277838,272,0,unreachable,0.010000000,0.001012615,-0.000010895,0.000304765,0,0.001401,0.005020210,true,true,false,0.8,true,false,24,false,16,false,12,0.000000,0.25,0.02,0.001460,0.001400,0.037461,0.134234176,272,0,0,0.279072,0.297732,0.272842,0.001024552,0.001000000,0.1,0.001,0.002722241,1,272,0.000000000,0.000277838,0,272,0.000000,0.000059285,0.000048390,5,0.000537568,0.000199471,0.408248290,0,0.000000000,0,0,false,-0.001034309,0.038019236,0.038324001,0.065307928,0.065641667,540
sphere,25,0.000746877,0.000076228,656,0,unreachable,0.010000000,0.001003445,-0.000024278,0.000230766,0,0.003530,0.004920306,true,true,false,0.8,true,false,24,false,16,false,12,0.000000,0.25,0.02,0.003840,0.003370,0.090351,0.125936148,656,0,0,0.717435,0.739305,0.715255,0.001006562,0.001000000,0.1,0.001,0.000746877,1,656,0.000000000,0.000076228,0,656,0.000000,0.000098461,0.000074183,5,0.000144961,0.000064171,0.408248290,0,0.000000000,0,0,false,-0.000336179,0.026533427,0.026764193,0.046214365,0.046456303,1308
sphere,33,0.000317975,0.000032453,1160,0,unreachable,0.010000000,0.001001465,-0.000021555,0.000290344,0,0.006090,0.004631601,true,true,false,0.8,true,false,24,false,16,false,12,0.000000,0.25,0.02,0.006210,0.006050,0.159591,0.121373053,1160,0,0,1.314880,1.332079,1.308649,0.001002803,0.001000000,0.1,0.001,0.000317975,1,1160,0.000000000,0.000032453,0,1160,0.000000,0.000061693,0.000040138,5,0.000062045,0.000031801,0.408248290,0,0.000000000,0,0,false,0.000377714,0.018982564,0.019272908,0.036167990,0.036349272,2316
torus,17,0.223835853,0.022845151,328,0,unreachable,0.010000000,0.002298871,0.001070936,0.002486194,0,0.001680,0.004461772,true,true,false,0.8,true,false,24,false,16,false,12,0.000000,0.25,0.02,0.001740,0.001680,0.058210,0.154595094,328,0,0,0.376532,0.429384,0.359682,0.100000000,0.001110966,0.1,0.001,0.180757330,1,328,0.000000000,0.022845151,0,328,0.121951,0.006966752,0.008037689,5,0.160640887,0.004977260,0.408248290,0,0.000000000,0,0,false,-0.002887613,0.042465452,0.044951646,0.150489531,0.164146438,656
torus,25,0.040173784,0.004100220,544,0,unreachable,0.010000000,0.001203227,0.001104287,0.003007285,4,0.002790,0.004390562,true,true,false,0.8,true,false,24,false,16,false,12,0.000000,0.25,0.02,0.002820,0.002790,0.096301,0.151546768,544,0,0,0.635454,0.651804,0.628595,0.001916617,0.001010429,0.1,0.001,0.040173784,1,544,0.000000000,0.004100220,0,544,0.000000,0.005780610,0.006884898,5,0.014418075,0.003148050,0.408248290,0,0.000000000,0,4,false,0.015893819,0.048224739,0.051232024,0.095152059,0.097149519,1088
torus,33,0.011084509,0.001131308,1128,0,unreachable,0.010000000,0.001052371,0.001225163,0.002924362,0,0.005780,0.004102692,true,true,false,0.8,true,false,24,false,16,false,12,0.000000,0.25,0.02,0.005940,0.005780,0.200371,0.142225008,1128,0,0,1.408831,1.426060,1.399110,0.001245697,0.001007905,0.1,0.001,0.011084509,1,1128,0.000000000,0.001131308,0,1128,0.000000,0.002250799,0.003475963,5,0.004868999,0.000752239,0.408248290,0,0.000000000,0,0,false,0.010030698,0.031301992,0.034226353,0.088679078,0.093031352,2256
box_exact,17,0.000000000,0.000000000,296,0,unreachable,0.010000000,0.001000000,-0.000009457,-0.000704698,0,0.001520,0.008061907,true,true,true,0.8,true,false,24,false,16,false,12,0.000000,0.25,0.02,0.001530,0.001520,0.064571,0.342477233,296,0,0,0.188541,0.192402,0.187242,0.001000000,0.001000000,0.1,0.001,0.000000000,1,296,0.000000000,0.000000000,0,296,0.000000,0.000009561,0.000000104,5,0.000000000,0.000000000,0.408248290,0,0.000000000,0,0,false,-0.001258065,0.000819965,0.000115267,0.006600660,0.000666001,588
box_exact,25,0.000000000,0.000000000,728,0,unreachable,0.010000000,0.001000000,-0.000005461,-0.000434066,0,0.003700,0.007770432,true,true,true,0.8,true,false,24,false,16,false,12,0.000000,0.25,0.02,0.003750,0.003690,0.157512,0.330793592,728,0,0,0.476164,0.484394,0.473503,0.001000000,0.001000000,0.1,0.001,0.000000000,1,728,0.000000000,0.000000000,0,728,0.000000,0.000005525,0.000000064,5,0.000000000,0.000000000,0.408248290,0,0.000000000,0,0,false,-0.000786431,0.000523781,0.000089716,0.006600660,0.000666001,1452
box_exact,33,0.000000000,0.000000000,1352,0,unreachable,0.010000000,0.001000000,-0.000003810,-0.000313172,0,0.006980,0.007551849,true,true,true,0.8,true,false,24,false,16,false,12,0.000000,0.25,0.02,0.007110,0.006960,0.295323,0.319517850,1352,0,0,0.924277,0.927657,0.920087,0.001000000,0.001000000,0.1,0.001,0.000000000,1,1352,0.000000000,0.000000000,0,1352,0.000000,0.000003858,0.000000048,5,0.000000000,0.000000000,0.408248290,0,0.000000000,0,0,false,-0.000568609,0.000391654,0.000078482,0.006600660,0.000666001,2700
csg_difference,17,0.164165682,0.016755090,296,0,unreachable,0.010000000,0.001908281,0.000361972,0.000854881,0,0.001510,0.006926891,true,true,false,0.8,true,false,24,false,16,false,12,0.000000,0.25,0.02,0.001540,0.001510,0.073181,0.335706520,296,0,0,0.217991,0.237752,0.212482,0.100000000,0.001000000,0.1,0.001,0.140321197,1,296,0.000000000,0.016755090,0,296,0.162162,0.000226683,0.000588654,5,0.141535502,0.000000000,0.408248290,0,0.000000000,0,0,false,0.011863443,0.006867281,0.007722163,0.087832664,0.088265627,588
