# experiment P-174 (R-174)
# hypothesis: The crate's curvature estimation is the normal-cycles line -- Sun & Morvan, cited in benches/experiment_p42.rs and p45.rs. Discrete varifolds (Buet, Leonardi & Masnou, 10.1007/s00205-017-1141-0, acquired and converted this session) are the rival, with quantitative convergence bounds. This is registered as a head-to-head expecting a null, because a mature estimator is rarely beaten by a newer formalism on the same data. (C1) Varifold mean curvature is compared against the normal-cycle estimator at matched cost on the analytic fields, where exact curvature is known. (C2) The convergence exponent is fitted for both, since a method that is worse at our resolutions but converges faster is a different recommendation from one that is simply worse. SHARE: C1 moves the curvature stage only, whose share must be reported.
# falsified by: C1 by varifolds winning, which would be a real result and would redirect the P-42/P-45 line. C2 by indistinguishable exponents, which would make the choice purely about constants. VACUITY CONTROL: both estimators must be run against the analytic curvature on sphere and torus and reproduce it, or neither is calibrated.
# commit c3cb940 on amd-ryzen-9-5900x-12-core at 2026-08-30T09:31:11Z
estimator,field,resolution,mean_curvature_error,gaussian_curvature_error,error_ratio,estimator_ms,cost_ratio,convergence_exponent,c1_holds,c2_holds,boundary_edges,c1_holds_global,c2_holds_global,cell_size,cost_matched,curvature_share,eps,eps_over_h,estimator_ms_max,estimator_ms_min,estimator_ms_scatter,exponent_gap,exponent_gap_sigma,exponent_stderr,extract_ms,gaussian_exponent,global_defect_exact,global_defect_measured,global_int_h_exact,global_int_h_measured,global_int_h_rel_error,h_exact_rms,k_exact_rms,k_negative_vertices,k_positive_vertices,k_zero_exact_vertices,mesh_area,nc_star_gaussian_error,nc_star_mean_error,non_manifold_edges,normal_alignment,repeats,smooth_only_mean_error,support_triangles_mean,triangles,used_vertices,varifold_h_shape_error,vertices,zero_length_sides
normal_cycles,sphere,33,1.015815e-2,1.824751e-2,2.004659,3.2963,0.482274,1.669604,true,false,0,false,false,0.125000000,false,0.649685,0.282842712,2.262742,3.3267,3.2780,1.014857,0.237165,1.876429,0.055422,1.7774,1.746825,12.566370614,12.566370614,12.566370614,12.543735599,1.801237e-3,1.000000,1.000000,0,1158,0,12.504930,3.629433e-1,2.733827e-1,0,0.999997374,5,1.015815e-2,47.143,2312,1158,2.306688e-2,1158,0
varifold,sphere,33,2.036363e-2,4.673478e-2,2.004659,1.5897,0.482274,1.432439,true,false,0,false,false,0.125000000,false,0.472132,0.282842712,2.262742,1.6254,1.5838,1.026220,0.237165,1.876429,0.113593,1.7774,1.619422,12.566370614,12.566370614,12.566370614,12.543735599,1.801237e-3,1.000000,1.000000,0,1158,0,12.504930,3.629433e-1,2.733827e-1,0,0.999997374,5,2.036363e-2,47.143,2312,1158,2.306688e-2,1158,0
normal_cycles,sphere,47,5.227897e-3,9.164715e-3,2.620924,9.8394,0.512963,1.669604,true,false,0,false,false,0.086956522,true,0.856703,0.235907130,2.712932,9.8654,9.8283,1.003776,0.237165,1.876429,0.055422,1.6458,1.746825,12.566370614,12.566370614,12.566370614,12.555464734,8.678624e-4,1.000000,1.000000,0,2526,0,12.536508,4.409093e-1,3.226911e-1,0,0.999999499,5,5.227897e-3,70.494,5048,2526,1.235298e-2,2526,0
varifold,sphere,47,1.370192e-2,2.457518e-2,2.620924,5.0473,0.512963,1.432439,true,false,0,false,false,0.086956522,true,0.754104,0.235907130,2.712932,5.1016,5.0365,1.012926,0.237165,1.876429,0.113593,1.6458,1.619422,12.566370614,12.566370614,12.566370614,12.555464734,8.678624e-4,1.000000,1.000000,0,2526,0,12.536508,4.409093e-1,3.226911e-1,0,0.999999499,5,1.370192e-2,70.494,5048,2526,1.235298e-2,2526,0
normal_cycles,sphere,65,2.832782e-3,4.777783e-3,2.570974,23.0396,0.528013,1.669604,true,false,0,false,false,0.062500000,true,0.862026,0.200000000,3.200000,23.0777,23.0309,1.002030,0.237165,1.876429,0.055422,3.6877,1.746825,12.566370614,12.566370614,12.566370614,12.560732468,4.486694e-4,1.000000,1.000000,0,4758,0,12.551058,3.943711e-1,2.902515e-1,0,0.999999869,5,2.832782e-3,97.058,9512,4758,7.252026e-3,4758,0
varifold,sphere,65,7.283009e-3,1.454620e-2,2.570974,12.1652,0.528013,1.432439,true,false,0,false,false,0.062500000,true,0.767381,0.200000000,3.200000,12.2854,12.1564,1.010611,0.237165,1.876429,0.113593,3.6877,1.619422,12.566370614,12.566370614,12.566370614,12.560732468,4.486694e-4,1.000000,1.000000,0,4758,0,12.551058,3.943711e-1,2.902515e-1,0,0.999999869,5,7.283009e-3,97.058,9512,4758,7.252026e-3,4758,0
normal_cycles,sphere,91,1.685255e-3,2.824253e-3,3.358471,61.9951,0.546393,1.669604,true,false,0,false,false,0.044444444,true,0.884690,0.168654809,3.794733,62.0331,61.9505,1.001332,0.237165,1.876429,0.055422,8.0804,1.746825,12.566370614,12.566370614,12.566370614,12.563524912,2.264538e-4,1.000000,1.000000,0,9582,0,12.558596,4.319123e-1,3.147641e-1,0,0.999999967,5,1.685255e-3,138.163,19160,9582,4.387984e-3,9582,0
varifold,sphere,91,5.659881e-3,8.762424e-3,3.358471,33.8737,0.546393,1.432439,true,false,0,false,false,0.044444444,true,0.807399,0.168654809,3.794733,34.0967,33.8641,1.006870,0.237165,1.876429,0.113593,8.0804,1.619422,12.566370614,12.566370614,12.566370614,12.563524912,2.264538e-4,1.000000,1.000000,0,9582,0,12.558596,4.319123e-1,3.147641e-1,0,0.999999967,5,5.659881e-3,138.163,19160,9582,4.387984e-3,9582,0
normal_cycles,sphere,129,1.009572e-3,1.623896e-3,2.662591,164.0902,0.560067,1.669604,true,false,0,false,false,0.031250000,true,0.875736,0.141421356,4.525483,165.3624,163.7191,1.010037,0.237165,1.876429,0.055422,23.2838,1.746825,12.566370614,12.566370614,12.566370614,12.564962710,1.120375e-4,1.000000,1.000000,0,19230,0,12.562516,4.164993e-1,3.049258e-1,0,0.999999992,5,1.009572e-3,194.102,38456,19230,2.408622e-3,19230,0
varifold,sphere,129,2.688077e-3,4.819100e-3,2.662591,91.9014,0.560067,1.432439,true,false,0,false,false,0.031250000,true,0.797858,0.141421356,4.525483,92.3240,91.8092,1.005607,0.237165,1.876429,0.113593,23.2838,1.619422,12.566370614,12.566370614,12.566370614,12.564962710,1.120375e-4,1.000000,1.000000,0,19230,0,12.562516,4.164993e-1,3.049258e-1,0,0.999999992,5,2.688077e-3,194.102,38456,19230,2.408622e-3,19230,0
