# experiment P-176 (R-176)
# hypothesis: Duminil-Copin, Rivera, Rodriguez & Vanneuville (arXiv:2108.08008 / 10.1214/22-aop1594, acquired and converted this session, 61 pp.) prove that for smooth Gaussian fields in dimension d >= 3 the critical level l_c(d) is strictly positive -- the nodal set percolates in 3D in a regime where the 2D analogue does not. For a voxel game that is a statement about caves: at isovalue 0 the excavated region should have one giant component rather than many isolated pockets. (C1) Sweeping the isovalue on fbm_terrain and noise_cavity, a giant component appears -- one component holding above 50% of the air volume -- and the isovalue at which it appears is reported. (C2) The 3D behaviour differs qualitatively from a 2D slice of the same field, which is the theorem's actual content and the control that says the effect is dimensional. (C3) The measured components agree with the crate's existing Air union-find connectivity, which is an independent check on both. SHARE: none -- this predicts a property of generated worlds, and M-311's union-find is the instrument.
# falsified by: C1 by no giant component at any isovalue, which for a cave generator would be a design-relevant negative -- it would mean the field produces isolated pockets and connectivity must be authored rather than emergent. C2 by 2D and 3D behaving alike, which would mean our fields are too far from the theorem's Gaussian hypothesis for it to describe them -- and fbm_terrain is hash-based lattice noise, not a Gaussian field, so this is a real risk and is registered as one. C3 by disagreement with the union-find. VACUITY CONTROL: the isovalue sweep must include values producing both many-small-components and one-large-component regimes, reported as a distribution, or the transition is outside the swept range.
# commit f24c09b on amd-ryzen-9-5900x-12-core at 2026-08-30T09:31:23Z
field,isovalue,components,largest_component_fraction,component_size_distribution,giant_component_exists,percolation_isovalue,two_d_slice_comparison,air_union_find_agreement,c1_holds,c2_holds,c3_holds,air_fraction_of_region,air_samples,air_samples_2d,air_uf_air_samples,air_uf_components,air_uf_labels,air_uf_sizes_match,cap_max_sdf,components_2d,connectivity_2d,connectivity_3d,dimension_gap_rows,fragmented_rows,giant_at_zero,giant_component_2d,giant_rows_with_real_air,largest_component_fraction_2d,largest_component_fraction_at_zero,largest_component_size,largest_component_span_fraction,mask_rule,outer_shell_air_fraction,outer_shell_components,outer_shell_largest_fraction,percolation_isovalue_2d,percolation_rung_fragmented,percolation_rung_giant,region_samples,resolution,row_ms,single_component_rows,slice_plane,slice_populated_rows,sweep_hi,sweep_lo,sweep_rungs,sweep_step
fbm_terrain,9.419853,1,1.000000,1c|1,true,8.187580,3d:1@1.0000|2d:0@0.0000,true,true,false,true,0.000001,1,0,1,1,1,true,-inf,0,4,6,1,1,true,false,37,0.000000,1.000000,1,0.010309,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,6.2,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,8.944357,11,0.583832,11c|195|59|29|23|8|+6,true,8.187580,3d:11@0.5838|2d:0@0.0000,true,true,false,true,0.000366,334,0,334,11,11,true,-inf,0,4,6,1,1,true,false,37,0.000000,1.000000,195,0.030928,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,4.5,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,8.468861,20,0.340507,20c|886|631|299|280|222|+15,false,8.187580,3d:20@0.3405|2d:1@1.0000,true,true,false,true,0.002851,2602,3,2602,20,20,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,886,0.061856,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,4.0,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,7.993365,18,0.858262,18c|8877|851|249|145|70|+13,true,8.187580,3d:18@0.8583|2d:4@0.5098,true,true,false,true,0.011333,10343,51,10343,18,18,true,-inf,4,4,6,1,1,true,true,37,0.509804,1.000000,8877,0.092784,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,4.2,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,7.517869,6,0.996981,6c|26415|39|37|2|1|+1,true,8.187580,3d:6@0.9970|2d:4@0.4577,true,true,false,true,0.029030,26495,201,26495,6,6,true,-inf,4,4,6,1,1,true,false,37,0.457711,1.000000,26415,0.123711,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,5.6,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,7.042372,2,0.999980,2c|49702|1,true,8.187580,3d:2@1.0000|2d:3@0.5695,true,true,false,true,0.054459,49703,439,49703,2,2,true,-inf,3,4,6,1,1,true,true,37,0.569476,1.000000,49702,0.154639,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,5.8,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,6.566876,1,1.000000,1c|76122,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.083406,76122,712,76122,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,76122,0.185567,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,6.5,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,6.091380,1,1.000000,1c|102910,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.112757,102910,987,102910,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,102910,0.206186,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,7.3,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,5.615884,1,1.000000,1c|129744,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.142158,129744,1263,129744,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,129744,0.237113,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,8.1,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,5.140388,1,1.000000,1c|156612,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.171597,156612,1536,156612,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,156612,0.268041,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,8.9,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,4.664892,1,1.000000,1c|183473,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.201028,183473,1813,183473,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,183473,0.298969,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,9.9,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,4.189396,1,1.000000,1c|210343,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.230469,210343,2094,210343,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,210343,0.329897,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,10.6,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,3.713899,1,1.000000,1c|237190,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.259885,237190,2373,237190,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,237190,0.360825,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,11.4,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,3.238403,1,1.000000,1c|263974,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.289232,263974,2648,263974,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,263974,0.391753,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,12.5,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,2.762907,1,1.000000,1c|290846,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.318675,290846,2924,290846,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,290846,0.412371,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,13.2,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,2.287411,1,1.000000,1c|317625,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.348016,317625,3201,317625,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,317625,0.443299,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,14.2,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,1.811915,1,1.000000,1c|344530,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.377496,344530,3474,344530,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,344530,0.474227,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,16.4,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,1.336419,1,1.000000,1c|371393,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.406929,371393,3748,371393,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,371393,0.505155,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,16.1,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,0.860923,1,1.000000,1c|398254,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.436360,398254,4030,398254,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,398254,0.536082,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,17.0,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,0.385426,1,1.000000,1c|425097,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.465771,425097,4310,425097,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,425097,0.567010,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,19.4,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,0.000000,1,1.000000,1c|446840,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.489595,446840,4529,446840,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,446840,0.587629,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,18.5,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,-0.090070,1,1.000000,1c|451867,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.495103,451867,4583,451867,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,451867,0.597938,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,18.7,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,-0.565566,1,1.000000,1c|478743,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.524550,478743,4861,478743,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,478743,0.618557,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,19.5,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,-1.041062,1,1.000000,1c|505530,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.553900,505530,5135,505530,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,505530,0.649485,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,20.5,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,-1.516558,1,1.000000,1c|532442,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.583387,532442,5412,532442,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,532442,0.680412,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,22.1,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,-1.992054,1,1.000000,1c|559330,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.612848,559330,5687,559330,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,559330,0.711340,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,22.4,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,-2.467550,1,1.000000,1c|586177,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.642264,586177,5969,586177,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,586177,0.742268,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,22.9,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,-2.943047,1,1.000000,1c|612988,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.671640,612988,6247,612988,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,612988,0.773196,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,23.8,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,-3.418543,1,1.000000,1c|639771,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.700986,639771,6520,639771,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,639771,0.804124,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,24.6,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,-3.894039,1,1.000000,1c|666633,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.730418,666633,6797,666633,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,666633,0.824742,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,25.9,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,-4.369535,1,1.000000,1c|693452,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.759803,693452,7073,693452,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,693452,0.855670,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,26.7,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,-4.845031,1,1.000000,1c|720349,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.789274,720349,7350,720349,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,720349,0.886598,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,27.5,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,-5.320527,1,1.000000,1c|747230,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.818727,747230,7626,747230,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,747230,0.917526,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,28.3,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,-5.796024,1,1.000000,1c|774074,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.848139,774074,7906,774074,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,774074,0.948454,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,29.0,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,-6.271520,1,1.000000,1c|800895,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.877527,800895,8184,800895,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,800895,0.979381,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,29.8,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,-6.747016,1,1.000000,1c|827682,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.906877,827682,8456,827682,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,827682,1.000000,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,30.6,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,-7.222512,1,1.000000,1c|854184,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.935915,854184,8733,854184,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,854184,1.000000,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,31.5,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,-7.698008,1,1.000000,1c|878775,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.962859,878775,9008,878775,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,878775,1.000000,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,32.4,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,-8.173504,1,1.000000,1c|897895,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.983808,897895,9233,897895,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,897895,1.000000,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,32.9,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,-8.649000,1,1.000000,1c|908630,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.995570,908630,9364,908630,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,908630,1.000000,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,33.1,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,-9.124497,1,1.000000,1c|912260,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,0.999547,912260,9406,912260,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,912260,1.000000,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,33.1,37,z=48,38,9.419853,-9.599993,42,0.475496
fbm_terrain,-9.599993,1,1.000000,1c|912673,true,8.187580,3d:1@1.0000|2d:1@1.0000,true,true,false,true,1.000000,912673,9409,912673,1,1,true,-inf,1,4,6,1,1,true,true,37,1.000000,1.000000,912673,1.000000,full_domain,0.825811,12,0.999874,7.272575,8.468861,7.993365,912673,97,33.3,37,z=48,38,9.419853,-9.599993,42,0.475496
noise_cavity,0.640978,1,1.000000,1c|1,true,0.029340,3d:1@1.0000|2d:0@0.0000,true,true,true,true,0.000006,1,0,1,1,1,true,-0.050024,0,4,6,6,28,true,false,6,0.000000,0.814493,1,0.014493,cap_sdf_lt_-0.05,0.825811,12,0.999874,none,0.036372,0.019098,176909,97,3.9,1,z=48,18,0.640978,-0.050000,42,0.017274
noise_cavity,0.623703,3,0.571429,3c|4|2|1,true,0.029340,3d:3@0.5714|2d:0@0.0000,true,true,true,true,0.000040,7,0,7,3,3,true,-0.050024,0,4,6,6,28,true,false,6,0.000000,0.814493,4,0.014493,cap_sdf_lt_-0.05,0.825811,12,0.999874,none,0.036372,0.019098,176909,97,3.5,1,z=48,18,0.640978,-0.050000,42,0.017274
noise_cavity,0.606429,3,0.454545,3c|5|4|2,false,0.029340,3d:3@0.4545|2d:0@0.0000,true,true,true,true,0.000062,11,0,11,3,3,true,-0.050024,0,4,6,6,28,true,false,6,0.000000,0.814493,5,0.014493,cap_sdf_lt_-0.05,0.825811,12,0.999874,none,0.036372,0.019098,176909,97,3.6,1,z=48,18,0.640978,-0.050000,42,0.017274
noise_cavity,0.589155,4,0.437500,4c|7|5|3|1,false,0.029340,3d:4@0.4375|2d:0@0.0000,true,true,true,true,0.000090,16,0,16,4,4,true,-0.050024,0,4,6,6,28,true,false,6,0.000000,0.814493,7,0.028986,cap_sdf_lt_-0.05,0.825811,12,0.999874,none,0.036372,0.019098,176909,97,3.5,1,z=48,18,0.640978,-0.050000,42,0.017274
noise_cavity,0.571880,4,0.500000,4c|10|5|4|1,false,0.029340,3d:4@0.5000|2d:0@0.0000,true,true,true,true,0.000113,20,0,20,4,4,true,-0.050024,0,4,6,6,28,true,false,6,0.000000,0.814493,10,0.028986,cap_sdf_lt_-0.05,0.825811,12,0.999874,none,0.036372,0.019098,176909,97,3.5,1,z=48,18,0.640978,-0.050000,42,0.017274
noise_cavity,0.554606,6,0.413793,6c|12|9|4|2|1|+1,false,0.029340,3d:6@0.4138|2d:0@0.0000,true,true,true,true,0.000164,29,0,29,6,6,true,-0.050024,0,4,6,6,28,true,false,6,0.000000,0.814493,12,0.028986,cap_sdf_lt_-0.05,0.825811,12,0.999874,none,0.036372,0.019098,176909,97,3.4,1,z=48,18,0.640978,-0.050000,42,0.017274
noise_cavity,0.537331,5,0.395833,5c|19|14|8|4|3,false,0.029340,3d:5@0.3958|2d:0@0.0000,true,true,true,true,0.000271,48,0,48,5,5,true,-0.050024,0,4,6,6,28,true,false,6,0.000000,0.814493,19,0.043478,cap_sdf_lt_-0.05,0.825811,12,0.999874,none,0.036372,0.019098,176909,97,3.3,1,z=48,18,0.640978,-0.050000,42,0.017274
