# experiment P-20 (R-010)
# hypothesis: Splitting a weld on a caller-supplied key moves no topology metric relative to the unconditional weld beyond the splits the key itself names: with a constant key every metric is identical, and with a varying key the only change is the vertex count rising by the number of sub-classes the key creates. Across all eight reference fields and every extractor.
# falsified by: Any topology metric -- non-manifold edges, non-manifold vertices, boundary edges -- moving where the key is constant, which would mean the hook itself rather than the key is doing something. Or, with a varying key, a non-manifold vertex count that rises by more than the split count, which would be E*4's failure reappearing: a partial refusal within one coincidence class leaving its representative a bowtie.
# commit be49434 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-16T21:14:12Z
field,extractor,key,vertices_after,splits,non_manifold_edges,non_manifold_vertices,boundary_edges
sphere,marching_cubes,none,1440,0,0,0,0
sphere,marching_cubes,constant,1440,0,0,0,0
sphere,marching_cubes,normal,1440,0,0,0,0
sphere,marching_cubes+decider,none,1440,0,0,0,0
sphere,marching_cubes+decider,constant,1440,0,0,0,0
sphere,marching_cubes+decider,normal,1440,0,0,0,0
sphere,marching_tetrahedra,none,4334,0,0,0,0
sphere,marching_tetrahedra,constant,4334,0,0,0,0
sphere,marching_tetrahedra,normal,4334,0,0,0,0
sphere,surface_nets,none,1442,0,0,0,408
sphere,surface_nets,constant,1442,0,0,0,408
sphere,surface_nets,normal,1442,0,0,0,408
sphere,dual_contouring,none,1442,0,0,0,408
sphere,dual_contouring,constant,1442,0,0,0,408
sphere,dual_contouring,normal,1442,0,0,0,408
sphere,manifold_dual_contouring,none,1442,0,0,0,408
sphere,manifold_dual_contouring,constant,1442,0,0,0,408
sphere,manifold_dual_contouring,normal,1442,0,0,0,408
sphere,subgrid_marching_tetrahedra,none,4382,0,0,0,0
sphere,subgrid_marching_tetrahedra,constant,4382,0,0,0,0
sphere,subgrid_marching_tetrahedra,normal,4382,0,0,0,0
torus,marching_cubes,none,1392,0,0,0,0
torus,marching_cubes,constant,1392,0,0,0,0
torus,marching_cubes,normal,1392,0,0,0,0
torus,marching_cubes+decider,none,1392,0,0,0,0
torus,marching_cubes+decider,constant,1392,0,0,0,0
torus,marching_cubes+decider,normal,1392,0,0,0,0
torus,marching_tetrahedra,none,4124,0,0,0,0
torus,marching_tetrahedra,constant,4124,0,0,0,0
torus,marching_tetrahedra,normal,4124,0,0,0,0
torus,surface_nets,none,1392,0,0,0,416
torus,surface_nets,constant,1392,0,0,0,416
torus,surface_nets,normal,1392,0,0,0,416
torus,dual_contouring,none,1392,0,0,0,416
torus,dual_contouring,constant,1392,0,0,0,416
torus,dual_contouring,normal,1392,0,0,0,416
torus,manifold_dual_contouring,none,1392,0,0,0,416
torus,manifold_dual_contouring,constant,1392,0,0,0,416
torus,manifold_dual_contouring,normal,1392,0,0,0,416
torus,subgrid_marching_tetrahedra,none,4196,0,0,0,0
torus,subgrid_marching_tetrahedra,constant,4196,0,0,0,0
torus,subgrid_marching_tetrahedra,normal,4196,0,0,0,0
box_exact,marching_cubes,none,1944,0,0,0,0
box_exact,marching_cubes,constant,1944,0,0,0,0
box_exact,marching_cubes,normal,1944,0,0,0,0
box_exact,marching_cubes+decider,none,1944,0,0,0,0
box_exact,marching_cubes+decider,constant,1944,0,0,0,0
box_exact,marching_cubes+decider,normal,1944,0,0,0,0
box_exact,marching_tetrahedra,none,7562,0,0,0,0
box_exact,marching_tetrahedra,constant,7562,0,0,0,0
box_exact,marching_tetrahedra,normal,7562,0,0,0,0
box_exact,surface_nets,none,1946,0,0,0,408
box_exact,surface_nets,constant,1946,0,0,0,408
box_exact,surface_nets,normal,1946,0,0,0,408
box_exact,dual_contouring,none,1946,0,0,0,408
box_exact,dual_contouring,constant,1946,0,0,0,408
box_exact,dual_contouring,normal,1946,0,0,0,408
box_exact,manifold_dual_contouring,none,1946,0,0,0,408
box_exact,manifold_dual_contouring,constant,1946,0,0,0,408
box_exact,manifold_dual_contouring,normal,1946,0,0,0,408
box_exact,subgrid_marching_tetrahedra,none,7562,0,0,0,0
box_exact,subgrid_marching_tetrahedra,constant,7562,0,0,0,0
box_exact,subgrid_marching_tetrahedra,normal,7562,0,0,0,0
csg_difference,marching_cubes,none,2040,0,0,0,0
csg_difference,marching_cubes,constant,2040,0,0,0,0
csg_difference,marching_cubes,normal,2040,0,0,0,0
csg_difference,marching_cubes+decider,none,2040,0,0,0,0
csg_difference,marching_cubes+decider,constant,2040,0,0,0,0
csg_difference,marching_cubes+decider,normal,2040,0,0,0,0
csg_difference,marching_tetrahedra,none,7718,0,0,0,0
csg_difference,marching_tetrahedra,constant,7718,0,0,0,0
csg_difference,marching_tetrahedra,normal,7718,0,0,0,0
csg_difference,surface_nets,none,2042,0,0,0,426
csg_difference,surface_nets,constant,2042,0,0,0,426
csg_difference,surface_nets,normal,2042,0,0,0,426
csg_difference,dual_contouring,none,2042,0,0,0,426
csg_difference,dual_contouring,constant,2042,0,0,0,426
csg_difference,dual_contouring,normal,2042,0,0,0,426
csg_difference,manifold_dual_contouring,none,2042,0,0,0,426
csg_difference,manifold_dual_contouring,constant,2042,0,0,0,426
csg_difference,manifold_dual_contouring,normal,2042,0,0,0,426
csg_difference,subgrid_marching_tetrahedra,none,7724,0,0,0,0
csg_difference,subgrid_marching_tetrahedra,constant,7724,0,0,0,0
csg_difference,subgrid_marching_tetrahedra,normal,7724,0,0,0,0
thin_plate,subgrid_marching_tetrahedra,none,2450,0,0,0,0
thin_plate,subgrid_marching_tetrahedra,constant,2450,0,0,0,0
thin_plate,subgrid_marching_tetrahedra,normal,2450,0,0,0,0
gyroid,marching_cubes,none,4410,0,0,0,510
gyroid,marching_cubes,constant,4410,0,0,0,510
gyroid,marching_cubes,normal,4410,0,0,0,510
