# experiment P-39 (R-038)
# hypothesis: A brush that provably cannot win the min/max chain inside a chunk can be deleted from the tape before the chunk is meshed, and deleted BIT-EXACTLY. The bound is one sample per brush per chunk: a shape with declared Lipschitz constant l varies by at most l*r over a box of circumradius r, so f(centre) +/- l*r encloses it. The exactness is a selection argument, not an approximation one -- `apply(Add)` is IEEE min and `apply(Subtract)` is IEEE max, both of which SELECT an operand rather than computing a new value, and negation is exact, so dropping a provably-losing Add or Subtract moves the result by zero ULP. The asymmetry is registered rather than discovered: smooth_min is exactly dominant at h == 0 and is NOT bit-exactly prunable in the losing direction, because at h == 1 it returns b + (a - b), which is not bit-identical to a. Clause one: on a 64-brush stack of Add and Subtract spheres and capsules scattered over a 4x4x4 chunk world, the median surviving-brush fraction per chunk is under 0.5. Clause two: meshing a chunk against the pruned tape is at least 1.25x meshing it against the full one. Clause three: every chunk's mesh is byte-identical between the two.
# falsified by: A survivor fraction at or near 1.0, meaning there is nothing to prune on a scattered stack and the mechanism has no purchase on this workload whatever the paper reports. Or -- the result that would matter far more -- any byte difference between pruned and full output on an Add/Subtract-only stack, which would refute the IEEE selection lemma the whole mechanism rests on.
# commit 68b37e9 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-23T18:01:30Z
brushes,chunks,survivor_fraction_median,survivor_fraction_max,ns_per_sample_full,ns_per_sample_pruned,speedup,mesh_identical,all_hashes_matched,bound_cost_fraction,bound_ns,c1_survivor_median_under_half,c2_speedup_at_least_1p25,c3_byte_identical,chunk,chunk_hash_matched,chunk_mesh_identical,chunks_all_survive,chunks_speedup_ge_1p25,dominant_adds,empty_chunks,mean_survivors,mesh_hash_full,mesh_hash_pruned,smooth_chunks_differing,smooth_k,smooth_losing_prune_identical,smooth_survivor_fraction_median,speedup_median,speedup_min,survivor_fraction,survivor_fraction_mean,survivor_fraction_min,survivors,tape_length,triangles,vertices,world_ns_per_sample_full,world_ns_per_sample_pruned,world_speedup
64,64,0.2969,1.0000,341.1017,302.0612,1.1292,true,true,0.00010226,1110.0,true,true,true,0-0-0,true,true,3,56,0,7,23.55,4198775778922608342,4198775778922608342,48,0.25,false,0.3438,3.3648,0.9923,0.8750,0.3679,0.0156,56,64,932,468,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,331.1145,249.4248,1.3275,true,true,0.00011937,1070.0,true,true,true,1-0-0,true,true,3,56,0,7,23.55,12664866853906690193,12664866853906690193,48,0.25,false,0.3438,3.3648,0.9923,0.7500,0.3679,0.0156,48,64,583,342,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,328.0268,173.6277,1.8893,true,true,0.00016507,1030.0,true,true,true,2-0-0,true,true,3,56,0,7,23.55,1232458530786706020,1232458530786706020,48,0.25,false,0.3438,3.3648,0.9923,0.5469,0.3679,0.0156,35,64,519,302,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,309.1531,116.3161,2.6579,true,true,0.00026315,1100.0,true,true,true,3-0-0,true,true,3,56,0,7,23.55,9354609568656401157,9354609568656401157,48,0.25,false,0.3438,3.3648,0.9923,0.3438,0.3679,0.0156,22,64,0,0,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,365.9045,334.5747,1.0936,true,true,0.00007984,960.0,true,true,true,0-1-0,true,true,3,56,0,7,23.55,1146076739408006191,1146076739408006191,48,0.25,false,0.3438,3.3648,0.9923,0.9062,0.3679,0.0156,58,64,1527,805,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,536.9064,517.6570,1.0372,true,true,0.00006934,1290.0,true,true,true,1-1-0,true,true,3,56,0,7,23.55,1179823467607178070,1179823467607178070,48,0.25,false,0.3438,3.3648,0.9923,0.9688,0.3679,0.0156,62,64,6661,3466,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,417.3691,244.8000,1.7049,true,true,0.00016482,1450.0,true,true,true,2-1-0,true,true,3,56,0,7,23.55,18383950944038907737,18383950944038907737,48,0.25,false,0.3438,3.3648,0.9923,0.5469,0.3679,0.0156,35,64,3227,1694,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,316.0098,93.9156,3.3648,true,true,0.00035851,1210.0,true,true,true,3-1-0,true,true,3,56,0,7,23.55,5994705009439176878,5994705009439176878,48,0.25,false,0.3438,3.3648,0.9923,0.2656,0.3679,0.0156,17,64,173,110,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,317.8325,172.9807,1.8374,true,true,0.00015765,980.0,true,true,true,0-2-0,true,true,3,56,0,7,23.55,3393471244296461567,3393471244296461567,48,0.25,false,0.3438,3.3648,0.9923,0.5625,0.3679,0.0156,36,64,173,110,366.1769,148.0912,2.4726
64,64,0.2969,1.0000,430.0556,300.0379,1.4333,true,true,0.00012706,1370.0,true,true,true,1-2-0,true,true,3,56,0,7,23.55,6757934305813672150,6757934305813672150,48,0.25,false,0.3438,3.3648,0.9923,0.6875,0.3679,0.0156,44,64,3681,1945,366.1769,148.0912,2.4726
