# experiment P-43 (R-042)
# hypothesis: One field evaluation at the cell centre, compared against the trilinear interpolant of the eight corners and normalised by cell size, is a usable witness that a chunk is under-sampled -- a statement the crate cannot make today, since validate::field_bound samples the gradient and is explicit that a sampled maximum is only a lower bound on a supremum. The witness is one-sided in the safe direction: it can prove a chunk inadequate and can never prove it adequate. Clause one: across noise_cavity and gyroid at 17, 33, 65 and 129 samples per axis, the per-grid maximum normalised centre residual correlates with the symmetric Hausdorff distance validate::accuracy already reports, at Pearson r of at least 0.7. Clause two: the extra evaluations are under 15% of the corner evaluations, which is the structural 1/8 plus slack.
# falsified by: Pearson r below 0.7, meaning the centre residual does not witness the error it is supposed to predict. The failure mode is named in advance rather than rationalised afterwards: a feature that passes cleanly through the cell centre without perturbing it gives a residual near zero while the reconstruction is badly wrong, and thin_plate is constructed to be exactly that, so it is measured beside the two registered fields as the adversary.
# commit 64bef8a (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-23T17:54:37Z
field,samples_per_axis,centre_residual_max,centre_residual_mean,symmetric_hausdorff,pearson_r,extra_eval_fraction,cell_size,centre_evals,centre_residual_median,centre_residual_p99,corner_evals,decay_exponent_hausdorff,decay_exponent_max,decay_exponent_mean,decay_exponent_p99,extra_eval_fraction_unshared,hausdorff_forward_max,hausdorff_forward_mean,hausdorff_reverse_max,inadequate_cells,inadequate_fraction,inadequate_threshold,pearson_r_mean,pearson_r_mean_pooled,pearson_r_p99,pearson_r_p99_pooled,pearson_r_pooled,registered_field,triangles,vertices
thin_plate,17,2.651608832e-1,3.224741945e-2,1.772180860e-1,-0.690352,0.833706,2.500000000e-1,4096,2.732441805e-2,1.596466532e-1,4913,0.936876,-0.014532,0.987587,0.961421,0.125000,8.333333333e-3,1.782531194e-3,1.772180860e-1,0,0.000000000,2.732441805e-1,0.999808,0.763128,0.998419,0.460866,0.248740,false,248,126
thin_plate,33,2.727516387e-1,1.645398729e-2,8.926785536e-2,-0.690352,0.911818,1.250000000e-1,32768,1.354161412e-2,8.650649028e-2,35937,0.936876,-0.014532,0.987587,0.961421,0.125000,8.333333333e-3,9.611183923e-4,8.926785536e-2,160,0.004882812,1.354161412e-1,0.999808,0.763128,0.998419,0.460866,0.248740,false,1016,510
thin_plate,65,2.819192925e-1,8.291376134e-3,4.592793268e-2,-0.690352,0.954553,6.250000000e-2,262144,6.797569035e-3,4.509262992e-2,274625,0.936876,-0.014532,0.987587,0.961421,0.125000,8.333333333e-3,4.999456581e-4,4.592793268e-2,992,0.003784180,6.797569035e-2,0.999808,0.763128,0.998419,0.460866,0.248740,false,4088,2046
thin_plate,129,2.712100909e-1,4.137445743e-3,2.538762001e-2,-0.690352,0.976924,3.125000000e-2,2097152,3.360373086e-3,2.151553098e-2,2146689,0.936876,-0.014532,0.987587,0.961421,0.125000,8.333333333e-3,2.550951179e-4,2.538762001e-2,8392,0.004001617,3.360373086e-2,0.999808,0.763128,0.998419,0.460866,0.248740,false,16376,8190
gyroid,17,5.413522531e-1,9.648180120e-2,8.757046912e-1,-0.847163,0.833706,8.750000000e-1,4096,3.379092705e-2,4.192352472e-1,4913,0.935926,-0.028991,0.900329,0.319826,0.125000,6.074374099e-1,4.971603648e-2,8.757046912e-1,120,0.029296875,3.379092705e-1,0.983344,0.763128,0.901329,0.460866,0.248740,true,2536,1260
gyroid,33,5.547201196e-1,5.462402782e-2,3.615611248e-1,-0.847163,0.911818,4.375000000e-1,32768,1.598023636e-2,3.623269074e-1,35937,0.935926,-0.028991,0.900329,0.319826,0.125000,2.785507195e-1,1.217802414e-2,3.615611248e-1,1932,0.058959961,1.598023636e-1,0.983344,0.763128,0.901329,0.460866,0.248740,true,10632,5292
gyroid,65,5.817330789e-1,2.888609612e-2,2.384220226e-1,-0.847163,0.954553,2.187500000e-1,262144,7.894550995e-3,2.941234096e-1,274625,0.935926,-0.028991,0.900329,0.319826,0.125000,1.537361867e-1,3.260860453e-3,2.384220226e-1,13834,0.052772522,7.894550995e-2,0.983344,0.763128,0.901329,0.460866,0.248740,true,43116,21534
gyroid,129,5.697539487e-1,1.490241628e-2,1.157434785e-1,-0.847163,0.976924,1.093750000e-1,2097152,3.924100239e-3,2.146465719e-1,2146689,0.935926,-0.028991,0.900329,0.319826,0.125000,7.577910026e-2,7.814087658e-4,1.157434785e-1,78937,0.037640095,3.924100239e-2,0.983344,0.763128,0.901329,0.460866,0.248740,true,173388,86682
noise_cavity,17,2.829386482e0,1.653769106e-1,6.240561605e-1,0.881128,0.833706,2.500000000e-1,4096,3.155342212e-2,1.673774406e0,4913,0.516434,0.146113,0.520745,0.417493,0.125000,6.240561605e-1,4.714913298e-2,4.101836391e-1,591,0.144287109,3.155342212e-1,0.983763,0.763128,0.992726,0.460866,0.248740,true,2560,1250
noise_cavity,33,2.789884181e0,1.492838550e-1,6.470643023e-1,0.881128,0.911818,1.250000000e-1,32768,1.584961124e-2,1.594554381e0,35937,0.516434,0.146113,0.520745,0.417493,0.125000,6.470643023e-1,1.557736119e-2,2.743218790e-1,6349,0.193756104,1.584961124e-1,0.983763,0.763128,0.992726,0.460866,0.248740,true,13236,6522
