# experiment P-44 (R-042a)
# hypothesis: P-43's mechanism survived its own falsification and its order statistic did not: the MAXIMUM normalised centre residual is pinned at every resolution by a single C1 crease cell, because a crease makes |f(centre) - mean(corners)| an O(h) quantity and dividing by h leaves a constant. The MEAN is not, and on P-43's own three fields it correlated at r = 0.983, 0.984 and 0.9998 with the symmetric Hausdorff, with log-log decay exponents agreeing to within 0.05. That is a hypothesis read off the data that killed its predecessor, so it is worthless until it is tested somewhere it can fail. This registers it on the four reference fields P-43 never touched -- sphere, torus, box_exact and csg_difference -- at 17, 33, 65 and 129 samples per axis. Clause one: the Pearson r between the per-grid MEAN normalised centre residual and the symmetric Hausdorff is at least 0.9 on each of the four. Clause two: the log-log decay exponent of the mean residual matches that of the symmetric Hausdorff to within 0.15 on each of the four. Clause three, the cost clause P-43 got wrong and which is restated with the right arithmetic: the witness costs one extra field evaluation per CELL against one per SAMPLE for the corners -- (n-1)^3/n^3, which rises toward 1 and is nowhere near an eighth, because this crate prefills one shared sample grid and every corner is evaluated once -- so the claim is on wall clock instead: computing the witness costs under 0.5x a Marching Cubes extraction of the same grid.
# falsified by: r below 0.9 on any of the four fields, or an exponent gap above 0.15 on any of them -- either of which would mean the mean-residual agreement seen on P-43's three fields is a property of those fields' shared crease structure rather than of the witness, and the whole line dies with a second null rather than limping on. Clause three fails at 0.5x or worse, which would price the witness above the extraction it is diagnosing.
# commit a492225 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-23T18:10:40Z
field,samples_per_axis,centre_residual_mean,symmetric_hausdorff,pearson_r_mean,decay_exponent_mean,decay_exponent_hausdorff,exponent_gap,witness_ns,extract_ns,witness_cost_ratio,cell_size,cells,centre_residual_max,corner_evals,corner_fill_ns,decay_exponent_mae,decay_exponent_max,exponent_gap_mae,extra_eval_fraction,extract_ns_per_sample,has_coverage,hausdorff_forward_max,hausdorff_reverse_max,mean_absolute_error,pearson_r_max,pearson_r_mean_vs_mae,timed_reps,triangles,vertices,witness_incremental_cost_ratio,witness_incremental_ns,witness_ns_per_cell
sphere,17,3.710676016e-2,2.175952464e-2,0.980059,0.999000,2.007135,1.008135,31530.0,49250.0,0.640203,2.500000000e-1,4096,2.558110331e-1,4913,10560.0,2.030350,-0.000000,1.031350,0.833706,10.0244,true,2.106643821e-2,2.175952464e-2,1.067094239e-2,-0.176758,0.979226,5,536,270,0.424386,20901.0,7.6978
sphere,33,1.858411197e-2,5.361365993e-3,0.980059,0.999000,2.007135,1.008135,244012.0,354233.0,0.688846,1.250000000e-1,32768,2.558110331e-1,35937,77170.0,2.030350,-0.000000,1.031350,0.911818,9.8571,true,5.330125382e-3,5.361365993e-3,2.577482548e-3,-0.176758,0.979226,5,2312,1158,0.468313,165892.0,7.4467
sphere,65,9.295896934e-3,1.329267782e-3,0.980059,0.999000,2.007135,1.008135,1928155.0,3426645.0,0.562695,6.250000000e-2,262144,2.558110331e-1,274625,593335.0,2.030350,-0.000000,1.031350,0.954553,12.4775,true,1.329267782e-3,1.329135813e-3,6.342323719e-4,-0.176758,0.979226,5,9512,4758,0.393186,1347310.0,7.3553
sphere,129,4.648428569e-3,3.353594935e-4,0.980059,0.999000,2.007135,1.008135,16033601.0,25204130.0,0.636150,3.125000000e-2,2097152,2.558110331e-1,2146689,4756296.0,2.030350,-0.000000,1.031350,0.976924,11.7409,true,3.353594935e-4,3.322848174e-4,1.562658675e-4,-0.176758,0.979226,5,38456,19230,0.422883,10658400.0,7.6454
torus,17,3.936824234e-2,5.118435132e-2,0.982090,0.982430,1.870818,0.888388,68780.0,93331.0,0.736947,2.500000000e-1,4096,2.579673533e-1,4913,21380.0,2.013144,-0.074310,1.030713,0.833706,18.9967,true,4.974422251e-2,5.118435132e-2,1.842163341e-2,-0.977675,0.976246,5,656,328,0.506381,47261.0,16.7920
torus,33,2.010274295e-2,1.378826171e-2,0.982090,0.982430,1.870818,0.888388,534334.0,579274.0,0.922420,1.250000000e-1,32768,2.869384165e-1,35937,163012.0,2.013144,-0.074310,1.030713,0.911818,16.1192,true,1.307933690e-2,1.378826171e-2,4.354596685e-3,-0.977675,0.976246,5,2256,1128,0.664456,384902.0,16.3066
torus,65,1.016414990e-2,3.976397704e-3,0.982090,0.982430,1.870818,0.888388,3073733.0,3046173.0,1.009047,6.250000000e-2,262144,2.921709875e-1,274625,1184819.0,2.013144,-0.074310,1.030713,0.954553,11.0921,true,3.758002499e-3,3.976397704e-3,1.128311423e-3,-0.977675,0.976246,5,8416,4208,0.619690,1887684.0,11.7254
torus,129,5.105883229e-3,1.027785454e-3,0.982090,0.982430,1.870818,0.888388,33038678.0,26171807.0,1.262377,3.125000000e-2,2097152,3.044481249e-1,2146689,9347430.0,2.013144,-0.074310,1.030713,0.976924,12.1917,true,1.010611300e-3,1.027785454e-3,2.759174357e-4,-0.977675,0.976246,5,34864,17432,0.914475,23933470.0,15.7541
box_exact,17,3.985753430e-2,2.886751346e-1,0.999941,0.981412,1.000000,0.018588,64840.0,76071.0,0.852362,2.500000000e-1,4096,3.750000000e-1,4913,21020.0,2.037257,0.000000,1.055846,0.833706,15.4836,true,1.666666667e-1,2.886751346e-1,1.518602885e-2,0.000000,0.976588,5,584,294,0.572360,43540.0,15.8301
box_exact,33,2.039294526e-2,1.443375673e-1,0.999941,0.981412,1.000000,0.018588,498554.0,528704.0,0.942974,1.250000000e-1,32768,3.750000000e-1,35937,152361.0,2.037257,0.000000,1.055846,0.911818,14.7120,true,8.333333333e-2,1.443375673e-1,3.624979404e-3,0.000000,0.976588,5,2696,1350,0.652810,345143.0,15.2147
