# experiment P-47 (R-043)
# hypothesis: Every one of the eight reference fields overrides Sdf::gradient analytically, and the crate's docs say the central-difference default is never used by one. But BrushStack does not override gradient and neither does Capsule -- so the moment a caller composes anything, which is the entire point of a sculpting tool, every vertex normal silently falls back to the six-sample central difference at O(h^2), costing six evaluations of the WHOLE TAPE per normal. Carrying a forward-mode dual number (value, [dx, dy, dz]) through the fold fixes both halves in one traversal: min and max propagate the selected branch's derivative, smooth_min propagates the analytic derivative of its polynomial, and the tie at a CSG seam is broken deterministically by taking the lower index so the result stays a pure function of the inputs. Clause one, the accuracy hole, which the crate cannot currently state at all: on a 64-brush BrushStack the mean angular error of the central-difference normal against the exact dual-number normal exceeds 0.1 degrees and the maximum exceeds 5 degrees. Clause two, the speed: computing normals for a meshed chunk through the dual-number tape is at least 2x faster than through the six-sample central difference, since it is one traversal against six. Clause three, the control: on a bare Sphere, where the analytic gradient is already exact and known, the dual-number normal agrees with p/|p| to within 1e-12 -- an instrument that cannot reproduce a closed form has no business measuring a tape.
# falsified by: A mean angular error at or under 0.1 degrees, which would mean the central difference is already good enough on composed fields and the hole is theoretical -- a real possibility, since DIFF_STEP is scaled by |p| and these shapes are smooth away from their seams. Or a speedup under 2x, which would mean the tape traversal is not the cost and the six evaluations were being amortised by something. Clause three failing means the dual arithmetic is wrong and nothing else in the row can be believed.
# commit 6157a1c (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-23T18:34:54Z
fixture,brushes,vertices,mean_angular_error_deg,max_angular_error_deg,central_ns_per_normal,dual_ns_per_normal,speedup,sphere_control_max_error,bulk_mean_angular_error_deg,central_matches_mesh_normals,degenerate_points,dual_value_bit_exact,fraction_over_0p1deg,gradient_arm,loadavg_1min,median_angular_error_deg,p999_angular_error_deg,p99_angular_error_deg,reps,sphere_control_within_1e-12,triangles,vertices_meshed,vertices_over_0p001deg,vertices_over_0p01deg,vertices_over_0p1deg,vertices_over_1deg,vertices_over_5deg,worst_diff_step,worst_gap_over_reach,worst_seam_gap,worst_seam_reach,worst_stencil_straddles_seam,worst_vertex
brush_stack_1,1,46724,6.418748e-10,6.334699e-9,39.3527,17.0068,2.3139,2.831e-16,6.418748e-10,true,0,true,0.000e0,central_difference,1.75,5.713324e-10,4.867096e-9,1.844926e-9,5,true,87644,46724,0,0,0,0,0,1.915e-5,5.971e4,2.287e0,3.831e-5,false,-3.162990|-1.375000|-1.375000
brush_stack_2,2,46994,8.120395e-10,4.904661e-8,79.9230,29.9334,2.6700,2.831e-16,8.120395e-10,true,0,true,0.000e0,central_difference,1.75,5.755378e-10,3.845981e-8,3.334701e-9,5,true,88184,46994,0,0,0,0,0,3.406e-5,1.205e3,8.208e-2,6.812e-5,false,-5.625000|-1.780014|-0.500000
brush_stack_4,4,47708,8.269790e-10,4.904661e-8,160.8857,57.9549,2.7760,2.831e-16,8.269790e-10,true,0,true,0.000e0,central_difference,1.75,5.803241e-10,3.837526e-8,3.866657e-9,5,true,89508,47708,0,0,0,0,0,3.406e-5,1.205e3,8.208e-2,6.812e-5,false,-5.625000|-1.780014|-0.500000
brush_stack_8,8,48302,1.824965e-8,8.095705e-4,296.2054,105.0514,2.8196,2.831e-16,1.824965e-8,true,0,true,0.000e0,central_difference,1.75,5.865499e-10,1.005957e-7,3.688070e-8,5,true,90696,48302,0,0,0,0,0,3.406e-5,1.765e3,1.202e-1,6.812e-5,false,-5.625000|-0.773132|-1.125000
brush_stack_16,16,49688,1.898985e-8,8.095705e-4,543.5072,190.1608,2.8581,2.831e-16,1.898985e-8,true,0,true,0.000e0,central_difference,1.75,6.036083e-10,1.045471e-7,5.716802e-8,5,true,93276,49688,0,0,0,0,0,3.406e-5,1.765e3,1.202e-1,6.812e-5,false,-5.625000|-0.773132|-1.125000
brush_stack_32,32,52496,8.317592e-5,4.365386e0,999.9052,352.7939,2.8342,2.831e-16,1.937487e-8,true,0,true,1.905e-5,central_difference,1.75,6.312848e-10,1.039764e-7,5.944431e-8,5,true,98632,52496,1,1,1,1,0,2.725e-5,6.746e-1,3.677e-5,5.450e-5,true,-4.500000|-3.319359|-2.125000
brush_stack_64,64,57470,7.597859e-5,4.365386e0,1883.4870,663.0769,2.8405,2.831e-16,1.919592e-8,true,0,true,1.740e-5,central_difference,1.75,6.782575e-10,1.019888e-7,6.080436e-8,5,true,108140,57470,1,1,1,1,0,2.725e-5,6.746e-1,3.677e-5,5.450e-5,true,-4.500000|-3.319359|-2.125000
brush_stack_64_smooth,64,57078,7.650424e-5,4.365386e0,2729.1971,1096.4468,2.4891,2.831e-16,2.317288e-8,true,0,true,1.752e-5,central_difference,1.75,1.351714e-9,3.061896e-7,1.333903e-7,5,true,107420,57078,1,1,1,1,0,2.725e-5,6.746e-1,3.677e-5,5.450e-5,true,-4.500000|-3.319359|-2.125000
capsule,0,2326,7.001831e-10,1.691501e-9,35.9845,41.0107,0.8774,2.831e-16,7.001831e-10,true,0,true,0.000e0,central_difference,1.75,7.529011e-10,1.691501e-9,1.585461e-9,5,true,4648,2326,0,0,0,0,0,6.335e-6,n/a,n/a,1.267e-5,n/a,1.046157|0.125000|0.187500
sphere,0,4758,0.000000e0,0.000000e0,7.6881,8.9071,0.8631,2.831e-16,0.000000e0,true,0,true,0.000e0,analytic_override,1.75,0.000000e0,0.000000e0,0.000000e0,5,true,9512,4758,0,0,0,0,0,6.055e-6,n/a,n/a,1.211e-5,n/a,0.125000|0.312500|0.941644
