# experiment P-51 (R-046)
# hypothesis: Sellan, Batty & Stein (10.1145/3610548.3618196) state the full constraint a signed distance sample carries, and it has TWO halves: the surface 'must be tangent to every sphere at least once while strictly containing every sphere with negative value and excluding every positive value one'. Every extractor in this crate reads d as a number to interpolate and discards both halves. Measured as integer counts over the output, at 65 samples per axis, on the five fields declaring FieldBound::Exact -- sphere, torus, box_exact, thin_plate, csg_difference. PIERCING, the exclusion half: violation(v) = max over samples p within one cell of v of (|d(p)| - ||v - p||) normalised by cell size, counting vertices above 0.05 cells. (C1) marching_cubes pierces on fewer than 1 vertex per 1,000, because an MC vertex is the root of the interpolant on a grid edge and cannot lie deeply inside a neighbour's ball. (C2) dual_contouring's rate is at least 20 TIMES marching_cubes' -- a RATIO, so the clause cannot be cleared by a bar set below the ~150 per 1,000 M-27 already measured (152 of 1,016 box_exact vertices moving 0.35-0.57 cells). TOUCHING, the tangency half, which no extractor here even attempts: (C3) the number of samples whose sphere is never touched -- min over mesh vertices of | ||v - p|| - |d(p)| | exceeding 0.05 cells -- is NON-ZERO for every extractor on every field, and is strictly larger for marching_cubes than for dual_contouring, because MC's vertices are confined to grid edges and cannot reach a tangent point in a cell's interior. The 0.05-cell floor is derived, not chosen: M-12 measured h^2 convergence and sphere at 65^3 has mean error 6.5e-4 against h = 0.0635, i.e. 1.0% of a cell, so the gate sits five times above the honest discretisation floor and far below M-27's 0.35 cells.
# falsified by: C2's ratio under 20x, which says the exclusion half is already respected by construction; or C1 exceeding C2's absolute rate, which inverts the mechanism; or C3 finding ZERO untouched spheres, which would say this crate's extractors already saturate the tangency half and the four 2025-2026 papers built on recovering it have nothing to offer here -- the most valuable of the three outcomes to get wrong. The control that must pass first: on box_exact, whose surface is planar and axis-aligned and where M-27 measured every Dual Contouring vertex on a planar patch landing exactly on the centroid, ALL THREE extractors must report zero PIERCING. An instrument that finds piercing there is measuring its own tolerance. Scope: the constraint needs the field to BE a distance, and F-004/M-247 measured a voxel game's field degrading from 0.577 to 0.004 over 256 strokes -- so gyroid, fbm_terrain and noise_cavity are excluded by construction and a violation there would not be a defect. Source honesty: the paper credits the tangent-sphere interpretation to Batty 2011 and Kobbelt 2001 and contributes the energy and flow; nothing here reuses its Table 1, which measures a global remeshing gradient flow this crate does not run.
# commit e7d149e (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-23T21:38:59Z
field,extractor,samples_per_axis,vertices,samples,pierced,pierced_per_1k,worst_piercing_cells,dc_over_mc_ratio,untouched,untouched_per_1k,worst_untouched_cells,samples_probed_per_vertex,control_box_exact_zero,threshold_cells,cell_size,dc_over_mc_ratio_all_fields,field_bound,nonfinite_field_samples,pierced_exhaustive,pierced_exhaustive_per_1k,touch_search,triangles,untouched_mc_over_dc,vertices_probed_per_sample,worst_piercing_exhaustive_cells
box_exact,marching_cubes,65,5766,274625,0,0.0000,0.000000,undefined,141604,515.6268,1.414214,64,false,0.05,0.062500,undefined,exact,0,0,0.0000,exhaustive,11528,2.8647,5766,0.000000
box_exact,surface_nets,65,5768,274625,368,63.8003,0.422650,undefined,193266,703.7451,1.154701,64,false,0.05,0.062500,undefined,exact,0,368,63.8003,exhaustive,11532,2.8647,5768,0.422650
box_exact,dual_contouring,65,5768,274625,0,0.0000,-0.006644,undefined,49430,179.9909,0.707107,64,false,0.05,0.062500,undefined,exact,0,0,0.0000,exhaustive,11532,2.8647,5768,-0.006603
sphere,marching_cubes,65,4758,274625,0,0.0000,0.005992,undefined,9680,35.2481,0.327756,64,false,0.05,0.062500,undefined,exact,0,0,0.0000,exhaustive,9512,1.1266,4758,0.007326
sphere,surface_nets,65,4760,274625,0,0.0000,0.019339,undefined,12510,45.5530,0.707799,64,false,0.05,0.062500,undefined,exact,0,0,0.0000,exhaustive,9516,1.1266,4760,0.022006
sphere,dual_contouring,65,4760,274625,0,0.0000,0.013340,undefined,8592,31.2863,0.708441,64,false,0.05,0.062500,undefined,exact,0,0,0.0000,exhaustive,9516,1.1266,4760,0.017434
torus,marching_cubes,65,4208,274625,0,0.0000,0.020636,undefined,13208,48.0947,0.379209,64,false,0.05,0.062500,undefined,exact,0,0,0.0000,exhaustive,8416,1.4682,4208,0.020636
torus,surface_nets,65,4208,274625,0,0.0000,0.037940,undefined,56712,206.5071,0.566417,64,false,0.05,0.062500,undefined,exact,0,0,0.0000,exhaustive,8416,1.4682,4208,0.048640
torus,dual_contouring,65,4208,274625,0,0.0000,0.033104,undefined,8996,32.7574,0.559971,64,false,0.05,0.062500,undefined,exact,0,0,0.0000,exhaustive,8416,1.4682,4208,0.039390
thin_plate,marching_cubes,65,2046,274625,0,0.0000,0.000000,undefined,196956,717.1816,1.000000,64,false,0.05,0.062500,undefined,exact,0,0,0.0000,exhaustive,4088,15.9984,2046,0.000000
thin_plate,surface_nets,65,2048,274625,0,0.0000,-0.133908,undefined,220995,804.7155,0.952190,64,false,0.05,0.062500,undefined,exact,0,0,0.0000,exhaustive,4092,15.9984,2048,-0.007861
thin_plate,dual_contouring,65,2048,274625,0,0.0000,-0.001344,undefined,12311,44.8284,0.538338,64,false,0.05,0.062500,undefined,exact,0,0,0.0000,exhaustive,4092,15.9984,2048,-0.001322
csg_difference,marching_cubes,65,6012,274625,0,0.0000,0.006712,undefined,157273,572.6827,15.157736,64,false,0.05,0.062500,undefined,underestimate,0,0,0.0000,exhaustive,12020,2.1546,6012,0.006712
csg_difference,surface_nets,65,6014,274625,322,53.5417,0.422650,undefined,202736,738.2285,15.315437,64,false,0.05,0.062500,undefined,underestimate,0,322,53.5417,exhaustive,12024,2.1546,6014,0.422650
csg_difference,dual_contouring,65,6014,274625,0,0.0000,0.022931,undefined,72993,265.7915,14.332191,64,false,0.05,0.062500,undefined,underestimate,0,0,0.0000,exhaustive,12024,2.1546,6014,0.023163
