# experiment P-54 (R-049)
# hypothesis: M-248 measured empty-cell rejection by Hart's Lipschitz bound at 16.8% of cells on gyroid against 80.6-95.1% on every other field, and M-306 identified the cause: gyroid declares Lipschitz l = 2*sqrt(3) = 3.464, derived correctly at M-244, while M-267 measured its actual gradient supremum converging to 1.731. A revised affine form (Fryazinov, Pasko & Comninos, 10.1016/j.cag.2010.07.003) carries three noise symbols plus one accumulator -- FIVE stored reals, fixed size, never growing, no heap -- and bounds an expression over a BOX rather than a ball. The mechanism is correlation: sin(x)cos(y) + sin(y)cos(z) + sin(z)cos(x) cannot have all three terms extremal at once, and a per-term interval bound throws that away. The prediction is therefore NOT uniform, and this is the point: (C1) on gyroid at 17^3 the rejected-cell COUNT rises from 688 of 4,096 by at least 1.5x, because gyroid is built only from smooth trig with shared arguments and is exactly where correlation lives. (C2) on box_exact and csg_difference the rejected count rises by LESS THAN 5%, because both are built from min/max, for which the source paper gives no affine rule at all and the only sound treatment collapses the form to an interval and destroys every correlation. (C3) the mesh is BYTE-IDENTICAL on every field, the one property a rejection test must have, since a wrong rejection makes a hole and a hole is invisible to every validity gate this crate has.
# falsified by: C1 under 1.5x, which says the correlation slack is not where the looseness lives and M-267's 2x gap is genuinely attainable by the gradient rather than an artefact of the ball. C2 failing UPWARD is the more interesting outcome and must be reported as such: a tighter bound on a field whose constant is already tight would mean the BALL geometry, not the constant, is what costs -- and that generalises to every field. COUNTED, NOT TIMED: rejected cells are integers, identical on every machine; evaluation cost is printed beside them and gates nothing. Two things this registration owns rather than cites: the source paper contains NO correlation argument and NO quantified tightening figure -- only end-to-end wall-clock tables -- so the 1.5x is derived here from M-267's measured supremum, not reproduced; and the paper gives no min/max or abs rule, so C2's mechanism is this crate's own reasoning about what the absence of such a rule forces.
# commit e7d149e (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-23T21:39:29Z
field,samples_per_axis,bound,cells,rejected_cells,rejected_fraction,rejected_ratio_vs_lipschitz,has_min_max,mesh_identical,mesh_hash,bound_evals,bound_ns_per_cell,baseline_vertices_in_rejected_cells,control_detected,control_divisor,control_mesh_hash,control_rejected_cells,control_vertices_in_rejected_cells,dense_per_axis,edge_samples,gradient_sup,lipschitz_constant,mesh_hash_lipschitz_gated,mesh_hash_rig_gated,mesh_hash_rig_ungated,mesh_hash_ungated,rejected_affine,rejected_at_gradient_sup,rejected_lipschitz,rejected_only_affine,rejected_only_lipschitz,rig_triangles,skipped_tetrahedra,soundness_min_margin,soundness_samples,soundness_violations,substitution_min_margin,substitution_samples,substitution_violations,wholegrid_triangles
sphere,17,hart_lipschitz,4096,3752,0.916016,1.000000,false,true,5196862216fe1a24,4096,2.1,0,true,4.0,6f4e4da035e5f264,4000,650,9,6,1.000000000,1.000000000,fe1ab057b6e8c7cd,5196862216fe1a24,5196862216fe1a24,fe1ab057b6e8c7cd,3800,3752,3752,48,0,1620,0,2.535749e-13,2985984,0,5.656586e-14,12442589,0,1620
sphere,17,revised_affine,4096,3800,0.927734,1.012793,false,true,5196862216fe1a24,4096,36.3,0,true,4.0,6f4e4da035e5f264,4000,650,9,6,1.000000000,1.000000000,fe1ab057b6e8c7cd,5196862216fe1a24,5196862216fe1a24,fe1ab057b6e8c7cd,3800,3752,3752,48,0,1620,0,2.535749e-13,2985984,0,5.656586e-14,12442589,0,1620
torus,17,hart_lipschitz,4096,3768,0.919922,1.000000,false,true,64048af883c081a0,4096,4.3,0,true,4.0,452f705995c51e14,4056,862,9,6,1.000000000,1.000000000,18b4649db70d23f2,64048af883c081a0,64048af883c081a0,18b4649db70d23f2,3680,3768,3768,0,88,1824,0,2.821632e-13,2985984,0,5.656586e-14,12442589,0,1824
torus,17,revised_affine,4096,3680,0.898438,0.976645,false,true,64048af883c081a0,4096,99.4,0,true,4.0,452f705995c51e14,4056,862,9,6,1.000000000,1.000000000,18b4649db70d23f2,64048af883c081a0,64048af883c081a0,18b4649db70d23f2,3680,3768,3768,0,88,1824,0,2.821632e-13,2985984,0,5.656586e-14,12442589,0,1824
box_exact,17,hart_lipschitz,4096,3312,0.808594,1.000000,true,true,951e59f972460a8f,4096,3.3,0,true,4.0,81d23fd7003c2305,4096,338,9,6,1.000000000,1.000000000,affe5e5458dad470,951e59f972460a8f,951e59f972460a8f,affe5e5458dad470,3312,3312,3312,0,0,672,0,4.243272e-13,2985984,0,5.656586e-14,12442589,0,672
box_exact,17,revised_affine,4096,3312,0.808594,1.000000,true,true,951e59f972460a8f,4096,80.0,0,true,4.0,81d23fd7003c2305,4096,338,9,6,1.000000000,1.000000000,affe5e5458dad470,951e59f972460a8f,951e59f972460a8f,affe5e5458dad470,3312,3312,3312,0,0,672,0,4.243272e-13,2985984,0,5.656586e-14,12442589,0,672
csg_difference,17,hart_lipschitz,4096,3300,0.805664,1.000000,true,true,6d922d3563c07c38,4096,4.9,0,true,4.0,b16f812681e9ea49,4072,437,9,6,1.000000000,1.000000000,6089f2fd147bbb1e,6d922d3563c07c38,6d922d3563c07c38,6089f2fd147bbb1e,3283,3300,3300,0,17,960,0,4.811707e-13,2985984,0,5.656586e-14,12442589,0,960
csg_difference,17,revised_affine,4096,3283,0.801514,0.994848,true,true,6d922d3563c07c38,4096,114.8,0,true,4.0,b16f812681e9ea49,4072,437,9,6,1.000000000,1.000000000,6089f2fd147bbb1e,6d922d3563c07c38,6d922d3563c07c38,6089f2fd147bbb1e,3283,3300,3300,0,17,960,0,4.811707e-13,2985984,0,5.656586e-14,12442589,0,960
gyroid,17,hart_lipschitz,4096,688,0.167969,1.000000,true,true,988cecb51f837b96,4096,42.0,0,true,4.0,eafca9e99d6cc1a4,3062,1299,9,6,1.731000000,3.464101615,74f1cd7efc72a144,988cecb51f837b96,988cecb51f837b96,74f1cd7efc72a144,2647,1848,688,1959,0,7956,0,2.013643e-2,2985984,0,5.656586e-14,12442589,0,7956
gyroid,17,revised_affine,4096,2647,0.646240,3.847384,true,true,988cecb51f837b96,4096,505.4,0,true,4.0,eafca9e99d6cc1a4,3062,1299,9,6,1.731000000,3.464101615,74f1cd7efc72a144,988cecb51f837b96,988cecb51f837b96,74f1cd7efc72a144,2647,1848,688,1959,0,7956,0,2.013643e-2,2985984,0,5.656586e-14,12442589,0,7956
