# experiment P-56 (R-051)
# hypothesis: P-47's accuracy clause died by three orders of magnitude -- mean 7.6e-5 degrees against a registered 0.1 -- and its own artefact says why: bulk_mean_angular_error_deg is 1.9e-8 while one vertex in 57,470 carries 4.365 degrees, vertices_over_1deg is 1, and worst_stencil_straddles_seam is true from 32 brushes upward. The surviving hypothesis is narrower and mechanical. At a min/max CSG seam the field is C0 and not C1, so a central difference whose six-sample stencil straddles the seam averages two different gradients and the returned direction lies in the cone the two branches span. The error is therefore at most HALF the angle between them -- M-283's (180 - theta)/2 in a second setting -- and it does NOT shrink with h, because the stencil step is DIFF_STEP * |p|, independent of the grid. Over a swept family of two-sphere Subtract fixtures with seam dihedral theta controlled from 30 to 175 degrees: (C1) every vertex whose stencil straddles the seam has angular error against the analytic gradient bounded by (180 - theta)/2, on every fixture, with no exceptions. (C2) the count of such vertices scales like the seam's length in cells, so it is O(n) on an n^3 grid rather than O(n^2), which is why one vertex in 57,470 is the expected order and not a fluke -- measured as a fitted exponent against n, required to be under 1.5. (C3) vertices whose stencil does NOT straddle the seam have mean error under 1e-6 degrees, the control that says the effect is the seam and not the tape.
# falsified by: C1 exceeding the bound on any fixture, which would mean the error is not the two-branch average and M-283's mechanism does not transfer; or C2's fitted exponent reaching 1.5 or above, which would make it a surface-wide effect rather than a seam effect and change what a consumer should do about it. The measured 4.365 degrees predicts a seam dihedral near 171 degrees, so a fixture swept down to 30 degrees must show the bound widening proportionally -- a bound that holds only because it is loose everywhere is not evidence, which is why tightness is recorded per fixture as worst_over_bound_ratio and a median under 0.1 across the sweep would be reported as a vacuous pass.
# commit db0ca10 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-23T21:29:29Z
dihedral_deg,samples_per_axis,seam_cells,vertices,straddling_vertices,straddling_max_error_deg,predicted_bound_deg,worst_over_bound_ratio,within_bound,non_straddling_mean_error_deg,scaling_exponent,cell_size,degenerate_normals,non_straddling_vertices,seam_angle_residual_deg,seam_offset_stencils,seam_radius,separation,straddling_mean_error_deg,straddling_per_seam_cell,straddling_share_of_vertices,sweep_median_ratio,window_side
30.0,33,33,1578,0,n/a,75.000000,n/a,n/a,5.424229e-10,2.082054,1.250000e-3,0,1578,1.243e-13,7.507219e1,0.664333473,0.526843843,n/a,0.000000e0,0.000000e0,9.748474e-1,0.04
30.0,65,65,6516,0,n/a,75.000000,n/a,n/a,5.383094e-10,2.082054,6.250000e-4,0,6516,1.243e-13,2.905944e1,0.664333473,0.526843843,n/a,0.000000e0,0.000000e0,9.748474e-1,0.04
30.0,129,129,26438,10,1.985821e1,75.000000,2.647761e-1,true,5.222249e-10,2.082054,3.125000e-4,0,26428,1.243e-13,8.137635e0,0.664333473,0.526843843,1.235722e1,7.751938e-2,3.782434e-4,9.748474e-1,0.04
30.0,257,259,106404,42,5.382968e1,75.000000,7.177291e-1,true,5.205750e-10,2.082054,1.562500e-4,0,106362,1.243e-13,3.329523e0,0.664333473,0.526843843,1.757991e1,1.621622e-1,3.947220e-4,9.748474e-1,0.04
60.0,33,33,1630,4,1.482041e1,60.000000,2.470069e-1,true,5.245502e-10,1.854261,1.250000e-3,0,1626,1.243e-13,5.533797e0,0.682048293,0.888819442,1.274150e1,1.212121e-1,2.453988e-3,9.748474e-1,0.04
60.0,65,65,6578,16,3.848493e1,60.000000,6.414156e-1,true,5.116197e-10,1.854261,6.250000e-4,0,6562,1.243e-13,2.654216e0,0.682048293,0.888819442,1.833232e1,2.461538e-1,2.432350e-3,9.748474e-1,0.04
60.0,129,129,26440,50,5.796363e1,60.000000,9.660605e-1,true,5.004230e-10,1.854261,3.125000e-4,0,26390,1.243e-13,1.459739e0,0.682048293,0.888819442,2.933169e1,3.875969e-1,1.891074e-3,9.748474e-1,0.04
60.0,257,259,105992,188,5.934151e1,60.000000,9.890251e-1,true,4.978076e-10,1.854261,1.562500e-4,0,105804,1.243e-13,7.384130e-1,0.682048293,0.888819442,2.286128e1,7.258687e-1,1.773719e-3,9.748474e-1,0.04
90.0,33,33,1742,20,2.757431e1,45.000000,6.127625e-1,true,4.982056e-10,1.228439,1.250000e-3,0,1722,1.243e-13,8.153185e-1,0.573462344,1.220655562,1.498696e1,6.060606e-1,1.148106e-2,9.748474e-1,0.04
90.0,65,65,7092,66,4.476123e1,45.000000,9.946940e-1,true,4.769832e-10,1.228439,6.250000e-4,0,7026,1.243e-13,2.942462e-1,0.573462344,1.220655562,2.570801e1,1.015385e0,9.306261e-3,9.748474e-1,0.04
