# experiment P-57 (R-055)
# hypothesis: Every element of the 48-element octahedral group is a signed coordinate permutation and therefore exact in f64, so mesh(g*f) and g*mesh(f) are comparable bit-for-bit. Compared as SORTED VERTEX-POSITION MULTISETS, not as index buffers: table.rs picks safe_apex by lowest edge index, which is not invariant under axis relabelling, so a triangle-level relation is known-false in advance. (C1) the four primal extractors (marching_cubes, marching_cubes+decider, marching_tetrahedra, subgrid_marching_tetrahedra) are bit-exactly equivariant on ALL 48 elements, on all eight reference fields, because a primal vertex is a/(a-b) on one grid edge -- two values, no accumulation. (C2) the three dual extractors (surface_nets, dual_contouring, manifold_dual_contouring) are bit-exact on STRICTLY FEWER than 48, because M-177 established that a sum of position components is not bit-exactly equivariant by ordering alone; the count and identity of failing elements is the new number. (C3) a triangle-level relation fails where the vertex-level one holds, on at least one extractor, and the count of triangle-level mismatches is reported so the dossier's "2,688 false positives" warning is quantified rather than repeated.
# falsified by: A primal failure -- which is an axis-dependent bug and the thing this exists to catch; or all 48 holding on the dual path, which would contradict M-177 and be the more interesting result; or C3 finding zero triangle-level mismatches, which would mean safe_apex is invariant after all.
# commit 0d81ae6 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-24T04:07:39Z
field,extractor,family,samples_per_axis,vertices,elements_tested,elements_vertex_exact,elements_triangle_exact,first_failing_element,first_failing_det,worst_component_ulp,fixture_can_fail,boundary_sign_constant,cell_size,cut_edges,det_minus_vertex_exact,det_plus_vertex_exact,elements_triangle_exact_raw,elements_vertex_exact_raw,elements_vertex_exact_triangle_fail,grid_symmetric,grid_zero_coordinates,order_sensitive_edges,origin,pure_permutation_exact,pure_sign_flip_exact,triangle_failing_mask,triangles,vertex_count_mismatches,vertex_failing_labels,vertex_failing_mask,wall_ms,worst_differing_vertices
sphere,marching_cubes,primal,33,1158,48,6,1,perm=012;sign=-++,-1,1,true,true,0.125000000,1158,3,3,1,6,5,true,1,72,-2.000000000,6,1,fffffffffffe,2312,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,57,72
sphere,marching_cubes+decider,primal,33,1158,48,6,1,perm=012;sign=-++,-1,1,true,true,0.125000000,1158,3,3,1,6,5,true,1,72,-2.000000000,6,1,fffffffffffe,2312,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,56,72
sphere,marching_tetrahedra,primal,33,3518,48,6,3,perm=012;sign=-++,-1,9214232862110805686,true,true,0.125000000,1158,3,3,3,6,3,true,1,72,-2.000000000,6,1,fffefefffffe,7032,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,173,1944
sphere,surface_nets,dual,33,1160,48,6,3,perm=012;sign=-++,-1,8,true,true,0.125000000,1158,3,3,3,6,3,true,1,72,-2.000000000,6,1,fffefefffffe,2316,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,48,720
sphere,dual_contouring,dual,33,1160,48,2,1,perm=012;sign=-++,-1,9211973686881262212,true,true,0.125000000,1158,1,1,1,2,1,true,1,72,-2.000000000,2,1,fffffffffffe,2316,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/+++|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/+++|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/+++|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/+++|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fffffffefffe,104,368
sphere,manifold_dual_contouring,dual,33,1160,48,2,1,perm=012;sign=-++,-1,9211973686881262212,true,true,0.125000000,1158,1,1,1,2,1,true,1,72,-2.000000000,2,1,fffffffffffe,2316,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/+++|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/+++|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/+++|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/+++|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fffffffefffe,110,368
sphere,subgrid_marching_tetrahedra,primal,33,3500,48,6,3,perm=012;sign=-++,-1,9214238955704905952,true,true,0.125000000,1158,3,3,3,6,3,true,1,72,-2.000000000,6,1,fffefefffffe,6996,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,4984,3494
sphere,marching_cubes,primal,25,534,48,6,1,perm=012;sign=-++,-1,1,true,true,0.187500000,534,3,3,1,6,5,true,1,24,-2.250000000,6,1,fffffffffffe,1064,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,23,24
sphere,marching_cubes+decider,primal,25,534,48,6,1,perm=012;sign=-++,-1,1,true,true,0.187500000,534,3,3,1,6,5,true,1,24,-2.250000000,6,1,fffffffffffe,1064,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,23,24
sphere,marching_tetrahedra,primal,25,1586,48,6,3,perm=012;sign=-++,-1,9214278777801560666,true,true,0.187500000,534,3,3,3,6,3,true,1,24,-2.250000000,6,1,fffefefffffe,3168,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,63,898
