# experiment P-59 (R-057)
# hypothesis: M-341 measured that a Lipschitz interval bound prunes a 64-brush tape to a median of 19 survivors per chunk with the mesh byte-identical on 64 of 64 chunks. Nothing measures how many survivors are NECESSARY. Leave-one-out ablation decides it: for each chunk, for each surviving brush, remove that one brush, re-mesh, and compare mesh_hash. (C1) SOUNDNESS CONTROL, REPORTED FIRST -- removing ALL non-survivors together changes no chunk's mesh_hash, 64 of 64, re-confirming M-341's C3 on this harness; if it fails, the bound is unsound and every other number here is void. (C2) the bound OVER-KEEPS: the median over chunks of necessary / survivors is AT MOST 0.75, i.e. at least a quarter of surviving brushes can be dropped individually with the mesh bit-identical. (C3) the over-keep has a nameable cause rather than being noise: of the brushes that survive but prove unnecessary, at least 90% have an interval over the chunk whose distance from zero exceeds one cell size -- they win the min/max chain only where the field is far from the surface.
# falsified by: C2's median exceeding 0.75, which says the interval bound is already close to tight and closes the direction with a distribution rather than a hunch -- a null worth having; or C3 under 90%, which means the over-keep is not explained by distance-from-surface and the mechanism is unnamed.
# commit f55416c (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-24T03:43:41Z
chunk,brushes,survivors,necessary,necessary_fraction,non_survivors_removed,control_hash_unchanged,unnecessary_far_from_surface,unnecessary_far_fraction,mesh_hash,remeshes,ns_per_remesh,c1_control_all_unchanged,c1_control_failures,c2_bound,c2_median_at_most_bound,c2_necessary_fraction_max,c2_necessary_fraction_median,c2_necessary_fraction_median_nonempty,c2_necessary_fraction_min,c3_bound,c3_far_at_least_bound,c3_far_fraction,c3_far_fraction_nonempty,cell_size,chunks_measured,dominant_adds,empty_chunks,far_survivors,fixture_matches_m341,joint_drop_chunks_unchanged,m341_median_survivors,mesh_hash_full_tape,mesh_hash_necessary_only,necessary_only_hash_unchanged,samples_per_axis,survivors_median,total_necessary,total_remeshes,total_survivors,total_unnecessary,total_unnecessary_far,triangles,unnecessary,unnecessary_far_by_hi,unnecessary_far_by_lo,vertices
0-0-0,64,56,2,0.035714286,8,true,44,0.814814815,4198775778922608342,57,11366897.7,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,44,true,64,19,4198775778922608342,4198775778922608342,true,33,19.0000,73,1571,1507,1434,1218,932,54,0,44,468
1-0-0,64,48,2,0.041666667,16,true,33,0.717391304,12664866853906690193,49,8759150.8,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,33,true,64,19,12664866853906690193,12664866853906690193,true,33,19.0000,73,1571,1507,1434,1218,583,46,0,33,342
2-0-0,64,35,1,0.028571429,29,true,34,1.000000000,1232458530786706020,36,7710044.9,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,34,true,64,19,1232458530786706020,1232458530786706020,true,33,19.0000,73,1571,1507,1434,1218,519,34,0,34,302
3-0-0,64,22,0,0.000000000,42,true,22,1.000000000,9354609568656401157,23,4356409.4,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,22,true,64,19,9354609568656401157,9354609568656401157,true,33,19.0000,73,1571,1507,1434,1218,0,22,0,22,0
0-1-0,64,58,4,0.068965517,6,true,39,0.722222222,1146076739408006191,59,17696562.5,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,39,true,64,19,1146076739408006191,1146076739408006191,true,33,19.0000,73,1571,1507,1434,1218,1527,54,0,39,805
1-1-0,64,62,10,0.161290323,2,true,38,0.730769231,1179823467607178070,63,23737405.5,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,38,true,64,19,1179823467607178070,1179823467607178070,true,33,19.0000,73,1571,1507,1434,1218,6661,52,0,38,3466
2-1-0,64,35,0,0.000000000,29,true,30,0.857142857,18383950944038907737,36,12809415.9,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,30,true,64,19,18383950944038907737,18383950944038907737,true,33,19.0000,73,1571,1507,1434,1218,3227,35,0,30,1694
3-1-0,64,17,0,0.000000000,47,true,17,1.000000000,5994705009439176878,18,5607336.2,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,17,true,64,19,5994705009439176878,5994705009439176878,true,33,19.0000,73,1571,1507,1434,1218,173,17,0,17,110
0-2-0,64,36,0,0.000000000,28,true,33,0.916666667,3393471244296461567,37,6890358.2,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,33,true,64,19,3393471244296461567,3393471244296461567,true,33,19.0000,73,1571,1507,1434,1218,173,36,0,33,110
1-2-0,64,44,2,0.045454545,20,true,41,0.976190476,6757934305813672150,45,10297413.6,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,41,true,64,19,6757934305813672150,6757934305813672150,true,33,19.0000,73,1571,1507,1434,1218,3681,42,0,41,1945
2-2-0,64,19,0,0.000000000,45,true,18,0.947368421,6220988308649318059,20,5275977.0,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,18,true,64,19,6220988308649318059,6220988308649318059,true,33,19.0000,73,1571,1507,1434,1218,3227,19,0,18,1694
3-2-0,64,15,0,0.000000000,49,true,15,1.000000000,10084624129552959285,16,3268444.4,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,15,true,64,19,10084624129552959285,10084624129552959285,true,33,19.0000,73,1571,1507,1434,1218,173,15,0,15,110
0-3-0,64,30,0,0.000000000,34,true,30,1.000000000,9354609568656401157,31,5234217.8,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,30,true,64,19,9354609568656401157,9354609568656401157,true,33,19.0000,73,1571,1507,1434,1218,0,30,0,30,0
1-3-0,64,22,0,0.000000000,42,true,22,1.000000000,10668930701057802727,23,3994363.7,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,22,true,64,19,10668930701057802727,10668930701057802727,true,33,19.0000,73,1571,1507,1434,1218,173,22,0,22,110
2-3-0,64,11,0,0.000000000,53,true,11,1.000000000,5737057099616061160,12,3033459.5,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,11,true,64,19,5737057099616061160,5737057099616061160,true,33,19.0000,73,1571,1507,1434,1218,173,11,0,11,110
3-3-0,64,10,0,0.000000000,54,true,10,1.000000000,9354609568656401157,11,2804671.5,true,0,0.75,true,0.250000000,0.000000000,0.000000000,0.000000000,0.9,false,0.849372385,0.838080960,0.125,64,0,7,10,true,64,19,9354609568656401157,9354609568656401157,true,33,19.0000,73,1571,1507,1434,1218,0,10,0,10,0
