# experiment P-60 (R-058)
# hypothesis: Every Marching Cubes vertex is a linear interpolation between two corner samples. Blu, Thevenaz & Unser (10.1109/tip.2004.826093) show that shifting the sampling knots by a fixed, signal-independent tau_opt = (1 - sqrt(3)/3)/2 ~= 0.21 and enforcing the interpolation property recovers "about 8 dB asymptotically" over standard linear reconstruction, for w < 3*pi/4. SCOPED TO A SINGLE GRID LINE, TOUCHING NO EXTRACTOR, because the prefilter is a causal one-pole IIR and the reconstruction change would re-derive the whole A-002 apparatus. Along an axis-aligned line through each reference field, sampled at 65 points, with the exact root known from the field's analytic distance: (C1) on the four smooth fields (sphere, torus, gyroid, fbm_terrain) the shifted reconstruction's median root error is at least 30% lower than standard linear at matched sample count, using tau = 1/5, at which the recursion c_n = -2^-2 * c_{n-1} + (1 + 2^-2) * f_n is multiplication-free. (C2) THE PRE-REGISTERED FAILURE -- on the two fields with a step-like restriction (box_exact, csg_difference) the shifted method is WORSE OR EQUAL, because the paper states a Gibbs phenomenon on a step and a sharp CSG boundary is one; this is expected, and finding it absent would be the surprise. (C3) the prefilter's non-locality is bounded: computing it over a truncated window of k preceding samples instead of the whole line changes the recovered root by less than 1e-6 cells for k >= 10, consistent with the (tau/(1-tau))^k = (1/4)^k decay.
# falsified by: C1 under 30%, which says the reconstruction gain does not transfer to root position and the direction closes for a mesher; or C3 failing at k = 10, which would mean a chunked mesher cannot have this at any affordable guard band. NO GOLDEN HASH MOVES -- this experiment reads a 1-D sample line and never calls an extractor.
# commit 0d81ae6 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-24T03:48:52Z
field,samples,tau,root_error_standard,root_error_shifted,error_ratio,median_error_ratio,is_step_like,gibbs_overshoot,guard_band_k,guard_band_delta_cells,guard_band_converged,cell_size,chord_deviation_cells,control_quadratic_error_ratio,control_sabotage_error_ratio,crossing_fraction,crossing_index,exact_root,guard_band_truncated,guard_band_window_start,interpolation_residual,max_second_difference_near_crossing,median_error_ratio_step_like,median_second_difference,predicted_error_ratio,root_shifted,root_standard,shifted_segment,standard_is_exact
sphere,65,0.200000000,7.105427e-15,7.105427e-15,1.000000e0,1.486067e0,false,2.909629e-12,2,0.000000e0,true,0.062500000,0.000000e0,1.984127e-1,3.900000e1,0.000000000,17,-1.000000000000000,true,15,5.551115e-17,0.000000e0,1.000000e0,0.000000e0,NaN,-1.000000000000000,-1.000000000000000,left,true
sphere,65,0.200000000,7.105427e-15,7.105427e-15,1.000000e0,1.486067e0,false,2.909629e-12,5,0.000000e0,true,0.062500000,0.000000e0,1.984127e-1,3.900000e1,0.000000000,17,-1.000000000000000,true,12,5.551115e-17,0.000000e0,1.000000e0,0.000000e0,NaN,-1.000000000000000,-1.000000000000000,left,true
sphere,65,0.200000000,7.105427e-15,7.105427e-15,1.000000e0,1.486067e0,false,2.909629e-12,10,0.000000e0,true,0.062500000,0.000000e0,1.984127e-1,3.900000e1,0.000000000,17,-1.000000000000000,true,7,5.551115e-17,0.000000e0,1.000000e0,0.000000e0,NaN,-1.000000000000000,-1.000000000000000,left,true
sphere,65,0.200000000,7.105427e-15,7.105427e-15,1.000000e0,1.486067e0,false,2.909629e-12,20,0.000000e0,true,0.062500000,0.000000e0,1.984127e-1,3.900000e1,0.000000000,17,-1.000000000000000,false,0,5.551115e-17,0.000000e0,1.000000e0,0.000000e0,NaN,-1.000000000000000,-1.000000000000000,left,true
torus,65,0.200000000,3.552714e-15,4.768370e-8,1.342177e7,1.486067e0,false,2.979505e-9,2,3.999995e-2,false,0.062500000,0.000000e0,1.984127e-1,3.900000e1,0.200000000,12,-1.300000000000000,true,10,1.110223e-16,0.000000e0,1.000000e0,0.000000e0,1.000000e0,-1.300000002980231,-1.300000000000000,left,true
torus,65,0.200000000,3.552714e-15,4.768370e-8,1.342177e7,1.486067e0,false,2.979505e-9,5,7.805355e-4,false,0.062500000,0.000000e0,1.984127e-1,3.900000e1,0.200000000,12,-1.300000000000000,true,7,1.110223e-16,0.000000e0,1.000000e0,0.000000e0,1.000000e0,-1.300000002980231,-1.300000000000000,left,true
torus,65,0.200000000,3.552714e-15,4.768370e-8,1.342177e7,1.486067e0,false,2.979505e-9,10,7.152528e-7,true,0.062500000,0.000000e0,1.984127e-1,3.900000e1,0.200000000,12,-1.300000000000000,true,2,1.110223e-16,0.000000e0,1.000000e0,0.000000e0,1.000000e0,-1.300000002980231,-1.300000000000000,left,true
torus,65,0.200000000,3.552714e-15,4.768370e-8,1.342177e7,1.486067e0,false,2.979505e-9,20,0.000000e0,true,0.062500000,0.000000e0,1.984127e-1,3.900000e1,0.200000000,12,-1.300000000000000,false,0,1.110223e-16,0.000000e0,1.000000e0,0.000000e0,1.000000e0,-1.300000002980231,-1.300000000000000,left,true
box_exact,65,0.200000000,7.105427e-15,7.105427e-15,1.000000e0,1.486067e0,false,2.909629e-12,2,0.000000e0,true,0.062500000,0.000000e0,1.984127e-1,3.900000e1,0.000000000,17,-1.000000000000000,true,15,5.551115e-17,0.000000e0,1.000000e0,0.000000e0,NaN,-1.000000000000000,-1.000000000000000,left,true
box_exact,65,0.200000000,7.105427e-15,7.105427e-15,1.000000e0,1.486067e0,false,2.909629e-12,5,0.000000e0,true,0.062500000,0.000000e0,1.984127e-1,3.900000e1,0.000000000,17,-1.000000000000000,true,12,5.551115e-17,0.000000e0,1.000000e0,0.000000e0,NaN,-1.000000000000000,-1.000000000000000,left,true
box_exact,65,0.200000000,7.105427e-15,7.105427e-15,1.000000e0,1.486067e0,false,2.909629e-12,10,0.000000e0,true,0.062500000,0.000000e0,1.984127e-1,3.900000e1,0.000000000,17,-1.000000000000000,true,7,5.551115e-17,0.000000e0,1.000000e0,0.000000e0,NaN,-1.000000000000000,-1.000000000000000,left,true
box_exact,65,0.200000000,7.105427e-15,7.105427e-15,1.000000e0,1.486067e0,false,2.909629e-12,20,0.000000e0,true,0.062500000,0.000000e0,1.984127e-1,3.900000e1,0.000000000,17,-1.000000000000000,false,0,5.551115e-17,0.000000e0,1.000000e0,0.000000e0,NaN,-1.000000000000000,-1.000000000000000,left,true
csg_difference,65,0.200000000,7.105427e-15,7.105427e-15,1.000000e0,1.486067e0,false,2.909629e-12,2,0.000000e0,true,0.062500000,0.000000e0,1.984127e-1,3.900000e1,0.000000000,17,-1.000000000000000,true,15,1.110223e-16,0.000000e0,1.000000e0,0.000000e0,NaN,-1.000000000000000,-1.000000000000000,left,true
csg_difference,65,0.200000000,7.105427e-15,7.105427e-15,1.000000e0,1.486067e0,false,2.909629e-12,5,0.000000e0,true,0.062500000,0.000000e0,1.984127e-1,3.900000e1,0.000000000,17,-1.000000000000000,true,12,1.110223e-16,0.000000e0,1.000000e0,0.000000e0,NaN,-1.000000000000000,-1.000000000000000,left,true
csg_difference,65,0.200000000,7.105427e-15,7.105427e-15,1.000000e0,1.486067e0,false,2.909629e-12,10,0.000000e0,true,0.062500000,0.000000e0,1.984127e-1,3.900000e1,0.000000000,17,-1.000000000000000,true,7,1.110223e-16,0.000000e0,1.000000e0,0.000000e0,NaN,-1.000000000000000,-1.000000000000000,left,true
csg_difference,65,0.200000000,7.105427e-15,7.105427e-15,1.000000e0,1.486067e0,false,2.909629e-12,20,0.000000e0,true,0.062500000,0.000000e0,1.984127e-1,3.900000e1,0.000000000,17,-1.000000000000000,false,0,1.110223e-16,0.000000e0,1.000000e0,0.000000e0,NaN,-1.000000000000000,-1.000000000000000,left,true
thin_plate,65,0.200000000,7.105427e-15,7.105427e-15,1.000000e0,1.486067e0,true,2.909674e-12,2,0.000000e0,true,0.062500000,7.998047e-1,1.984127e-1,3.900000e1,0.000000000,17,-1.000000000000000,true,15,2.220446e-16,5.000000e-2,1.000000e0,0.000000e0,NaN,-1.000000000000000,-1.000000000000000,left,true
thin_plate,65,0.200000000,7.105427e-15,7.105427e-15,1.000000e0,1.486067e0,true,2.909674e-12,5,0.000000e0,true,0.062500000,7.998047e-1,1.984127e-1,3.900000e1,0.000000000,17,-1.000000000000000,true,12,2.220446e-16,5.000000e-2,1.000000e0,0.000000e0,NaN,-1.000000000000000,-1.000000000000000,left,true
thin_plate,65,0.200000000,7.105427e-15,7.105427e-15,1.000000e0,1.486067e0,true,2.909674e-12,10,0.000000e0,true,0.062500000,7.998047e-1,1.984127e-1,3.900000e1,0.000000000,17,-1.000000000000000,true,7,2.220446e-16,5.000000e-2,1.000000e0,0.000000e0,NaN,-1.000000000000000,-1.000000000000000,left,true
thin_plate,65,0.200000000,7.105427e-15,7.105427e-15,1.000000e0,1.486067e0,true,2.909674e-12,20,0.000000e0,true,0.062500000,7.998047e-1,1.984127e-1,3.900000e1,0.000000000,17,-1.000000000000000,false,0,2.220446e-16,5.000000e-2,1.000000e0,0.000000e0,NaN,-1.000000000000000,-1.000000000000000,left,true
gyroid,65,0.200000000,5.103006e-4,1.006381e-3,1.972134e0,1.486067e0,false,5.346726e-4,2,2.178023e-2,false,0.218750000,1.034374e-3,1.984127e-1,3.900000e1,0.637923283,18,-3.141592653589794,true,16,1.110223e-16,3.405376e-2,1.000000e0,3.197300e-2,3.729654e-1,-3.141372507716155,-3.141704281851156,right,false
