# experiment P-62 (R-060)
# hypothesis: P-48 gave this crate a certificate that a cell is EMPTY (M-347: zero unsound over 1.07e9 evaluations) and P-54 a tighter one via affine arithmetic (M-354: 3.85x more rejections on gyroid). There is no certificate in the other direction: nothing can say 'this cell's surface patch has no hidden topology', which is the difference between a mesher that is correct and one that can STATE WHERE it is correct, and it is the CAD half of the mandate. THE PREDICATE IS ALREADY IN THE TREE, so this is a measurement rather than a build: validate::isotopy::cell_is_certified shipped under T-015 and is exactly the registered form, 0 not-in box-F(C) OR <box-grad-F(C), box-grad-F(C)> > 0, from Plantinga & Vegter, Isotopic approximation of implicit curves and surfaces, SGP 2004, 10.1145/1057432.1057465. Both bounds are EXACT rather than interval approximations, because the surface Marching Cubes approximates is the trilinear interpolant: F is a convex combination of the eight corner values, so clause one is exactly 'all eight corners share a sign', and each partial derivative is bilinear in the other two coordinates, so its exact range is the min and max of four corner differences. The cell size cancels -- the predicate tests the SIGN of a sum of three squares, so h^2 factors out. WHAT HAS NEVER BEEN DONE IS THE SOUNDNESS CHECK, and this crate owns a ground truth the PV literature does not: A-020's classifier counts tunnels and twelve-vertex contours from the trilinear itself, M-214 recorded 2,053 and 173 in 396,000 cells, and M-222 established that chi falls by exactly two per tunnel. A cell containing a tunnel is a cell whose patch is NOT a graph, so a certificate on such a cell is unsound. (C1) SOUNDNESS, ONE-SIDED, THE KILL-SHOT: over eight reference fields at 17^3 / 33^3 / 65^3, ZERO cells are C1-certified while the A-020 classifier reports a tunnel or a twelve-vertex contour in them. (C2) YIELD: the certified fraction of SURFACE cells is above 50% on sphere, torus and box_exact at 33^3, and rises monotonically with resolution on all eight fields. (C3) COST: the predicate costs under 5% of extraction wall time on marching_cubes at 65^3. REGISTERED CAVEAT, not a discovery: C1 guarantees the patch is a GRAPH, not that its planar domain is connected -- a graph over a disconnected planar region still has several components. PV close that globally with a BALANCED octree this crate does not have, so the honest claim is 'no hidden topology in this cell' and not 'exactly one component', and the entry must say so. Lin & Yap document the same gap, 10.1007/s00454-011-9345-9.
# falsified by: C1 by ONE certified cell that the A-020 classifier calls a tunnel or a twelve-vertex contour. A single unsound certificate kills the direction, and M-214's counts of 2,053 and 173 prove the fixture can produce the configuration -- this is not an M-44 pass over an unreached case, and the population of tunnel cells is reported per field so a zero is shown to have been able to be non-zero. C2 by a certified fraction below 50% on any of sphere, torus or box_exact at 33^3, or by a non-monotone sequence on any field -- the latter would mean the predicate is measuring the arithmetic's slack rather than the field's geometry. C3 by above 5%, in which case it is a debug gate rather than a shippable capability. NO GOLDEN HASH MOVES: the predicate is read-only and no extractor calls it.
# commit 5098e18 on amd-ryzen-9-5900x-12-core at 2026-08-27T01:11:41Z
field,samples_per_axis,cells,surface_cells,certified_cells,certified_surface_cells,certified_surface_fraction,tunnel_cells,twelve_vertex_cells,unsound_certificates,monotone_in_resolution,predicate_ms,extract_ms,predicate_share,c1_holds,c2_holds,c3_holds,fused_share,gather_ms,hidden_population,refused_surface_cells
sphere,17,4096,272,4096,272,1.000000,0,0,0,true,0.0149,0.1100,0.135160,true,true,false,0.060491,0.0082,2389,0
torus,17,4096,328,4096,328,1.000000,0,0,0,true,0.0177,0.0967,0.182627,true,true,false,0.097828,0.0082,2389,0
box_exact,17,4096,296,4016,216,0.729730,0,0,0,true,0.0136,0.0715,0.190820,true,true,false,0.076244,0.0082,2389,80
csg_difference,17,4096,296,4005,205,0.692568,0,0,0,true,0.0151,0.0805,0.187319,true,true,false,0.085394,0.0082,2389,91
thin_plate,17,4096,128,4096,128,1.000000,0,0,0,true,0.0120,0.0649,0.185699,true,true,false,0.058561,0.0083,2389,0
gyroid,17,4096,1214,3912,1030,0.848435,0,0,0,true,0.0444,0.4947,0.089797,true,true,false,0.073078,0.0083,2389,184
fbm_terrain,17,4096,470,4096,470,1.000000,0,0,0,true,0.0215,1.0078,0.021384,true,true,false,0.013247,0.0082,2389,0
noise_cavity,17,4096,1123,3376,403,0.358860,3,0,0,true,0.0340,0.4604,0.073943,true,true,false,0.056087,0.0082,2389,720
sphere,33,32768,1160,32768,1160,1.000000,0,0,0,true,0.0981,0.5820,0.168503,true,true,false,0.058907,0.0638,2389,0
torus,33,32768,1128,32768,1128,1.000000,0,0,0,true,0.1068,0.7024,0.151987,true,true,false,0.061516,0.0635,2389,0
box_exact,33,32768,1352,32592,1176,0.869822,0,0,0,true,0.0966,0.6013,0.160639,true,true,false,0.054933,0.0636,2389,176
csg_difference,33,32768,1388,32569,1189,0.856628,0,0,0,true,0.1014,0.6415,0.158108,true,true,false,0.050168,0.0692,2389,199
thin_plate,33,32768,512,32768,512,1.000000,0,0,0,true,0.0896,0.4892,0.183168,true,true,false,0.053153,0.0636,2389,0
gyroid,33,32768,5240,32398,4870,0.929389,0,0,0,true,0.1886,2.5414,0.074216,true,true,false,0.049218,0.0635,2389,370
fbm_terrain,33,32768,1958,32768,1958,1.000000,0,0,0,true,0.1261,7.3632,0.017126,true,true,false,0.008494,0.0636,2389,0
noise_cavity,33,32768,6176,29593,3001,0.485913,4,0,0,true,0.2430,3.0457,0.079793,true,true,false,0.058917,0.0636,2389,3175
sphere,65,262144,4760,262144,4760,1.000000,0,0,0,true,0.7474,4.2511,0.175818,true,true,false,0.056448,0.5075,2389,0
torus,65,262144,4208,262144,4208,1.000000,0,0,0,true,0.7605,4.0624,0.187203,true,true,false,0.061162,0.5120,2389,0
box_exact,65,262144,5768,261776,5400,0.936200,0,0,0,true,0.7627,3.8130,0.200020,true,true,false,0.065844,0.5116,2389,368
csg_difference,65,262144,6014,261708,5578,0.927502,0,0,0,true,0.7771,4.2717,0.181917,true,true,false,0.062130,0.5117,2389,436
thin_plate,65,262144,2048,262144,2048,1.000000,0,0,0,true,0.7209,3.4218,0.210688,true,true,false,0.061612,0.5101,2389,0
gyroid,65,262144,21432,261364,20652,0.963606,0,0,0,true,1.0266,15.1811,0.067626,true,true,false,0.033933,0.5115,2389,780
