# experiment P-71 (R-069)
# hypothesis: M-167 is the largest single number this project owns about its own GPU path: synchronisation was 83% of an extraction. M-159 localised it -- the last four bytes cost 0.033 ms to move and 0.375 ms to WAIT FOR, because poll(Wait) with no submission index drains every dispatch queued before it -- and M-160 showed what removing it buys: CPU time flat at about 0.17 ms from 33^3 to 129^3. What wgpu 29 gives splits the two targets and that split is the reason this is registered as one experiment rather than two: PollType::Poll is 'check the device for a single time without blocking', PollType::Wait is 'block until the given submission has completed execution', and verbatim from the docs, 'On WebGPU, this has no effect. Callbacks are invoked from the window event loop.' So native Bevy has a real CPU stall to design away and the web build has no blocking primitive at all -- meaning any code shaped around Wait is native-only scaffolding, and the restructuring must not become a cfg fork, for the same one-path reason the libm justification already gives. TIMESTAMP_QUERY is in FeaturesWebGPU and is supported on Vulkan, DX12, Metal, OpenGL and WebGPU -- the one feature here that behaves identically on both targets, which V-48 establishes and which is why C1 can be stated for both. TWO OF THE THREE MECHANISMS ALREADY EXIST IN THE TREE, so this is partly a measurement of shipped code rather than a build: extract_buffers waits once, for the four bytes of the triangle count, and extract_indirect waits NOT AT ALL, sizing the geometry from a budget and turning the total into indirect draw arguments on the device. (C1) INSTRUMENT FIRST. Timestamp queries attribute M-167's 83% into submit / execute / map / copy, and the largest single component is MAP-WAIT, not execute. POPULATION, probed on this host before this registration was written: the adapter is an NVIDIA RTX 3090 on Vulkan and advertises TIMESTAMP_QUERY, TIMESTAMP_QUERY_INSIDE_PASSES and TIMESTAMP_QUERY_INSIDE_ENCODERS, all three true, so the instrument exists on the machine the numbers will come from. It is not currently reachable: isomesh_gpu::headless::Gpu requests Features::empty(), and ExtractTimings' own doc says in as many words that timestamp attribution 'need[s] a device feature this crate does not request'. Enabling it is a src/ change to isomesh-gpu and is registered as one, shaped as a capability check that REFUSES LOUDLY on an adapter without the feature rather than a fallback that silently reports CPU-side numbers under a GPU-side column name -- GPU-007's pattern. (C2) Feeding the vertex and index counts into indirect draw arguments from a GPU buffer -- so the CPU never learns the count -- removes at least 60% of the measured synchronisation at 129^3. POPULATION: this is the difference between two entry points that both already ship, extract_buffers against extract_indirect, so the clause fires on every resolution both accept and the comparison is WITHIN ONE BINARY AND ONE RUN, which M-281 requires. The denominator is stated rather than assumed: 'the measured synchronisation' is the wait component C1 attributes, not the whole extraction, and if C1 finds map-wait is not the largest component then C2's own denominator is smaller than M-167 suggests and the entry must say so. (C3) An N-frame-delayed double-buffered staging ring for the paths that genuinely need CPU-side data -- collider generation -- holds the amortised per-frame cost within one chunk of the budget across a 320x range, i.e. M-124's property survives the added latency. POPULATION: M-124's own sweep, re-run with the ring in place, so the clause fires on exactly the rows M-124 has. This is the one genuinely new capability here. A DESIGN QUESTION THAT IS THE OWNER'S, NOT THE HARNESS'S, AND IS REGISTERED AS A QUESTION: C3 costs one to two frames of latency on collision. For a voxel game that is invisible; for a CAD tool it is a decision. The registration records the question rather than assuming an answer, per CLAUDE.md's rule about design decisions, and the entry must surface it rather than pick.
# falsified by: C1: execute being the largest component, which would mean the arithmetic did move after all and M-167's 'the arithmetic never moved and was never the point' needs re-tiering. C2: under 60% of the measured synchronisation removed. C3: the amortised cost drifting outside one chunk of the budget, which means the ring traded a stall for a queue. And the whole experiment is void if the timestamp period reads zero or the resolved query set comes back monotonically non-increasing, because then the attribution is a column that was named and not measured -- the harness asserts on both rather than reporting them.
# commit 2fc75b4 on amd-ryzen-9-5900x-12-core at 2026-08-27T14:08:52Z
arm,entry_point,samples_per_axis,cells,triangles,wall_ms,submit_ms,execute_ms,map_wait_ms,copy_ms,largest_component,synchronisation_ms,synchronisation_share,synchronisation_removed_share,timestamp_feature,timestamp_period_ns,amortised_ms_per_frame,budget_chunks,within_one_chunk,ring_frames_delay,c1_holds,c2_holds,c3_holds,adapter,budget_frames,budget_ms,budget_passes,budget_us,buffers_ms,chunks_meshed,drain_frames,indirect_ms,max_in_flight,max_latency_frames,mean_latency_frames,ms_per_chunk,no_room_frames,one_chunk_ms,overshoot_chunks,queue_capacity,readbacks_collected,scheduler_overhead_ms
attribution,all_three,33,32768,2312,0.314863,0.090951,0.044960,0.059001,0.119951,copy,0.178952,0.568349,,true,1.0000,,,,,false,false,false,NVIDIA GeForce RTX 3090 / Vulkan,,,,,0.194912,,,0.135911,,,,,,,,,,
attribution,all_three,65,262144,9512,0.496624,0.069579,0.092352,0.102031,0.232662,copy,0.334693,0.673936,,true,1.0000,,,,,false,false,false,NVIDIA GeForce RTX 3090 / Vulkan,,,,,0.263962,,,0.161931,,,,,,,,,,
attribution,all_three,97,884736,21464,0.764346,0.000000,0.156288,0.181762,0.430903,copy,0.612665,0.801555,,true,1.0000,,,,,false,false,false,NVIDIA GeForce RTX 3090 / Vulkan,,,,,0.333443,,,0.151681,,,,,,,,,,
attribution,all_three,129,2097152,38456,1.133149,0.000000,0.317504,0.319133,0.666295,copy,0.985428,0.869637,,true,1.0000,,,,,false,false,false,NVIDIA GeForce RTX 3090 / Vulkan,,,,,0.466854,,,0.147721,,,,,,,,,,
removal,indirect_vs_buffers,33,32768,2312,,,,0.059001,0.119951,,0.178952,,0.329703,,,,,,,false,false,false,NVIDIA GeForce RTX 3090 / Vulkan,,,,,,,,,,,,,,,,,,
removal,indirect_vs_buffers,65,262144,9512,,,,0.102031,0.232662,,0.334693,,0.304850,,,,,,,false,false,false,NVIDIA GeForce RTX 3090 / Vulkan,,,,,,,,,,,,,,,,,,
removal,indirect_vs_buffers,97,884736,21464,,,,0.181762,0.430903,,0.612665,,0.296674,,,,,,,false,false,false,NVIDIA GeForce RTX 3090 / Vulkan,,,,,,,,,,,,,,,,,,
removal,indirect_vs_buffers,129,2097152,38456,,,,0.319133,0.666295,,0.985428,,0.323852,,,,,,,false,false,false,NVIDIA GeForce RTX 3090 / Vulkan,,,,,,,,,,,,,,,,,,
budget,DeferredGeometry,,1179648,,791.717281,,,,,,,,,,,0.335473,1.000000,false,1,false,false,false,NVIDIA GeForce RTX 3090 / Vulkan,2360,0.025000,2360,25,,2360,36,,2,2,1.985581,0.335473,0,0.284058,1.092991,2,2360,0.007299
budget,DeferredGeometry,,1179648,,781.019862,,,,,,,,,,,0.330941,1.000000,true,1,false,false,false,NVIDIA GeForce RTX 3090 / Vulkan,2360,0.050000,2360,50,,2360,36,,2,2,1.985581,0.330941,0,0.284058,0.989024,2,2360,0.007299
budget,DeferredGeometry,,1179648,,784.443595,,,,,,,,,,,0.332391,1.000000,true,1,false,false,false,NVIDIA GeForce RTX 3090 / Vulkan,2360,0.200000,2360,200,,2360,24,,2,2,1.989822,0.332391,0,0.284058,0.466071,2,2360,0.007299
budget,DeferredGeometry,,1179648,,1491.214847,,,,,,,,,,,0.631871,2.015678,true,1,false,false,false,NVIDIA GeForce RTX 3090 / Vulkan,2360,0.500000,2360,500,,4757,48,,4,2,1.247108,0.313478,0,0.284058,0.464238,4,4757,0.007299
budget,DeferredGeometry,,1179648,,2752.366845,,,,,,,,,,,1.166257,3.841949,true,1,false,false,false,NVIDIA GeForce RTX 3090 / Vulkan,2360,1.000000,2360,1000,,9067,1,,5,2,1.024275,0.303559,0,0.284058,0.585292,8,9067,0.007299
budget,DeferredGeometry,,1179648,,5170.406625,,,,,,,,,,,2.190850,7.099153,true,1,false,false,false,NVIDIA GeForce RTX 3090 / Vulkan,2360,2.000000,2360,2000,,16754,1,,9,2,1.007643,0.308607,0,0.284058,0.671870,16,16754,0.007299
budget,DeferredGeometry,,1179648,,10104.336586,,,,,,,,,,,4.281499,13.954237,true,1,false,false,false,NVIDIA GeForce RTX 3090 / Vulkan,2360,4.000000,2360,4000,,32932,1,,15,1,1.000000,0.306824,0,0.284058,0.990988,30,32932,0.007299
budget,DeferredGeometry,,1179648,,19309.635368,,,,,,,,,,,8.182049,26.966102,true,1,false,false,false,NVIDIA GeForce RTX 3090 / Vulkan,2360,8.000000,2360,8000,,63640,1,,30,1,1.000000,0.303420,0,0.284058,0.640885,58,63640,0.007299
