# experiment P-73 (R-073)
# hypothesis: THE HOOK IS A PROPOSAL IN THIS REPOSITORY'S OWN DOCS. The mechanics dossier proposes the angle-weighted pseudonormal at 'under 2 degrees difference on good triangles, over 15 degrees on radius-ratio under 0.15, about 40 lines'. Jin, Lewis and West 2005 (10.1007/s00371-004-0271-1, 140 citations) scored six connectivity weightings -- equal, angle, sine-and-edge-length-reciprocal, adjacent-triangle-area, edge-length-reciprocal, sqrt-edge-length- reciprocal -- against the analytic normal, and on MARCHING- TETRAHEDRA OUTPUT EVERY ONE OF THEM HAS A MEDIAN DISCREPANCY OF 5-20 DEGREES at the highest resolution they tested. Their diagnosis is spatial aliasing in irregular implicit tessellation, which is M-72's mechanism seen from the shading side. NormalStrategy already has AnalyticGradient and CentralDifference; this measures whether a third is worth having. (C1) On eight reference fields at 33^3 and 65^3, every connectivity weighting has a median angular error against the analytic gradient of at least 3x CentralDifference's at the cell size, and thin_plate and noise_cavity are the worst. (C2) mean |f(v)| -- the off-surface shading canary the dossier proposes in two lines -- PREDICTS the per-vertex angular error, rank correlation above 0.7 on at least six of eight fields. (C3) THE DETERMINISM ARGUMENT, INDEPENDENT OF QUALITY: angle weighting needs acos, libm's acos has no architecture selection, and a connectivity- weighted normal is therefore a golden-hash liability on a crate committing 216 of them. Measured: the connectivity route moves at least one hash between the M5 and the Zen 3 and the gradient route moves none. SHARE: C1 and C2 move the whole normals stage; C3 moves nothing and is a correctness clause.
# falsified by: C1 by any weighting within 3x, which would mean the 2005 result does not transfer to trilinear output and the dossier's proposal is right. C2 by a rank correlation below 0.7 on three or more fields, which would mean the canary and the error are different phenomena and the canary is not a proxy for shimmer. C3 by zero hash movement on the connectivity route, which would be the more interesting result and would remove the determinism objection entirely. VACUITY CONTROL: the fixture must contain triangles in the bottom decile of the aspect-ratio distribution on every field, reported as a column, or C1 is measuring well-shaped triangles only.
# commit 3a554ed on amd-ryzen-9-5900x-12-core at 2026-08-28T00:32:57Z
field,resolution,weighting,median_angle_error_deg,p99_angle_error_deg,gradient_median_deg,ratio_to_gradient,canary_mean_abs_f,canary_rank_correlation,worst_decile_triangles,hashes_moved_connectivity,hashes_moved_gradient,c1_holds,c2_holds,c3_holds,acos_sweep_libm_local,acos_sweep_libm_remote,acos_sweep_moved_libm,acos_sweep_moved_std,acos_sweep_std_local,acos_sweep_std_remote,boundary_vertices_excluded,c1_rows_at_least_3,c1_rows_testable,c1_rows_total,c1_testable_cases,c1_worst_two_as_registered,c2_fields_above_bar_at_res,c2_testable_fields_at_res,canary_max_abs_f,canary_zero_vertices,case_c1_testable,case_c1_verdict,case_c2_testable,case_c2_verdict,cd_degenerate_excluded,cd_magnitude_ratio_median,cell_size,codegen_control_ran,field_mean_connectivity_median_deg,field_rank_by_error,hash_fixtures,hashes_connectivity_total,hashes_gradient_total,hashes_moved_codegen,hashes_moved_std_acos,hashes_moved_std_acos_fixtures,hashes_std_acos_total,local_toolchain,min_radius_ratio,mwaat_crate_status,mwaat_mismatch_vertices,nonmanifold_edges,port_acos_matches_libm,program_matches_bench,radius_ratio_median_pooled,radius_ratio_p10_pooled,ratio_p99_to_gradient,ref_closed_form_max_deg,ref_closed_form_median_deg,ref_degenerate_excluded,ref_fd_median_deg,ref_fd_over_half_deg,ref_fd_p99_deg,reference_matches_extraction,row_ratio_at_least_3,scored_vertices,second_machine,second_machine_note,second_machine_toolchain,skipped_corners,triangles,triangles_below_0p15,vertices,weight_degenerate_excluded,worst_decile_max_radius_ratio,worst_decile_triangles_below_pooled_p10,zero_error_vertices
sphere,33,equal,1.476424,2.765018,0.075608,19.527267,7.148188e-4,0.295945,234,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,1.701129e-3,6,true,held,true,falsified,0,0.996393278,0.125000000,true,1.141128,5,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.060373,match,0,0,true,true,0.817624,0.242312,22.784498,0.000000854,0.000000000,0,0.000000000,0,0.000000854,true,true,1158,apple-m5-arm64,ok,1.96.1,0,2312,38,1158,0,0.334234,108,6
sphere,33,angle,1.032945,2.114728,0.075608,13.661797,7.148188e-4,0.396059,234,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,1.701129e-3,6,true,held,true,falsified,0,0.996393278,0.125000000,true,1.141128,5,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.060373,match,0,0,true,true,0.817624,0.242312,17.425930,0.000000854,0.000000000,0,0.000000000,0,0.000000854,true,true,1158,apple-m5-arm64,ok,1.96.1,0,2312,38,1158,0,0.334234,108,6
sphere,33,sine_edge_length_recip,0.582364,1.731695,0.075608,7.702380,7.148188e-4,0.209790,234,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,1.701129e-3,6,true,held,true,falsified,0,0.996393278,0.125000000,true,1.141128,5,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.060373,match,0,0,true,true,0.817624,0.242312,14.269635,0.000000854,0.000000000,0,0.000000000,0,0.000000854,true,true,1158,apple-m5-arm64,ok,1.96.1,0,2312,38,1158,0,0.334234,108,6
sphere,33,adjacent_triangle_area,2.225187,4.288009,0.075608,29.430454,7.148188e-4,0.126668,234,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,1.701129e-3,6,true,held,true,falsified,0,0.996393278,0.125000000,true,1.141128,5,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.060373,match,0,0,true,true,0.817624,0.242312,35.334352,0.000000854,0.000000000,0,0.000000000,0,0.000000854,true,true,1158,apple-m5-arm64,ok,1.96.1,0,2312,38,1158,0,0.334234,108,6
sphere,33,edge_length_recip,0.700585,1.557015,0.075608,9.265980,7.148188e-4,0.206183,234,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,1.701129e-3,6,true,held,true,falsified,0,0.996393278,0.125000000,true,1.141128,5,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.060373,match,0,0,true,true,0.817624,0.242312,12.830222,0.000000854,0.000000000,0,0.000000000,0,0.000000854,true,true,1158,apple-m5-arm64,ok,1.96.1,0,2312,38,1158,0,0.334234,108,6
sphere,33,sqrt_edge_length_recip,0.829263,1.954093,0.075608,10.967883,7.148188e-4,0.566221,234,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,1.701129e-3,6,true,held,true,falsified,0,0.996393278,0.125000000,true,1.141128,5,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.060373,match,0,0,true,true,0.817624,0.242312,16.102253,0.000000854,0.000000000,0,0.000000000,0,0.000000854,true,true,1158,apple-m5-arm64,ok,1.96.1,0,2312,38,1158,0,0.334234,108,6
sphere,33,central_difference,0.075608,0.121355,0.075608,1.000000,7.148188e-4,-0.146368,234,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,1.701129e-3,6,true,falsified,true,falsified,0,0.996393278,0.125000000,true,1.141128,5,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.060373,match,0,0,true,true,0.817624,0.242312,1.000000,0.000000854,0.000000000,0,0.000000000,0,0.000000854,true,false,1158,apple-m5-arm64,ok,1.96.1,0,2312,38,1158,0,0.334234,108,6
sphere,65,equal,0.652862,1.495855,0.020085,32.505293,1.730139e-4,0.147969,968,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,4.578763e-4,6,true,held,true,falsified,0,0.999095484,0.062500000,true,0.536188,5,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.049573,match,0,0,true,true,0.817624,0.242312,48.334834,0.000001207,0.000000000,0,0.000000000,0,0.000000854,true,true,4758,apple-m5-arm64,ok,1.96.1,0,9512,646,4758,0,0.237729,1000,6
sphere,65,angle,0.385052,1.365370,0.020085,19.171348,1.730139e-4,0.205721,968,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,4.578763e-4,6,true,held,true,falsified,0,0.999095484,0.062500000,true,0.536188,5,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.049573,match,0,0,true,true,0.817624,0.242312,44.118537,0.000001207,0.000000000,0,0.000000000,0,0.000000854,true,true,4758,apple-m5-arm64,ok,1.96.1,0,9512,646,4758,0,0.237729,1000,6
sphere,65,sine_edge_length_recip,0.309086,1.586833,0.020085,15.389058,1.730139e-4,-0.090934,968,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,4.578763e-4,6,true,held,true,falsified,0,0.999095484,0.062500000,true,0.536188,5,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.049573,match,0,0,true,true,0.817624,0.242312,51.274556,0.000001207,0.000000000,0,0.000000000,0,0.000000854,true,true,4758,apple-m5-arm64,ok,1.96.1,0,9512,646,4758,0,0.237729,1000,6
sphere,65,adjacent_triangle_area,1.053807,2.370898,0.020085,52.467910,1.730139e-4,-0.050072,968,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,4.578763e-4,6,true,held,true,falsified,0,0.999095484,0.062500000,true,0.536188,5,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.049573,match,0,0,true,true,0.817624,0.242312,76.609670,0.000001207,0.000000000,0,0.000000000,0,0.000000854,true,true,4758,apple-m5-arm64,ok,1.96.1,0,9512,646,4758,0,0.237729,1000,6
sphere,65,edge_length_recip,0.370133,1.549764,0.020085,18.428515,1.730139e-4,-0.074857,968,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,4.578763e-4,6,true,held,true,falsified,0,0.999095484,0.062500000,true,0.536188,5,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.049573,match,0,0,true,true,0.817624,0.242312,50.076755,0.000001207,0.000000000,0,0.000000000,0,0.000000854,true,true,4758,apple-m5-arm64,ok,1.96.1,0,9512,646,4758,0,0.237729,1000,6
sphere,65,sqrt_edge_length_recip,0.446190,1.297502,0.020085,22.215313,1.730139e-4,0.358972,968,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,4.578763e-4,6,true,held,true,falsified,0,0.999095484,0.062500000,true,0.536188,5,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.049573,match,0,0,true,true,0.817624,0.242312,41.925548,0.000001207,0.000000000,0,0.000000000,0,0.000000854,true,true,4758,apple-m5-arm64,ok,1.96.1,0,9512,646,4758,0,0.237729,1000,6
sphere,65,central_difference,0.020085,0.030948,0.020085,1.000000,1.730139e-4,-0.253953,968,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,4.578763e-4,6,true,falsified,true,falsified,0,0.999095484,0.062500000,true,0.536188,5,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.049573,match,0,0,true,true,0.817624,0.242312,1.000000,0.000001207,0.000000000,0,0.000000000,0,0.000000854,true,false,4758,apple-m5-arm64,ok,1.96.1,0,9512,646,4758,0,0.237729,1000,6
torus,33,equal,3.133709,11.659668,0.854352,3.667935,1.299332e-3,0.300512,228,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,6.293799e-3,8,true,held,true,falsified,0,0.974392912,0.125000000,true,2.970680,4,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.014469,match,0,0,true,true,0.817624,0.242312,8.982508,0.000001207,0.000000000,0,0.000000000,0,0.000000854,true,true,1128,apple-m5-arm64,ok,1.96.1,0,2256,184,1128,0,0.169510,276,8
torus,33,angle,2.252191,10.366527,0.854352,2.636139,1.299332e-3,0.375156,228,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,6.293799e-3,8,true,falsified,true,falsified,0,0.974392912,0.125000000,true,2.970680,4,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.014469,match,0,0,true,true,0.817624,0.242312,7.986283,0.000001207,0.000000000,0,0.000000000,0,0.000000854,true,false,1128,apple-m5-arm64,ok,1.96.1,0,2256,184,1128,0,0.169510,276,8
torus,33,sine_edge_length_recip,2.365117,9.123711,0.854352,2.768316,1.299332e-3,0.067665,228,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,6.293799e-3,8,true,falsified,true,falsified,0,0.974392912,0.125000000,true,2.970680,4,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.014469,match,0,0,true,true,0.817624,0.242312,7.028828,0.000001207,0.000000000,0,0.000000000,0,0.000000854,true,false,1128,apple-m5-arm64,ok,1.96.1,0,2256,184,1128,0,0.169510,276,8
torus,33,adjacent_triangle_area,5.478382,16.239796,0.854352,6.412321,1.299332e-3,0.182361,228,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,6.293799e-3,8,true,held,true,falsified,0,0.974392912,0.125000000,true,2.970680,4,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.014469,match,0,0,true,true,0.817624,0.242312,12.510999,0.000001207,0.000000000,0,0.000000000,0,0.000000854,true,true,1128,apple-m5-arm64,ok,1.96.1,0,2256,184,1128,0,0.169510,276,8
torus,33,edge_length_recip,2.484490,9.057718,0.854352,2.908039,1.299332e-3,0.052268,228,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,6.293799e-3,8,true,falsified,true,falsified,0,0.974392912,0.125000000,true,2.970680,4,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.014469,match,0,0,true,true,0.817624,0.242312,6.977988,0.000001207,0.000000000,0,0.000000000,0,0.000000854,true,false,1128,apple-m5-arm64,ok,1.96.1,0,2256,184,1128,0,0.169510,276,8
torus,33,sqrt_edge_length_recip,2.110188,9.162926,0.854352,2.469927,1.299332e-3,0.283123,228,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,6.293799e-3,8,true,falsified,true,falsified,0,0.974392912,0.125000000,true,2.970680,4,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.014469,match,0,0,true,true,0.817624,0.242312,7.059039,0.000001207,0.000000000,0,0.000000000,0,0.000000854,true,false,1128,apple-m5-arm64,ok,1.96.1,0,2256,184,1128,0,0.169510,276,8
torus,33,central_difference,0.854352,1.298042,0.854352,1.000000,1.299332e-3,0.119012,228,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,6.293799e-3,8,true,falsified,true,falsified,0,0.974392912,0.125000000,true,2.970680,4,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.014469,match,0,0,true,true,0.817624,0.242312,1.000000,0.000001207,0.000000000,0,0.000000000,0,0.000000854,true,false,1128,apple-m5-arm64,ok,1.96.1,0,2256,184,1128,0,0.169510,276,16
torus,65,equal,1.286043,5.243763,0.216057,5.952343,3.214026e-4,0.317714,844,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,1.456589e-3,8,true,held,true,falsified,0,0.993794633,0.062500000,true,1.087684,4,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.003373,match,0,0,true,true,0.817624,0.242312,15.444894,0.000001207,0.000000000,0,0.000000000,0,0.000000854,true,true,4208,apple-m5-arm64,ok,1.96.1,0,8416,504,4208,0,0.250544,814,8
torus,65,angle,0.776968,4.584634,0.216057,3.596130,3.214026e-4,0.438110,844,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,1.456589e-3,8,true,held,true,falsified,0,0.993794633,0.062500000,true,1.087684,4,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.003373,match,0,0,true,true,0.817624,0.242312,13.503504,0.000001207,0.000000000,0,0.000000000,0,0.000000854,true,true,4208,apple-m5-arm64,ok,1.96.1,0,8416,504,4208,0,0.250544,814,3
torus,65,sine_edge_length_recip,0.746652,4.047623,0.216057,3.455816,3.214026e-4,0.170346,844,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,1.456589e-3,8,true,held,true,falsified,0,0.993794633,0.062500000,true,1.087684,4,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.003373,match,0,0,true,true,0.817624,0.242312,11.921801,0.000001207,0.000000000,0,0.000000000,0,0.000000854,true,true,4208,apple-m5-arm64,ok,1.96.1,0,8416,504,4208,0,0.250544,814,5
torus,65,adjacent_triangle_area,1.912369,8.190382,0.216057,8.851242,3.214026e-4,0.280619,844,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,1.456589e-3,8,true,held,true,falsified,0,0.993794633,0.062500000,true,1.087684,4,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.003373,match,0,0,true,true,0.817624,0.242312,24.123817,0.000001207,0.000000000,0,0.000000000,0,0.000000854,true,true,4208,apple-m5-arm64,ok,1.96.1,0,8416,504,4208,0,0.250544,814,8
torus,65,edge_length_recip,0.918576,4.055875,0.216057,4.251551,3.214026e-4,0.166104,844,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,1.456589e-3,8,true,held,true,falsified,0,0.993794633,0.062500000,true,1.087684,4,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.003373,match,0,0,true,true,0.817624,0.242312,11.946107,0.000001207,0.000000000,0,0.000000000,0,0.000000854,true,true,4208,apple-m5-arm64,ok,1.96.1,0,8416,504,4208,0,0.250544,814,8
torus,65,sqrt_edge_length_recip,0.885495,3.987134,0.216057,4.098437,3.214026e-4,0.337433,844,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,1.456589e-3,8,true,held,true,falsified,0,0.993794633,0.062500000,true,1.087684,4,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.003373,match,0,0,true,true,0.817624,0.242312,11.743639,0.000001207,0.000000000,0,0.000000000,0,0.000000854,true,true,4208,apple-m5-arm64,ok,1.96.1,0,8416,504,4208,0,0.250544,814,8
torus,65,central_difference,0.216057,0.339514,0.216057,1.000000,3.214026e-4,0.115502,844,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,1.456589e-3,8,true,falsified,true,falsified,0,0.993794633,0.062500000,true,1.087684,4,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.003373,match,0,0,true,true,0.817624,0.242312,1.000000,0.000001207,0.000000000,0,0.000000000,0,0.000000854,true,false,4208,apple-m5-arm64,ok,1.96.1,0,8416,504,4208,0,0.250544,814,16
box_exact,33,equal,0.000000,27.520235,0.000000,NaN,0.000000e0,0.000000,336,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,0.000000e0,1350,false,vacuous,false,vacuous,0,1.000000000,0.125000000,true,0.000000,6,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.787694,match,0,0,true,true,0.817624,0.242312,inf,0.000000000,0.000000000,0,0.000000000,0,0.000000000,true,false,1350,apple-m5-arm64,ok,1.96.1,0,2696,0,1350,0,0.787694,0,1014
box_exact,33,angle,0.000000,28.886463,0.000000,NaN,0.000000e0,0.000000,336,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,0.000000e0,1350,false,vacuous,false,vacuous,0,1.000000000,0.125000000,true,0.000000,6,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.787694,match,0,0,true,true,0.817624,0.242312,inf,0.000000000,0.000000000,0,0.000000000,0,0.000000000,true,false,1350,apple-m5-arm64,ok,1.96.1,0,2696,0,1350,0,0.787694,0,1014
box_exact,33,sine_edge_length_recip,0.000000,25.239402,0.000000,NaN,0.000000e0,0.000000,336,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,0.000000e0,1350,false,vacuous,false,vacuous,0,1.000000000,0.125000000,true,0.000000,6,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.787694,match,0,0,true,true,0.817624,0.242312,inf,0.000000000,0.000000000,0,0.000000000,0,0.000000000,true,false,1350,apple-m5-arm64,ok,1.96.1,0,2696,0,1350,0,0.787694,0,1014
box_exact,33,adjacent_triangle_area,0.000000,31.219698,0.000000,NaN,0.000000e0,0.000000,336,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,0.000000e0,1350,false,vacuous,false,vacuous,0,1.000000000,0.125000000,true,0.000000,6,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.787694,match,0,0,true,true,0.817624,0.242312,inf,0.000000000,0.000000000,0,0.000000000,0,0.000000000,true,false,1350,apple-m5-arm64,ok,1.96.1,0,2696,0,1350,0,0.787694,0,1014
box_exact,33,edge_length_recip,0.000000,24.232605,0.000000,NaN,0.000000e0,0.000000,336,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,0.000000e0,1350,false,vacuous,false,vacuous,0,1.000000000,0.125000000,true,0.000000,6,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.787694,match,0,0,true,true,0.817624,0.242312,inf,0.000000000,0.000000000,0,0.000000000,0,0.000000000,true,false,1350,apple-m5-arm64,ok,1.96.1,0,2696,0,1350,0,0.787694,0,1014
box_exact,33,sqrt_edge_length_recip,0.000000,25.908102,0.000000,NaN,0.000000e0,0.000000,336,0,0,false,false,false,76b929f7ad69da18,76b929f7ad69da18,0,1,3b9f2096421087a2,a7874df0d6fc48dc,0,32,60,96,10,false,0,7,0.000000e0,1350,false,vacuous,false,vacuous,0,1.000000000,0.125000000,true,0.000000,6,sphere+torus+box_exact,18,3,0,2,sphere+torus,3,1.98.0,0.787694,match,0,0,true,true,0.817624,0.242312,inf,0.000000000,0.000000000,0,0.000000000,0,0.000000000,true,false,1350,apple-m5-arm64,ok,1.96.1,0,2696,0,1350,0,0.787694,0,1014
