# experiment P-76 (R-076)
# hypothesis: TRIPLANAR AND STOCHASTIC FILTERING COMPOSE MULTIPLICATIVELY AND NOBODY STATES THE PRODUCT. Three planes x three stochastic taps is nine fetches per map; bevy_isomesh/examples/triplanar.wgsl already pays the three. Stochastic Texture Filtering (arXiv 2305.05810) and Heitz-Neyret histogram-preserving blending (10.1145/3233304, 'over 20x faster' than procedural-noise state of the art, HARDWARE NOT NAMED) both trade fetches for temporal accumulation. The conflict is the finding worth registering: A DESTRUCTIBLE WORLD HAS ALREADY SPENT ITS TEMPORAL BUDGET, because geometry that changes rejects history. This registration is gated on P-77, which measures that rejection; running it first would price the saving without pricing the debt. (C1) Selecting one triplanar plane per pixel stochastically drops the fetch count by exactly 3x and the fragment cost by at least 2x at 1920x1080. (C2) With TAA resolving the stochastic choice, the ghosting cost under an active dig is WORSE than the fetch saving is worth: measured as mean absolute error against a 3-plane reference in the 8 frames following an edit, above the error of the same scene with no digging. (C3) Biplanar mapping -- two planes, no stochastic term, no temporal debt -- gets at least half the saving of C1 with none of C2's cost. SHARE: C1 moves the material shading stage, which P-75's C2 will have measured.
# falsified by: C1 by under 2x. C2 by no difference between digging and static, which would mean history rejection is not the bottleneck and stochastic filtering is free here after all. C3 by under half, which makes the honest recommendation 'keep three planes'. VACUITY CONTROL: the dig arm must produce a non-zero history-rejection count from P-77's instrument, or C2 cannot fire.
# commit b3f11a2 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-28T00:34:20Z
arm,fetches_per_fragment,fragment_ms,frame_ms,history_rejected_static,history_rejected_digging,mae_vs_reference_static,mae_vs_reference_digging,frames_after_edit,biplanar_fetches,biplanar_fragment_ms,c1_holds,c2_holds,c3_holds,alu_control_ms,bilinear_minus_point_ns_per_texel,biplanar_temporal_delta_mae,c1_cost_ratio,c1_cost_ratio_min_based,c1_cost_reachable_6s_ge_f,c1_fetch_ratio_is_exactly_3,c3_saving_ratio_fetches,c3_saving_ratio_ms,c3_saving_ratio_ms_min_based,cpu_mhz_end,cpu_mhz_start,estimator_bias_tolerance,estimator_mean_signed_error_sampled,estimator_worst_fragment_error_sampled,fetch_call_ns_measured,fetch_calls_per_fragment,fetches_tallied,filter,fit_intercept_ms,fit_predicted_ratio_18_over_6,fit_r2,fit_six_fetch_cost_ms,fit_slope_ms_per_fetch,fit_slope_ns_per_fetch,forced_layer,fragment_ns_per_fragment,frame_changed_pixels,frame_mae,frame_mean_clip_s,frame_mean_reproj_px,frame_no_history,frame_offset,frame_population,frame_rejected,frame_rejection_fraction,mae_biplanar_digging,mae_biplanar_excess_digging,mae_biplanar_excess_static,mae_biplanar_static,mae_ideal_biplanar,mae_ideal_reference,mae_ideal_stochastic,mae_sampling_excess_digging,mae_sampling_excess_ratio_dig_over_static,mae_sampling_excess_static,mae_taa_floor_digging,mae_taa_floor_static,mean_b,mean_g,mean_r,ns_per_fetch_over_alu_control,planes,rejection_fraction_digging,rejection_fraction_static,reps_ms_min,reps_ms_spread,scored_arm,screen_pixels,shade_reps,shading_bias_mean_signed,shading_bias_worst_fragment,stage,stf_3tap_fetches,stochastic_plane_fetches,stochastic_plane_fragment_ms,stochastic_temporal_delta_mae,strata,stream,taa_arm,taa_brushes_placed,taa_height,taa_warmup_frames,taa_width,tally_ns_bound_per_fetch,taps,texels_per_fragment,threads,triplanar_fetches,triplanar_fragment_ms,visible_fragments,world,zero_proof_rejected,zero_proof_stochastic_rejected
shading/triplanar_3plane_3stratum_bilinear,18,437.719901,816.953702,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,18,19998450,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,393.9784,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,0.305015,0.388943,0.305486,9.2114,3,0.01809258,0.01604053,428.4996,51.0772,true,2073600,9,0.000084,0.022287,material_shading,54,6,218.856641,+0.00017938,3,NA,NA,NA,540,24,960,0.24,1,72,24,18,437.719901,1111025,NA,0,23248
shading/stochastic_1plane_3stratum_bilinear,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,6666150,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,0.305051,0.388860,0.305444,-5.1977,1,0.01809258,0.01604053,202.6116,40.9080,true,2073600,9,0.000084,0.022287,material_shading,54,6,218.856641,+0.00017938,3,NA,NA,NA,540,24,960,0.24,1,24,24,18,437.719901,1111025,NA,0,23248
shading/biplanar_2plane_3stratum_bilinear,12,323.387341,603.565168,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,12,13332300,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,291.0712,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,0.304862,0.388453,0.305231,5.2415,2,0.01809258,0.01604053,305.0887,58.1229,true,2073600,9,0.000084,0.022287,material_shading,54,6,218.856641,+0.00017938,3,NA,NA,NA,540,24,960,0.24,1,48,24,18,437.719901,1111025,NA,0,23248
shading/stochastic_1plane_1stratum_bilinear,2,134.503617,251.035485,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,2,2222050,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,121.0626,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,0.305051,0.388860,0.305444,-53.5550,1,0.01809258,0.01604053,121.9281,28.8872,true,2073600,9,0.000084,0.022287,material_shading,54,6,218.856641,+0.00017938,1,NA,NA,NA,540,24,960,0.24,1,8,24,18,437.719901,1111025,NA,0,23248
shading/stf_3tap_3plane_3stratum_point,54,591.295515,1103.584870,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,54,59995350,stochastic_point,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,532.2072,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,0.305019,0.388948,0.305491,5.6303,3,0.01809258,0.01604053,565.5542,65.8178,false,2073600,9,0.000084,0.022287,material_shading,54,6,218.856641,+0.00017938,3,NA,NA,NA,540,24,960,0.24,3,54,24,18,437.719901,1111025,NA,0,23248
shading/stf_1tap_3plane_3stratum_point,18,453.690174,846.760374,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,18,19998450,stochastic_point,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,408.3528,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,0.305030,0.388956,0.305500,10.0100,3,0.01809258,0.01604053,424.4801,139.8271,false,2073600,9,0.000084,0.022287,material_shading,54,6,218.856641,+0.00017938,3,NA,NA,NA,540,24,960,0.24,1,18,24,18,437.719901,1111025,NA,0,23248
shading/stochastic_1plane_stf_1tap_point,6,201.422097,375.931109,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,6666150,stochastic_point,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,181.2939,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,0.305065,0.388874,0.305459,-7.8131,1,0.01809258,0.01604053,200.6508,21.6517,false,2073600,9,0.000084,0.022287,material_shading,54,6,218.856641,+0.00017938,3,NA,NA,NA,540,24,960,0.24,1,6,24,18,437.719901,1111025,NA,0,23248
shading/walls_concrete_3plane_1layer_bilinear,6,210.862965,393.551400,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,6666150,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,3.0,189.7914,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,0.620101,0.627328,0.627629,-6.3969,3,0.01809258,0.01604053,196.7501,32.9383,false,2073600,9,0.000084,0.022287,material_shading,54,6,218.856641,+0.00017938,1,NA,NA,NA,540,24,960,0.24,1,24,24,18,437.719901,1111025,NA,0,23248
shading/alu_and_call_only_control,0,253.505476,473.138728,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,18,19998450,none,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,228.1726,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,0.334749,0.302456,0.282641,0.0000,3,0.01809258,0.01604053,252.1820,93.1309,false,2073600,9,0.000084,0.022287,material_shading,54,6,218.856641,+0.00017938,3,NA,NA,NA,540,24,960,0.24,1,0,24,18,437.719901,1111025,NA,0,23248
taa/dig_at_feet_static/static/reference_3plane/window,6,218.856641,408.470674,66310,74793,0.00375816,0.00393754,8,12,323.387341,true,true,true,253.505476,-0.2662,+0.00013232,2.0000,2.1149,true,true,0.5000,0.5224,0.5463,4200,4200,0.0020,0.000019,0.010473,10.0100,6,NA,bilinear,100.617111,2.0554,0.999012,112.420904,18.736817,16.8644,-1.0,196.9862,NA,0.00366139,0.723133,0.5979,12762,NA,4133904,66310,0.01604053,0.00396742,0.00022583,0.00017371,0.00383510,0.00088446,0.00000179,0.00085509,0.00019595,2.0247,0.00009678,0.00374159,0.00366139,NA,NA,NA,NA,1,0.01809258,0.01604053,NA,NA,true,2073600,9,0.000084,0.022287,taa_resolve,54,6,218.856641,+0.00017938,3,reference_3plane,dig_at_feet_static,1,540,24,960,0.24,1,24,24,18,437.719901,1111025,static,0,23248
