# experiment P-77 (R-077)
# hypothesis: THE ONE MEASURED MITIGATION IN THIS AREA IS CHEAP AND THE PROBLEM IT MITIGATES HAS NEVER BEEN MEASURED UNDER DESTRUCTION. k-DOP clipping (10.1145/3681758.3697996) replaces TAA's axis-aligned neighbourhood clamp with a tighter k-discrete-oriented polytope at 0.2 ms overhead (GPU NOT NAMED IN THE ABSTRACT), and its framing is that prior bounding-box methods are 'only situationally effective'. Separately, Epic's account of virtual shadow maps in Fortnite says animated deformation invalidates shadow pages and that they ABANDONED CACHING FOR DIRECTIONAL SUN SHADOWS ENTIRELY -- with no invalidation cost published anywhere. This experiment measures the destruction half; P-79 measures the shadow half. (C1) In game_dig, the fraction of TAA history samples rejected in the frame after a brush stroke is at least 5x the steady-state rejection rate, and the elevated rate persists for at least 3 frames. (C2) k-DOP clipping recovers at least half the rejected samples at under 0.3 ms. (C3) The rejection is SPATIALLY CONCENTRATED at the brush, not global: over 80% of rejected samples fall within the brush's screen-space bounding box dilated by one dig radius. SHARE: C1 is a rate, not a ratio of a total; C2 moves the TAA resolve stage.
# falsified by: C1 by under 5x, or by a single-frame spike -- either means destruction is not a temporal problem, and this row and P-76's C2 close together. C2 by under half, which would mean the rejections are genuine disocclusions rather than clamp conservatism and no clipping scheme can help. C3 by under 80%, which would mean an edit disturbs the whole frame and a localised mitigation cannot work. VACUITY CONTROL: the steady-state arm must have a non-zero rejection rate, or the 5x ratio is division by a floor.
# commit a84f6c0 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-28T00:36:03Z
arm,stroke_rate_hz,steady_rejection_fraction,post_edit_rejection_fraction,ratio,frames_elevated,kdop_ms,kdop_recovered_fraction,rejected_in_brush_box,rejected_total,concentration_fraction,c1_holds,c2_holds,c3_holds,aabb_ms,albedo_detail,box_area_fraction,brushes_placed,c1_evaluable,camera_pitch_rad,camera_walk_units_per_s,camera_yaw_rad_per_s,clamp_ratio_dop_over_aabb,concentration_edit_attributable,control_rejected,control_rejected_in_box,control_rejection_fraction,cpu_mhz,fixture,frame_aabb_ms,frame_changed_outside_silhouette,frame_changed_pixels,frame_concentration_edit_attributable,frame_dop_ms,frame_extra_rejected_dop26_ycocg,frame_mean_clip_s_over_rejected,frame_mean_reproj_px,frame_offset,frame_recovered_dop26_rgb,frame_recovered_dop26_ycocg,frame_rejected,frame_rejected_aabb_rgb,frame_rejected_dop26_rgb,frame_rejected_dop26_ycocg,frame_rejected_half,frame_rejected_in_box,frame_rejection_fraction,height,held_button,kdop_ms_per_megapixel,kdop_recovered_fraction_rgb_axes,no_history,paired_frame_ratio,population,ratio_ceiling_from_footprint,taa_jitter,threads,width
dig_at_feet_walk/steady_window,12.5,0.86644885,0.86971703,1.0038,0,62.5451,0.00000000,39723,449842,0.088304,false,false,false,29.1773,true,0.09537014,1,true,-0.600,2.50,0.250,2.1436,NA,NA,NA,NA,4188,dig_at_feet_walk,359.0644,0,0,NA,0.0000,342587,0.566452,7.2424,NA,984128,0,5370840,2866658,4849837,5713427,2316505,565483,0.86644885,540,false,120.6502,0.17634858,19922,NA,6198681,1.0093,true,24,960
dig_at_feet_walk/post_edit_window,12.5,0.86644885,0.86971703,1.0038,0,62.5451,0.00000000,39723,449842,0.088304,false,false,false,29.1773,true,0.09537014,1,true,-0.600,2.50,0.250,2.1436,NA,5370840,565483,0.86644885,4188,dig_at_feet_walk,350.7382,0,60947,NA,0.0000,343727,0.565991,7.2391,NA,964579,0,5330899,2862574,4831806,5674626,2313979,525542,0.86000538,540,false,120.6502,0.17634858,19922,0.9926,6198681,1.0093,true,24,960
dig_at_feet_walk/frame_plus_0,12.5,0.86644885,0.86971703,1.0038,0,62.5451,0.00000000,39723,449842,0.088304,false,false,false,29.1773,true,0.09537014,1,true,-0.600,2.50,0.250,2.1436,NA,450140,40021,0.87029318,4188,dig_at_feet_walk,29.1773,0,4169,NA,62.5451,27441,0.557411,6.5065,0,79329,0,449842,242173,407830,477283,205995,39723,0.86971703,540,false,120.6502,0.17634858,993,0.9993,517228,1.0093,true,24,960
dig_at_feet_walk/frame_plus_1,12.5,0.86644885,0.86971703,1.0038,0,62.5451,0.00000000,39723,449842,0.088304,false,false,false,29.1773,true,0.09537014,1,true,-0.600,2.50,0.250,2.1436,NA,448827,41008,0.86967482,4188,dig_at_feet_walk,29.1180,0,4308,NA,62.6309,28055,0.562933,7.6660,1,80670,0,446317,237618,403606,474372,200944,38498,0.86481129,540,false,120.6502,0.17634858,2134,0.9944,516086,1.0093,true,24,960
dig_at_feet_walk/frame_plus_2,12.5,0.86644885,0.86971703,1.0038,0,62.5451,0.00000000,39723,449842,0.088304,false,false,false,29.1773,true,0.09537014,1,true,-0.600,2.50,0.250,2.1436,NA,449394,42124,0.86916175,4188,dig_at_feet_walk,29.1996,0,4485,NA,62.4831,27950,0.563802,6.9278,2,81628,0,446481,237823,402640,474431,199522,39211,0.86352779,540,false,120.6502,0.17634858,1178,0.9935,517043,1.0093,true,24,960
dig_at_feet_walk/frame_plus_3,12.5,0.86644885,0.86971703,1.0038,0,62.5451,0.00000000,39723,449842,0.088304,false,false,false,29.1773,true,0.09537014,1,true,-0.600,2.50,0.250,2.1436,NA,449072,43721,0.87017484,4188,dig_at_feet_walk,29.2011,0,4654,NA,62.3926,28043,0.565049,7.6768,3,81288,0,445898,239538,402452,473941,196927,40547,0.86402452,540,false,120.6502,0.17634858,2147,0.9929,516071,1.0093,true,24,960
dig_at_feet_walk/frame_plus_4,12.5,0.86644885,0.86971703,1.0038,0,62.5451,0.00000000,39723,449842,0.088304,false,false,false,29.1773,true,0.09537014,1,true,-0.600,2.50,0.250,2.1436,NA,448721,44851,0.86921679,4188,dig_at_feet_walk,29.2008,0,4746,NA,62.4560,27756,0.565326,7.3207,4,80417,0,445322,238969,402598,473078,195044,41452,0.86263259,540,false,120.6502,0.17634858,1982,0.9924,516236,1.0093,true,24,960
dig_at_feet_walk/frame_plus_5,12.5,0.86644885,0.86971703,1.0038,0,62.5451,0.00000000,39723,449842,0.088304,false,false,false,29.1773,true,0.09537014,1,true,-0.600,2.50,0.250,2.1436,NA,448246,46378,0.86696491,4188,dig_at_feet_walk,29.2353,0,4901,NA,62.5780,28287,0.565508,6.9370,5,79400,0,444680,237962,403711,472967,193939,42812,0.86006781,540,false,120.6502,0.17634858,1187,0.9920,517029,1.0093,true,24,960
dig_at_feet_walk/frame_plus_6,12.5,0.86644885,0.86971703,1.0038,0,62.5451,0.00000000,39723,449842,0.088304,false,false,false,29.1773,true,0.09537014,1,true,-0.600,2.50,0.250,2.1436,NA,447507,47589,0.86622082,4188,dig_at_feet_walk,29.3074,0,5080,NA,62.7260,28804,0.566692,7.2711,6,79183,0,443870,237142,403639,472674,191546,43952,0.85918083,540,false,120.6502,0.17634858,1594,0.9919,516620,1.0093,true,24,960
dig_at_feet_walk/frame_plus_7,12.5,0.86644885,0.86971703,1.0038,0,62.5451,0.00000000,39723,449842,0.088304,false,false,false,29.1773,true,0.09537014,1,true,-0.600,2.50,0.250,2.1436,NA,445766,48783,0.86379218,4188,dig_at_feet_walk,29.2933,0,5273,NA,62.7298,29565,0.567281,7.6867,7,80280,0,441897,236174,401575,471462,189305,44914,0.85629494,540,false,120.6502,0.17634858,2159,0.9913,516057,1.0093,true,24,960
dig_at_feet_walk/frame_plus_8,12.5,0.86644885,0.86971703,1.0038,0,62.5451,0.00000000,39723,449842,0.088304,false,false,false,29.1773,true,0.09537014,1,true,-0.600,2.50,0.250,2.1436,NA,446122,50367,0.86287351,4188,dig_at_feet_walk,29.2667,0,5486,NA,62.5379,29415,0.568092,6.9453,8,80068,0,442156,236755,402002,471571,187384,46401,0.85520261,540,false,120.6502,0.17634858,1194,0.9911,517019,1.0093,true,24,960
dig_at_feet_walk/frame_plus_9,12.5,0.86644885,0.86971703,1.0038,0,62.5451,0.00000000,39723,449842,0.088304,false,false,false,29.1773,true,0.09537014,1,true,-0.600,2.50,0.250,2.1436,NA,445519,51810,0.86331857,4188,dig_at_feet_walk,29.2920,0,5724,NA,62.4020,29269,0.568592,7.6924,9,79002,0,441424,238267,402175,470693,185840,47715,0.85538335,540,false,120.6502,0.17634858,2165,0.9908,516054,1.0093,true,24,960
dig_at_feet_walk/frame_plus_10,12.5,0.86644885,0.86971703,1.0038,0,62.5451,0.00000000,39723,449842,0.088304,false,false,false,29.1773,true,0.09537014,1,true,-0.600,2.50,0.250,2.1436,NA,446712,53598,0.86373568,4188,dig_at_feet_walk,29.2511,0,5984,NA,62.6044,29308,0.570523,6.5428,10,79828,0,442479,240498,402199,471787,184460,49365,0.85555100,540,false,120.6502,0.17634858,1029,0.9905,517186,1.0093,true,24,960
