# experiment P-78 (R-078)
# hypothesis: PROBE-BASED GI IS THE ONLY GI FAMILY THAT TOLERATES GEOMETRY CHANGING EVERY FRAME, AND ITS COST UNDER A DESTRUCTIBLE WORLD IS UNMEASURED. The best rigorous measurement available is a bachelor's thesis (Dell'Ova, BTH 2025, DOI UNVERIFIED) finding that 87-96% of radiance-cascade frame time is the GATHER pass -- cost is dominated by tracing the scene, not by the cascade structure. That matters because this crate can trace an SDF instead of a BVH, which is what P-74 measures. But the question a game asks first is how much of the cache a dig dirties, and the crate already owns the instrument: M-311's dirty-cell set and M-314's edit-proportionality decomposition. (C1) The probe invalidation set is EDIT-PROPORTIONAL, not volume-proportional: the number of probes whose visibility changes tracks the brush's dilated support with a constant factor under 4, across M-50's four edit-log buckets and three probe densities. (C2) Tracing the field beats tracing the extracted mesh for probe updates by at least 3x at equal ray count. (C3) A dig that opens a new air component -- M-311's union-find merge, the banked breakthrough event -- invalidates STRICTLY MORE probes than a dig of the same volume that does not. SHARE: C2 moves the gather pass, which the thesis puts at 87-96% of GI cost.
# falsified by: C1 by a factor above 4, or by a count that grows with world size at fixed edit size -- the second kills probe GI for this game outright and is worth knowing in an afternoon. C2 by under 3x. C3 by no difference, which would mean the topological event has no lighting signature and the banked breakthrough event cannot drive a lighting response. VACUITY CONTROL: the breakthrough arm must actually merge two air components, asserted from the union-find rather than assumed from the brush.
# commit 1610af0 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-28T00:37:00Z
log_bucket,probe_density,world_cells,brush_support_cells,probes_invalidated,invalidation_factor,gather_ms_field,gather_ms_mesh,gather_speedup,breakthrough,air_components_before,air_components_after,probes_invalidated_breakthrough,c1_holds,c2_holds,c3_holds,bvh_build_ms,cpu_mhz,dirs_per_probe,dug_samples,dug_samples_other_arm,edit_brush_radius_cells,edit_center,extract_ms,factor_ceiling,factor_ceiling_literal,hit_agree_frac,hit_frac_field,hit_frac_mesh,hit_median_delta_cells,hit_tol_cells,invalidated_volume_cells,invalidation_factor_literal,log_brushes,main_component_samples,max_steps,mean_steps_per_ray,merges,mesh_tris,pocket_air_samples,pocket_connected_after,pocket_connected_before,probe_spacing_cells,probes_air_before,probes_born,probes_in_support_actual,probes_in_support_expected,probes_invalidated_control,probes_live,probes_total,rays_field,rays_mesh,relabels,steps_before_gather,unresolved_frac_field,value_changed_cells_in_region,world_cells_per_axis
1-15,0.125000,32768,359,227,5.058496,62.0742,22.0167,0.354683,yes,2,1,227,false,false,true,6.226,4102.2,32,171,171,4.00,17.41_16.00_23.88,4.769,91.2758,11.4095,0.9835,0.9866,0.9969,0.0561,0.500,1816,0.632312,8,8959,96,26.38,2,19316,515,true,false,2,1293,23,29,44.8750,141,1316,4096,42112,42112,857,1088205,0.0134,547,32
1-15,0.125000,32768,286,141,3.944056,52.7817,21.7019,0.411164,no,2,2,227,true,false,true,6.000,4102.2,32,171,171,4.00,6.26_6.12_14.10,4.700,114.5734,14.3217,0.9837,0.9866,0.9971,0.0572,0.500,1128,0.493007,8,8959,96,26.28,1,19392,515,false,false,2,1293,21,22,35.7500,141,1314,4096,42048,42048,342,1088205,0.0134,625,32
1-15,0.015625,32768,359,23,4.100279,4.2271,1.9636,0.464540,yes,2,1,23,false,false,true,6.226,4102.2,32,171,171,4.00,17.41_16.00_23.88,4.769,91.2758,1.4262,0.9898,0.9920,0.9977,0.0522,0.500,1472,0.064067,8,8959,96,25.15,2,19316,515,true,false,4,106,4,4,5.6094,15,110,512,3520,3520,857,84534,0.0080,547,32
1-15,0.015625,32768,286,15,3.356643,4.1675,1.9030,0.456637,no,2,2,23,true,false,true,6.000,4102.2,32,171,171,4.00,6.26_6.12_14.10,4.700,114.5734,1.7902,0.9913,0.9928,0.9986,0.0549,0.500,960,0.052448,8,8959,96,25.25,1,19392,515,false,false,4,106,2,1,4.4688,15,108,512,3456,3456,342,84534,0.0072,625,32
1-15,0.001953,32768,359,5,7.130919,1.3056,0.4633,0.354847,yes,2,1,5,false,false,true,6.226,4102.2,32,171,171,4.00,17.41_16.00_23.88,4.769,91.2758,0.1783,0.9859,0.9859,1.0000,0.0508,0.500,2560,0.013928,8,8959,96,27.63,2,19316,515,true,false,8,31,0,0,0.7012,4,31,64,992,992,857,27267,0.0141,547,32
1-15,0.001953,32768,286,4,7.160839,1.3098,0.4743,0.362142,no,2,2,5,false,false,true,6.000,4102.2,32,171,171,4.00,6.26_6.12_14.10,4.700,114.5734,0.2238,0.9859,0.9859,1.0000,0.0521,0.500,2048,0.013986,8,8959,96,27.64,1,19392,515,false,false,8,31,0,1,0.5586,4,31,64,992,992,342,27267,0.0141,625,32
16-30,0.125000,32768,360,271,6.022222,85.3383,22.6843,0.265816,yes,2,1,271,false,false,true,5.891,4102.2,32,171,171,4.00,17.41_16.00_23.88,7.890,91.0222,11.3778,0.9842,0.9871,0.9970,0.0652,0.500,2168,0.752778,23,9370,96,26.60,2,19276,515,true,false,2,1342,23,29,45.0000,141,1365,4096,43680,43680,857,1138515,0.0129,547,32
16-30,0.125000,32768,286,141,3.944056,84.5906,22.5308,0.266351,no,2,2,271,true,false,true,5.773,4102.2,32,171,171,4.00,6.26_6.12_14.10,7.626,114.5734,14.3217,0.9842,0.9870,0.9972,0.0658,0.500,1128,0.493007,23,9370,96,26.49,1,19352,515,false,false,2,1342,21,22,35.7500,141,1363,4096,43616,43616,342,1138515,0.0130,625,32
16-30,0.015625,32768,360,26,4.622222,6.9097,2.5103,0.363293,yes,2,1,26,false,false,true,5.891,4102.2,32,171,171,4.00,17.41_16.00_23.88,7.890,91.0222,1.4222,0.9906,0.9927,0.9978,0.0581,0.500,1664,0.072222,23,9370,96,25.44,2,19276,515,true,false,4,112,4,4,5.6250,15,116,512,3712,3712,857,90401,0.0073,547,32
16-30,0.015625,32768,286,15,3.356643,13.8988,2.4436,0.175812,no,2,2,26,true,false,true,5.773,4102.2,32,171,171,4.00,6.26_6.12_14.10,7.626,114.5734,1.7902,0.9921,0.9934,0.9986,0.0595,0.500,960,0.052448,23,9370,96,25.53,1,19352,515,false,false,4,112,2,1,4.4688,15,114,512,3648,3648,342,90401,0.0066,625,32
16-30,0.001953,32768,360,5,7.111111,4.1036,0.5852,0.142597,yes,2,1,5,false,false,true,5.891,4102.2,32,171,171,4.00,17.41_16.00_23.88,7.890,91.0222,0.1778,0.9869,0.9869,1.0000,0.0565,0.500,2560,0.013889,23,9370,96,27.73,2,19276,515,true,false,8,31,0,0,0.7031,4,31,64,992,992,857,27372,0.0131,547,32
16-30,0.001953,32768,286,4,7.160839,4.1071,0.5947,0.144798,no,2,2,5,false,false,true,5.773,4102.2,32,171,171,4.00,6.26_6.12_14.10,7.626,114.5734,0.2238,0.9869,0.9869,1.0000,0.0566,0.500,2048,0.013986,23,9370,96,27.75,1,19352,515,false,false,8,31,0,1,0.5586,4,31,64,992,992,342,27372,0.0131,625,32
31-45,0.125000,32768,360,301,6.688889,121.0029,23.9962,0.198311,yes,2,1,301,false,false,true,8.083,4102.2,32,171,171,4.00,17.41_16.00_23.88,20.562,91.0222,11.3778,0.9846,0.9874,0.9972,0.0726,0.500,2408,0.836111,38,9759,96,26.73,2,19164,515,true,false,2,1397,23,29,45.0000,147,1420,4096,45440,45440,857,1190846,0.0126,547,32
31-45,0.125000,32768,286,147,4.111888,122.8744,28.1052,0.228731,no,2,2,301,false,false,true,7.841,4102.2,32,171,171,4.00,6.26_6.12_14.10,20.235,114.5734,14.3217,0.9848,0.9875,0.9973,0.0736,0.500,1176,0.513986,38,9759,96,26.61,1,19240,515,false,false,2,1397,21,22,35.7500,147,1418,4096,45376,45376,342,1190846,0.0125,625,32
