# experiment P-79 (R-079)
# hypothesis: EPIC'S OWN ANSWER TO DEFORMING GEOMETRY WAS TO STOP CACHING. The Fortnite virtual-shadow-map write-up gives exactly one quantitative figure -- a light-loop optimisation from 1.56 ms to 1.08 ms -- and describes invalidation qualitatively: sun movement causes 'quite significant shadow page table changes frame to frame', animated deformation invalidates pages, and directional sun shadows were left uncached. FOR A WORLD WHERE THE GEOMETRY IS BEING DUG AWAY THAT IS THE RELEVANT PRECEDENT AND THE NUMBER IS MISSING FROM THE LITERATURE ENTIRELY. (C1) In game_dig with a cached shadow atlas, one brush stroke invalidates a page count proportional to the brush's PROJECTED area from the light, with a constant under 3 -- not to the brush volume and not to the scene. (C2) Invalidating only the pages the brush's light-space bounding volume touches produces a PIXEL- IDENTICAL shadow to a full re-render, on all eight reference fields. (C3) The saving is worth having: cached-with-invalidation beats uncached by at least 2x in shadow cost under a continuous dig at game_dig's throttled 12.5 strokes per second. SHARE: C3 moves the shadow rendering stage only.
# falsified by: C1 by a constant above 3, or by scene-proportional invalidation. C2 by any pixel difference, which would mean the conservative bound is wrong and localised invalidation is unsound. C3 by under 2x, which vindicates Epic's decision and closes the direction with a number they did not publish. VACUITY CONTROL: the light must be positioned so the brush casts a shadow into the visible frame, asserted by a non-zero changed-pixel count on the full-re-render arm.
# commit 02ffe13 on amd-ryzen-9-5900x-12-core at 2026-08-28T00:52:03Z
field,light_direction,brush_volume_cells,brush_projected_area,pages_invalidated,invalidation_constant,changed_pixels_full,changed_pixels_localised,shadow_ms_cached,shadow_ms_uncached,stroke_rate_hz,c1_holds,c2_holds,c3_holds,arm,arm_index,brush_projected_area_pages,brush_radius_cells,brush_radius_world,buried_clearance_cells,cell_size_world,changed_pixels_outside_dilated_disc,changed_pixels_outside_sound_disc,changed_pixels_outside_tight_disc,cpu_mhz,excess_in_cell_diagonals,frame_covered_texels,invalidation_constant_sound,invalidation_constant_tight,light_dx,light_dy,light_dz,max_change_excess_cells,page_cells,page_texels,pages_fraction,pages_invalidated_sound,pages_invalidated_tight,pages_per_projected_area_cell,pages_per_volume_cell,pages_total,pixel_diff_localised_vs_full,pixel_diff_sound,ratio_per_stroke,ratio_per_stroke_sound,shadow_ms_full_pass,shadow_ms_localised_pass,shadow_ms_sound_pass,shadow_texels,sound_dilate_cells,texel_size_world,texels_per_cell,triangles_base,triangles_dug
sphere,overhead,33.5103,12.5664,16,5.0930,1904,1904,2.18478,17.25204,12.5,false,true,true,dig,0,3.141593,2.0000,0.125000,0.0000,0.062500,156,0,1107,4197.4,0.8878,51424,11.4592,2.8648,0.000000,-1.000000,0.000000,1.5377,2.0000,16,0.00510204,36,9,1.273240,0.477465,3136,0,0,7.8965,5.8436,1.38016,0.17478,0.23618,896,3.4641,0.007812,8,9512,9544
sphere,overhead,33.5103,12.5664,4,5.0930,1904,1904,2.20389,17.25204,12.5,false,true,true,dig,0,0.785398,2.0000,0.125000,0.0000,0.062500,156,0,1107,4197.4,0.8878,51424,20.3718,5.0930,0.000000,-1.000000,0.000000,1.5377,4.0000,32,0.00510204,16,4,0.318310,0.119366,784,0,0,7.8280,4.4233,1.38016,0.17631,0.31202,896,3.4641,0.007812,8,9512,9544
sphere,overhead,33.5103,12.5664,4,20.3718,1904,1904,3.78804,17.25204,12.5,false,true,true,dig,0,0.196350,2.0000,0.125000,0.0000,0.062500,156,0,1107,4197.4,0.8878,51424,20.3718,20.3718,0.000000,-1.000000,0.000000,1.5377,8.0000,64,0.02040816,4,4,0.318310,0.119366,196,0,0,4.5543,4.3054,1.38016,0.30304,0.32056,896,3.4641,0.007812,8,9512,9544
sphere,overhead,33.5103,12.5664,1,20.3718,1904,1904,3.74591,17.25204,12.5,false,true,true,dig,0,0.049087,2.0000,0.125000,0.0000,0.062500,156,0,1107,4197.4,0.8878,51424,20.3718,20.3718,0.000000,-1.000000,0.000000,1.5377,16.0000,128,0.02040816,1,1,0.079577,0.029842,49,0,0,4.6056,4.6270,1.38016,0.29967,0.29828,896,3.4641,0.007812,8,9512,9544
sphere,overhead,2144.6606,201.0619,100,1.9894,15552,15552,6.32319,17.32979,12.5,true,true,true,dig,1,50.265482,8.0000,0.500000,0.0000,0.062500,158,0,2699,4197.4,0.7668,51424,2.8648,1.6114,0.000000,-1.000000,0.000000,1.3282,2.0000,16,0.03188776,144,81,0.497359,0.046627,3136,0,0,2.7407,1.7994,1.38638,0.50586,0.77047,896,3.4641,0.007812,8,9512,9784
sphere,overhead,2144.6606,201.0619,36,2.8648,15552,15552,9.63397,17.32979,12.5,true,true,false,dig,1,12.566371,8.0000,0.500000,0.0000,0.062500,158,0,2699,4197.4,0.7668,51424,2.8648,1.9894,0.000000,-1.000000,0.000000,1.3282,4.0000,32,0.04591837,36,25,0.179049,0.016786,784,0,0,1.7988,1.7978,1.38638,0.77072,0.77117,896,3.4641,0.007812,8,9512,9784
sphere,overhead,2144.6606,201.0619,16,5.0930,15552,15552,15.79928,17.32979,12.5,false,true,false,dig,1,3.141593,8.0000,0.500000,0.0000,0.062500,158,0,2699,4197.4,0.7668,51424,5.0930,2.8648,0.000000,-1.000000,0.000000,1.3282,8.0000,64,0.08163265,16,9,0.079577,0.007460,196,0,0,1.0969,1.0995,1.38638,1.26394,1.26091,896,3.4641,0.007812,8,9512,9784
sphere,overhead,2144.6606,201.0619,9,11.4592,15552,15552,16.81641,17.32979,12.5,false,true,false,dig,1,0.785398,8.0000,0.500000,0.0000,0.062500,158,0,2699,4197.4,0.7668,51424,11.4592,5.0930,0.000000,-1.000000,0.000000,1.3282,16.0000,128,0.18367347,9,4,0.044762,0.004196,49,0,0,1.0305,1.0855,1.38638,1.34531,1.27719,896,3.4641,0.007812,8,9512,9784
sphere,overhead,17157.2847,804.2477,324,1.6114,41190,41190,15.02164,16.46227,12.5,true,true,false,dig,2,201.061930,16.0000,1.000000,0.0000,0.062500,0,0,0,4197.4,-0.6350,51424,1.9894,1.4374,0.000000,-1.000000,0.000000,-1.0998,2.0000,16,0.10331633,400,289,0.402861,0.018884,3136,0,0,1.0959,1.0906,1.31698,1.20173,1.20759,896,3.4641,0.007812,8,9512,9304
sphere,overhead,17157.2847,804.2477,100,1.9894,41190,41190,15.06201,16.46227,12.5,true,true,false,dig,2,50.265482,16.0000,1.000000,0.0000,0.062500,0,0,0,4197.4,-0.6350,51424,1.9894,1.6114,0.000000,-1.000000,0.000000,-1.0998,4.0000,32,0.12755102,100,81,0.124340,0.005828,784,0,0,1.0930,1.0906,1.31698,1.20496,1.20760,896,3.4641,0.007812,8,9512,9304
sphere,overhead,17157.2847,804.2477,36,2.8648,41190,41190,15.13140,16.46227,12.5,true,true,false,dig,2,12.566371,16.0000,1.000000,0.0000,0.062500,0,0,0,4197.4,-0.6350,51424,2.8648,1.9894,0.000000,-1.000000,0.000000,-1.0998,8.0000,64,0.18367347,36,25,0.044762,0.002098,196,0,0,1.0880,1.0888,1.31698,1.21051,1.20958,896,3.4641,0.007812,8,9512,9304
sphere,overhead,17157.2847,804.2477,9,2.8648,41190,41190,15.14602,16.46227,12.5,true,true,false,dig,2,3.141593,16.0000,1.000000,0.0000,0.062500,0,0,0,4197.4,-0.6350,51424,2.8648,2.8648,0.000000,-1.000000,0.000000,-1.0998,16.0000,128,0.18367347,9,9,0.011191,0.000525,49,0,0,1.0869,1.0860,1.31698,1.21168,1.21267,896,3.4641,0.007812,8,9512,9304
sphere,overhead,33.5103,12.5664,1,20.3718,0,0,4.17329,16.95966,12.5,false,true,true,buried_control,3,0.049087,2.0000,0.125000,15.9115,0.062500,0,0,0,4197.4,-inf,51424,20.3718,20.3718,0.000000,-1.000000,0.000000,-inf,16.0000,128,0.02040816,1,1,0.079577,0.029842,49,0,0,4.0639,4.3283,1.35677,0.33386,0.31346,896,3.4641,0.007812,8,9512,9640
sphere,low_45,33.5103,12.5664,16,5.0930,1609,1609,2.47740,21.45907,12.5,false,true,true,dig,0,3.141593,2.0000,0.125000,0.0000,0.062500,52,0,813,4197.4,0.7669,51404,11.4592,2.8648,0.707107,-0.707107,0.000000,1.3284,2.0000,16,0.00510204,36,9,1.273240,0.477465,3136,0,0,8.6619,5.6284,1.71673,0.19819,0.30501,896,3.4641,0.007812,8,9512,9536
sphere,low_45,33.5103,12.5664,4,5.0930,1609,1609,2.39078,21.45907,12.5,false,true,true,dig,0,0.785398,2.0000,0.125000,0.0000,0.062500,52,0,813,4197.4,0.7669,51404,20.3718,5.0930,0.707107,-0.707107,0.000000,1.3284,4.0000,32,0.00510204,16,4,0.318310,0.119366,784,0,0,8.9758,3.6210,1.71673,0.19126,0.47410,896,3.4641,0.007812,8,9512,9536
sphere,low_45,33.5103,12.5664,4,20.3718,1609,1609,5.86930,21.45907,12.5,false,true,true,dig,0,0.196350,2.0000,0.125000,0.0000,0.062500,52,0,813,4197.4,0.7669,51404,20.3718,20.3718,0.707107,-0.707107,0.000000,1.3284,8.0000,64,0.02040816,4,4,0.318310,0.119366,196,0,0,3.6562,3.6649,1.71673,0.46954,0.46842,896,3.4641,0.007812,8,9512,9536
sphere,low_45,33.5103,12.5664,1,20.3718,1609,1609,5.83219,21.45907,12.5,false,true,true,dig,0,0.049087,2.0000,0.125000,0.0000,0.062500,52,0,813,4197.4,0.7669,51404,20.3718,20.3718,0.707107,-0.707107,0.000000,1.3284,16.0000,128,0.02040816,1,1,0.079577,0.029842,49,0,0,3.6794,3.6578,1.71673,0.46658,0.46933,896,3.4641,0.007812,8,9512,9536
sphere,low_45,2144.6606,201.0619,100,1.9894,14895,14895,9.12808,21.89684,12.5,true,true,true,dig,1,50.265482,8.0000,0.500000,0.0000,0.062500,112,0,2043,4197.4,1.0127,51404,2.8648,1.6114,0.707107,-0.707107,0.000000,1.7540,2.0000,16,0.03188776,144,81,0.497359,0.046627,3136,0,0,2.3988,1.6573,1.75175,0.73025,1.05699,896,3.4641,0.007812,8,9512,9748
