# experiment P-80 (R-080)
# hypothesis: M-72 IS THE FINDING THIS IS BUILT ON AND NOBODY HAS EXPLOITED IT. Sub-cell features do not vanish under coarsening, they ALIAS -- thin_plate goes 4,088 to 1,016 to 248 to 56 triangles across LOD 0-3 -- and the dossier's response is to make the disappearance authorable. There is a second response: the difference between the fine surface and the coarse one is a VECTOR FIELD THIS CRATE CAN EVALUATE, because it owns the analytic field at both scales. Bake it into a tangent-space normal map per coarse chunk and the geometry fades while the shading does not. The sweep found NO MEASURED STUDY of normal-mapping detail onto a coarse isosurface at all. (C1) For each coarse-LOD vertex, the direction from the coarse surface to the nearest fine-surface point is computable from the field alone -- one gradient and one root refinement, no fine mesh -- and agrees with the true nearest point to within 0.1 cells on 95% of vertices at LOD 1 and 2. (C2) A normal map baked from that residual reduces perceived detail loss: mean angular difference between LOD-2 shading-with-map and LOD-0 shading is under 10 degrees on fbm_terrain, against over 25 degrees for LOD-2 without. (C3) WHERE IT MUST FAIL, STATED IN ADVANCE: it cannot work on thin_plate or gyroid at LOD 3, because a normal map cannot restore a SILHOUETTE and both fields lose topology rather than curvature -- predicted above 25 degrees on both, with the map. SHARE: C2 moves the shading half of the LOD budget only; triangle counts are unchanged by construction.
# falsified by: C1 by under 95%, or by an error that grows with LOD level faster than the cell size. C2 by over 10 degrees with the map, or under 25 without -- the second would mean coarsening does not cost shading detail on this field and the premise is wrong for terrain. C3 by the map working on thin_plate or gyroid at LOD 3, which would be a much stronger result than the row claims and would need explaining. VACUITY CONTROL: the LOD-0 reference must differ from LOD-2 by more than 25 degrees somewhere, reported as a changed-vertex count, or C2 is comparing two identical shadings.
# commit ec31985 on amd-ryzen-9-5900x-12-core at 2026-08-28T00:52:11Z
field,lod_level,coarse_vertices,residual_agree_fraction,residual_p95_cells,angle_lod0_vs_lod2_no_map,angle_lod0_vs_lod2_with_map,changed_vertices,bake_ms,map_bytes_per_chunk,c1_holds,c2_holds,c3_holds,analytic_unreached,analytic_vertices,angle_deep_deg,angle_direct_deg,angle_no_map_at_vertices_deg,angle_no_map_deg,angle_with_map_at_vertices_deg,angle_with_map_deg,angle_with_map_vs_analytic_deg,bake_field_gradients,bake_field_samples,bake_us_per_texel_written,c1_registered_row,c2_registered_row,c3_registered_row,cell_size,changed_coarse_mesh_vertices,changed_fraction,closed_form,closed_form_analytic_err_cells,closed_form_pred_err_cells,closed_form_ref_err_cells,coarse_triangles,cpu_mhz,degenerate_samples,fetch_misses,hemisphere_clamped_texels,lod0_cell_size,lod0_mesh_bytes,lod0_self_angle_deg,lod0_triangles,lod0_vertices,map_perturbation_deg,map_texel_conflicts,map_texels_dilated,map_texels_total,map_texels_written,mesh_vs_analytic_p95_cells,reference_normal_missing,residual_agree_fraction_analytic,residual_max_cells,residual_mean_cells,residual_p95_analytic_cells,residual_p95_world,shading_samples,sub_samples_per_triangle,zero_gradient_texels,zero_gradient_vertices
sphere,1,1158,1.000000,0.003351,0.0032,0.0032,0,0.7728,24576,true,false,false,0,290,0.0032,0.0032,0.0010,0.0032,0.0010,0.0032,0.0032,3008,1504,0.5802,true,false,false,0.12500000,0,0.000000,sphere,0.000076,0.000000,0.007206,2312,4199,0,0,0,0.06250000,228336,0.0001,9512,4758,0.0000,172,228,12288,1332,0.003352,0,1.000000,0.003603,0.001623,0.000002,0.00041894,36992,16,0,0
sphere,2,270,1.000000,0.002124,0.0136,0.0136,0,0.4344,24576,true,false,false,0,270,0.0123,0.0123,0.0055,0.0136,0.0055,0.0136,0.0136,2768,1384,0.3383,true,false,false,0.25000000,0,0.000000,sphere,0.000065,0.000000,0.008494,536,4200,0,0,0,0.06250000,228336,0.0001,9512,4758,0.0000,100,216,12288,1284,0.002124,0,1.000000,0.002124,0.001116,0.000005,0.00053089,8576,16,0,0
sphere,3,54,1.000000,0.000963,0.1010,0.1010,0,0.2492,24576,true,false,false,0,54,0.0699,0.0699,0.0131,0.1010,0.0131,0.1010,0.1010,2472,1236,0.2056,false,false,false,0.50000000,0,0.000000,sphere,0.000090,0.000000,0.007706,104,4199,0,0,0,0.06250000,228336,0.0001,9512,4758,0.0000,24,216,12288,1212,0.000965,0,1.000000,0.000963,0.000824,0.000009,0.00048165,1664,16,0,0
torus,1,1128,1.000000,0.009969,0.1963,0.2314,0,0.7982,24576,true,false,false,0,282,0.0778,0.0778,0.0109,0.1963,0.1626,0.2314,0.2390,2326,1163,0.7810,true,false,false,0.12500000,0,0.000000,torus,0.000174,0.000000,0.024148,2256,4197,0,0,0,0.06250000,201984,0.0568,8416,4208,0.1784,141,316,12288,1022,0.010341,0,1.000000,0.012074,0.003236,0.000008,0.00124613,36096,16,0,0
torus,2,328,1.000000,0.007722,0.9190,0.7839,0,0.4739,24576,true,false,false,0,328,0.2448,0.2448,0.0889,0.9190,0.4955,0.7839,0.7891,2106,1053,0.4826,true,false,false,0.25000000,0,0.000000,torus,0.001241,0.000000,0.032877,656,4200,0,0,0,0.06250000,201984,0.0645,8416,4208,0.7843,71,308,12288,982,0.007726,0,1.000000,0.008219,0.003511,0.000019,0.00193046,10496,16,0,0
torus,3,64,1.000000,0.004178,6.7165,4.6990,0,0.2630,24576,true,false,false,0,64,0.7936,0.7936,0.1170,6.7165,0.9786,4.6990,4.7067,1380,690,0.3891,false,false,false,0.50000000,0,0.000000,torus,0.000313,0.000000,0.033421,128,4200,0,0,0,0.06250000,201984,0.0572,8416,4208,5.2725,14,328,12288,676,0.004180,0,1.000000,0.004178,0.001809,0.000019,0.00208881,2048,16,0,0
box_exact,1,1350,1.000000,0.000000,2.2400,2.5035,1344,0.5131,24576,true,false,false,0,270,1.2023,1.2023,0.0000,2.2400,2.3569,2.5035,3.0382,5400,2700,0.1900,true,false,false,0.12500000,0,0.031157,box,0.000000,0.000000,0.000000,2696,4200,0,0,0,0.06250000,276720,1.2023,11528,5766,3.0906,0,360,12288,2700,0.000000,0,1.000000,0.000000,0.000000,0.000000,0.00000000,43136,16,0,0
box_exact,2,294,1.000000,0.000000,6.7772,4.0356,1232,0.3610,24576,true,false,false,0,294,0.1200,0.1200,0.0000,6.7772,2.1610,4.0356,4.0356,4680,2340,0.1543,true,false,false,0.25000000,0,0.131849,box,0.000000,0.000000,0.000000,584,4200,0,0,0,0.06250000,276720,0.0000,11528,5766,6.6077,0,324,12288,2340,0.000000,0,1.000000,0.000000,0.000000,0.000000,0.00000000,9344,16,0,0
box_exact,3,54,1.000000,0.000000,13.3639,7.6439,464,0.2760,24576,true,false,false,0,54,1.3517,1.3517,0.0000,13.3639,2.0078,7.6439,7.6439,3336,1668,0.1655,false,false,false,0.50000000,0,0.278846,box,0.000000,0.000000,0.000000,104,4200,0,0,0,0.06250000,276720,0.0000,11528,5766,13.1804,0,264,12288,1668,0.000000,0,1.000000,0.000000,0.000000,0.000000,0.00000000,1664,16,0,0
csg_difference,1,1386,1.000000,0.002417,2.7585,2.9650,1775,0.6060,24576,true,false,false,0,278,1.3044,1.3044,0.0004,2.7585,2.3249,2.9650,3.5818,5566,2783,0.2245,true,false,false,0.12500000,0,0.040079,none,-1.000000,-1.000000,-1.000000,2768,4200,0,0,0,0.06250000,288528,1.2980,12020,6012,3.1094,83,360,12288,2700,0.002348,0,1.000000,0.005049,0.000291,0.000001,0.00030211,44288,16,0,0
csg_difference,2,294,1.000000,0.001556,8.0241,5.2037,1420,0.4126,24576,true,false,false,0,294,0.2452,0.2452,0.0013,8.0241,2.2121,5.2037,5.2037,4942,2471,0.1763,true,false,false,0.25000000,0,0.151969,none,-1.000000,-1.000000,-1.000000,584,4200,0,0,0,0.06250000,288528,0.0000,12020,6012,6.9253,131,324,12288,2340,0.001556,0,1.000000,0.003621,0.000193,0.000003,0.00038891,9344,16,0,0
csg_difference,3,54,1.000000,0.003625,16.7549,10.7113,525,0.3121,24576,true,false,false,0,54,1.4511,1.4511,0.0128,16.7549,2.2088,10.7113,10.7113,3570,1785,0.1871,false,false,false,0.50000000,0,0.315505,none,-1.000000,-1.000000,-1.000000,104,4200,0,0,0,0.06250000,288528,0.0000,12020,6012,13.1073,117,264,12288,1668,0.003624,0,1.000000,0.003625,0.000410,0.000011,0.00181235,1664,16,0,0
thin_plate,1,510,1.000000,0.000000,5.2236,5.0340,1888,0.2221,24576,true,false,false,0,510,3.3179,3.3179,0.0000,5.2236,2.0796,5.0340,8.0238,1800,900,0.2468,true,false,false,0.12500000,0,0.116142,box,0.000000,0.000000,0.000000,1016,4198,0,1876,0,0.06250000,98160,3.3179,4088,2046,2.1030,0,120,12288,900,0.000000,0,1.000000,0.000000,0.000000,0.000000,0.00000000,16256,16,0,0
thin_plate,2,126,1.000000,0.000000,14.6708,12.9670,1072,0.1703,24576,true,false,false,0,126,4.6195,4.6195,0.0000,14.6708,1.6808,12.9670,17.5857,1560,780,0.2184,true,false,false,0.25000000,0,0.270161,box,0.000000,0.000000,0.000000,248,4200,0,852,0,0.06250000,98160,4.6195,4088,2046,4.0474,0,108,12288,780,0.000000,0,1.000000,0.000000,0.000000,0.000000,0.00000000,3968,16,0,0
thin_plate,3,30,1.000000,0.000000,31.8671,28.6007,496,0.1396,24576,true,false,true,0,30,2.0650,2.0650,0.0000,31.8671,1.2047,28.6007,30.6657,1112,556,0.2511,false,false,true,0.50000000,0,0.553571,box,0.000000,0.000000,0.000000,56,4199,0,340,0,0.06250000,98160,2.0650,4088,2046,6.9729,0,88,12288,556,0.000000,0,1.000000,0.000000,0.000000,0.000000,0.00000000,896,16,0,0
gyroid,1,5292,0.989607,0.006241,2.7464,3.8591,5492,4.5406,24576,true,false,false,0,265,1.6625,1.6625,0.6777,2.7464,2.9808,3.8591,4.1610,13840,6920,1.0686,true,false,false,0.43750000,39,0.032297,none,-1.000000,-1.000000,-1.000000,10632,4200,64,32,13,0.21875000,1034208,1.1805,43116,21534,2.7138,2671,1088,12288,4249,0.009842,0,0.992453,0.397257,0.004475,0.000034,0.00273036,170048,16,0,0
gyroid,2,1260,0.995238,0.005461,6.8142,7.5040,3259,2.9043,24576,true,false,false,0,315,2.5628,2.5630,1.0612,6.8142,4.0953,7.5040,7.6434,12852,6426,0.7159,true,false,false,0.87500000,9,0.080445,none,-1.000000,-1.000000,-1.000000,2536,4200,64,11,34,0.21875000,1034208,0.6413,43116,21534,5.6395,2369,1054,12288,4057,0.005586,0,0.996825,0.481225,0.004514,0.000297,0.00477878,40512,16,0,0
gyroid,3,282,0.978723,0.027701,14.8487,13.2206,1548,2.0191,24576,true,false,false,0,282,4.2816,4.2840,3.1989,14.8487,6.6830,13.2206,13.2418,11236,5618,0.5648,false,false,true,1.75000000,9,0.175272,none,-1.000000,-1.000000,-1.000000,556,4200,64,1,63,0.21875000,1034208,0.3040,43116,21534,11.1591,2043,938,12288,3575,0.013173,0,0.978723,0.228781,0.008333,0.015210,0.04847651,8832,16,0,0
fbm_terrain,1,2069,0.990817,0.057262,14.1352,10.1562,7210,3.6765,24576,true,false,false,0,259,8.7636,8.8247,1.4816,14.1352,9.5311,10.1562,10.2908,8566,4283,0.9319,true,false,false,0.50000000,4,0.114198,none,-1.000000,-1.000000,-1.000000,3946,4200,0,112,0,0.25000000,409920,8.1923,16884,8638,14.0737,338,846,12288,3945,0.049554,0,1.000000,0.261961,0.013204,0.008005,0.02863115,63136,16,0,0
