# experiment P-82 (R-082)
# hypothesis: A DIGGER IS THE FASTEST THING IN THE GAME AND THE WALL IN FRONT OF IT IS GETTING THINNER EVERY FRAME. That is the exact configuration discrete collision cannot survive, and there is now a CPU-only measured answer: Pelletier-Guenette, Mercier-Aubin and Andrews, 10.1145/3747862 (SCA 2025) -- spatio-temporal local optimisation for first time of impact, a modified Frank-Wolfe with golden-section search over barycentric coordinates AND TIME, with adaptive triangle subdivision giving multiple contacts per triangle. Intel i9, single CPU thread, CPU-only: an 888-triangle shuriken at 0.4 ms total, 11.13 microseconds mean per triangle; 100K triangles at 0.96 microseconds per triangle. It beats Macklin 2020's discrete detection on all their tests -- SELF-ADJUDICATED, since no standard triangle-SDF CCD benchmark exists, and that is stated here rather than discovered. (C1) At the speed a game_dig projectile travels, the discrete path tunnels through a wall of thickness t below v*dt and the CCD path does not, over 10^4 randomised shots at a wall swept from 2 cells down to t/h = 0.05 (subgrid's floor, M-95). (C2) Cost per moving element stays under 25 microseconds and is LINEAR in element count. (C3) A capsule approximated by 8 swept spheres reaches the same first-time-of-impact as a 200-triangle capsule mesh, to within one cell, at 10x less cost. SHARE: C2 moves a single dynamic body's collision budget, not the whole frame.
# falsified by: C1 by the discrete path not tunnelling, which would mean the game's speeds are below the threshold and this is premature. C2 by superlinear cost, or above 25 microseconds. C3 by a disagreement above one cell, which would mean the proxy is too coarse and the cheap version of this does not exist. VACUITY CONTROL: the discrete arm must tunnel at least once, reported as a count, or C1 is comparing two methods that both work.
# commit e740138 on amd-ryzen-9-5900x-12-core at 2026-08-28T00:53:32Z
wall_thickness_cells,speed_cells_per_step,shots,tunnels_discrete,tunnels_ccd,us_per_element,elements,linear_fit_r2,toi_capsule_spheres,toi_capsule_mesh,toi_disagreement_cells,cost_ratio_spheres_vs_mesh,c1_holds,c2_holds,c3_holds,arm,axis_x,axis_y,axis_z,bead_spacing_cells,beads_disjoint,body_radius_cells,broad_phase_cull,capsule_aspect,capsule_half_height_cells,ccd_toi_checks,ccd_toi_error_cells,cell_size,cycles,cycles_per_element,discrete_threshold_cells,element_kind,elements_tested,field,frame_seconds,ghz,interval_shrink,marginal_us_per_element,mesh_false_negative,mesh_false_positive,mesh_missed_impact,orientation_index,prediction_mismatches,proxy_missed_impact,shots_crossing_solid,solver,solver_accuracy_bar_cells,solver_chosen,solver_cleared_accuracy_bar,solver_error_cells,speed_name,speed_units_per_second,sphere_bnb_nodes_high_water,spheres_ghz,spheres_us,support_deficit_mesh_cells,support_deficit_spheres_cells,toi,toi_capsule_mesh_reference,toi_disagreement_floor_cells,total_us,tunnels_ccd_total,tunnels_discrete_predicted,tunnels_discrete_total,us_per_element_in_body
2.000000,0.320000,10000,0,0,,,,,,,,false,true,true,c1_tunnelling,,,,,,0.000000,,,,10000,0.000000,0.125000,,,2.000000,,,slab,0.016000,,,,,,,,0,,10000,,0.010000,fw8_gss10,true,,walk,2.500000,93,,,,,,,,,0,0,1447505,
1.500000,0.320000,10000,0,0,,,,,,,,false,true,true,c1_tunnelling,,,,,,0.000000,,,,10000,0.000000,0.125000,,,1.500000,,,slab,0.016000,,,,,,,,0,,10000,,0.010000,fw8_gss10,true,,walk,2.500000,97,,,,,,,,,0,0,1447505,
1.000000,0.320000,10000,0,0,,,,,,,,false,true,true,c1_tunnelling,,,,,,0.000000,,,,10000,0.000000,0.125000,,,1.000000,,,slab,0.016000,,,,,,,,0,,10000,,0.010000,fw8_gss10,true,,walk,2.500000,95,,,,,,,,,0,0,1447505,
0.750000,0.320000,10000,0,0,,,,,,,,false,true,true,c1_tunnelling,,,,,,0.000000,,,,10000,0.000000,0.125000,,,0.750000,,,slab,0.016000,,,,,,,,0,,10000,,0.010000,fw8_gss10,true,,walk,2.500000,95,,,,,,,,,0,0,1447505,
0.500000,0.320000,10000,0,0,,,,,,,,false,true,true,c1_tunnelling,,,,,,0.000000,,,,10000,0.000000,0.125000,,,0.500000,,,slab,0.016000,,,,,,,,0,,10000,,0.010000,fw8_gss10,true,,walk,2.500000,93,,,,,,,,,0,0,1447505,
0.250000,0.320000,10000,896,0,,,,,,,,false,true,true,c1_tunnelling,,,,,,0.000000,,,,10000,0.000000,0.125000,,,0.250000,,,slab,0.016000,,,,,,,,0,,10000,,0.010000,fw8_gss10,true,,walk,2.500000,92,,,,,,,,,0,896,1447505,
0.125000,0.320000,10000,5364,0,,,,,,,,false,true,true,c1_tunnelling,,,,,,0.000000,,,,10000,0.000000,0.125000,,,0.125000,,,slab,0.016000,,,,,,,,0,,10000,,0.010000,fw8_gss10,true,,walk,2.500000,99,,,,,,,,,0,5364,1447505,
0.050000,0.320000,10000,8145,0,,,,,,,,false,true,true,c1_tunnelling,,,,,,0.000000,,,,10000,0.000000,0.125000,,,0.050000,,,slab,0.016000,,,,,,,,0,,10000,,0.010000,fw8_gss10,true,,walk,2.500000,92,,,,,,,,,0,8145,1447505,
2.000000,1.152000,10000,0,0,,,,,,,,false,true,true,c1_tunnelling,,,,,,0.000000,,,,10000,0.000000,0.125000,,,2.000000,,,slab,0.016000,,,,,,,,0,,10000,,0.010000,fw8_gss10,true,,sprint,9.000000,94,,,,,,,,,0,0,1447505,
1.500000,1.152000,10000,0,0,,,,,,,,false,true,true,c1_tunnelling,,,,,,0.000000,,,,10000,0.000000,0.125000,,,1.500000,,,slab,0.016000,,,,,,,,0,,10000,,0.010000,fw8_gss10,true,,sprint,9.000000,92,,,,,,,,,0,0,1447505,
