# experiment P-83 (R-083)
# hypothesis: NOTHING IN THE LITERATURE COMPUTES MASS PROPERTIES FROM AN SDF ANALYTICALLY, AND NOTHING BENCHMARKS IT. The nearest usable result is Hartmann and Ewougsi Tekeu, 10.1007/s00707-025-04419-1: inserting T = x tensor x into the divergence theorem converts the volume integral for the inertia tensor into a PURE SURFACE INTEGRAL, evaluated analytically per triangle with linear shape functions. No wall-clock timings, but the operation count is below tetrahedral volume discretisation at equal resolution. This crate emits the surface; the integral is one pass over data it just produced, with no mesh round-trip to parry3d. IT IS ALSO THE ONLY ROW IN GROUP B THAT IS CORE-CRATE ELIGIBLE -- pure arithmetic, no_std, allocation- free, generic over Real. (C1) Volume, centre of mass and the inertia tensor agree with a dense voxel reference to 1e-4 relative on all eight reference fields at 33^3, and the error falls at h^2. (C2) DETERMINISM AND THE TRAP THE PAPER NAMES: float summation is non- associative, so a fixed triangle iteration order is required for hash stability; and the paper's own discretisation yields a NON- SYMMETRIC inertia tensor despite the continuous form being symmetric, fixed by averaging off-diagonals. Both are measured: fixed order gives bit-identical tensors across machines, and the pre-symmetrisation asymmetry is non-zero. (C3) It costs under 2% of extraction. SHARE: C3 moves the whole mass-properties stage, currently paid by parry3d after a mesh handoff.
# falsified by: C1 by worse than 1e-4, or a convergence order below 1.5 -- the second would mean the surface integral is not seeing the geometry the volume integral sees. C2 by zero asymmetry, which would mean the crate's triangles are better behaved than the paper's and the symmetrisation step can be dropped. C3 by above 2%. VACUITY CONTROL: the reference must be a dense voxel integration at a resolution that itself converges, reported with its own h^2 fit, or C1 is measuring the reference.
# commit 9cbe95a on amd-ryzen-9-5900x-12-core at 2026-08-28T00:53:36Z
field,resolution,volume,volume_reference,volume_rel_error,com_rel_error,inertia_rel_error,convergence_order,asymmetry_pre,asymmetry_post,bit_identical_across_machines,mass_props_ms,extract_ms,share,c1_holds,c2_holds,c3_holds,asymmetry_pre_abs,boundary_edges,cell_size,clip_half_extent,clip_inert,clock_governor,clock_mhz,inertia_com_rel_error,inertia_hash,inertia_scale,mesh_hash,non_manifold_edges,order_com,order_inertia,order_volume,reference_cells,reference_gap_rel,reference_gap_rel_naive,reference_order,reference_order_naive,reference_refine,reference_residual_rel,reference_residual_rel_naive,reference_vs_analytic_rel,surface_over_tetra_ms,tetra_ms,tetra_rel_error,triangles,vertices
sphere,17,4.035356337355e0,4.188806190864e0,3.663331e-2,9.325543e-6,6.033097e-2,1.9771,1.095770e-16,0.000000e0,true,0.009760,0.063371,0.154014,false,true,false,1.725474e-16,0,0.25000000,1.500000,true,powersave,4200,6.033097e-2,5bd9a62080b65d18,1.675548044530e0,afc09ba0f635b768,0,2.4875,1.9771,1.9887,256,1.376154e-5,1.176248e-4,2.0003,5.4249,4,4.585949e-6,2.803346e-6,3.816395e-6,2.1404,0.004560,4.653346e-15,536,270
sphere,33,4.149627486842e0,4.188806190864e0,9.353191e-3,6.218771e-7,1.557260e-2,1.9771,1.510880e-17,0.000000e0,true,0.041990,0.445844,0.094181,false,true,false,2.492225e-17,0,0.12500000,1.500000,true,powersave,4200,1.557260e-2,b4a71a9511c2239f,1.675548044530e0,7fe4e4545cc71c8c,0,2.4875,1.9771,1.9887,256,1.376154e-5,1.176248e-4,2.0003,5.4249,4,4.585949e-6,2.803346e-6,3.816395e-6,2.1380,0.019640,1.803797e-14,2312,1158
sphere,65,4.179064171736e0,4.188806190864e0,2.325727e-3,2.965082e-7,3.892281e-3,1.9771,9.815228e-18,0.000000e0,true,0.172622,3.329231,0.051850,false,true,false,1.638204e-17,0,0.06250000,1.500000,true,powersave,4200,3.892281e-3,b89a5af4402d83f0,1.675548044530e0,85584c29a607d1c1,0,2.4875,1.9771,1.9887,256,1.376154e-5,1.176248e-4,2.0003,5.4249,4,4.585949e-6,2.803346e-6,3.816395e-6,2.1401,0.080661,1.649660e-14,9512,4758
torus,17,1.511390296973e0,1.776553859125e0,1.492573e-1,2.544541e-4,1.702589e-1,2.0259,1.212638e-17,0.000000e0,true,0.011930,0.088231,0.135213,false,true,false,1.908196e-17,0,0.25000000,1.500000,true,powersave,4200,1.702590e-1,b769a5ca496aa837,1.896484246555e0,01d19fb55d8b195b,0,3.7289,2.0275,2.0259,256,5.375834e-5,2.185529e-3,2.0033,2.9629,4,1.786528e-5,3.215385e-4,1.411006e-5,2.1418,0.005570,1.909884e-15,656,328
torus,33,1.713196412278e0,1.776553859125e0,3.566312e-2,1.265193e-4,4.088751e-2,2.0259,2.776846e-17,0.000000e0,true,0.040951,0.595436,0.068775,false,true,false,5.050921e-17,0,0.12500000,1.500000,true,powersave,4200,4.088754e-2,570ddbfea7ec4b40,1.896484246555e0,08d39beb74868406,0,3.7289,2.0275,2.0259,256,5.375834e-5,2.185529e-3,2.0033,2.9629,4,1.786528e-5,3.215385e-4,1.411006e-5,2.1407,0.019130,1.953176e-15,2256,1128
torus,65,1.760565558210e0,1.776553859125e0,8.999615e-3,1.447470e-6,1.024324e-2,2.0259,4.717509e-17,0.000000e0,true,0.152872,4.341280,0.035214,false,true,false,8.855039e-17,0,0.06250000,1.500000,true,powersave,4200,1.024324e-2,2bb659cbc8744967,1.896484246555e0,7971e1d49d6431ea,0,3.7289,2.0275,2.0259,256,5.375834e-5,2.185529e-3,2.0033,2.9629,4,1.786528e-5,3.215385e-4,1.411006e-5,2.1422,0.071361,1.046901e-14,8416,4208
box_exact,17,7.333333333333e0,8.000000000000e0,8.333333e-2,1.415529e-55,1.627930e-1,1.8388,0.000000e0,0.000000e0,true,0.010630,0.078840,0.134830,false,false,false,0.000000e0,0,0.25000000,1.500000,true,powersave,4200,1.627930e-1,6bb8ca989daa7bd6,5.333333333337e0,14df8009f994fe6c,0,exact,1.8388,1.9354,256,0.000000e0,0.000000e0,exact,exact,4,0.000000e0,0.000000e0,0.000000e0,2.1388,0.004970,7.630260e-15,584,294
box_exact,33,7.822916666667e0,8.000000000000e0,2.213542e-2,1.415529e-55,4.729309e-2,1.8388,0.000000e0,0.000000e0,true,0.048911,0.544035,0.089904,false,false,false,0.000000e0,0,0.12500000,1.500000,true,powersave,4200,4.729309e-2,8bef502e93c616bf,5.333333333337e0,4539fb5f1cea7cff,0,exact,1.8388,1.9354,256,0.000000e0,0.000000e0,exact,exact,4,0.000000e0,0.000000e0,0.000000e0,2.1405,0.022850,3.258468e-14,2696,1350
box_exact,65,7.954427083333e0,8.000000000000e0,5.696615e-3,1.415529e-55,1.272173e-2,1.8388,0.000000e0,0.000000e0,true,0.210182,3.924577,0.053555,false,false,false,0.000000e0,0,0.06250000,1.500000,true,powersave,4200,1.272173e-2,2426447af6cced14,5.333333333337e0,383fe4bd002de1d7,0,exact,1.8388,1.9354,256,0.000000e0,0.000000e0,exact,exact,4,0.000000e0,0.000000e0,0.000000e0,2.1405,0.098191,1.682692e-13,11528,5766
csg_difference,17,6.207382677912e0,6.912090438755e0,1.019529e-1,6.532867e-3,1.863736e-1,1.7092,3.700484e-17,0.000000e0,true,0.010630,0.093151,0.114116,false,true,false,1.387779e-16,0,0.25000000,1.500000,true,powersave,4200,1.912352e-1,4e6a33a105827c5f,4.606875467431e0,aebd38ae7c638f5e,0,1.7092,1.8165,1.9141,256,8.411885e-7,8.788166e-5,2.4559,2.1659,4,1.874879e-7,2.519965e-5,na,2.1431,0.004960,4.864863e-15,584,294
csg_difference,33,6.724082239677e0,6.912090438755e0,2.719990e-2,1.865803e-3,5.454607e-2,1.7092,1.146964e-16,0.000000e0,true,0.050210,0.647746,0.077515,false,true,false,4.996004e-16,0,0.12500000,1.500000,true,powersave,4200,5.603362e-2,da94971193f77e45,4.606875467431e0,641ef244304bf1de,0,1.7092,1.8165,1.9141,256,8.411885e-7,8.788166e-5,2.4559,2.1659,4,1.874879e-7,2.519965e-5,na,2.1412,0.023450,2.324769e-14,2768,1386
csg_difference,65,6.862475769224e0,6.912090438755e0,7.177954e-3,6.110585e-4,1.502183e-2,1.7092,1.590307e-16,0.000000e0,true,0.218242,4.734394,0.046097,false,true,false,7.216450e-16,0,0.06250000,1.500000,true,powersave,4200,1.549174e-2,2d27fbacc025a18c,4.606875467431e0,88e047d329214851,0,1.7092,1.8165,1.9141,256,8.411885e-7,8.788166e-5,2.4559,2.1659,4,1.874879e-7,2.519965e-5,na,2.1413,0.101921,1.236012e-13,12020,6012
thin_plate,17,7.604166666667e-2,1.000000000000e-1,2.395833e-1,3.959289e-15,4.138672e-1,0.8975,4.739304e-16,0.000000e0,true,0.004540,0.069411,0.065408,false,true,false,1.851908e-17,0,0.25000000,1.500000,true,powersave,4200,4.138672e-1,18151608b7b6ba99,6.666666666667e-2,77727e16c1eadb89,0,exact,0.8975,0.9769,256,5.311877e-5,0.000000e0,0.4150,exact,4,1.593563e-4,0.000000e0,na,2.1315,0.002130,1.953341e-15,248,126
thin_plate,33,8.776041666667e-2,1.000000000000e-1,1.223958e-1,3.908137e-15,2.275269e-1,0.8975,2.877095e-16,0.000000e0,true,0.018480,0.502464,0.036779,false,true,false,1.481653e-17,0,0.12500000,1.500000,true,powersave,4200,2.275269e-1,3bddcae3d9129f81,6.666666666667e-2,7c7d72e5534c44c1,0,exact,0.8975,0.9769,256,5.311877e-5,0.000000e0,0.4150,exact,4,1.593563e-4,0.000000e0,na,2.1290,0.008680,3.166401e-14,1016,510
thin_plate,65,9.381510416667e-2,1.000000000000e-1,6.184896e-2,3.876884e-15,1.192619e-1,0.8975,2.127387e-16,0.000000e0,true,0.074201,3.782115,0.019619,false,true,true,1.249114e-17,0,0.06250000,1.500000,true,powersave,4200,1.192619e-1,8d5d6c50eafe318f,6.666666666667e-2,89f7b7b6d63ec065,0,exact,0.8975,0.9769,256,5.311877e-5,0.000000e0,0.4150,exact,4,1.593563e-4,0.000000e0,na,2.1390,0.034690,7.504270e-14,4088,2046
gyroid,17,4.170702377869e2,4.523932318844e2,7.808029e-2,1.226855e-2,1.213992e-1,1.9784,4.338920e-17,0.000000e0,true,0.046010,0.477245,0.096408,false,true,false,2.486900e-13,0,0.87500000,6.500000,true,powersave,4200,1.231461e-1,4f810d63a34a4e1d,6.514528025602e3,449be85ad0d0b81f,0,2.1589,1.9784,2.0167,256,2.820704e-5,5.983313e-4,2.0529,2.6857,4,8.956313e-6,1.101141e-4,na,2.1410,0.021490,3.332290e-15,2536,1260
gyroid,33,4.436105170744e2,4.523932318844e2,1.941390e-2,3.554784e-3,3.144638e-2,1.9784,7.668342e-17,0.000000e0,true,0.193362,2.554364,0.075699,false,true,false,4.840572e-13,0,0.43750000,6.500000,true,powersave,4200,3.189934e-2,a7dc0cb7fd17b228,6.514528025602e3,243e7a2ce72b1e33,0,2.1589,1.9784,2.0167,256,2.820704e-5,5.983313e-4,2.0529,2.6857,4,8.956313e-6,1.101141e-4,na,2.1297,0.090791,1.076360e-14,10632,5292
gyroid,65,4.502360833496e2,4.523932318844e2,4.768304e-3,6.152048e-4,7.818202e-3,1.9784,3.851222e-16,0.000000e0,true,0.791237,15.803898,0.050066,false,true,false,2.489342e-12,0,0.21875000,6.500000,true,powersave,4200,7.894957e-3,7e93d17fa03dc370,6.514528025602e3,7cae449cdfa3bdf5,0,2.1589,1.9784,2.0167,256,2.820704e-5,5.983313e-4,2.0529,2.6857,4,8.956313e-6,1.101141e-4,na,2.1552,0.367123,1.688478e-14,43116,21534
