# experiment P-84 (R-084)
# hypothesis: A-027 ALREADY PROPOSES THIS AND DOES NOT CITE THE PAPER THAT MEASURED IT. Mueller, Chentanez and Kim, 10.1145/2461912.2461934 (TOG 2013): split the geometry into non-overlapping convex regions OFFLINE, then at runtime align a convex fracture pattern to the impact and intersect it against the precomputed compound. The invariant is that CLIPPING A CONVEX SHAPE AGAINST A CONVEX CELL YIELDS CONVEX PIECES, so runtime decomposition never happens. Measured: 'the time to fracture small to average sized objects is typically negligible, i.e. below 10 ms', staying below 50 ms throughout, reaching 20k compounds and 32k convexes -- on a Core i7 at 3.07 GHz with a GTX 680. AND THE 2026 STATE OF THE ART HAS NOT IMPROVED ON IT: M-297 said no published convex decomposition runs at interactive rates and that holds -- VisACD (arXiv 2604.04244) is a GPU method averaging 16.97 seconds per model against CoACD's 36.31 s, four orders of magnitude off a frame budget. (C1) A brush intersected against a convex-cell partition of a chunk produces convex fragments in under 10 ms per fragment, against M-116's 241-272 ms. (C2) THE MULTIPLAYER CLAUSE, and the one that makes this crate's version better than Mueller's: the convex-cell partition is a PURE FUNCTION OF THE EDIT LOG -- eight same-kind brushes in all 40,320 orderings give one partition, bit-for-bit, reproducing M-36 at the cell level. (C3) Piece count stays bounded: a chunk that has taken 60 brushes (M-50's largest bucket) has under 4x the convex cells of an unedited one. SHARE: C1 moves the whole destruction- collider stage.
# falsified by: C1 by above 25 ms, which is still 10x better than M-116 and would still be worth landing -- the clause is set at 10 to make the 2013 number the bar rather than a comfortable one, and the entry must report both. C2 by more than one partition, which would mean the decomposition introduces order-dependence the field does not have and breaks the coordination-free story M-36 bought. C3 by above 4x, the failure mode that turns this into a memory problem instead of a time problem. VACUITY CONTROL: the 40,320-ordering arm must actually reach every ordering, asserted by count, which is M-36's own fixture.
# commit 6bf877d on amd-ryzen-9-5900x-12-core at 2026-08-28T00:54:39Z
field,chunk_cells,brushes,fragments,fracture_ms_per_fragment,fracture_ms_worst,convex_cells_before,convex_cells_after,cell_growth_ratio,orderings,distinct_partitions,partition_hash,c1_holds,c2_holds,c3_holds,arm,brush_radius_cells,c1_bar_ms,c1_falsifier_ms,cell_size_world,cells_boundary_before,cells_cut_by_brushes,cells_full_before,cells_hashed,coincident_plane_pairs,compound_volume_after,convexity_violations,cycles,cycles_per_fragment,degenerate_vertices,distinct_partitions_raw,distinct_positions,distinct_solid_flags,distinct_topology,dop_dirs,field_volume_sampled,fracture_cells,fracture_ms_total,fracture_remainder_pieces,ghz,impact_radius_cells,m116_speedup_mean_high,m116_speedup_mean_low,m116_speedup_worst,max_cuts_in_a_cell,max_leaves_in_a_cell,max_pieces_in_a_cell,max_planes_at_a_point,max_verts_seen,nonsimple_cells,nonsimple_points,partition_hash_raw,partition_volume_error_rel,permutations_distinct,perturbed_hash_differs,perturbed_topology_differs,planes_mode,reps,singular_triples,slivers_dropped,sweep_seconds,threads,topo_class_hi_pieces,topo_class_hi_solid,topo_class_lo_pieces,topo_class_lo_solid,total_pieces_after,total_pieces_before,vertex_mode,volume_error_rel,volume_samples
fbm_terrain,16,60,4941,0.002802,0.037386,2904,18622,6.412534,NA,NA,NA,true,NA,false,c1c3,1.50,10.0,25.0,0.250000000,483,471,2419,NA,NA,40.032895,0,55300811,11192.2,0,NA,NA,NA,NA,6,40.060330,149,13.843179,2339,3.9429,3.00,97012.7,85912.3,9869.9,47,4290,4290,NA,10,NA,NA,NA,3.442e-15,NA,NA,NA,as_logged,9,0,3,NA,12,NA,NA,NA,NA,82259,3357,lerp,0.000685,96
fbm_terrain,16,60,4941,0.002665,0.034094,2904,18622,6.412534,NA,NA,NA,true,NA,false,c1c3,1.50,10.0,25.0,0.250000000,483,471,2419,NA,NA,40.032895,0,55442868,11221.0,0,NA,NA,NA,NA,6,40.060330,149,13.169523,2339,4.0100,3.00,101975.1,90306.9,10823.0,47,4290,4290,NA,10,NA,NA,NA,3.442e-15,NA,NA,NA,canonical,9,0,3,NA,12,NA,NA,NA,NA,82259,3357,lerp,0.000685,96
fbm_terrain,32,60,1733,0.002570,0.014230,22224,30231,1.360286,NA,NA,NA,true,NA,true,c1c3,1.50,10.0,25.0,0.125000000,2029,878,20227,NA,NA,41.171767,0,18580650,10721.7,0,NA,NA,NA,NA,6,41.175709,166,4.454512,742,4.1821,3.00,105742.1,93642.8,25931.1,26,855,855,NA,10,NA,NA,NA,1.776e-15,NA,NA,NA,as_logged,9,0,3,NA,12,NA,NA,NA,NA,58249,24198,lerp,0.000096,96
fbm_terrain,32,60,1733,0.002558,0.014570,22224,30231,1.360286,NA,NA,NA,true,NA,true,c1c3,1.50,10.0,25.0,0.125000000,2029,878,20227,NA,NA,41.171767,0,18559017,10709.2,0,NA,NA,NA,NA,6,41.175709,166,4.432910,742,4.1844,3.00,106257.4,94099.2,25326.0,26,855,855,NA,10,NA,NA,NA,1.776e-15,NA,NA,NA,canonical,9,0,3,NA,12,NA,NA,NA,NA,58249,24198,lerp,0.000096,96
gyroid,16,60,2245,0.003039,0.033564,2439,14681,6.019270,NA,NA,NA,true,NA,false,c1c3,1.50,10.0,25.0,0.250000000,783,538,1657,NA,NA,30.507133,0,28520915,12704.2,0,NA,NA,NA,NA,6,30.520182,170,6.822454,1510,4.1836,3.00,89438.6,79204.9,10994.0,41,2979,2979,NA,10,NA,NA,NA,1.776e-15,NA,NA,NA,as_logged,9,0,6,NA,12,NA,NA,NA,NA,61278,3222,lerp,0.000428,96
gyroid,16,60,2245,0.003047,0.035505,2439,14681,6.019270,NA,NA,NA,true,NA,false,c1c3,1.50,10.0,25.0,0.250000000,783,538,1657,NA,NA,30.507133,0,28570399,12726.2,0,NA,NA,NA,NA,6,30.520182,170,6.839404,1510,4.1661,3.00,89217.0,79008.6,10392.8,41,2979,2979,NA,10,NA,NA,NA,1.776e-15,NA,NA,NA,canonical,9,0,6,NA,12,NA,NA,NA,NA,61278,3222,lerp,0.000428,96
gyroid,32,60,1065,0.002551,0.022180,17942,24779,1.381061,NA,NA,NA,true,NA,true,c1c3,1.50,10.0,25.0,0.125000000,3129,967,14820,NA,NA,31.687187,0,11144217,10464.1,0,NA,NA,NA,NA,6,31.694661,225,2.716876,392,4.1858,3.00,106544.1,94353.0,16636.2,20,485,485,NA,10,NA,NA,NA,2.442e-15,NA,NA,NA,as_logged,9,0,14,NA,12,NA,NA,NA,NA,49804,21065,lerp,0.000236,96
gyroid,32,60,1065,0.002544,0.024765,17942,24779,1.381061,NA,NA,NA,true,NA,true,c1c3,1.50,10.0,25.0,0.125000000,3129,967,14820,NA,NA,31.687187,0,11309281,10619.0,0,NA,NA,NA,NA,6,31.694661,225,2.709866,392,4.1797,3.00,106819.7,94597.1,14899.8,20,485,485,NA,10,NA,NA,NA,2.442e-15,NA,NA,NA,canonical,9,0,14,NA,12,NA,NA,NA,NA,49804,21065,lerp,0.000236,96
box_exact,8,8,NA,NA,NA,NA,1026,NA,40320,6,18e7ac6ca3502e90,NA,false,NA,c2,NA,10.0,25.0,0.250000000,NA,182,NA,182,3,NA,0,NA,NA,0,18720,6,2,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,80,NA,4,8,3,36,0002a9c063a4b91b,3.331e-16,40320,true,true,as_logged,NA,0,36,14.8,12,1709,1026,1709,1026,1709,NA,lerp,NA,NA
box_exact,8,8,NA,NA,NA,NA,1026,NA,40320,6,110ea94ea2050335,NA,false,NA,c2,NA,10.0,25.0,0.250000000,NA,182,NA,182,0,NA,0,NA,NA,0,18720,6,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,80,NA,0,8,0,0,00025b078b52d3be,3.331e-16,40320,true,true,canonical,NA,0,0,14.9,12,1709,1026,1709,1026,1709,NA,lerp,NA,NA
