# experiment P-87 (R-087)
# hypothesis: THE NAVIGATION DIRECTION IN THIS REPOSITORY IS COSTED AND THE COST IS FATAL. The docs propose deriving the encounter graph from field topology via Morse-Smale segmentation and record the price: PLMSS at 256^3 takes 4.40 s single-threaded, 0.36 s on 24 threads, which the docs themselves call '20-40x over a 16 ms frame'. Recast is worse in a different way -- a 2026 devlog measures Unreal's navmesh generation at a constant ~5 ms and a ~10 FPS drop for a relatively simple sublevel, and Recast rebuilds a tile by voxelising collision geometry, so this game would voxelise a mesh it generated from voxels. THERE IS A THIRD OPTION NOBODY IN THESE DOCS HAS CONSIDERED AND IT IS MEASURED. Massonnat and Verbrugge, 10.1109/CoG60054.2024.10645669 (IEEE CoG 2024): an octree splits cells containing obstacles, adjacent cells merge by a Hertel- Mehlhorn-inspired greedy method WHILE PRESERVING CONVEXITY, and A* runs on the resulting coarse graph with visibility pruning and a 3-D funnel; extended to dynamic environments with LOCAL octree and graph updates plus a cell-repairing strategy. Measured on an Intel Core i7-12700H laptop: octree update 0.22-1.36 ms, local graph update 0.03 ms, about 1 ms total, with cell reduction up to an order of magnitude (28,190 to 303). The convexity-preserving merge is the same trick as P-84's fracture invariant; two subfields arriving at it independently is a signal. (C1) Built on the sign field and the active-cell bitmap -- never on triangles -- the local repair after P-72's eleven-edit dig trace costs under 2 ms at 4^3 chunk granularity. (C2) The repair set is EDIT-PROPORTIONAL, tracking M-311's 925 dirty cells with a constant factor under 3, and does not grow with world size at fixed edit size. (C3) Convexity-preserving merge gives at least 5x cell reduction on fbm_terrain and gyroid, and gyroid -- topologically the hardest of the eight -- is the one where it does worst. SHARE: C1 moves the whole navigation-rebuild stage, currently unbuilt.
# falsified by: C1 by above 2 ms, which puts it in Recast's band and removes the reason to prefer it. C2 by world-proportional growth -- the same falsifier as P-78's C1 and for the same reason. C3 by under 5x on either field, or by gyroid not being the worst, which would mean the reduction tracks something other than topological complexity. VACUITY CONTROL: the dig trace must change the free-space topology at least once, asserted from the union-find rather than from the brush, or the repair is measuring a no-op.
# commit 383f77f on amd-ryzen-9-5900x-12-core at 2026-08-28T00:55:25Z
field,world_cells,chunk_cells,edits,dirty_cells,repair_cells,repair_factor,octree_update_ms,graph_update_ms,total_ms,cells_before_merge,cells_after_merge,reduction,topology_changes,c1_holds,c2_holds,c3_holds,air_components_after,air_components_before,air_components_max,air_merges,air_newly_air,all_leaves,brush_cells,build_ms,clock_mhz,dirty_per_edit,edits_joining,edits_pocketing,free_cells,graph_components_after,graph_components_before,graph_edges,leaves_added,leaves_per_kilo_free_cell,leaves_removed,max_pool_leaves,median_edit_ms,merge_drift,mesh_dirty_chunks,nav_dirty_chunks,nodes_reevaluated,octree_depth,pattern_changed_cells,post_regions_global,post_regions_incremental,rebuild_over_repair,rebuild_over_trace,reclassified_cells,regions_added,regions_removed,repair_growth,repair_per_m311,state_changed_cells,trace,trace_total_ms,world_total_cells,worst_edit
fbm_terrain,32,4,11,4058,7245,1.7854,0.069531,0.099740,0.169271,1293,335,3.8597,0,true,true,false,1,1,1,27,2046,4579,6,0.743057,4202,368.9,0,0,10512,1,1,1042,3542,123.002,2975,188,0.116861,1.2369,272,235,962,5,4058,363,449,4.39,0.54,15040,421,307,1.0000,0.7120,3401,p72_dig,1.386321,32768,7
fbm_terrain,32,4,11,3027,4703,1.5537,0.193512,0.120141,0.313653,1293,335,3.8597,2,true,true,false,1,1,2,97,1385,4579,6,0.712607,4202,275.2,1,1,10512,1,1,1042,2722,123.002,1378,218,0.060530,1.1872,267,225,777,5,3027,374,444,2.27,0.77,14400,356,247,1.0000,0.4622,2180,breakthrough,0.928369,32768,0
fbm_terrain,64,4,11,6036,9875,1.6360,0.106751,0.093831,0.200582,5422,1475,3.6759,0,true,true,false,1,1,1,12,3576,18852,6,3.733824,4202,548.7,0,0,88162,1,1,4816,5135,61.500,3924,185,0.168841,1.0651,329,298,1396,6,6036,1537,1637,18.61,2.05,19072,489,327,1.3630,0.9705,5395,p72_dig,1.824006,262144,3
fbm_terrain,64,4,11,2809,4263,1.5176,0.196712,0.115111,0.311823,5422,1475,3.6759,2,true,true,false,1,1,2,87,1319,18852,6,3.622133,4202,255.4,1,1,88162,1,1,4816,2526,61.500,1196,218,0.078050,1.0379,248,192,714,6,2809,1530,1588,11.62,4.12,12288,327,214,0.9064,0.4190,2046,breakthrough,0.879298,262144,0
fbm_terrain,128,4,11,7545,11747,1.5569,0.141702,0.144571,0.286273,21492,5962,3.6048,0,true,true,false,1,1,1,11,4603,75811,6,19.907633,4202,685.9,0,0,721331,1,1,20034,6662,29.795,4135,250,0.235943,1.0210,373,344,1667,7,7545,6135,6264,69.54,7.84,22016,626,324,1.6214,1.1545,6877,p72_dig,2.539614,2097152,0
fbm_terrain,128,4,11,2979,4643,1.5586,0.198331,0.115502,0.313833,21492,5962,3.6048,2,true,true,false,1,1,2,98,1366,75811,6,19.821763,4202,270.8,1,1,721331,1,1,20034,2720,29.795,1334,218,0.066871,1.0105,271,225,774,7,2979,6010,6073,63.16,20.63,14400,350,239,0.9872,0.4563,2145,breakthrough,0.960949,2097152,0
fbm_terrain,256,4,11,7608,11849,1.5574,0.144291,0.114901,0.259192,86475,24250,3.5660,0,true,true,false,1,1,1,11,4657,304291,6,121.472009,4202,691.6,0,0,5835575,1,1,82702,6739,14.819,4093,240,0.221522,1.0050,386,343,1687,8,7608,24405,24527,468.66,48.81,21952,647,370,1.6355,1.1645,6961,p72_dig,2.488621,16777216,10
fbm_terrain,256,4,11,3110,4875,1.5675,0.213912,0.119681,0.333593,86475,24250,3.5660,2,true,true,false,1,1,2,102,1411,304291,6,120.444059,4202,282.7,1,1,5835575,1,1,82702,2904,14.819,1378,218,0.061481,1.0028,270,229,806,8,3110,24289,24357,361.05,126.20,14656,350,243,1.0366,0.4791,2242,breakthrough,0.954360,16777216,0
gyroid,32,4,11,3999,7301,1.8257,0.062331,0.080990,0.143321,1996,783,2.5492,0,true,true,false,2,2,2,15,1999,7141,6,1.251202,4202,363.5,0,0,14820,2,2,2354,3547,134.683,3057,145,0.109051,1.1410,257,235,968,5,3999,773,882,8.73,1.01,15040,398,299,1.0000,0.7175,3318,p72_dig,1.238962,32768,7
gyroid,32,4,11,3013,4632,1.5373,0.195462,0.114281,0.309743,1996,783,2.5492,2,true,true,false,2,2,3,106,1375,7141,6,1.254272,4202,273.9,1,1,14820,2,2,2354,2564,134.683,1423,218,0.073751,1.0887,269,209,760,5,3013,823,896,4.05,1.37,13376,379,266,1.0000,0.4552,2164,breakthrough,0.918689,32768,0
